Date,LAKSHMIEFL
2014-01-01,20.15
2014-01-02,20.1
2014-01-03,20.25
2014-01-06,20.1
2014-01-07,19.95
2014-01-08,21.3
2014-01-09,21.4
2014-01-10,20.9
2014-01-13,20.45
2014-01-14,20.2
2014-01-15,21.5
2014-01-16,20.75
2014-01-17,20.25
2014-01-20,20.55
2014-01-21,20.35
2014-01-22,20.2
2014-01-23,20.5
2014-01-24,20.15
2014-01-27,19.55
2014-01-28,19.35
2014-01-29,19.65
2014-01-30,19.4
2014-01-31,19.35
2014-02-03,19.5
2014-02-04,19.55
2014-02-05,20.2
2014-02-06,20.8
2014-02-07,22.1
2014-02-10,24.65
2014-02-11,25.95
2014-02-12,26.2
2014-02-13,23.35
2014-02-14,23.7
2014-02-17,24.65
2014-02-18,24.45
2014-02-19,24.1
2014-02-20,24.15
2014-02-21,24.9
2014-02-24,26.4
2014-02-25,26.7
2014-02-26,26.7
2014-02-28,24.0
2014-03-03,24.1
2014-03-04,26.45
2014-03-05,25.6
2014-03-06,25.25
2014-03-07,26.25
2014-03-10,24.85
2014-03-11,24.75
2014-03-12,24.7
2014-03-13,23.35
2014-03-14,23.4
2014-03-18,23.75
2014-03-19,23.4
2014-03-20,22.9
2014-03-21,22.7
2014-03-22,22.8
2014-03-24,21.7
2014-03-25,21.65
2014-03-26,21.2
2014-03-27,21.5
2014-03-28,23.1
2014-03-31,22.7
2014-04-01,22.25
2014-04-02,23.05
2014-04-03,23.0
2014-04-04,25.25
2014-04-07,24.7
2014-04-09,24.95
2014-04-10,24.5
2014-04-11,24.9
2014-04-15,25.05
2014-04-16,24.75
2014-04-17,24.75
2014-04-21,24.8
2014-04-22,24.35
2014-04-23,24.35
2014-04-25,23.65
2014-04-28,23.45
2014-04-29,23.45
2014-04-30,23.2
2014-05-02,21.9
2014-05-05,22.0
2014-05-06,22.35
2014-05-07,22.35
2014-05-08,21.95
2014-05-09,21.85
2014-05-12,21.8
2014-05-13,22.0
2014-05-14,22.55
2014-05-15,22.3
2014-05-16,21.7
2014-05-19,22.0
2014-05-20,23.4
2014-05-21,24.35
2014-05-22,24.8
2014-05-23,26.3
2014-05-26,25.45
2014-05-27,23.7
2014-05-28,23.0
2014-05-29,23.85
2014-05-30,22.3
2014-06-02,20.75
2014-06-03,20.05
2014-06-04,21.15
2014-06-05,22.25
2014-06-06,22.95
2014-06-09,23.75
2014-06-10,24.0
2014-06-11,23.0
2014-06-12,23.55
2014-06-13,21.95
2014-06-16,21.3
2014-06-17,21.4
2014-06-18,21.05
2014-06-19,20.65
2014-06-20,20.35
2014-06-23,20.5
2014-06-24,20.65
2014-06-25,21.35
2014-06-26,20.95
2014-06-27,20.7
2014-06-30,20.65
2014-07-01,20.8
2014-07-02,21.1
2014-07-03,20.8
2014-07-04,20.7
2014-07-07,21.0
2014-07-08,20.15
2014-07-09,19.6
2014-07-10,19.85
2014-07-11,18.75
2014-07-14,18.5
2014-07-15,18.8
2014-07-16,19.6
2014-07-17,19.65
2014-07-18,19.45
2014-07-21,19.45
2014-07-22,19.3
2014-07-23,19.15
2014-07-24,18.55
2014-07-25,18.15
2014-07-28,17.8
2014-07-30,17.5
2014-07-31,17.4
2014-08-01,17.0
2014-08-04,16.95
2014-08-05,17.25
2014-08-06,18.55
2014-08-07,18.1
2014-08-08,17.05
2014-08-11,17.4
2014-08-12,17.55
2014-08-13,17.25
2014-08-14,16.85
2014-08-18,16.85
2014-08-19,17.45
2014-08-20,17.1
2014-08-21,17.75
2014-08-22,17.7
2014-08-25,17.05
2014-08-26,16.75
2014-08-27,16.55
2014-08-28,16.3
2014-09-01,16.8
2014-09-02,16.75
2014-09-03,17.1
2014-09-04,16.5
2014-09-05,16.75
2014-09-08,17.15
2014-09-09,17.45
2014-09-10,17.6
2014-09-11,18.05
2014-09-12,18.2
2014-09-15,18.45
2014-09-16,17.0
2014-09-17,17.15
2014-09-18,17.3
2014-09-19,17.25
2014-09-22,16.8
2014-09-23,16.8
2014-09-24,16.6
2014-09-25,15.75
2014-09-26,15.65
2014-09-29,15.8
2014-09-30,15.65
2014-10-01,15.55
2014-10-07,15.15
2014-10-08,14.95
2014-10-09,14.95
2014-10-10,15.25
2014-10-13,15.0
2014-10-14,15.0
2014-10-16,12.65
2014-10-17,13.75
2014-10-20,14.45
2014-10-21,14.5
2014-10-22,14.65
2014-10-23,16.1
2014-10-27,15.6
2014-10-28,15.1
2014-10-29,14.7
2014-10-30,14.75
2014-10-31,14.8
2014-11-03,15.2
2014-11-05,15.05
2014-11-07,14.75
2014-11-10,14.55
2014-11-11,14.6
2014-11-12,17.4
2014-11-13,16.8
2014-11-14,16.5
2014-11-17,14.9
2014-11-18,15.0
2014-11-19,14.8
2014-11-20,14.65
2014-11-21,14.65
2014-11-24,14.6
2014-11-25,13.95
2014-11-26,14.15
2014-11-27,14.25
2014-11-28,13.85
2014-12-01,14.05
2014-12-02,14.1
2014-12-03,14.05
2014-12-04,14.0
2014-12-05,13.9
2014-12-08,13.6
2014-12-09,13.45
2014-12-10,13.55
2014-12-11,13.6
2014-12-12,13.25
2014-12-15,13.45
2014-12-16,12.95
2014-12-17,12.0
2014-12-18,12.2
2014-12-19,12.65
2014-12-22,13.35
2014-12-23,13.15
2014-12-24,12.8
2014-12-26,12.75
2014-12-29,13.2
2014-12-30,13.45
2014-12-31,13.6
