Date,BAJFINANCE
2014-01-01,1570.3
2014-01-02,1569.2
2014-01-03,1555.5
2014-01-06,1551.45
2014-01-07,1554.05
2014-01-08,1555.45
2014-01-09,1550.35
2014-01-10,1560.55
2014-01-13,1565.9
2014-01-14,1553.05
2014-01-15,1554.9
2014-01-16,1584.05
2014-01-17,1573.75
2014-01-20,1569.5
2014-01-21,1596.85
2014-01-22,1573.5
2014-01-23,1574.35
2014-01-24,1550.55
2014-01-27,1491.75
2014-01-28,1535.75
2014-01-29,1512.2
2014-01-30,1498.4
2014-01-31,1531.15
2014-02-03,1492.4
2014-02-04,1481.3
2014-02-05,1484.3
2014-02-06,1483.15
2014-02-07,1493.9
2014-02-10,1485.75
2014-02-11,1465.6
2014-02-12,1481.9
2014-02-13,1482.2
2014-02-14,1475.4
2014-02-17,1503.85
2014-02-18,1557.45
2014-02-19,1540.2
2014-02-20,1512.3
2014-02-21,1529.65
2014-02-24,1526.3
2014-02-25,1553.35
2014-02-26,1547.9
2014-02-28,1571.5
2014-03-03,1588.95
2014-03-04,1585.1
2014-03-05,1557.6
2014-03-06,1616.4
2014-03-07,1636.7
2014-03-10,1672.1
2014-03-11,1694.7
2014-03-12,1690.75
2014-03-13,1647.05
2014-03-14,1655.8
2014-03-18,1670.2
2014-03-19,1669.2
2014-03-20,1651.95
2014-03-21,1673.3
2014-03-22,1684.5
2014-03-24,1656.95
2014-03-25,1660.4
2014-03-26,1659.95
2014-03-27,1697.9
2014-03-28,1797.7
2014-03-31,1791.0
2014-04-01,1777.45
2014-04-02,1751.5
2014-04-03,1745.75
2014-04-04,1758.4
2014-04-07,1767.9
2014-04-09,1756.25
2014-04-10,1786.1
2014-04-11,1762.4
2014-04-15,1757.75
2014-04-16,1772.7
2014-04-17,1767.2
2014-04-21,1768.95
2014-04-22,1765.15
2014-04-23,1826.75
2014-04-25,1813.0
2014-04-28,1856.8
2014-04-29,1872.55
2014-04-30,1869.9
2014-05-02,1877.8
2014-05-05,1878.15
2014-05-06,1879.1
2014-05-07,1883.85
2014-05-08,1889.0
2014-05-09,1901.7
2014-05-12,1900.1
2014-05-13,1879.85
2014-05-14,1805.9
2014-05-15,1735.65
2014-05-16,1771.35
2014-05-19,1799.9
2014-05-20,1780.25
2014-05-21,1840.95
2014-05-22,2043.55
2014-05-23,2027.85
2014-05-26,2005.85
2014-05-27,1978.3
2014-05-28,1945.75
2014-05-29,1989.45
2014-05-30,2020.85
2014-06-02,2083.75
2014-06-03,2113.75
2014-06-04,2113.55
2014-06-05,2183.55
2014-06-06,2146.75
2014-06-09,2149.1
2014-06-10,2112.05
2014-06-11,2040.95
2014-06-12,2060.5
2014-06-13,2025.3
2014-06-16,1993.95
2014-06-17,1967.65
2014-06-18,2114.0
2014-06-19,2099.15
2014-06-20,2072.6
2014-06-23,2060.25
2014-06-24,2032.9
2014-06-25,2011.95
2014-06-26,2005.1
2014-06-27,1999.3
2014-06-30,2006.55
2014-07-01,2009.65
2014-07-02,2099.9
2014-07-03,2175.6
2014-07-04,2271.0
2014-07-07,2221.85
2014-07-08,2143.75
2014-07-09,2180.15
2014-07-10,2198.1
2014-07-11,2126.75
2014-07-14,2142.15
2014-07-15,2196.55
2014-07-16,2189.05
2014-07-17,2199.5
2014-07-18,2183.8
2014-07-21,2175.25
2014-07-22,2231.25
2014-07-23,2242.05
2014-07-24,2285.8
2014-07-25,2293.05
2014-07-28,2226.3
2014-07-30,2213.55
2014-07-31,2192.4
2014-08-01,2198.3
2014-08-04,2194.2
2014-08-05,2206.7
2014-08-06,2187.05
2014-08-07,2190.45
2014-08-08,2203.95
2014-08-11,2249.35
2014-08-12,2276.8
2014-08-13,2253.6
2014-08-14,2259.7
2014-08-18,2276.3
2014-08-19,2272.6
2014-08-20,2284.95
2014-08-21,2332.3
2014-08-22,2374.6
2014-08-25,2398.3
2014-08-26,2414.95
2014-08-27,2475.55
2014-08-28,2471.4
2014-09-01,2437.15
2014-09-02,2429.25
2014-09-03,2486.05
2014-09-04,2444.3
2014-09-05,2437.0
2014-09-08,2576.0
2014-09-09,2612.55
2014-09-10,2568.35
2014-09-11,2599.1
2014-09-12,2622.1
2014-09-15,2575.65
2014-09-16,2571.55
2014-09-17,2480.6
2014-09-18,2550.8
2014-09-19,2687.6
2014-09-22,2682.35
2014-09-23,2645.35
2014-09-24,2612.15
2014-09-25,2525.4
2014-09-26,2556.95
2014-09-29,2653.65
2014-09-30,2721.3
2014-10-01,2770.05
2014-10-07,2683.8
2014-10-08,2701.4
2014-10-09,2770.7
2014-10-10,2731.7
2014-10-13,2687.3
2014-10-14,2727.7
2014-10-16,2640.2
2014-10-17,2565.7
2014-10-20,2587.9
2014-10-21,2643.75
2014-10-22,2698.25
2014-10-23,2726.35
2014-10-27,2841.9
2014-10-28,2816.65
2014-10-29,2745.35
2014-10-30,2795.05
2014-10-31,2808.5
2014-11-03,2789.7
2014-11-05,2854.25
2014-11-07,2883.15
2014-11-10,2891.5
2014-11-11,2897.25
2014-11-12,2987.25
2014-11-13,2985.65
2014-11-14,2976.8
2014-11-17,3278.05
2014-11-18,3167.75
2014-11-19,3024.9
2014-11-20,3116.45
2014-11-21,3095.6
2014-11-24,3049.6
2014-11-25,3005.6
2014-11-26,3001.15
2014-11-27,3045.5
2014-11-28,3091.85
2014-12-01,3087.15
2014-12-02,3095.1
2014-12-03,3105.45
2014-12-04,3131.0
2014-12-05,3199.8
2014-12-08,3254.7
2014-12-09,3251.45
2014-12-10,3195.6
2014-12-11,3302.5
2014-12-12,3303.8
2014-12-15,3343.35
2014-12-16,3158.15
2014-12-17,3200.75
