Date,MTEDUCARE
2014-01-01,91.2
2014-01-02,90.25
2014-01-03,90.25
2014-01-06,90.7
2014-01-07,88.8
2014-01-08,89.15
2014-01-09,87.8
2014-01-10,88.95
2014-01-13,87.75
2014-01-14,86.95
2014-01-15,88.15
2014-01-16,87.8
2014-01-17,86.3
2014-01-20,85.3
2014-01-21,85.15
2014-01-22,84.8
2014-01-23,84.35
2014-01-24,81.85
2014-01-27,80.3
2014-01-28,81.75
2014-01-29,82.25
2014-01-30,81.2
2014-01-31,82.8
2014-02-03,82.95
2014-02-04,85.35
2014-02-05,84.6
2014-02-06,83.55
2014-02-07,84.95
2014-02-10,83.2
2014-02-11,82.4
2014-02-12,82.2
2014-02-13,79.7
2014-02-14,79.7
2014-02-17,77.9
2014-02-18,78.05
2014-02-19,77.7
2014-02-20,80.85
2014-02-21,78.55
2014-02-24,77.2
2014-02-25,77.7
2014-02-26,76.95
2014-02-28,75.5
2014-03-03,75.85
2014-03-04,76.05
2014-03-05,76.25
2014-03-06,78.25
2014-03-07,88.85
2014-03-10,87.25
2014-03-11,87.6
2014-03-12,84.1
2014-03-13,82.55
2014-03-14,81.35
2014-03-18,78.45
2014-03-19,89.4
2014-03-20,88.15
2014-03-21,86.45
2014-03-22,87.45
2014-03-24,87.2
2014-03-25,86.05
2014-03-26,84.95
2014-03-27,85.7
2014-03-28,85.05
2014-03-31,86.25
2014-04-01,85.95
2014-04-02,87.45
2014-04-03,86.55
2014-04-04,86.45
2014-04-07,86.8
2014-04-09,88.3
2014-04-10,90.75
2014-04-11,90.25
2014-04-15,87.75
2014-04-16,85.4
2014-04-17,86.85
2014-04-21,92.95
2014-04-22,94.05
2014-04-23,98.3
2014-04-25,95.8
2014-04-28,97.65
2014-04-29,94.3
2014-04-30,94.65
2014-05-02,95.35
2014-05-05,95.0
2014-05-06,95.9
2014-05-07,93.8
2014-05-08,91.85
2014-05-09,90.55
2014-05-12,88.3
2014-05-13,92.25
2014-05-14,93.35
2014-05-15,89.15
2014-05-16,90.4
2014-05-19,92.95
2014-05-20,95.1
2014-05-21,103.8
2014-05-22,103.0
2014-05-23,104.0
2014-05-26,98.6
2014-05-27,99.4
2014-05-28,101.1
2014-05-29,100.05
2014-05-30,100.25
2014-06-02,103.95
2014-06-03,103.6
2014-06-04,102.7
2014-06-05,108.55
2014-06-06,106.75
2014-06-09,108.85
2014-06-10,107.85
2014-06-11,107.05
2014-06-12,115.85
2014-06-13,109.5
2014-06-16,107.65
2014-06-17,115.4
2014-06-18,110.65
2014-06-19,111.55
2014-06-20,109.35
2014-06-23,109.1
2014-06-24,109.15
2014-06-25,111.7
2014-06-26,110.15
2014-06-27,115.5
2014-06-30,119.3
2014-07-01,124.2
2014-07-02,121.6
2014-07-03,117.8
2014-07-04,119.2
2014-07-07,119.55
2014-07-08,115.4
2014-07-09,113.45
2014-07-10,114.8
2014-07-11,116.55
2014-07-14,123.45
2014-07-15,125.35
2014-07-16,125.35
2014-07-17,127.5
2014-07-18,127.35
2014-07-21,129.15
2014-07-22,128.55
2014-07-23,127.5
2014-07-24,127.15
2014-07-25,122.7
2014-07-28,127.8
2014-07-30,127.05
2014-07-31,127.35
2014-08-01,134.95
2014-08-04,136.45
2014-08-05,135.05
2014-08-06,130.3
2014-08-07,134.65
2014-08-08,129.65
2014-08-11,125.7
2014-08-12,124.1
2014-08-13,124.85
2014-08-14,125.6
2014-08-18,131.8
2014-08-19,130.85
2014-08-20,132.0
2014-08-21,138.05
2014-08-22,138.1
2014-08-25,131.9
2014-08-26,132.5
2014-08-27,133.7
2014-08-28,134.4
2014-09-01,136.6
2014-09-02,135.45
2014-09-03,135.95
2014-09-04,134.65
2014-09-05,132.85
2014-09-08,136.25
2014-09-09,134.7
2014-09-10,134.75
2014-09-11,134.05
2014-09-12,144.35
2014-09-15,149.6
2014-09-16,141.25
2014-09-17,143.05
2014-09-18,143.8
2014-09-19,143.3
2014-09-22,141.75
2014-09-23,141.4
2014-09-24,138.85
2014-09-25,136.45
2014-09-26,137.1
2014-09-29,131.95
2014-09-30,138.2
2014-10-01,146.85
2014-10-07,141.8
2014-10-08,139.6
2014-10-09,141.7
2014-10-10,139.05
2014-10-13,137.45
2014-10-14,139.55
2014-10-16,139.55
2014-10-17,139.35
2014-10-20,138.8
2014-10-21,139.55
2014-10-22,138.2
2014-10-23,140.0
2014-10-27,137.75
2014-10-28,136.2
2014-10-29,135.45
2014-10-30,134.65
2014-10-31,134.8
2014-11-03,134.3
2014-11-05,135.5
2014-11-07,135.65
2014-11-10,136.85
2014-11-11,135.8
2014-11-12,134.9
2014-11-13,137.75
2014-11-14,136.45
2014-11-17,132.95
2014-11-18,129.2
2014-11-19,130.05
2014-11-20,128.45
2014-11-21,133.55
2014-11-24,134.15
2014-11-25,127.55
2014-11-26,127.3
2014-11-27,127.65
2014-11-28,125.3
2014-12-01,130.7
2014-12-02,128.55
2014-12-03,129.6
2014-12-04,129.7
2014-12-05,128.4
2014-12-08,126.8
2014-12-09,126.05
2014-12-10,123.6
2014-12-11,120.6
2014-12-12,121.45
2014-12-15,122.4
2014-12-16,118.8
2014-12-17,116.9
2014-12-18,119.1
2014-12-19,121.3
2014-12-22,122.1
2014-12-23,120.2
2014-12-24,121.05
2014-12-26,122.9
2014-12-29,125.65
2014-12-30,126.95
2014-12-31,124.2
