Date,DABUR
2014-01-01,172.0
2014-01-02,166.9
2014-01-03,167.05
2014-01-06,169.7
2014-01-07,172.6
2014-01-08,174.0
2014-01-09,173.05
2014-01-10,173.95
2014-01-13,169.95
2014-01-14,171.8
2014-01-15,170.6
2014-01-16,168.0
2014-01-17,167.2
2014-01-20,169.75
2014-01-21,167.7
2014-01-22,160.8
2014-01-23,161.75
2014-01-24,163.95
2014-01-27,163.0
2014-01-28,168.3
2014-01-29,171.0
2014-01-30,170.0
2014-01-31,172.0
2014-02-03,168.4
2014-02-04,170.05
2014-02-05,173.1
2014-02-06,173.25
2014-02-07,174.8
2014-02-10,174.65
2014-02-11,176.3
2014-02-12,177.75
2014-02-13,172.0
2014-02-14,173.65
2014-02-17,172.65
2014-02-18,170.8
2014-02-19,170.55
2014-02-20,170.15
2014-02-21,173.2
2014-02-24,172.65
2014-02-25,172.05
2014-02-26,172.1
2014-02-28,173.45
2014-03-03,172.3
2014-03-04,174.05
2014-03-05,171.7
2014-03-06,172.85
2014-03-07,171.55
2014-03-10,172.9
2014-03-11,174.7
2014-03-12,173.2
2014-03-13,171.8
2014-03-14,173.95
2014-03-18,177.05
2014-03-19,177.9
2014-03-20,179.05
2014-03-21,179.95
2014-03-22,179.7
2014-03-24,179.45
2014-03-25,176.0
2014-03-26,177.15
2014-03-27,177.9
2014-03-28,179.1
2014-03-31,179.65
2014-04-01,188.35
2014-04-02,182.35
2014-04-03,184.0
2014-04-04,179.95
2014-04-07,183.5
2014-04-09,182.75
2014-04-10,181.15
2014-04-11,179.15
2014-04-15,178.8
2014-04-16,178.9
2014-04-17,179.05
2014-04-21,178.15
2014-04-22,179.8
2014-04-23,178.35
2014-04-25,178.8
2014-04-28,180.1
2014-04-29,177.8
2014-04-30,179.25
2014-05-02,180.25
2014-05-05,179.5
2014-05-06,179.2
2014-05-07,178.0
2014-05-08,179.7
2014-05-09,179.85
2014-05-12,182.1
2014-05-13,188.85
2014-05-14,189.7
2014-05-15,187.85
2014-05-16,181.5
2014-05-19,180.0
2014-05-20,182.95
2014-05-21,184.05
2014-05-22,185.05
2014-05-23,183.15
2014-05-26,178.8
2014-05-27,179.55
2014-05-28,180.85
2014-05-29,178.6
2014-05-30,188.45
2014-06-02,184.25
2014-06-03,185.3
2014-06-04,184.4
2014-06-05,188.85
2014-06-06,190.85
2014-06-09,189.45
2014-06-10,191.9
2014-06-11,189.55
2014-06-12,192.5
2014-06-13,189.05
2014-06-16,187.2
2014-06-17,188.45
2014-06-18,189.0
2014-06-19,190.6
2014-06-20,188.85
2014-06-23,187.75
2014-06-24,185.8
2014-06-25,185.9
2014-06-26,184.75
2014-06-27,186.05
2014-06-30,187.5
2014-07-01,187.0
2014-07-02,186.45
2014-07-03,192.0
2014-07-04,191.4
2014-07-07,193.3
2014-07-08,192.5
2014-07-09,194.8
2014-07-10,194.0
2014-07-11,194.0
2014-07-14,190.25
2014-07-15,194.6
2014-07-16,194.45
2014-07-17,194.05
2014-07-18,194.05
2014-07-21,194.0
2014-07-22,192.95
2014-07-23,194.1
2014-07-24,194.95
2014-07-25,199.6
2014-07-28,197.95
2014-07-30,200.15
2014-07-31,207.25
2014-08-01,202.35
2014-08-04,204.2
2014-08-05,202.85
2014-08-06,205.3
2014-08-07,202.75
2014-08-08,205.6
2014-08-11,202.75
2014-08-12,206.1
2014-08-13,211.15
2014-08-14,217.9
2014-08-18,223.5
2014-08-19,225.75
2014-08-20,219.9
2014-08-21,224.55
2014-08-22,222.35
2014-08-25,223.15
2014-08-26,227.15
2014-08-27,232.25
2014-08-28,232.6
2014-09-01,227.5
2014-09-02,227.0
2014-09-03,227.5
2014-09-04,225.75
2014-09-05,226.0
2014-09-08,226.9
2014-09-09,228.25
2014-09-10,225.85
2014-09-11,225.95
2014-09-12,223.7
2014-09-15,224.8
2014-09-16,221.05
2014-09-17,222.0
2014-09-18,223.0
2014-09-19,223.4
2014-09-22,224.25
2014-09-23,220.5
2014-09-24,224.9
2014-09-25,225.6
2014-09-26,223.75
2014-09-29,220.3
2014-09-30,222.15
2014-10-01,221.1
2014-10-07,215.75
2014-10-08,216.75
2014-10-09,216.95
2014-10-10,215.1
2014-10-13,210.9
2014-10-14,210.0
2014-10-16,207.95
2014-10-17,205.85
2014-10-20,205.95
2014-10-21,209.45
2014-10-22,214.85
2014-10-23,215.85
2014-10-27,209.4
2014-10-28,213.45
2014-10-29,217.95
2014-10-30,220.2
2014-10-31,226.5
2014-11-03,230.35
2014-11-05,226.0
2014-11-07,227.85
2014-11-10,226.55
2014-11-11,229.15
2014-11-12,234.15
2014-11-13,232.1
2014-11-14,231.35
2014-11-17,235.75
2014-11-18,232.1
2014-11-19,232.05
2014-11-20,235.45
2014-11-21,230.65
2014-11-24,236.65
2014-11-25,242.9
2014-11-26,240.7
2014-11-27,243.5
2014-11-28,240.9
2014-12-01,245.7
2014-12-02,243.05
2014-12-03,244.6
2014-12-04,244.95
2014-12-05,243.4
2014-12-08,240.15
2014-12-09,239.25
2014-12-10,238.75
2014-12-11,235.65
2014-12-12,234.7
2014-12-15,230.4
2014-12-16,223.3
2014-12-17,219.7
2014-12-18,231.65
2014-12-19,227.8
2014-12-22,231.05
2014-12-23,232.8
2014-12-24,228.4
2014-12-26,229.95
2014-12-29,228.45
2014-12-30,232.3
2014-12-31,233.75
