Date,EIHOTEL
2014-01-01,60.0
2014-01-02,57.5
2014-01-03,56.95
2014-01-06,58.0
2014-01-07,56.5
2014-01-08,57.05
2014-01-09,56.8
2014-01-10,57.3
2014-01-13,57.75
2014-01-14,58.15
2014-01-15,58.15
2014-01-16,57.9
2014-01-17,57.5
2014-01-20,57.75
2014-01-21,57.65
2014-01-22,57.1
2014-01-23,57.2
2014-01-24,56.6
2014-01-27,55.9
2014-01-28,55.95
2014-01-29,55.95
2014-01-30,55.2
2014-01-31,56.65
2014-02-03,56.25
2014-02-04,55.1
2014-02-05,56.1
2014-02-06,56.25
2014-02-07,56.5
2014-02-10,57.05
2014-02-11,58.55
2014-02-12,58.75
2014-02-13,59.4
2014-02-14,58.95
2014-02-17,57.5
2014-02-18,57.05
2014-02-19,57.25
2014-02-20,60.15
2014-02-21,59.2
2014-02-24,61.35
2014-02-25,61.2
2014-02-26,62.2
2014-02-28,64.85
2014-03-03,62.95
2014-03-04,62.65
2014-03-05,64.25
2014-03-06,63.45
2014-03-07,62.85
2014-03-10,63.2
2014-03-11,62.95
2014-03-12,64.4
2014-03-13,63.35
2014-03-14,63.45
2014-03-18,63.5
2014-03-19,63.7
2014-03-20,62.45
2014-03-21,62.8
2014-03-22,63.7
2014-03-24,64.0
2014-03-25,66.7
2014-03-26,70.75
2014-03-27,73.15
2014-03-28,74.3
2014-03-31,72.95
2014-04-01,71.5
2014-04-02,71.6
2014-04-03,69.55
2014-04-04,70.45
2014-04-07,72.35
2014-04-09,73.75
2014-04-10,73.4
2014-04-11,74.45
2014-04-15,75.0
2014-04-16,77.05
2014-04-17,77.7
2014-04-21,81.05
2014-04-22,80.45
2014-04-23,78.95
2014-04-25,78.05
2014-04-28,77.55
2014-04-29,77.0
2014-04-30,75.45
2014-05-02,76.15
2014-05-05,76.1
2014-05-06,74.9
2014-05-07,74.55
2014-05-08,74.95
2014-05-09,74.45
2014-05-12,74.35
2014-05-13,76.3
2014-05-14,76.15
2014-05-15,77.3
2014-05-16,77.55
2014-05-19,82.25
2014-05-20,87.15
2014-05-21,86.85
2014-05-22,86.4
2014-05-23,86.8
2014-05-26,85.15
2014-05-27,83.25
2014-05-28,83.7
2014-05-29,81.8
2014-05-30,80.45
2014-06-02,84.2
2014-06-03,88.65
2014-06-04,90.3
2014-06-05,93.1
2014-06-06,98.55
2014-06-09,97.9
2014-06-10,99.8
2014-06-11,100.15
2014-06-12,103.1
2014-06-13,102.15
2014-06-16,99.7
2014-06-17,100.9
2014-06-18,101.2
2014-06-19,98.8
2014-06-20,99.4
2014-06-23,98.3
2014-06-24,98.2
2014-06-25,97.45
2014-06-26,96.0
2014-06-27,94.25
2014-06-30,95.45
2014-07-01,93.65
2014-07-02,92.55
2014-07-03,91.45
2014-07-04,93.05
2014-07-07,92.15
2014-07-08,90.1
2014-07-09,90.05
2014-07-10,90.25
2014-07-11,84.8
2014-07-14,85.35
2014-07-15,87.5
2014-07-16,93.2
2014-07-17,92.65
2014-07-18,90.95
2014-07-21,92.9
2014-07-22,95.9
2014-07-23,96.95
2014-07-24,98.0
2014-07-25,98.05
2014-07-28,101.0
2014-07-30,101.0
2014-07-31,100.95
2014-08-01,99.9
2014-08-04,99.9
2014-08-05,100.1
2014-08-06,98.2
2014-08-07,98.5
2014-08-08,95.0
2014-08-11,94.55
2014-08-12,91.95
2014-08-13,92.05
2014-08-14,91.75
2014-08-18,90.2
2014-08-19,90.4
2014-08-20,91.45
2014-08-21,100.25
2014-08-22,99.0
2014-08-25,100.25
2014-08-26,100.2
2014-08-27,104.9
2014-08-28,108.25
2014-09-01,107.4
2014-09-02,105.5
2014-09-03,104.1
2014-09-04,102.05
2014-09-05,105.9
2014-09-08,105.05
2014-09-09,104.95
2014-09-10,103.5
2014-09-11,102.4
2014-09-12,104.25
2014-09-15,102.7
2014-09-16,97.6
2014-09-17,96.7
2014-09-18,98.15
2014-09-19,97.4
2014-09-22,99.9
2014-09-23,99.3
2014-09-24,98.35
2014-09-25,97.25
2014-09-26,100.0
2014-09-29,100.3
2014-09-30,100.15
2014-10-01,99.25
2014-10-07,100.15
2014-10-08,100.75
2014-10-09,100.8
2014-10-10,100.4
2014-10-13,99.75
2014-10-14,97.9
2014-10-16,97.05
2014-10-17,96.25
2014-10-20,99.1
2014-10-21,99.2
2014-10-22,99.95
2014-10-23,98.05
2014-10-27,96.6
2014-10-28,100.1
2014-10-29,102.35
2014-10-30,102.0
2014-10-31,102.1
2014-11-03,103.25
2014-11-05,104.45
2014-11-07,103.4
2014-11-10,103.3
2014-11-11,103.1
2014-11-12,103.05
2014-11-13,103.85
2014-11-14,103.6
2014-11-17,104.25
2014-11-18,105.2
2014-11-19,105.4
2014-11-20,104.95
2014-11-21,108.6
2014-11-24,108.3
2014-11-25,108.85
2014-11-26,108.25
2014-11-27,108.95
2014-11-28,110.0
2014-12-01,114.75
2014-12-02,124.95
2014-12-03,129.65
2014-12-04,125.2
2014-12-05,126.7
2014-12-08,125.35
2014-12-09,117.65
2014-12-10,117.05
2014-12-11,115.5
2014-12-12,114.55
2014-12-15,115.65
2014-12-16,116.15
2014-12-17,112.65
2014-12-18,115.55
2014-12-19,115.1
2014-12-22,117.45
2014-12-23,117.1
2014-12-24,116.0
2014-12-26,115.2
2014-12-29,118.2
2014-12-30,123.85
2014-12-31,126.8
