Date,LYPSAGEMS
2014-01-01,147.15
2014-01-02,148.5
2014-01-03,151.15
2014-01-06,152.0
2014-01-07,146.9
2014-01-08,150.5
2014-01-09,153.55
2014-01-10,148.5
2014-01-13,150.05
2014-01-14,148.65
2014-01-15,148.35
2014-01-16,147.0
2014-01-17,149.3
2014-01-20,149.8
2014-01-21,150.1
2014-01-22,152.0
2014-01-23,149.9
2014-01-24,152.0
2014-01-27,149.5
2014-01-28,149.0
2014-01-29,151.5
2014-01-30,148.5
2014-01-31,148.7
2014-02-03,147.5
2014-02-04,149.0
2014-02-05,147.5
2014-02-06,147.0
2014-02-07,147.4
2014-02-10,147.0
2014-02-11,149.0
2014-02-12,148.0
2014-02-13,152.15
2014-02-14,148.9
2014-02-17,151.3
2014-02-18,152.25
2014-02-19,150.25
2014-02-20,146.8
2014-02-21,148.0
2014-02-24,150.75
2014-02-25,149.0
2014-02-26,150.0
2014-02-28,149.25
2014-03-03,146.4
2014-03-04,149.5
2014-03-05,147.15
2014-03-06,148.75
2014-03-07,149.2
2014-03-10,147.8
2014-03-11,150.4
2014-03-12,152.7
2014-03-13,151.9
2014-03-14,159.4
2014-03-18,163.45
2014-03-19,158.0
2014-03-20,156.6
2014-03-21,158.0
2014-03-22,159.0
2014-03-24,158.25
2014-03-25,157.0
2014-03-26,157.15
2014-03-27,157.2
2014-03-28,155.2
2014-03-31,159.0
2014-04-01,159.75
2014-04-02,158.4
2014-04-03,159.25
2014-04-04,164.95
2014-04-07,160.0
2014-04-09,160.2
2014-04-10,160.5
2014-04-11,163.35
2014-04-15,163.0
2014-04-16,167.0
2014-04-17,164.5
2014-04-21,165.7
2014-04-22,163.2
2014-04-23,163.25
2014-04-25,161.0
2014-04-28,160.4
2014-04-29,161.15
2014-04-30,162.55
2014-05-02,163.05
2014-05-05,165.0
2014-05-06,161.3
2014-05-07,164.15
2014-05-08,165.95
2014-05-09,167.8
2014-05-12,166.1
2014-05-13,164.15
2014-05-14,160.15
2014-05-15,167.0
2014-05-16,163.55
2014-05-19,163.85
2014-05-20,167.25
2014-05-21,165.85
2014-05-22,169.15
2014-05-23,167.5
2014-05-26,164.75
2014-05-27,165.0
2014-05-28,166.0
2014-05-29,166.9
2014-05-30,167.75
2014-06-02,167.35
2014-06-03,172.4
2014-06-04,172.0
2014-06-05,170.25
2014-06-06,171.5
2014-06-09,172.0
2014-06-10,169.65
2014-06-11,166.75
2014-06-12,169.1
2014-06-13,164.85
2014-06-16,165.85
2014-06-17,166.8
2014-06-18,165.55
2014-06-19,164.65
2014-06-20,167.55
2014-06-23,165.65
2014-06-24,165.9
2014-06-25,167.7
2014-06-26,167.0
2014-06-27,165.0
2014-06-30,164.9
2014-07-01,166.0
2014-07-02,167.2
2014-07-03,166.3
2014-07-04,166.65
2014-07-07,162.7
2014-07-08,164.45
2014-07-09,160.7
2014-07-10,160.85
2014-07-11,161.5
2014-07-14,163.6
2014-07-15,166.9
2014-07-16,165.5
2014-07-17,173.25
2014-07-18,172.05
2014-07-21,170.9
2014-07-22,174.65
2014-07-23,165.6
2014-07-24,160.9
2014-07-25,160.25
2014-07-28,165.25
2014-07-30,164.55
2014-07-31,161.9
2014-08-01,164.5
2014-08-04,158.9
2014-08-05,156.6
2014-08-06,160.05
2014-08-07,163.0
2014-08-08,159.55
2014-08-11,157.2
2014-08-12,159.05
2014-08-13,153.5
2014-08-14,151.85
2014-08-18,150.15
2014-08-19,150.95
2014-08-20,150.55
2014-08-21,149.1
2014-08-22,172.7
2014-08-25,156.55
2014-08-26,154.7
2014-08-27,151.0
2014-08-28,151.3
2014-09-01,150.7
2014-09-02,146.55
2014-09-03,148.6
2014-09-04,145.5
2014-09-05,147.45
2014-09-08,144.55
2014-09-09,144.45
2014-09-10,145.9
2014-09-11,141.1
2014-09-12,139.95
2014-09-15,139.8
2014-09-16,138.8
2014-09-17,133.75
2014-09-18,131.6
2014-09-19,131.3
2014-09-22,137.25
2014-09-23,132.2
2014-09-24,126.5
2014-09-25,125.15
2014-09-26,119.0
2014-09-29,82.2
2014-09-30,79.6
2014-10-01,75.4
2014-10-07,68.95
2014-10-08,75.55
2014-10-09,78.9
2014-10-10,72.2
2014-10-13,69.0
2014-10-14,70.95
2014-10-16,71.9
2014-10-17,70.55
2014-10-20,70.95
2014-10-21,71.35
2014-10-22,71.5
2014-10-23,72.45
2014-10-27,69.35
2014-10-28,67.85
2014-10-29,66.35
2014-10-30,71.7
2014-10-31,68.8
2014-11-03,69.65
2014-11-05,68.4
2014-11-07,69.35
2014-11-10,67.95
2014-11-11,70.7
2014-11-12,69.35
2014-11-13,69.75
2014-11-14,68.5
2014-11-17,67.7
2014-11-18,67.75
2014-11-19,67.0
2014-11-20,67.15
2014-11-21,70.25
2014-11-24,70.6
2014-11-25,70.2
2014-11-26,68.85
2014-11-27,71.3
2014-11-28,69.45
2014-12-01,69.8
2014-12-02,68.4
2014-12-03,68.15
2014-12-04,67.45
2014-12-05,68.15
2014-12-08,67.95
2014-12-09,67.45
2014-12-10,67.6
2014-12-11,67.1
2014-12-12,67.05
2014-12-15,67.25
2014-12-16,63.55
2014-12-17,63.95
2014-12-18,67.2
2014-12-19,65.35
2014-12-22,64.1
2014-12-23,64.85
2014-12-24,63.0
2014-12-26,64.25
2014-12-29,64.2
2014-12-30,63.6
2014-12-31,63.95
