Adj-r_sq,Rm-Rf %,SMB %,Symbol,const,high-low
0.0624,0.0002,,DPSCLTD,0.6733,0.0056
0.1351,0.0,,TVTODAY,0.214,0.0011
0.2346,0.0,,STRTECH,0.9454,0.0146
0.0711,0.0001,,NITINSPIN,0.0868,0.0087
0.0962,0.0,,THERMAX,0.2318,0.677
0.0048,0.0749,,STAR,0.3841,0.0401
0.0811,0.0,,FEDERALBNK,0.3126,0.0838
0.1307,0.0,,METALFORGE,0.9315,0.0074
0.0396,0.0007,,PAISALO,0.0309,0.3478
0.073,0.0,,TFCILTD,0.7318,0.03
0.1327,0.0,,SELAN,0.5515,0.0054
0.1598,0.0,,NLCINDIA,0.9905,0.0
0.0772,0.0,,PARSVNATH,0.3442,0.7315
0.0506,0.0008,,TATASPONGE,0.5868,0.0163
0.3126,0.0,,ITC,0.2034,0.0012
0.1692,0.0,,NATIONALUM,0.7905,0.6164
0.1144,0.0,,WABAG,0.5616,0.2521
0.2514,0.0,,GVKPIL,0.9661,0.0
0.1708,0.0,,IBVENTURES,0.0607,0.0026
0.0069,0.1691,,RKDL,0.1416,0.0839
0.1108,0.0,,FACT,0.8637,0.2233
0.0431,0.0016,,ASTRAMICRO,0.131,0.0766
0.033,0.0032,,RUSHIL,0.0374,0.7081
0.107,0.0,,RICOAUTO,0.3516,0.0465
0.1858,0.0,,POWERGRID,0.8695,0.6386
0.0886,0.0,,MAGMA,0.9884,0.2939
0.0836,0.0,,KSK,0.4125,0.3968
0.0947,0.0,,SHOPERSTOP,0.7319,0.1659
0.2413,0.0,,ABB,0.5218,0.5441
0.1295,0.0,,MTNL,0.5559,0.0768
0.2155,0.0,,INDIACEM,0.6112,0.2256
0.18,0.0,,OPTOCIRCUI,0.3874,0.016
0.0698,0.0,,DEEPIND,0.6324,0.0887
0.1196,0.0,,HOTELEELA,0.3535,0.6342
0.1121,0.0,,RSWM,0.1474,0.1234
0.3446,0.0,,ADANIENT,0.5164,0.013
0.0397,0.0019,,UGARSUGAR,0.9388,0.2496
0.1614,0.0,,GANESHHOUC,0.9549,0.0323
0.0347,0.0032,,OMAXAUTO,0.6485,0.3926
0.3442,0.0,,JISLJALEQS,0.4989,0.3424
0.0059,0.1796,,TDPOWERSYS,0.5488,0.1602
0.0747,0.0,,EICHERMOT,0.0206,0.1077
0.0864,0.0,,SIYSIL,0.8763,0.6261
0.2073,0.0,,BATAINDIA,0.2095,0.8471
0.141,0.0,,HEXATRADEX,0.8266,0.0074
0.2815,0.0,,SITINET,0.919,0.6508
0.0619,0.0001,,EMAMILTD,0.9569,0.7057
0.0449,0.0008,,FDC,0.0714,0.4199
0.1192,0.0,,CUMMINSIND,0.7309,0.0281
0.0443,0.0013,,NITINFIRE,0.7389,0.0826
0.0701,0.0,,MONSANTO,0.154,0.6879
0.1885,0.0,,JSL,0.3825,0.02
0.0191,0.0164,,AKSHOPTFBR,0.9718,0.809
0.4713,0.0,,RAYMOND,0.615,0.0086
0.3681,0.0,,CORPBANK,0.085,0.2158
0.1882,0.0,,OBEROIRLTY,0.9325,0.9594
0.0553,0.0001,,BALKRISIND,0.3669,0.8919
0.103,0.0,,SSWL,0.984,0.0115
0.1673,0.0,,NAHARSPING,0.074,0.292
0.1093,0.0,,IL&FSENGG,0.9213,0.0
0.0813,0.0,,NECLIFE,0.6817,0.2192
0.0728,0.0001,,GENESYS,0.7818,0.0
0.1025,0.0,,LEEL,0.4262,0.9266
0.2506,0.0,,BEML,0.7854,0.0918
0.2535,0.0,,AMBUJACEM,0.7822,0.4093
0.146,0.0,,SHREECEM,0.7352,0.0129
0.0034,0.2268,,TULSI,0.7297,0.372
0.0513,0.0008,,ALKALI,0.6837,0.0067
0.0121,0.0347,,NAUKRI,0.1675,0.3549
0.0017,0.2008,,BSLGOLDETF,0.8498,0.4816
0.0137,0.0613,,SOLARINDS,0.7611,0.1723
0.5241,0.0,,PNB,0.7886,0.1193
0.1245,0.0,,FEDDERELEC,0.8275,0.1942
0.0828,0.0,,PREMIER,0.3516,0.0002
0.0207,0.0149,,CADILAHC,0.8678,0.9261
0.0224,0.0135,,TECHM,0.0057,0.68
0.0237,0.008,,MAHINDCIE,0.7007,0.6909
0.0832,0.0,,KEI,0.8668,0.4319
0.094,0.0,,COMPUSOFT,0.5794,0.0083
0.1061,0.0,,KEC,0.8801,0.0247
0.035,0.0022,,GOKUL,0.2025,0.889
0.0921,0.0,,MUNJALAU,0.4917,0.7906
0.0081,0.0748,,VARDHACRLC,0.203,0.6278
0.0986,0.0,,BAJAJELEC,0.4724,0.5074
0.0817,0.0,,INDRAMEDCO,0.6959,0.7185
0.1552,0.0,,ZEEL,0.2647,0.0929
0.13,0.0,,BLUESTARCO,0.9569,0.1733
0.059,0.0001,,HCLTECH,0.003,0.636
0.4259,0.0,,DLF,0.9581,0.0414
0.3426,0.0,,JINDALSAW,0.0944,0.0079
0.1047,0.0,,APARINDS,0.6604,0.951
0.0833,0.0,,HINDMOTORS,0.7774,0.052
0.0628,0.0002,,WELSPUNIND,0.2787,0.0223
0.2127,0.0,,NTPC,0.9111,0.5255
0.1118,0.0,,ESSELPACK,0.194,0.0664
0.309,0.0,,SIEMENS,0.5274,0.6665
-0.003,0.6557,,KIRLOSENG,0.6702,0.7571
0.012,0.0678,,RNAVAL,0.0484,0.3346
0.0718,0.0,,ASSAMCO,0.6058,0.2167
0.1421,0.0,,PRSMJOHNSN,0.384,0.1708
0.1186,0.0,,TEXMOPIPES,0.7481,0.0215
0.0253,0.0085,,AVTNPL,0.6295,0.8059
0.2227,0.0,,SUNILHITEC,0.977,0.0003
0.2906,0.0,,MRF,0.029,0.0416
0.018,0.0154,,GUJALKALI,0.513,0.4562
0.0168,0.0126,,GOLDBEES,0.8738,0.1051
0.0491,0.0004,,ESABINDIA,0.5183,0.7806
0.0526,0.0007,,SELMCL,0.8325,0.009
0.0198,0.0146,,RESPONIND,0.5791,0.7998
0.1435,0.0,,SOBHA,0.9499,0.7795
0.0515,0.0003,,VIDEOIND,0.5646,0.5102
0.1359,0.0,,RAMCOCEM,0.9623,0.1124
0.0787,0.0,,TRITURBINE,0.8958,0.2969
0.0932,0.0,,GREAVESCOT,0.9674,0.0237
0.0905,0.0,,LUPIN,0.0295,0.5021
0.2048,0.0,,EROSMEDIA,0.8984,0.0065
0.0392,0.0035,,GLOBOFFS,0.169,0.0108
0.0958,0.0,,GAYAPROJ,0.3976,0.4058
0.2536,0.0,,JPPOWER,0.645,0.8916
0.0628,0.0001,,MBLINFRA,0.2887,0.4401
0.0244,0.0119,,WELENT,0.6712,0.4383
0.1804,0.0,,TIDEWATER,0.7375,0.0487
0.0838,0.0,,AARTIIND,0.6139,0.0547
0.0796,0.0,,SANWARIA,0.0443,0.4149
0.0051,0.1168,,QGOLDHALF,0.877,0.5681
0.5505,0.0,,JPASSOCIAT,0.6864,0.008
0.0219,0.0072,,HBLPOWER,0.9893,0.2386
0.0049,0.1317,,20MICRONS,0.059,0.796
0.1142,0.0,,NDTV,0.431,0.4355
0.1744,0.0,,MBECL,0.542,0.0045
0.415,0.0,,UNITECH,0.3983,0.012
0.0623,0.0,,AMARAJABAT,0.2208,0.7792
0.4385,0.0,,SBIN,0.607,0.4973
0.1045,0.0,,PANACEABIO,0.6773,0.8901
0.051,0.0005,,SUBROS,0.7027,0.1177
0.2235,0.0,,MADHUCON,0.4164,0.0004
0.1294,0.0,,IDEA,0.0399,0.1769
0.2144,0.0,,TREEHOUSE,0.7306,0.9866
0.1075,0.0,,KAJARIACER,0.1256,0.2993
0.1848,0.0,,BBL,0.4297,0.043
0.1006,0.0,,SWARAJENG,0.0941,0.4289
0.0698,0.0001,,DREDGECORP,0.3336,0.0063
0.1277,0.0,,KRBL,0.1752,0.0126
0.1752,0.0,,HMT,0.9662,0.0262
0.0662,0.0,,SHANTIGEAR,0.5882,0.9885
0.1155,0.0,,JKLAKSHMI,0.2694,0.0662
0.2408,0.0,,OIL,0.4205,0.9378
0.1948,0.0,,BHARATFORG,0.1749,0.1623
0.1917,0.0,,PSL,0.0779,0.0344
0.1243,0.0,,IGL,0.3719,0.1665
0.47,0.0,,IDFC,0.5934,0.0431
0.2885,0.0,,JMFINANCIL,0.2763,0.353
0.2908,0.0,,PETRONET,0.7256,0.0054
0.0202,0.0152,,VISASTEEL,0.1014,0.9785
-0.004,0.9638,,CYIENT,0.01,0.6144
0.1324,0.0,,PNBGILTS,0.247,0.1592
0.05,0.0007,,GREENPLY,0.4205,0.0501
0.1064,0.0,,MUTHOOTFIN,0.5257,0.2484
0.2575,0.0,,BAJFINANCE,0.2626,0.0174
0.502,0.0,,IBREALEST,0.4227,0.019
0.0591,0.0001,,VOLTAMP,0.7746,0.9656
-0.0001,0.4045,,RATNAMANI,0.7658,0.3587
0.0138,0.0479,,FIEMIND,0.0358,0.5198
0.052,0.0004,,KOHINOOR,0.2761,0.3158
0.023,0.0195,,ELGIEQUIP,0.8131,0.1134
0.1214,0.0,,DABUR,0.0971,0.283
0.2,0.0,,ASHOKLEY,0.4673,0.6549
0.181,0.0,,SRTRANSFIN,0.794,0.5156
0.1565,0.0,,SUNDRMFAST,0.7565,0.4714
0.035,0.003,,IVC,0.4416,0.411
0.0774,0.0,,ZYLOG,0.078,0.1316
0.0308,0.0075,,SYMPHONY,0.1943,0.0843
0.1694,0.0,,NFL,0.0368,0.6617
0.2996,0.0,,UNITEDBNK,0.0505,0.0125
0.5441,0.0,,CENTURYTEX,0.9909,0.0188
0.034,0.0044,,NCLIND,0.4071,0.1591
-0.0027,0.1767,,ASTRAL,0.5911,0.0
0.521,0.0,,RPOWER,0.9064,0.0003
0.1674,0.0,,HINDCOPPER,0.3858,0.0026
0.2509,0.0,,PENINLAND,0.6425,0.002
0.0684,0.0001,,JAGRAN,0.9882,0.0852
0.0876,0.0,,MTEDUCARE,0.7245,0.0018
0.0744,0.0,,APOLLOHOSP,0.2722,0.5306
0.008,0.1305,,TANTIACONS,0.3437,0.1999
0.0385,0.0012,,AJANTPHARM,0.049,0.9114
0.0259,0.0029,,GILLETTE,0.819,0.0754
0.0426,0.0007,,CLNINDIA,0.7056,0.8851
0.1063,0.0,,PAPERPROD,0.5532,0.5946
0.1559,0.0,,MCDOWELL-N,0.186,0.0183
0.2379,0.0,,VOLTAS,0.3564,0.0479
0.1437,0.0,,HIMATSEIDE,0.1448,0.4276
0.0603,0.0001,,SWELECTES,0.1074,0.2282
0.0362,0.0022,,KWALITY,0.847,0.5969
0.0766,0.0,,BALLARPUR,0.2839,0.0028
0.0077,0.0945,,JKIL,0.6072,0.9483
0.0052,0.1075,,POLYMED,0.9065,0.4415
0.1577,0.0,,AMRUTANJAN,0.948,0.4218
0.1989,0.0,,JYOTISTRUC,0.8721,0.0
0.3862,0.0,,RCOM,0.0359,0.0208
0.0469,0.0013,,DALMIASUG,0.9968,0.0162
0.0798,0.0,,JUBLINDS,0.1805,0.0151
0.0774,0.0,,GODREJCP,0.2843,0.0389
0.1015,0.0,,GSFC,0.9391,0.1438
0.1625,0.0,,IL&FSTRANS,0.6544,0.0067
0.1076,0.0,,APOLLOTYRE,0.3044,0.0991
0.3942,0.0,,ANSALAPI,0.6071,0.0001
0.2018,0.0,,SUNTV,0.8133,0.731
0.1475,0.0,,HIL,0.1678,0.0074
0.1761,0.0,,PRAJIND,0.6918,0.0604
0.1225,0.0,,INDIANHUME,0.7497,0.6706
0.2204,0.0,,RENUKA,0.7992,0.0028
0.0623,0.0001,,GLENMARK,0.5936,0.7405
0.119,0.0,,WHEELS,0.5832,0.3154
0.1602,0.0,,JKTYRE,0.1076,0.0056
0.0231,0.0053,,WIPRO,0.11,0.1476
0.2758,0.0,,CHAMBLFERT,0.3551,0.0003
0.0667,0.0,,BASF,0.9276,0.9433
0.0295,0.0053,,KKCL,0.0457,0.6412
0.0148,0.0305,,BAFNAPHARM,0.6404,0.8339
0.0294,0.0116,,INDOCO,0.0116,0.0147
0.0674,0.0001,,GNFC,0.7763,0.13
0.3859,0.0,,NCC,0.8576,0.0193
0.0861,0.0,,GATI,0.2658,0.0003
0.0087,0.0697,,LINDEINDIA,0.9426,0.6853
0.0407,0.0014,,ABBOTINDIA,0.1995,0.4501
0.014,0.0942,,ZUARI,0.4875,0.0026
0.5558,0.0,,BANKBEES,0.7328,0.4314
0.1232,0.0,,KERNEX,0.8189,0.0004
0.034,0.0024,,ICRA,0.4172,0.952
0.3581,0.0,,HINDPETRO,0.8897,0.0967
0.0756,0.0,,FINPIPE,0.0047,0.2104
0.0483,0.0005,,NEULANDLAB,0.0353,0.5929
0.0731,0.0,,BALMLAWRIE,0.3249,0.4952
0.256,0.0,,J&KBANK,0.308,0.6708
0.0704,0.0,,IFBIND,0.9818,0.086
0.1625,0.0,,ADORWELD,0.8031,0.1095
0.1727,0.0,,PSUBNKBEES,0.7016,0.8667
0.0453,0.0006,,GIPCL,0.9018,0.6525
0.0555,0.0003,,ZYDUSWELL,0.4508,0.0508
0.3747,0.0,,PTC,0.6413,0.0001
0.2134,0.0,,UPL,0.0508,0.0454
0.1267,0.0,,TI,0.7839,0.0092
0.0365,0.0004,,PGHH,0.3124,0.0149
0.2413,0.0,,TATACHEM,0.6385,0.2219
0.1032,0.0,,REPRO,0.937,0.5017
0.2718,0.0,,KARURVYSYA,0.2233,0.3375
0.1219,0.0,,DIVISLAB,0.3019,0.3742
0.144,0.0,,CUB,0.8287,0.2604
0.0804,0.0,,JMCPROJECT,0.755,0.7365
0.0361,0.0031,,GUJAPOLLO,0.8699,0.213
0.0615,0.0001,,SUNPHARMA,0.8241,0.0809
0.0245,0.0069,,SCHAEFFLER,0.7082,0.6454
0.2422,0.0,,ABAN,0.5033,0.8366
0.1173,0.0,,BHUSANSTL,0.3877,0.9014
0.119,0.0,,VSTTILLERS,0.0399,0.7383
0.0172,0.0138,,KOTAKGOLD,0.9183,0.2033
0.0286,0.0045,,IPCALAB,0.0754,0.842
0.0913,0.0,,MHRIL,0.6361,0.0001
0.0445,0.0003,,3MINDIA,0.9124,0.2718
0.4083,0.0,,HDFC,0.5987,0.0108
0.1641,0.0,,GLOBUSSPR,0.7365,0.1174
0.0761,0.0,,TRIDENT,0.066,0.2445
0.1244,0.0,,RALLIS,0.3192,0.5824
0.1017,0.0,,JKCEMENT,0.2708,0.0703
0.0517,0.0003,,KITEX,0.2556,0.3617
0.0617,0.0001,,VGUARD,0.7466,0.0734
0.4382,0.0,,BANKBARODA,0.9381,0.3599
0.3969,0.0,,KOTAKPSUBK,0.3966,0.5629
0.0444,0.0007,,MAHSCOOTER,0.8821,0.7349
0.0331,0.0044,,SABTN,0.5291,0.2557
0.0677,0.0,,MANAPPURAM,0.4909,0.2171
0.0657,0.0,,BERGEPAINT,0.1102,0.5274
0.2032,0.0,,CENTENKA,0.1369,0.0007
-0.0011,0.2928,,AXISGOLD,0.8764,0.1666
0.2744,0.0,,HINDZINC,0.5874,0.3102
0.2391,0.0,,BINANIIND,0.4993,0.3907
0.0645,0.0,,SUPREMEIND,0.0372,0.7606
0.2763,0.0,,GICHSGFIN,0.9436,0.0224
0.0545,0.0005,,POLARIS,0.3487,0.0143
0.0057,0.1107,,MAYURUNIQ,0.9191,0.6758
0.1789,0.0,,HAVELLS,0.1813,0.314
0.1581,0.0,,JAYNECOIND,0.9885,0.2971
-0.0008,0.3185,,IDBIGOLD,0.8324,0.4247
0.0974,0.0,,63MOONS,0.3365,0.0015
0.0668,0.0,,TTKPRESTIG,0.6181,0.0083
0.1538,0.0,,INDIAGLYCO,0.4644,0.522
0.3689,0.0,,NETWORK18,0.8701,0.1252
0.0765,0.0,,BALRAMCHIN,0.7361,0.0986
0.0743,0.0,,JUBILANT,0.7353,0.0471
0.0793,0.0,,EASUNREYRL,0.6369,0.6704
0.2358,0.0,,BBTC,0.5945,0.0013
0.0776,0.0,,SUPPETRO,0.5778,0.833
0.0772,0.0,,MAHLIFE,0.7425,0.4283
0.6628,0.0,,RELCAPITAL,0.9985,0.5496
0.1069,0.0,,AJMERA,0.1172,0.0774
0.1007,0.0,,EMCO,0.8467,0.0296
0.4676,0.0,,HDFCBANK,0.4714,0.0137
0.0065,0.0895,,GREENPOWER,0.5735,0.4998
0.2803,0.0,,VADILALIND,0.8728,0.2843
0.1849,0.0,,ENGINERSIN,0.6611,0.1592
0.1625,0.0,,INGERRAND,0.9986,0.0483
0.077,0.0,,ARCHIES,0.9877,0.0287
0.0785,0.0,,TWL,0.0481,0.0018
0.1786,0.0,,DISHTV,0.8568,0.4499
0.1156,0.0,,BIOCON,0.0219,0.0168
0.3967,0.0,,KTKBANK,0.8761,0.809
0.3118,0.0,,BHEL,0.998,0.7171
0.1596,0.0,,MANGLMCEM,0.2767,0.0006
0.0317,0.0047,,SANOFI,0.2148,0.4008
0.1403,0.0,,GRANULES,0.328,0.5318
0.0088,0.1558,,RADICO,0.6607,0.018
0.0994,0.0,,MCLEODRUSS,0.7911,0.3412
0.3721,0.0,,CENTRALBK,0.1852,0.0084
0.4758,0.0,,BANKINDIA,0.9245,0.1791
0.1804,0.0,,COALINDIA,0.8504,0.6814
0.1575,0.0,,VENUSREM,0.7135,0.3652
0.2604,0.0,,BOMDYEING,0.542,0.0
0.0316,0.0029,,WABCOINDIA,0.2227,0.8416
0.0434,0.0016,,ALEMBICLTD,0.6171,0.0626
0.2129,0.0,,DCW,0.3786,0.0091
0.1128,0.0,,TVSMOTOR,0.0411,0.0054
0.015,0.0405,,TAKE,0.3034,0.5095
0.0765,0.0001,,HFCL,0.8234,0.0
0.1824,0.0,,INDHOTEL,0.5824,0.1119
0.148,0.0,,EVERESTIND,0.4892,0.0002
0.0692,0.0,,HONDAPOWER,0.7302,0.2027
0.1657,0.0,,GTL,0.9814,0.1039
0.218,0.0,,UFLEX,0.7654,0.0012
0.2187,0.0,,ORCHIDPHAR,0.9735,0.0191
0.0028,0.2189,,FLEXITUFF,0.4282,0.7136
0.2317,0.0,,MOIL,0.7161,0.1437
0.075,0.0,,NESTLEIND,0.4015,0.0919
0.2005,0.0,,AUROPHARMA,0.0183,0.0043
0.0539,0.0003,,BLUEDART,0.0132,0.1539
0.2516,0.0,,TATAGLOBAL,0.5737,0.9199
0.1933,0.0,,GUJFLUORO,0.7065,0.2006
0.1601,0.0,,CIPLA,0.6277,0.2396
0.106,0.0,,HEG,0.9316,0.2772
0.1031,0.0,,PCJEWELLER,0.4804,0.0744
0.0998,0.0,,SANGHVIMOV,0.1483,0.1969
0.2378,0.0,,DBREALTY,0.2336,0.0006
0.0299,0.0028,,METKORE,0.5942,0.4202
0.0434,0.0012,,GDL,0.575,0.1964
0.2453,0.0,,FEL,0.158,0.4161
0.0303,0.0083,,SHILPI,0.3252,0.0701
0.2062,0.0,,ACE,0.6905,0.2961
0.3351,0.0,,UNITY,0.6352,0.0158
0.0608,0.0001,,RELIGARE,0.6506,0.2721
0.1046,0.0,,NHPC,0.95,0.0491
0.0222,0.0153,,GAEL,0.5984,0.5017
0.343,0.0,,SAIL,0.8458,0.7461
0.1157,0.0,,HONAUT,0.463,0.8651
0.0373,0.0012,,PHOENIXLTD,0.9608,0.714
-0.0032,0.7336,,LOKESHMACH,0.9916,0.4658
0.1462,0.0,,COLPAL,0.925,0.2699
0.1813,0.0,,PRATIBHA,0.2404,0.0574
0.0566,0.0002,,RJL,0.7995,0.3955
0.0429,0.0013,,RAJESHEXPO,0.326,0.2259
0.0189,0.0137,,BLISSGVS,0.7492,0.4761
0.0031,0.2838,,BANCOINDIA,0.6605,0.1011
0.2169,0.0,,ADANIPOWER,0.7043,0.0013
0.0374,0.0021,,SANGHIIND,0.7989,0.4247
0.583,0.0,,RELINFRA,0.7665,0.2126
0.5352,0.0,,KOTAKNIFTY,0.0922,0.033
0.0263,0.0168,,GESHIP,0.2464,0.0182
0.1429,0.0,,OMAXE,0.5241,0.7343
0.0138,0.0358,,NDL,0.6711,0.8587
0.0633,0.0001,,KCP,0.2666,0.0528
0.035,0.0032,,EDL,0.5344,0.3135
0.0807,0.0,,BEL,0.6653,0.0132
0.1411,0.0,,PFS,0.8573,0.0132
0.0127,0.0787,,ECLERX,0.0657,0.0807
0.007,0.2317,,GRAPHITE,0.6212,0.002
0.0292,0.0041,,SWANENERGY,0.6366,0.8387
0.0621,0.0003,,OMKARCHEM,0.9655,0.0011
0.0698,0.0,,SRSLTD,0.937,0.8672
0.2786,0.0,,MAHABANK,0.2153,0.1678
0.1116,0.0,,GET&D,0.422,0.3781
0.2677,0.0,,LAKSHVILAS,0.6307,0.2508
0.0487,0.0004,,LYKALABS,0.6508,0.656
0.0829,0.0,,MMFL,0.7219,0.5315
0.0078,0.0395,,KANSAINER,0.5224,0.0183
0.0851,0.0,,UNICHEMLAB,0.4779,0.2642
0.0786,0.0,,COROMANDEL,0.7956,0.4717
0.3535,0.0,,JSWSTEEL,0.1549,0.6127
-0.0031,0.866,,VAKRANGEE,0.2132,0.0361
0.0955,0.0,,TBZ,0.6102,0.4423
0.1072,0.0,,INFRATEL,0.9229,0.4738
0.0903,0.0,,KPIT,0.0504,0.9587
0.1415,0.0,,MADRASFERT,0.8063,0.2218
0.0442,0.0009,,HUBTOWN,0.2691,0.4153
0.4411,0.0,,RECLTD,0.6781,0.3114
0.0863,0.0,,NIITLTD,0.685,0.0085
0.1104,0.0,,SIMPLEXINF,0.2015,0.219
0.0479,0.0006,,TTML,0.7473,0.296
0.4845,0.0,,CANBK,0.4295,0.3248
0.0783,0.0,,NILKAMAL,0.5176,0.0436
0.1203,0.0,,SUNDARMFIN,0.2103,0.3683
0.0694,0.0,,TIMETECHNO,0.9054,0.4345
-0.004,0.9018,,LIQUIDBEES,0.0,0.4118
