Date,BAJAJHIND
2015-01-01,19.0
2015-01-02,18.95
2015-01-05,19.2
2015-01-06,18.85
2015-01-07,18.7
2015-01-08,18.95
2015-01-09,18.8
2015-01-12,19.45
2015-01-13,19.25
2015-01-14,18.75
2015-01-15,19.0
2015-01-16,19.0
2015-01-19,18.65
2015-01-20,19.0
2015-01-21,19.5
2015-01-22,19.2
2015-01-23,18.8
2015-01-27,20.35
2015-01-28,19.35
2015-01-29,19.25
2015-01-30,19.05
2015-02-02,19.25
2015-02-03,18.9
2015-02-04,18.85
2015-02-05,18.2
2015-02-06,17.85
2015-02-09,17.15
2015-02-10,17.15
2015-02-11,17.4
2015-02-12,17.5
2015-02-13,17.5
2015-02-16,17.5
2015-02-18,19.05
2015-02-19,19.05
2015-02-20,19.0
2015-02-23,18.55
2015-02-24,18.2
2015-02-25,17.75
2015-02-26,17.75
2015-02-27,18.35
2015-02-28,17.8
2015-03-02,17.85
2015-03-03,18.05
2015-03-04,17.5
2015-03-05,17.6
2015-03-09,17.25
2015-03-10,17.0
2015-03-11,16.9
2015-03-12,17.1
2015-03-13,16.7
2015-03-16,16.25
2015-03-17,16.15
2015-03-18,16.05
2015-03-19,15.8
2015-03-20,15.15
2015-03-23,14.1
2015-03-24,13.85
2015-03-25,13.55
2015-03-26,13.4
2015-03-27,13.35
2015-03-30,13.8
2015-03-31,14.45
2015-04-01,14.6
2015-04-06,15.3
2015-04-07,15.3
2015-04-08,17.15
2015-04-09,16.8
2015-04-10,16.9
2015-04-13,16.65
2015-04-15,16.4
2015-04-16,16.65
2015-04-17,16.35
2015-04-20,16.1
2015-04-21,15.95
2015-04-22,16.05
2015-04-23,16.3
2015-04-24,16.1
2015-04-27,16.5
2015-04-28,17.65
2015-04-29,17.75
2015-04-30,17.2
2015-05-04,16.3
2015-05-05,16.15
2015-05-06,15.55
2015-05-07,15.05
2015-05-08,15.35
2015-05-11,15.5
2015-05-12,15.3
2015-05-13,15.25
2015-05-14,15.4
2015-05-15,15.15
2015-05-18,15.3
2015-05-19,15.5
2015-05-20,15.6
2015-05-21,15.7
2015-05-22,15.75
2015-05-25,15.3
2015-05-26,15.05
2015-05-27,15.25
2015-05-28,15.0
2015-05-29,14.85
2015-06-01,14.7
2015-06-02,14.45
2015-06-03,13.5
2015-06-04,13.15
2015-06-05,13.4
2015-06-08,13.25
2015-06-09,13.2
2015-06-10,14.65
2015-06-11,13.75
2015-06-12,13.5
2015-06-15,13.5
2015-06-16,13.35
2015-06-17,13.45
2015-06-18,13.45
2015-06-19,13.9
2015-06-22,14.05
2015-06-23,14.15
2015-06-24,13.7
2015-06-25,13.8
2015-06-26,13.45
2015-06-29,13.2
2015-06-30,13.45
2015-07-01,13.4
2015-07-02,13.4
2015-07-03,13.3
2015-07-06,13.8
2015-07-07,13.85
2015-07-08,13.45
2015-07-09,13.8
2015-07-10,13.8
2015-07-13,13.8
2015-07-14,14.2
2015-07-15,14.55
2015-07-16,14.5
2015-07-17,14.35
2015-07-20,14.2
2015-07-21,13.6
2015-07-22,13.45
2015-07-23,13.6
2015-07-24,13.5
2015-07-27,13.8
2015-07-28,13.55
2015-07-29,13.4
2015-07-30,14.35
2015-07-31,14.7
2015-08-03,15.0
2015-08-04,14.35
2015-08-05,15.45
2015-08-06,15.35
2015-08-07,15.35
2015-08-10,15.55
2015-08-11,15.25
2015-08-12,14.5
2015-08-13,14.75
2015-08-14,14.95
2015-08-17,14.85
2015-08-18,14.8
2015-08-19,14.7
2015-08-20,14.4
2015-08-21,14.15
2015-08-24,12.5
2015-08-25,11.8
2015-08-26,11.9
2015-08-27,12.1
2015-08-28,12.45
2015-08-31,12.45
2015-09-01,12.15
2015-09-02,12.95
2015-09-03,12.7
2015-09-04,12.45
2015-09-07,13.2
2015-09-08,12.8
2015-09-09,12.9
2015-09-10,12.95
2015-09-11,13.05
2015-09-14,13.0
2015-09-15,12.9
2015-09-16,12.75
2015-09-18,13.1
2015-09-21,13.35
2015-09-22,13.15
2015-09-23,13.2
2015-09-24,13.1
2015-09-28,13.6
2015-09-29,13.5
2015-09-30,14.0
2015-10-01,14.15
2015-10-05,14.65
2015-10-06,16.5
2015-10-07,18.25
2015-10-08,18.0
2015-10-09,18.25
2015-10-12,17.7
2015-10-13,18.5
2015-10-14,18.05
2015-10-15,18.0
2015-10-16,17.75
2015-10-19,18.05
2015-10-20,19.45
2015-10-21,21.55
2015-10-23,21.15
2015-10-26,19.7
2015-10-27,20.55
2015-10-28,20.15
2015-10-29,20.6
2015-10-30,19.9
2015-11-02,19.95
2015-11-03,20.45
2015-11-04,18.95
2015-11-05,17.9
2015-11-06,17.7
2015-11-09,18.9
2015-11-10,18.35
2015-11-11,18.8
2015-11-13,20.65
2015-11-16,21.85
2015-11-17,22.0
2015-11-18,21.7
2015-11-19,20.15
2015-11-20,19.7
2015-11-23,19.4
2015-11-24,19.6
2015-11-26,19.25
2015-11-27,19.05
2015-11-30,18.4
2015-12-01,18.45
2015-12-02,19.1
2015-12-03,18.45
2015-12-04,18.05
2015-12-07,17.95
2015-12-08,17.4
2015-12-09,16.6
2015-12-10,17.15
2015-12-11,16.85
2015-12-14,17.15
2015-12-15,17.95
2015-12-16,17.5
2015-12-17,17.8
2015-12-18,17.25
2015-12-21,17.4
2015-12-22,17.85
2015-12-23,17.5
2015-12-24,17.6
2015-12-28,17.6
2015-12-29,17.5
2015-12-30,17.65
2015-12-31,17.8
