Date,AARVEEDEN
2015-01-01,46.8
2015-01-02,46.25
2015-01-05,46.0
2015-01-06,43.95
2015-01-07,44.1
2015-01-08,46.25
2015-01-09,45.1
2015-01-12,45.95
2015-01-13,45.2
2015-01-14,53.05
2015-01-15,57.5
2015-01-16,57.7
2015-01-19,56.8
2015-01-20,54.55
2015-01-21,54.7
2015-01-22,52.55
2015-01-23,50.85
2015-01-27,49.05
2015-01-28,48.0
2015-01-29,50.75
2015-01-30,51.4
2015-02-02,52.15
2015-02-03,52.0
2015-02-04,50.1
2015-02-05,49.25
2015-02-06,50.05
2015-02-09,49.1
2015-02-10,48.5
2015-02-11,49.9
2015-02-12,53.25
2015-02-13,52.3
2015-02-16,48.05
2015-02-18,49.25
2015-02-19,47.7
2015-02-20,47.85
2015-02-23,47.15
2015-02-24,47.15
2015-02-25,47.0
2015-02-26,47.45
2015-02-27,47.15
2015-02-28,47.0
2015-03-02,46.85
2015-03-03,47.4
2015-03-04,45.1
2015-03-05,46.45
2015-03-09,45.2
2015-03-10,44.75
2015-03-11,44.1
2015-03-12,44.45
2015-03-13,45.45
2015-03-16,43.0
2015-03-17,43.1
2015-03-18,42.9
2015-03-19,43.05
2015-03-20,42.55
2015-03-23,41.35
2015-03-24,41.6
2015-03-25,40.65
2015-03-26,40.7
2015-03-27,40.75
2015-03-30,40.75
2015-03-31,41.1
2015-04-01,42.3
2015-04-06,43.85
2015-04-07,43.2
2015-04-08,44.5
2015-04-09,44.5
2015-04-10,45.4
2015-04-13,45.7
2015-04-15,46.0
2015-04-16,44.8
2015-04-17,44.25
2015-04-20,43.3
2015-04-21,42.15
2015-04-22,42.6
2015-04-24,42.0
2015-04-27,41.3
2015-04-28,40.8
2015-04-29,40.15
2015-04-30,39.55
2015-05-04,40.75
2015-05-05,41.3
2015-05-06,39.7
2015-05-07,40.65
2015-05-08,41.7
2015-05-11,41.85
2015-05-12,40.5
2015-05-13,40.8
2015-05-14,39.0
2015-05-15,40.9
2015-05-18,40.35
2015-05-19,40.2
2015-05-20,41.1
2015-05-22,40.5
2015-05-25,39.95
2015-05-26,40.1
2015-05-27,40.5
2015-05-28,40.0
2015-05-29,40.1
2015-06-01,39.75
2015-06-02,39.0
2015-06-03,39.35
2015-06-04,40.55
2015-06-05,43.1
2015-06-08,43.65
2015-06-09,41.75
2015-06-10,40.95
2015-06-11,41.0
2015-06-12,41.0
2015-06-16,38.95
2015-06-17,40.85
2015-06-18,40.5
2015-06-19,40.2
2015-06-22,38.75
2015-06-23,40.7
2015-06-24,44.1
2015-06-25,44.6
2015-06-26,42.6
2015-06-29,42.2
2015-06-30,43.5
2015-07-01,45.2
2015-07-02,48.35
2015-07-03,49.25
2015-07-06,50.0
2015-07-07,48.9
2015-07-08,46.25
2015-07-09,46.15
2015-07-10,47.0
2015-07-13,46.55
2015-07-14,49.1
2015-07-15,49.5
2015-07-16,52.05
2015-07-17,52.1
2015-07-20,51.75
2015-07-21,48.75
2015-07-22,49.2
2015-07-23,51.25
2015-07-24,54.25
2015-07-27,56.25
2015-07-28,56.45
2015-07-29,61.3
2015-07-30,73.55
2015-07-31,71.2
2015-08-03,72.7
2015-08-04,75.2
2015-08-05,68.45
2015-08-06,66.35
2015-08-07,68.7
2015-08-10,72.8
2015-08-11,69.55
2015-08-12,65.45
2015-08-13,61.75
2015-08-14,65.15
2015-08-17,67.05
2015-08-18,67.65
2015-08-19,67.65
2015-08-20,63.75
2015-08-21,63.15
2015-08-24,58.9
2015-08-25,55.0
2015-08-26,54.25
2015-08-27,56.45
2015-08-28,58.1
2015-08-31,55.4
2015-09-01,52.45
2015-09-02,53.5
2015-09-03,55.7
2015-09-04,52.7
2015-09-07,49.0
2015-09-08,50.0
2015-09-09,50.35
2015-09-10,50.85
2015-09-11,49.65
2015-09-14,50.05
2015-09-15,53.15
2015-09-16,53.35
2015-09-18,57.45
2015-09-21,56.9
2015-09-22,58.1
2015-09-23,58.5
2015-09-24,55.3
2015-09-28,55.3
2015-09-29,56.15
2015-09-30,55.8
2015-10-01,55.6
2015-10-05,56.55
2015-10-06,57.95
2015-10-07,55.3
2015-10-08,55.15
2015-10-09,53.4
2015-10-12,52.45
2015-10-13,52.2
2015-10-14,53.25
2015-10-15,52.75
2015-10-16,53.8
2015-10-19,56.3
2015-10-20,56.2
2015-10-21,55.65
2015-10-23,58.9
2015-10-26,56.95
2015-10-27,56.65
2015-10-28,56.5
2015-10-29,55.15
2015-10-30,53.55
2015-11-02,51.55
2015-11-03,51.55
2015-11-04,51.55
2015-11-05,51.4
2015-11-06,50.95
2015-11-09,51.6
2015-11-10,50.1
2015-11-11,53.1
2015-11-13,51.5
2015-11-16,51.45
2015-11-17,52.05
2015-11-18,50.25
2015-11-19,53.7
2015-11-20,64.4
2015-11-23,69.4
2015-11-24,68.65
2015-11-26,70.75
2015-11-27,65.65
2015-11-30,64.8
2015-12-01,64.25
2015-12-02,63.65
2015-12-03,63.0
2015-12-04,61.65
2015-12-07,64.7
2015-12-08,61.0
2015-12-09,56.0
2015-12-10,57.6
2015-12-11,55.5
2015-12-14,57.5
2015-12-15,57.0
2015-12-16,56.7
2015-12-17,58.1
2015-12-18,61.75
2015-12-21,61.45
2015-12-22,59.95
2015-12-23,62.0
2015-12-24,62.65
2015-12-28,62.45
2015-12-29,62.7
2015-12-30,62.95
2015-12-31,61.95
