Date,SANWARIA
2015-01-01,7.7
2015-01-02,7.7
2015-01-05,7.6
2015-01-06,7.4
2015-01-07,7.3
2015-01-08,7.45
2015-01-09,7.4
2015-01-12,7.45
2015-01-13,7.35
2015-01-14,7.45
2015-01-15,7.3
2015-01-16,7.25
2015-01-19,7.15
2015-01-20,7.15
2015-01-21,7.25
2015-01-22,7.15
2015-01-23,7.15
2015-01-27,7.05
2015-01-28,7.05
2015-01-29,7.05
2015-01-30,7.0
2015-02-02,6.95
2015-02-03,6.85
2015-02-04,6.9
2015-02-05,6.85
2015-02-06,6.65
2015-02-09,6.5
2015-02-10,6.35
2015-02-11,6.3
2015-02-12,6.75
2015-02-13,6.75
2015-02-16,6.9
2015-02-18,6.85
2015-02-19,6.95
2015-02-20,7.1
2015-02-23,7.0
2015-02-24,6.9
2015-02-25,7.0
2015-02-26,7.0
2015-02-27,7.0
2015-02-28,6.95
2015-03-02,6.9
2015-03-03,6.85
2015-03-04,6.8
2015-03-05,6.85
2015-03-09,6.8
2015-03-10,6.7
2015-03-11,6.8
2015-03-12,6.75
2015-03-13,6.6
2015-03-16,6.65
2015-03-17,6.7
2015-03-18,6.7
2015-03-19,6.55
2015-03-20,6.3
2015-03-23,6.05
2015-03-24,5.85
2015-03-25,5.85
2015-03-26,5.8
2015-03-27,5.7
2015-03-30,5.75
2015-03-31,5.8
2015-04-01,5.9
2015-04-06,6.15
2015-04-07,6.15
2015-04-08,6.6
2015-04-09,6.75
2015-04-10,6.75
2015-04-13,6.7
2015-04-15,6.7
2015-04-16,6.55
2015-04-17,6.4
2015-04-20,6.4
2015-04-21,6.25
2015-04-22,6.5
2015-04-23,6.45
2015-04-24,6.2
2015-04-27,6.0
2015-04-28,6.1
2015-04-29,6.05
2015-04-30,6.1
2015-05-04,6.1
2015-05-05,6.2
2015-05-06,6.0
2015-05-07,5.95
2015-05-08,5.85
2015-05-11,5.9
2015-05-12,5.8
2015-05-13,5.9
2015-05-14,5.85
2015-05-15,5.9
2015-05-18,5.95
2015-05-19,6.0
2015-05-20,5.95
2015-05-21,5.85
2015-05-22,5.9
2015-05-25,5.75
2015-05-26,5.85
2015-05-27,5.75
2015-05-28,5.7
2015-05-29,5.8
2015-06-01,5.85
2015-06-02,5.7
2015-06-03,5.5
2015-06-04,5.6
2015-06-05,5.7
2015-06-08,5.6
2015-06-09,5.7
2015-06-10,5.45
2015-06-11,5.25
2015-06-12,5.25
2015-06-15,5.2
2015-06-16,5.1
2015-06-17,5.15
2015-06-18,5.15
2015-06-19,5.2
2015-06-22,5.3
2015-06-23,5.35
2015-06-24,5.3
2015-06-25,5.4
2015-06-26,5.4
2015-06-29,5.15
2015-06-30,5.3
2015-07-01,5.35
2015-07-02,5.2
2015-07-03,5.25
2015-07-06,5.25
2015-07-07,6.2
2015-07-08,7.4
2015-07-09,7.35
2015-07-10,7.95
2015-07-13,8.35
2015-07-14,9.1
2015-07-15,9.7
2015-07-16,9.55
2015-07-17,9.4
2015-07-20,8.95
2015-07-21,8.7
2015-07-22,8.7
2015-07-23,8.35
2015-07-24,8.15
2015-07-27,8.05
2015-07-28,7.95
2015-07-29,8.05
2015-07-30,8.05
2015-07-31,8.0
2015-08-03,7.9
2015-08-04,8.0
2015-08-05,7.85
2015-08-06,7.8
2015-08-07,7.85
2015-08-10,8.0
2015-08-11,7.75
2015-08-12,7.4
2015-08-13,7.35
2015-08-14,7.0
2015-08-17,7.35
2015-08-18,7.4
2015-08-19,7.4
2015-08-20,7.05
2015-08-21,6.95
2015-08-24,6.65
2015-08-25,6.35
2015-08-26,6.05
2015-08-27,6.05
2015-08-28,6.25
2015-08-31,6.35
2015-09-01,6.2
2015-09-02,6.0
2015-09-03,6.05
2015-09-04,6.05
2015-09-07,5.85
2015-09-08,6.0
2015-09-09,5.95
2015-09-10,6.1
2015-09-11,6.25
2015-09-14,6.35
2015-09-15,6.45
2015-09-16,6.35
2015-09-18,6.6
2015-09-21,6.55
2015-09-22,6.35
2015-09-23,6.65
2015-09-24,6.95
2015-09-28,6.65
2015-09-29,6.75
2015-09-30,6.45
2015-10-01,6.45
2015-10-05,6.6
2015-10-06,6.7
2015-10-07,6.7
2015-10-08,6.55
2015-10-09,6.5
2015-10-12,6.95
2015-10-13,7.25
2015-10-14,7.05
2015-10-15,6.95
2015-10-16,7.0
2015-10-19,6.9
2015-10-20,6.9
2015-10-21,6.9
2015-10-23,7.0
2015-10-26,6.95
2015-10-27,6.8
2015-10-28,6.2
2015-10-29,6.25
2015-10-30,6.2
2015-11-02,6.75
2015-11-03,6.4
2015-11-04,6.35
2015-11-05,6.25
2015-11-06,7.5
2015-11-09,9.0
2015-11-10,8.1
2015-11-11,7.35
2015-11-13,7.35
2015-11-16,8.05
2015-11-17,7.9
2015-11-18,7.8
2015-11-19,7.65
2015-11-20,7.5
2015-11-23,7.05
2015-11-24,7.75
2015-11-26,8.5
2015-11-27,8.1
2015-11-30,8.0
2015-12-01,8.0
2015-12-02,7.55
2015-12-03,7.05
2015-12-04,7.45
2015-12-07,7.5
2015-12-08,8.65
2015-12-09,7.6
2015-12-10,7.6
2015-12-11,7.0
2015-12-14,6.65
2015-12-15,6.5
2015-12-16,6.1
2015-12-17,6.35
2015-12-18,6.4
2015-12-21,6.5
2015-12-22,6.25
2015-12-23,6.2
2015-12-24,6.0
2015-12-28,6.0
2015-12-29,6.05
2015-12-30,6.15
2015-12-31,6.05
