Date,VSSL
2015-01-01,35.5
2015-01-02,36.0
2015-01-05,34.25
2015-01-07,34.65
2015-01-08,34.95
2015-01-09,34.2
2015-01-12,34.45
2015-01-13,34.95
2015-01-14,35.0
2015-01-15,34.95
2015-01-16,35.35
2015-01-19,34.05
2015-01-20,34.5
2015-01-21,34.35
2015-01-22,34.15
2015-01-23,35.9
2015-01-27,33.15
2015-01-28,32.0
2015-01-30,32.05
2015-02-02,32.1
2015-02-03,32.45
2015-02-04,32.65
2015-02-05,32.1
2015-02-06,31.5
2015-02-09,31.5
2015-02-10,31.25
2015-02-11,30.1
2015-02-12,30.05
2015-02-13,30.55
2015-02-16,31.2
2015-02-18,31.55
2015-02-19,33.0
2015-02-20,32.7
2015-02-23,34.9
2015-02-24,33.75
2015-02-25,34.0
2015-02-26,34.9
2015-02-27,35.55
2015-02-28,34.65
2015-03-02,35.9
2015-03-03,36.7
2015-03-04,35.7
2015-03-05,36.0
2015-03-09,35.25
2015-03-10,35.4
2015-03-11,34.65
2015-03-12,35.05
2015-03-13,35.55
2015-03-16,34.05
2015-03-17,34.1
2015-03-18,35.25
2015-03-19,34.35
2015-03-20,34.05
2015-03-23,33.6
2015-03-24,33.8
2015-03-25,32.95
2015-03-26,32.8
2015-03-27,31.5
2015-03-30,31.85
2015-03-31,32.45
2015-04-01,33.7
2015-04-06,34.8
2015-04-07,33.75
2015-04-08,36.3
2015-04-09,35.6
2015-04-10,34.65
2015-04-13,36.75
2015-04-15,36.0
2015-04-16,35.0
2015-04-17,35.05
2015-04-20,36.9
2015-04-21,36.5
2015-04-22,37.0
2015-04-23,36.55
2015-04-24,36.4
2015-04-27,35.1
2015-04-28,36.75
2015-04-29,37.0
2015-04-30,37.85
2015-05-04,35.0
2015-05-05,37.75
2015-05-06,35.1
2015-05-07,35.3
2015-05-08,35.5
2015-05-11,35.4
2015-05-12,35.4
2015-05-13,34.55
2015-05-14,35.05
2015-05-15,36.0
2015-05-18,35.1
2015-05-19,35.4
2015-05-20,36.5
2015-05-21,36.0
2015-05-22,35.05
2015-05-25,36.0
2015-05-26,35.2
2015-05-27,34.6
2015-05-28,35.75
2015-05-29,37.6
2015-06-01,36.5
2015-06-02,36.2
2015-06-03,35.05
2015-06-04,36.95
2015-06-05,36.4
2015-06-08,35.75
2015-06-09,35.0
2015-06-10,36.0
2015-06-11,35.55
2015-06-12,34.9
2015-06-15,35.05
2015-06-16,35.0
2015-06-17,35.0
2015-06-18,34.85
2015-06-19,35.15
2015-06-22,35.0
2015-06-23,36.05
2015-06-24,36.25
2015-06-25,37.1
2015-06-26,37.05
2015-06-29,37.65
2015-06-30,37.1
2015-07-01,38.25
2015-07-02,40.1
2015-07-03,38.95
2015-07-06,40.0
2015-07-07,42.35
2015-07-08,41.2
2015-07-09,41.05
2015-07-10,41.75
2015-07-13,42.65
2015-07-14,42.2
2015-07-15,43.95
2015-07-16,45.3
2015-07-17,45.0
2015-07-20,43.8
2015-07-21,42.65
2015-07-22,43.05
2015-07-23,43.6
2015-07-24,44.7
2015-07-27,43.5
2015-07-28,45.5
2015-07-29,46.2
2015-07-30,45.05
2015-07-31,44.85
2015-08-03,41.6
2015-08-04,40.6
2015-08-05,40.7
2015-08-06,40.8
2015-08-07,41.25
2015-08-10,42.5
2015-08-11,41.8
2015-08-12,41.1
2015-08-13,40.8
2015-08-14,41.15
2015-08-17,41.2
2015-08-18,41.8
2015-08-19,42.95
2015-08-20,41.5
2015-08-21,40.6
2015-08-24,39.85
2015-08-25,38.35
2015-08-26,39.0
2015-08-27,41.2
2015-08-28,42.5
2015-08-31,42.7
2015-09-01,43.3
2015-09-02,41.25
2015-09-03,40.55
2015-09-04,40.15
2015-09-07,39.05
2015-09-08,40.5
2015-09-09,40.0
2015-09-10,39.0
2015-09-11,40.05
2015-09-14,38.55
2015-09-15,39.7
2015-09-16,37.0
2015-09-18,35.9
2015-09-21,36.0
2015-09-22,35.0
2015-09-23,34.95
2015-09-24,35.0
2015-09-28,33.2
2015-09-29,32.4
2015-09-30,33.35
2015-10-01,31.7
2015-10-05,32.75
2015-10-06,32.15
2015-10-07,33.8
2015-10-08,33.2
2015-10-09,33.05
2015-10-12,34.5
2015-10-13,34.35
2015-10-14,36.6
2015-10-15,37.75
2015-10-16,38.4
2015-10-19,38.85
2015-10-20,38.15
2015-10-21,38.25
2015-10-23,37.95
2015-10-26,39.0
2015-10-27,37.1
2015-10-28,37.45
2015-10-29,38.2
2015-10-30,37.15
2015-11-02,37.1
2015-11-03,37.3
2015-11-04,37.25
2015-11-05,35.95
2015-11-09,40.0
2015-11-10,37.4
2015-11-13,39.5
2015-11-16,41.75
2015-11-17,41.5
2015-11-18,37.7
2015-11-19,39.5
2015-11-20,38.85
2015-11-23,38.7
2015-11-24,40.5
2015-11-26,39.55
2015-11-27,41.5
2015-11-30,41.05
2015-12-01,45.85
2015-12-02,47.25
2015-12-03,48.4
2015-12-04,50.65
2015-12-07,51.8
2015-12-08,48.1
2015-12-09,48.0
2015-12-10,47.05
2015-12-11,46.85
2015-12-14,54.7
2015-12-15,65.6
2015-12-16,59.05
2015-12-17,58.25
2015-12-18,59.05
2015-12-21,58.35
2015-12-22,59.05
2015-12-23,57.9
2015-12-24,56.2
2015-12-28,56.5
2015-12-29,57.0
2015-12-30,57.95
2015-12-31,57.35
