Date,RANASUG
2015-01-01,2.95
2015-01-02,3.05
2015-01-05,3.05
2015-01-06,3.05
2015-01-07,3.0
2015-01-08,3.1
2015-01-09,3.1
2015-01-12,3.1
2015-01-13,3.1
2015-01-14,3.1
2015-01-15,3.05
2015-01-16,3.05
2015-01-19,3.05
2015-01-20,3.05
2015-01-21,3.15
2015-01-22,3.05
2015-01-23,3.0
2015-01-27,3.2
2015-01-28,3.05
2015-01-29,3.05
2015-01-30,3.05
2015-02-02,3.0
2015-02-03,2.95
2015-02-04,2.95
2015-02-05,2.95
2015-02-06,2.95
2015-02-09,2.85
2015-02-10,2.85
2015-02-11,2.85
2015-02-12,2.8
2015-02-13,2.85
2015-02-16,2.9
2015-02-18,3.1
2015-02-19,3.1
2015-02-20,3.05
2015-02-23,3.05
2015-02-24,3.0
2015-02-25,2.95
2015-02-26,2.95
2015-02-27,2.95
2015-02-28,2.9
2015-03-02,2.85
2015-03-03,2.9
2015-03-04,2.95
2015-03-05,2.95
2015-03-09,2.8
2015-03-10,2.95
2015-03-11,2.95
2015-03-12,2.95
2015-03-13,2.75
2015-03-16,2.7
2015-03-17,2.7
2015-03-18,2.65
2015-03-19,2.6
2015-03-20,2.55
2015-03-23,2.45
2015-03-24,2.45
2015-03-25,2.35
2015-03-26,2.3
2015-03-27,2.25
2015-03-30,2.2
2015-03-31,2.25
2015-04-01,2.4
2015-04-06,2.6
2015-04-07,2.5
2015-04-08,2.7
2015-04-09,2.7
2015-04-10,2.6
2015-04-13,2.65
2015-04-15,2.6
2015-04-16,2.75
2015-04-17,2.7
2015-04-20,2.65
2015-04-21,2.55
2015-04-22,2.55
2015-04-23,2.55
2015-04-24,2.4
2015-04-27,2.45
2015-04-28,2.75
2015-04-29,2.8
2015-04-30,2.65
2015-05-04,2.65
2015-05-05,2.5
2015-05-06,2.5
2015-05-07,2.4
2015-05-08,2.4
2015-05-11,2.4
2015-05-12,2.35
2015-05-13,2.35
2015-05-14,2.35
2015-05-15,2.4
2015-05-18,2.45
2015-05-19,2.4
2015-05-20,2.35
2015-05-21,2.4
2015-05-22,2.45
2015-05-25,2.35
2015-05-26,2.35
2015-05-27,2.45
2015-05-28,2.6
2015-05-29,2.7
2015-06-01,2.8
2015-06-02,2.65
2015-06-03,2.5
2015-06-04,2.45
2015-06-05,2.45
2015-06-08,2.35
2015-06-09,2.4
2015-06-10,2.65
2015-06-11,2.55
2015-06-12,2.5
2015-06-15,2.5
2015-06-16,2.45
2015-06-17,2.4
2015-06-18,2.4
2015-06-19,2.45
2015-06-22,2.55
2015-06-23,2.55
2015-06-24,2.5
2015-06-25,2.45
2015-06-26,2.45
2015-06-29,2.35
2015-06-30,2.35
2015-07-01,2.4
2015-07-02,2.35
2015-07-03,2.6
2015-07-06,2.55
2015-07-07,2.5
2015-07-08,2.45
2015-07-09,2.5
2015-07-10,2.4
2015-07-13,2.5
2015-07-14,2.75
2015-07-15,2.75
2015-07-16,2.65
2015-07-17,2.7
2015-07-20,2.75
2015-07-21,2.65
2015-07-22,2.65
2015-07-23,2.65
2015-07-24,2.6
2015-07-27,2.75
2015-07-28,2.55
2015-07-29,2.5
2015-07-30,2.65
2015-07-31,2.8
2015-08-03,2.7
2015-08-04,2.75
2015-08-05,2.85
2015-08-06,2.75
2015-08-07,2.75
2015-08-10,2.75
2015-08-11,2.7
2015-08-12,2.6
2015-08-13,2.65
2015-08-14,2.5
2015-08-17,2.5
2015-08-18,2.5
2015-08-19,2.55
2015-08-20,2.5
2015-08-21,2.45
2015-08-24,2.3
2015-08-25,2.25
2015-08-26,2.25
2015-08-27,2.3
2015-08-28,2.4
2015-08-31,2.4
2015-09-01,2.25
2015-09-02,2.6
2015-09-03,2.5
2015-09-04,2.45
2015-09-07,2.45
2015-09-08,2.4
2015-09-09,2.45
2015-09-10,2.45
2015-09-11,2.4
2015-09-14,2.4
2015-09-15,2.45
2015-09-16,2.5
2015-09-18,2.55
2015-09-21,2.5
2015-09-22,2.4
2015-09-23,2.4
2015-09-24,2.45
2015-09-28,2.5
2015-09-29,2.5
2015-09-30,2.45
2015-10-01,2.65
2015-10-05,2.7
2015-10-06,2.95
2015-10-07,3.3
2015-10-08,3.45
2015-10-09,3.35
2015-10-12,3.2
2015-10-13,3.35
2015-10-14,3.25
2015-10-15,3.25
2015-10-16,3.2
2015-10-19,3.35
2015-10-20,3.5
2015-10-21,3.6
2015-10-23,3.75
2015-10-26,3.4
2015-10-27,3.35
2015-10-28,3.35
2015-10-29,3.35
2015-10-30,3.2
2015-11-02,3.15
2015-11-03,3.25
2015-11-04,3.15
2015-11-05,3.1
2015-11-06,3.05
2015-11-09,3.15
2015-11-10,3.1
2015-11-11,3.15
2015-11-13,3.55
2015-11-16,3.9
2015-11-17,4.35
2015-11-18,4.95
2015-11-19,4.5
2015-11-20,4.15
2015-11-23,4.15
2015-11-24,4.05
2015-11-26,4.05
2015-11-27,3.8
2015-11-30,3.6
2015-12-01,3.75
2015-12-02,4.1
2015-12-03,4.05
2015-12-04,4.05
2015-12-07,4.05
2015-12-08,3.95
2015-12-09,3.7
2015-12-10,3.8
2015-12-11,3.6
2015-12-14,3.65
2015-12-15,4.0
2015-12-16,3.95
2015-12-17,3.9
2015-12-18,3.85
2015-12-21,3.8
2015-12-22,4.05
2015-12-23,4.05
2015-12-24,4.0
2015-12-28,3.95
2015-12-29,4.0
2015-12-30,4.0
2015-12-31,3.95
