Date,SUJANAUNI
2012-01-02,3.0
2012-01-03,3.0
2012-01-04,3.05
2012-01-05,3.1
2012-01-06,3.7
2012-01-07,3.7
2012-01-09,3.55
2012-01-10,3.4
2012-01-11,3.75
2012-01-12,3.9
2012-01-13,4.35
2012-01-16,4.35
2012-01-17,4.35
2012-01-18,4.15
2012-01-19,4.15
2012-01-20,4.0
2012-01-23,3.9
2012-01-24,4.15
2012-01-25,4.1
2012-01-27,4.15
2012-01-30,4.1
2012-01-31,4.2
2012-02-01,4.15
2012-02-02,4.2
2012-02-03,4.2
2012-02-06,4.1
2012-02-07,4.15
2012-02-08,4.3
2012-02-09,4.7
2012-02-10,4.7
2012-02-13,4.55
2012-02-14,4.4
2012-02-15,5.2
2012-02-16,5.1
2012-02-17,4.85
2012-02-21,5.2
2012-02-22,5.0
2012-02-23,4.9
2012-02-24,4.85
2012-02-27,4.55
2012-02-28,4.7
2012-02-29,4.75
2012-03-01,5.1
2012-03-02,5.1
2012-03-03,4.9
2012-03-05,4.95
2012-03-06,4.95
2012-03-07,4.7
2012-03-09,4.8
2012-03-12,4.65
2012-03-13,4.75
2012-03-14,4.7
2012-03-15,4.4
2012-03-16,4.4
2012-03-19,4.35
2012-03-20,4.4
2012-03-21,4.4
2012-03-22,4.25
2012-03-23,4.1
2012-03-26,4.05
2012-03-27,4.05
2012-03-28,4.0
2012-03-29,3.9
2012-03-30,3.85
2012-04-02,4.05
2012-04-03,4.3
2012-04-04,4.25
2012-04-09,4.15
2012-04-10,4.1
2012-04-11,4.1
2012-04-12,4.1
2012-04-13,4.0
2012-04-16,4.05
2012-04-17,4.0
2012-04-18,4.05
2012-04-19,4.0
2012-04-20,4.0
2012-04-23,4.0
2012-04-24,4.0
2012-04-25,3.85
2012-04-26,3.95
2012-04-27,3.75
2012-04-28,3.75
2012-04-30,3.65
2012-05-02,3.7
2012-05-03,3.85
2012-05-04,3.6
2012-05-07,3.6
2012-05-08,3.5
2012-05-09,3.45
2012-05-10,3.55
2012-05-11,3.5
2012-05-14,3.25
2012-05-15,3.5
2012-05-16,3.4
2012-05-17,3.65
2012-05-18,3.5
2012-05-21,3.5
2012-05-22,3.5
2012-05-23,3.5
2012-05-24,3.5
2012-05-25,3.45
2012-05-28,3.5
2012-05-29,3.9
2012-05-30,3.95
2012-05-31,3.85
2012-06-01,3.65
2012-06-04,3.5
2012-06-05,3.4
2012-06-06,3.55
2012-06-07,3.45
2012-06-08,3.4
2012-06-11,3.4
2012-06-12,3.4
2012-06-13,3.2
2012-06-14,3.0
2012-06-15,3.0
2012-06-18,3.0
2012-06-19,3.0
2012-06-20,3.1
2012-06-21,3.0
2012-06-22,3.0
2012-06-25,3.0
2012-06-26,2.95
2012-06-27,2.95
2012-06-28,3.0
2012-06-29,3.05
2012-07-02,3.05
2012-07-03,3.15
2012-07-04,3.15
2012-07-05,3.25
2012-07-06,3.3
2012-07-09,3.3
2012-07-10,3.3
2012-07-11,3.3
2012-07-12,3.25
2012-07-13,3.2
2012-07-16,3.2
2012-07-17,3.3
2012-07-18,3.15
2012-07-19,3.05
2012-07-20,3.05
2012-07-23,2.95
2012-07-24,2.95
2012-07-25,2.85
2012-07-26,2.85
2012-07-27,2.75
2012-07-30,2.9
2012-07-31,2.9
2012-08-01,2.9
2012-08-02,3.05
2012-08-03,3.05
2012-08-06,3.05
2012-08-07,3.2
2012-08-08,3.15
2012-08-09,3.1
2012-08-10,3.15
2012-08-13,2.9
2012-08-14,2.85
2012-08-16,2.9
2012-08-17,2.9
2012-08-21,2.85
2012-08-22,2.85
2012-08-23,2.75
2012-08-24,2.7
2012-08-27,2.75
2012-08-28,2.65
2012-08-29,2.55
2012-08-30,2.65
2012-08-31,2.45
2012-09-03,2.5
2012-09-04,2.55
2012-09-05,2.6
2012-09-06,2.55
2012-09-07,2.55
2012-09-08,2.65
2012-09-10,2.45
2012-09-11,2.6
2012-09-12,2.65
2012-09-13,2.7
2012-09-14,2.55
2012-09-17,2.7
2012-09-18,2.8
2012-09-20,2.75
2012-09-21,2.9
2012-09-24,2.8
2012-09-25,2.8
2012-09-26,2.8
2012-09-27,2.8
2012-09-28,2.75
2012-10-01,2.85
2012-10-03,3.0
2012-10-04,3.05
2012-10-05,2.95
2012-10-08,2.9
2012-10-09,2.75
2012-10-10,2.65
2012-10-11,2.9
2012-10-12,2.85
2012-10-15,2.8
2012-10-16,2.75
2012-10-17,2.8
2012-10-18,2.8
2012-10-19,2.75
2012-10-22,2.85
2012-10-23,3.05
2012-10-25,2.9
2012-10-26,2.85
2012-10-29,2.85
2012-10-30,3.0
2012-10-31,3.0
2012-11-01,3.0
2012-11-02,2.9
2012-11-05,2.85
2012-11-06,2.85
2012-11-07,2.75
2012-11-08,2.7
2012-11-09,2.3
2012-11-12,2.65
2012-11-13,2.7
2012-11-15,2.6
2012-11-16,2.55
2012-11-19,2.05
2012-11-20,2.05
2012-11-21,2.1
2012-11-22,2.2
2012-11-23,2.3
2012-11-26,2.35
2012-11-27,2.0
2012-11-29,2.0
2012-11-30,2.05
2012-12-03,2.0
2012-12-04,2.0
2012-12-05,2.0
2012-12-06,2.05
2012-12-07,2.1
2012-12-10,2.0
2012-12-11,2.0
2012-12-12,2.05
2012-12-13,2.0
2012-12-14,1.65
2012-12-17,1.85
2012-12-18,2.15
2012-12-19,2.1
2012-12-20,2.1
2012-12-21,2.1
2012-12-24,2.0
2012-12-26,2.1
2012-12-27,2.05
2012-12-28,2.05
2012-12-31,2.05
