Date,3IINFOTECH
2016-01-01,5.15
2016-01-04,5.2
2016-01-05,5.4
2016-01-06,5.5
2016-01-07,5.4
2016-01-08,5.7
2016-01-11,5.65
2016-01-12,5.75
2016-01-13,5.3
2016-01-14,5.05
2016-01-15,4.85
2016-01-18,4.4
2016-01-19,4.6
2016-01-20,4.35
2016-01-21,4.5
2016-01-22,4.6
2016-01-25,4.65
2016-01-27,4.6
2016-01-28,4.6
2016-01-29,4.65
2016-02-01,4.75
2016-02-02,5.0
2016-02-03,4.85
2016-02-04,4.75
2016-02-05,4.85
2016-02-08,4.85
2016-02-09,4.8
2016-02-10,4.65
2016-02-11,4.35
2016-02-12,4.1
2016-02-15,4.3
2016-02-16,4.1
2016-02-17,4.15
2016-02-18,4.2
2016-02-19,4.1
2016-02-22,4.05
2016-02-23,4.05
2016-02-24,4.0
2016-02-25,3.95
2016-02-26,3.95
2016-02-29,3.95
2016-03-01,4.05
2016-03-02,4.1
2016-03-03,4.2
2016-03-04,4.25
2016-03-08,4.4
2016-03-09,4.4
2016-03-10,4.4
2016-03-11,4.35
2016-03-14,4.3
2016-03-15,4.2
2016-03-16,4.2
2016-03-17,4.3
2016-03-18,4.3
2016-03-21,4.55
2016-03-22,4.55
2016-03-23,4.45
2016-03-28,4.2
2016-03-29,4.05
2016-03-30,4.15
2016-03-31,4.15
2016-04-01,4.4
2016-04-04,4.45
2016-04-05,4.25
2016-04-06,4.3
2016-04-07,4.3
2016-04-08,4.35
2016-04-11,4.25
2016-04-12,4.15
2016-04-13,4.2
2016-04-18,4.25
2016-04-20,4.35
2016-04-21,4.3
2016-04-22,4.25
2016-04-25,4.25
2016-04-26,4.25
2016-04-27,4.35
2016-04-28,4.3
2016-04-29,4.25
2016-05-02,4.2
2016-05-03,4.15
2016-05-04,4.15
2016-05-05,4.15
2016-05-06,4.05
2016-05-09,4.05
2016-05-10,4.0
2016-05-11,4.2
2016-05-12,4.15
2016-05-13,4.2
2016-05-16,4.2
2016-05-17,4.25
2016-05-18,4.2
2016-05-19,4.2
2016-05-20,4.2
2016-05-23,4.2
2016-05-24,4.05
2016-05-25,4.05
2016-05-26,4.1
2016-05-27,3.95
2016-05-30,3.95
2016-05-31,3.8
2016-06-01,3.95
2016-06-02,3.95
2016-06-03,3.85
2016-06-06,3.8
2016-06-07,3.8
2016-06-08,4.1
2016-06-09,3.95
2016-06-10,4.05
2016-06-13,4.15
2016-06-14,4.45
2016-06-15,4.5
2016-06-16,5.3
2016-06-17,5.4
2016-06-20,5.15
2016-06-21,5.15
2016-06-22,5.0
2016-06-23,4.85
2016-06-24,4.7
2016-06-27,4.8
2016-06-28,4.8
2016-06-29,5.05
2016-06-30,5.1
2016-07-01,5.0
2016-07-04,5.05
2016-07-05,5.1
2016-07-07,5.35
2016-07-08,5.3
2016-07-11,5.3
2016-07-12,5.25
2016-07-13,5.05
2016-07-14,5.1
2016-07-15,5.1
2016-07-18,5.0
2016-07-19,5.0
2016-07-20,5.0
2016-07-21,4.95
2016-07-22,5.45
2016-07-25,5.35
2016-07-26,5.3
2016-07-27,5.15
2016-07-28,5.15
2016-07-29,5.1
2016-08-01,5.1
2016-08-02,5.0
2016-08-03,4.9
2016-08-04,4.95
2016-08-05,4.95
2016-08-08,4.95
2016-08-09,4.95
2016-08-10,5.4
2016-08-11,5.3
2016-08-12,6.0
2016-08-16,5.95
2016-08-17,5.35
2016-08-18,5.2
2016-08-19,5.5
2016-08-22,5.65
2016-08-23,5.55
2016-08-24,5.45
2016-08-25,5.3
2016-08-26,5.25
2016-08-29,5.1
2016-08-30,5.2
2016-08-31,5.25
2016-09-01,5.05
2016-09-02,5.15
2016-09-06,5.15
2016-09-07,5.25
2016-09-08,5.4
2016-09-09,5.7
2016-09-12,5.55
2016-09-14,6.35
2016-09-15,6.15
2016-09-16,5.95
2016-09-19,5.95
2016-09-20,5.9
2016-09-21,5.85
2016-09-22,5.85
2016-09-23,5.8
2016-09-26,5.7
2016-09-27,5.6
2016-09-28,5.8
2016-09-29,5.35
2016-09-30,5.75
2016-10-03,5.85
2016-10-04,5.95
2016-10-05,5.9
2016-10-06,5.75
2016-10-07,5.7
2016-10-10,5.7
2016-10-13,5.75
2016-10-14,5.8
2016-10-17,6.0
2016-10-18,6.3
2016-10-19,6.3
2016-10-20,6.8
2016-10-21,6.65
2016-10-24,6.55
2016-10-25,6.3
2016-10-26,6.45
2016-10-27,6.4
2016-10-28,6.5
2016-10-30,6.65
2016-11-01,6.65
2016-11-02,6.45
2016-11-03,6.45
2016-11-04,6.1
2016-11-07,6.15
2016-11-08,6.15
2016-11-09,6.0
2016-11-10,6.05
2016-11-11,5.9
2016-11-15,5.65
2016-11-16,5.45
2016-11-17,5.15
2016-11-18,5.25
2016-11-21,5.1
2016-11-22,5.1
2016-11-23,5.05
2016-11-24,5.0
2016-11-25,5.55
2016-11-28,5.5
2016-11-29,5.4
2016-11-30,5.45
2016-12-01,5.7
2016-12-02,5.55
2016-12-05,5.7
2016-12-06,5.95
2016-12-07,5.8
2016-12-08,5.75
2016-12-09,5.9
2016-12-12,5.75
2016-12-13,5.65
2016-12-14,5.6
2016-12-15,5.75
2016-12-16,5.65
2016-12-19,5.6
2016-12-20,5.6
2016-12-21,5.6
2016-12-22,5.5
2016-12-23,5.45
2016-12-26,5.35
2016-12-27,5.4
2016-12-28,5.5
2016-12-29,5.55
2016-12-30,5.65
