Date,GEOJITFSL
2016-01-01,39.4
2016-01-04,39.05
2016-01-05,39.1
2016-01-06,38.75
2016-01-07,37.2
2016-01-08,37.7
2016-01-11,37.55
2016-01-12,36.95
2016-01-13,37.05
2016-01-14,36.3
2016-01-15,35.25
2016-01-18,34.15
2016-01-19,34.25
2016-01-20,36.7
2016-01-21,36.3
2016-01-22,36.2
2016-01-25,38.0
2016-01-27,36.65
2016-01-28,36.4
2016-01-29,37.1
2016-02-01,35.8
2016-02-02,35.75
2016-02-03,34.6
2016-02-04,34.3
2016-02-05,34.6
2016-02-08,33.7
2016-02-09,33.3
2016-02-10,31.65
2016-02-11,29.55
2016-02-12,32.1
2016-02-15,32.25
2016-02-16,30.15
2016-02-17,30.15
2016-02-18,30.8
2016-02-19,30.6
2016-02-22,30.75
2016-02-23,30.0
2016-02-24,29.4
2016-02-25,29.0
2016-02-26,29.1
2016-02-29,28.9
2016-03-01,31.2
2016-03-02,31.75
2016-03-03,31.3
2016-03-04,31.0
2016-03-08,30.8
2016-03-09,30.95
2016-03-10,31.8
2016-03-11,31.45
2016-03-14,31.45
2016-03-15,30.9
2016-03-16,30.85
2016-03-17,30.9
2016-03-18,30.9
2016-03-21,34.45
2016-03-22,34.5
2016-03-23,33.9
2016-03-28,31.9
2016-03-29,31.05
2016-03-30,31.2
2016-03-31,30.9
2016-04-01,31.3
2016-04-04,31.3
2016-04-05,30.25
2016-04-06,30.8
2016-04-07,30.7
2016-04-08,31.05
2016-04-11,31.05
2016-04-12,31.7
2016-04-13,32.45
2016-04-18,32.55
2016-04-20,33.35
2016-04-21,34.2
2016-04-22,35.5
2016-04-25,35.4
2016-04-26,35.45
2016-04-27,36.25
2016-04-28,36.1
2016-04-29,35.75
2016-05-02,35.35
2016-05-03,35.55
2016-05-04,35.6
2016-05-05,36.45
2016-05-06,35.8
2016-05-09,36.4
2016-05-10,36.85
2016-05-11,36.65
2016-05-12,37.95
2016-05-13,39.0
2016-05-16,38.15
2016-05-17,38.75
2016-05-18,38.9
2016-05-19,38.8
2016-05-20,38.9
2016-05-23,38.5
2016-05-24,37.55
2016-05-25,38.15
2016-05-26,37.95
2016-05-27,37.95
2016-05-30,38.0
2016-05-31,38.8
2016-06-01,38.85
2016-06-02,40.0
2016-06-03,39.85
2016-06-06,39.2
2016-06-07,38.65
2016-06-08,38.5
2016-06-09,39.6
2016-06-10,39.95
2016-06-13,39.45
2016-06-14,39.2
2016-06-15,40.45
2016-06-16,40.55
2016-06-17,39.7
2016-06-20,39.55
2016-06-21,39.25
2016-06-22,38.8
2016-06-23,38.85
2016-06-24,38.25
2016-06-27,38.7
2016-06-28,39.05
2016-06-29,39.4
2016-06-30,39.95
2016-07-01,39.6
2016-07-04,39.85
2016-07-05,39.75
2016-07-07,39.35
2016-07-08,39.4
2016-07-11,39.45
2016-07-12,39.45
2016-07-13,39.1
2016-07-14,39.3
2016-07-15,39.2
2016-07-18,38.65
2016-07-19,38.95
2016-07-20,41.45
2016-07-21,39.8
2016-07-22,42.75
2016-07-25,42.6
2016-07-26,42.15
2016-07-27,42.95
2016-07-28,43.8
2016-07-29,43.85
2016-08-01,42.2
2016-08-02,41.3
2016-08-03,41.6
2016-08-04,42.6
2016-08-05,42.35
2016-08-08,41.7
2016-08-09,40.95
2016-08-10,44.0
2016-08-11,41.0
2016-08-12,40.75
2016-08-16,40.1
2016-08-17,39.75
2016-08-18,40.45
2016-08-19,40.45
2016-08-22,40.5
2016-08-23,40.25
2016-08-24,40.0
2016-08-25,39.65
2016-08-26,38.8
2016-08-29,39.1
2016-08-30,39.25
2016-08-31,39.2
2016-09-01,38.75
2016-09-02,39.1
2016-09-06,39.55
2016-09-07,40.05
2016-09-08,39.9
2016-09-09,39.45
2016-09-12,38.5
2016-09-14,38.35
2016-09-15,38.6
2016-09-16,39.1
2016-09-19,39.3
2016-09-20,38.6
2016-09-21,39.0
2016-09-22,39.6
2016-09-23,39.15
2016-09-26,38.55
2016-09-27,38.65
2016-09-28,38.5
2016-09-29,36.25
2016-09-30,36.65
2016-10-03,38.55
2016-10-04,38.15
2016-10-05,39.05
2016-10-06,39.2
2016-10-07,39.25
2016-10-10,40.7
2016-10-13,39.5
2016-10-14,39.1
2016-10-17,38.7
2016-10-18,39.5
2016-10-19,40.15
2016-10-20,40.15
2016-10-21,39.3
2016-10-24,39.65
2016-10-25,41.15
2016-10-26,40.55
2016-10-27,40.7
2016-10-28,40.4
2016-10-30,41.05
2016-11-01,40.95
2016-11-02,40.3
2016-11-03,40.2
2016-11-04,37.6
2016-11-07,38.65
2016-11-08,38.0
2016-11-09,37.4
2016-11-10,37.0
2016-11-11,36.2
2016-11-15,35.2
2016-11-16,35.1
2016-11-17,35.55
2016-11-18,36.0
2016-11-21,35.7
2016-11-22,35.3
2016-11-23,35.85
2016-11-24,35.75
2016-11-25,35.7
2016-11-28,36.9
2016-11-29,36.55
2016-11-30,36.85
2016-12-01,37.0
2016-12-02,36.45
2016-12-05,36.95
2016-12-06,36.55
2016-12-07,36.3
2016-12-08,36.9
2016-12-09,37.25
2016-12-12,37.25
2016-12-13,36.65
2016-12-14,36.35
2016-12-15,36.35
2016-12-16,36.35
2016-12-19,36.0
2016-12-20,35.6
2016-12-21,36.1
2016-12-22,35.65
2016-12-23,35.6
2016-12-26,34.55
2016-12-27,34.35
2016-12-28,34.75
2016-12-29,34.4
2016-12-30,34.4
