Date,AARVEEDEN
2016-01-01,62.3
2016-01-04,63.35
2016-01-05,65.6
2016-01-06,64.85
2016-01-07,61.3
2016-01-08,63.8
2016-01-11,63.75
2016-01-12,61.9
2016-01-13,59.3
2016-01-14,56.95
2016-01-15,56.6
2016-01-18,52.25
2016-01-19,53.1
2016-01-20,51.6
2016-01-21,51.85
2016-01-22,52.05
2016-01-25,51.75
2016-01-27,52.9
2016-01-28,51.2
2016-01-29,55.75
2016-02-01,57.4
2016-02-02,65.25
2016-02-03,59.55
2016-02-04,60.2
2016-02-05,59.3
2016-02-08,57.85
2016-02-09,57.35
2016-02-10,56.2
2016-02-11,51.15
2016-02-12,48.65
2016-02-15,52.0
2016-02-16,51.9
2016-02-17,50.8
2016-02-18,50.0
2016-02-22,54.1
2016-02-23,53.05
2016-02-24,50.55
2016-02-25,51.0
2016-02-26,50.4
2016-02-29,50.0
2016-03-01,52.15
2016-03-02,52.15
2016-03-03,52.95
2016-03-04,54.0
2016-03-08,52.9
2016-03-09,52.7
2016-03-10,53.65
2016-03-11,52.4
2016-03-14,52.2
2016-03-15,53.8
2016-03-16,51.95
2016-03-17,54.05
2016-03-18,52.25
2016-03-21,52.35
2016-03-22,53.8
2016-03-23,53.0
2016-03-28,52.3
2016-03-29,51.6
2016-03-30,52.7
2016-03-31,51.95
2016-04-01,52.9
2016-04-04,53.85
2016-04-05,51.7
2016-04-06,55.0
2016-04-07,53.85
2016-04-08,56.3
2016-04-11,57.5
2016-04-12,57.15
2016-04-13,57.9
2016-04-18,57.0
2016-04-20,57.0
2016-04-21,56.3
2016-04-22,54.75
2016-04-25,53.4
2016-04-26,54.85
2016-04-27,55.25
2016-04-28,55.75
2016-04-29,54.7
2016-05-02,54.85
2016-05-03,53.1
2016-05-04,55.5
2016-05-05,60.35
2016-05-06,58.95
2016-05-09,58.45
2016-05-10,58.15
2016-05-11,58.75
2016-05-12,59.55
2016-05-13,58.4
2016-05-16,61.35
2016-05-17,60.4
2016-05-18,61.5
2016-05-19,60.85
2016-05-20,56.8
2016-05-23,56.65
2016-05-24,57.1
2016-05-25,58.0
2016-05-26,56.8
2016-05-27,58.55
2016-05-30,59.7
2016-05-31,58.1
2016-06-01,59.1
2016-06-02,59.65
2016-06-03,59.35
2016-06-06,57.8
2016-06-07,58.85
2016-06-08,58.5
2016-06-09,59.7
2016-06-10,61.5
2016-06-13,73.8
2016-06-14,78.15
2016-06-15,79.85
2016-06-16,75.75
2016-06-17,72.05
2016-06-20,69.25
2016-06-21,80.6
2016-06-22,86.85
2016-06-23,79.35
2016-06-24,75.5
2016-06-27,82.85
2016-06-28,80.0
2016-06-29,78.75
2016-06-30,78.35
2016-07-01,77.65
2016-07-04,77.1
2016-07-05,75.7
2016-07-07,76.0
2016-07-08,75.1
2016-07-11,75.7
2016-07-12,74.65
2016-07-13,72.55
2016-07-14,73.45
2016-07-15,70.5
2016-07-18,70.6
2016-07-19,74.75
2016-07-20,73.15
2016-07-21,72.1
2016-07-22,73.0
2016-07-25,73.3
2016-07-26,74.2
2016-07-27,73.15
2016-07-28,72.55
2016-07-29,70.3
2016-08-01,70.5
2016-08-02,70.05
2016-08-03,68.65
2016-08-04,67.5
2016-08-05,69.0
2016-08-08,69.55
2016-08-09,71.05
2016-08-10,79.9
2016-08-11,75.85
2016-08-12,74.65
2016-08-16,74.05
2016-08-17,72.45
2016-08-18,72.9
2016-08-19,74.4
2016-08-22,74.0
2016-08-23,73.05
2016-08-24,73.95
2016-08-25,73.5
2016-08-26,74.15
2016-08-29,73.6
2016-08-30,73.3
2016-08-31,73.3
2016-09-01,73.65
2016-09-02,74.8
2016-09-06,72.7
2016-09-07,72.3
2016-09-08,73.05
2016-09-09,72.05
2016-09-12,72.9
2016-09-14,70.9
2016-09-15,71.65
2016-09-16,72.25
2016-09-19,78.5
2016-09-20,76.95
2016-09-21,80.75
2016-09-22,79.9
2016-09-23,79.15
2016-09-26,76.55
2016-09-27,75.25
2016-09-28,77.5
2016-09-29,72.2
2016-09-30,73.75
2016-10-03,74.25
2016-10-04,89.1
2016-10-05,87.25
2016-10-06,84.15
2016-10-07,83.9
2016-10-10,81.95
2016-10-13,78.9
2016-10-14,79.0
2016-10-17,80.0
2016-10-18,83.8
2016-10-19,92.7
2016-10-20,103.7
2016-10-21,102.3
2016-10-24,97.05
2016-10-25,93.35
2016-10-26,90.25
2016-10-27,89.75
2016-10-28,91.4
2016-10-30,99.6
2016-11-01,103.0
2016-11-02,97.85
2016-11-03,96.1
2016-11-04,90.9
2016-11-07,91.05
2016-11-08,89.65
2016-11-09,85.05
2016-11-10,93.6
2016-11-11,88.95
2016-11-15,80.35
2016-11-16,80.6
2016-11-17,81.0
2016-11-18,77.7
2016-11-21,77.0
2016-11-22,77.15
2016-11-23,81.0
2016-11-24,79.6
2016-11-25,83.4
2016-11-28,83.4
2016-11-29,84.55
2016-11-30,84.05
2016-12-01,83.8
2016-12-02,82.35
2016-12-05,81.9
2016-12-06,82.45
2016-12-07,82.45
2016-12-08,85.0
2016-12-09,85.3
2016-12-12,82.4
2016-12-13,82.3
2016-12-14,81.25
2016-12-15,80.1
2016-12-16,79.5
2016-12-19,79.25
2016-12-20,77.7
2016-12-21,87.6
2016-12-22,81.9
2016-12-23,79.5
2016-12-26,76.5
2016-12-27,78.8
2016-12-28,78.75
2016-12-29,78.85
2016-12-30,80.2
