Date,SELMCL
2016-01-01,5.05
2016-01-04,4.9
2016-01-05,5.0
2016-01-06,5.15
2016-01-07,4.95
2016-01-08,5.1
2016-01-11,5.0
2016-01-12,4.85
2016-01-13,4.5
2016-01-14,4.2
2016-01-15,4.05
2016-01-18,3.85
2016-01-19,4.0
2016-01-20,3.8
2016-01-21,3.9
2016-01-22,4.0
2016-01-25,3.95
2016-01-27,4.0
2016-01-28,3.9
2016-01-29,4.1
2016-02-01,4.2
2016-02-02,4.7
2016-02-03,4.35
2016-02-04,4.3
2016-02-05,4.3
2016-02-08,4.35
2016-02-09,4.05
2016-02-10,4.1
2016-02-11,3.8
2016-02-12,3.8
2016-02-15,3.9
2016-02-16,3.8
2016-02-17,3.85
2016-02-18,3.7
2016-02-19,3.7
2016-02-22,3.75
2016-02-23,3.65
2016-02-24,3.5
2016-02-25,3.5
2016-02-26,3.5
2016-02-29,3.45
2016-03-01,3.45
2016-03-02,3.6
2016-03-03,3.5
2016-03-04,3.4
2016-03-08,3.5
2016-03-09,3.45
2016-03-10,3.45
2016-03-11,3.4
2016-03-14,3.35
2016-03-15,3.3
2016-03-16,3.3
2016-03-17,3.55
2016-03-18,3.55
2016-03-21,3.55
2016-03-22,3.5
2016-03-23,3.45
2016-03-28,3.25
2016-03-29,3.1
2016-03-30,3.2
2016-03-31,3.25
2016-04-01,3.35
2016-04-04,3.4
2016-04-05,3.35
2016-04-06,3.45
2016-04-07,3.45
2016-04-08,3.35
2016-04-11,3.35
2016-04-12,3.4
2016-04-13,3.45
2016-04-18,3.4
2016-04-20,3.35
2016-04-21,3.4
2016-04-22,3.35
2016-04-25,3.4
2016-04-26,3.35
2016-04-27,3.25
2016-04-28,3.3
2016-04-29,3.25
2016-05-02,3.3
2016-05-03,3.25
2016-05-04,3.25
2016-05-05,3.2
2016-05-06,3.25
2016-05-09,3.2
2016-05-10,3.25
2016-05-11,3.2
2016-05-12,3.25
2016-05-13,3.05
2016-05-16,3.15
2016-05-17,3.1
2016-05-18,3.2
2016-05-19,3.2
2016-05-20,3.1
2016-05-23,3.0
2016-05-24,3.05
2016-05-25,3.05
2016-05-26,3.0
2016-05-27,3.0
2016-05-30,3.05
2016-05-31,3.1
2016-06-01,3.1
2016-06-02,3.1
2016-06-03,3.1
2016-06-06,3.1
2016-06-07,3.1
2016-06-08,3.15
2016-06-09,3.1
2016-06-10,3.3
2016-06-13,3.4
2016-06-14,3.55
2016-06-15,4.25
2016-06-16,3.9
2016-06-17,3.9
2016-06-20,4.15
2016-06-21,4.45
2016-06-22,4.3
2016-06-23,4.1
2016-06-24,4.1
2016-06-27,4.2
2016-06-28,4.15
2016-06-29,4.2
2016-06-30,4.3
2016-07-01,4.2
2016-07-04,4.2
2016-07-05,4.2
2016-07-07,4.45
2016-07-08,4.4
2016-07-11,4.4
2016-07-12,4.3
2016-07-13,4.15
2016-07-14,4.15
2016-07-15,4.15
2016-07-18,4.1
2016-07-19,4.15
2016-07-20,4.05
2016-07-21,3.95
2016-07-22,4.0
2016-07-25,4.0
2016-07-26,3.95
2016-07-27,3.85
2016-07-28,3.8
2016-07-29,3.7
2016-08-01,3.65
2016-08-02,3.5
2016-08-03,3.45
2016-08-04,3.55
2016-08-05,3.55
2016-08-08,3.55
2016-08-09,3.75
2016-08-10,3.5
2016-08-11,3.55
2016-08-12,3.45
2016-08-16,3.35
2016-08-17,3.3
2016-08-18,3.35
2016-08-19,3.4
2016-08-22,3.35
2016-08-23,3.3
2016-08-24,3.3
2016-08-25,3.4
2016-08-26,3.35
2016-08-29,3.25
2016-08-30,3.15
2016-08-31,3.2
2016-09-01,3.15
2016-09-02,3.2
2016-09-06,3.25
2016-09-07,3.5
2016-09-08,3.4
2016-09-09,3.45
2016-09-12,3.2
2016-09-14,3.1
2016-09-15,3.0
2016-09-16,2.95
2016-09-19,2.95
2016-09-20,3.0
2016-09-21,3.15
2016-09-22,3.1
2016-09-23,3.1
2016-09-26,3.05
2016-09-27,3.05
2016-09-28,3.1
2016-09-29,2.95
2016-09-30,3.05
2016-10-03,3.2
2016-10-04,3.15
2016-10-05,3.2
2016-10-06,3.1
2016-10-07,3.1
2016-10-10,3.1
2016-10-13,3.1
2016-10-14,3.05
2016-10-17,3.05
2016-10-18,3.15
2016-10-19,3.15
2016-10-20,3.1
2016-10-21,3.7
2016-10-24,3.45
2016-10-25,3.5
2016-10-26,3.45
2016-10-27,3.45
2016-10-28,3.45
2016-10-30,3.5
2016-11-01,3.45
2016-11-02,3.3
2016-11-03,3.25
2016-11-04,3.2
2016-11-07,3.2
2016-11-08,3.2
2016-11-09,3.0
2016-11-10,3.15
2016-11-11,3.05
2016-11-15,3.0
2016-11-16,2.95
2016-11-17,2.95
2016-11-18,3.0
2016-11-21,2.95
2016-11-22,2.95
2016-11-23,2.95
2016-11-24,2.9
2016-11-25,3.0
2016-11-28,3.05
2016-11-29,3.0
2016-11-30,3.0
2016-12-01,3.1
2016-12-02,3.05
2016-12-05,3.05
2016-12-06,3.05
2016-12-07,3.05
2016-12-08,3.1
2016-12-09,3.05
2016-12-12,3.05
2016-12-13,3.0
2016-12-14,2.95
2016-12-15,3.0
2016-12-16,3.0
2016-12-19,3.1
2016-12-20,3.2
2016-12-21,3.05
2016-12-22,3.0
2016-12-23,2.9
2016-12-26,2.8
2016-12-27,2.85
2016-12-28,2.9
2016-12-29,2.85
2016-12-30,2.95
