Date,PENPEBS
2016-01-01,155.55
2016-01-04,156.0
2016-01-05,158.85
2016-01-06,160.15
2016-01-07,155.75
2016-01-08,157.85
2016-01-11,155.95
2016-01-12,149.95
2016-01-13,158.75
2016-01-14,157.8
2016-01-15,153.0
2016-01-18,150.05
2016-01-19,152.0
2016-01-20,152.0
2016-01-21,152.0
2016-01-22,156.35
2016-01-25,148.2
2016-01-27,147.2
2016-01-28,148.0
2016-01-29,154.05
2016-02-01,153.0
2016-02-02,150.4
2016-02-03,151.4
2016-02-04,148.95
2016-02-05,153.95
2016-02-08,148.0
2016-02-09,145.1
2016-02-10,145.4
2016-02-11,144.65
2016-02-12,144.9
2016-02-15,149.9
2016-02-16,147.75
2016-02-17,146.0
2016-02-18,146.0
2016-02-19,144.85
2016-02-22,139.15
2016-02-23,144.15
2016-02-24,141.5
2016-02-25,140.0
2016-02-26,142.9
2016-02-29,144.0
2016-03-01,146.85
2016-03-02,148.0
2016-03-03,151.2
2016-03-04,148.25
2016-03-08,147.05
2016-03-09,150.0
2016-03-10,151.0
2016-03-11,148.1
2016-03-14,144.2
2016-03-15,143.95
2016-03-16,140.15
2016-03-17,143.65
2016-03-18,142.35
2016-03-21,144.4
2016-03-22,140.65
2016-03-23,151.7
2016-03-28,140.25
2016-03-29,149.95
2016-03-30,160.9
2016-03-31,166.85
2016-04-01,151.85
2016-04-04,153.2
2016-04-05,152.0
2016-04-06,155.35
2016-04-07,161.2
2016-04-08,160.1
2016-04-11,162.0
2016-04-12,162.25
2016-04-13,157.1
2016-04-18,154.0
2016-04-20,152.05
2016-04-21,152.0
2016-04-22,151.1
2016-04-25,149.5
2016-04-26,148.8
2016-04-27,150.6
2016-04-28,149.7
2016-04-29,144.4
2016-05-02,148.9
2016-05-03,146.1
2016-05-04,142.75
2016-05-05,149.2
2016-05-06,155.95
2016-05-09,151.3
2016-05-10,154.95
2016-05-11,150.6
2016-05-12,149.45
2016-05-13,151.55
2016-05-16,150.5
2016-05-17,150.15
2016-05-18,151.5
2016-05-19,149.1
2016-05-20,147.3
2016-05-23,146.05
2016-05-24,147.5
2016-05-25,149.4
2016-05-26,144.5
2016-05-27,150.0
2016-05-30,150.0
2016-05-31,151.5
2016-06-01,148.0
2016-06-02,146.65
2016-06-03,147.0
2016-06-06,146.0
2016-06-07,149.0
2016-06-08,143.8
2016-06-09,146.3
2016-06-10,148.95
2016-06-13,145.5
2016-06-14,146.0
2016-06-15,148.95
2016-06-16,149.15
2016-06-17,149.75
2016-06-20,149.8
2016-06-21,148.25
2016-06-22,148.65
2016-06-23,150.95
2016-06-24,149.0
2016-06-27,151.8
2016-06-28,156.5
2016-06-29,162.25
2016-06-30,159.2
2016-07-01,167.2
2016-07-04,167.65
2016-07-05,165.85
2016-07-07,164.0
2016-07-08,164.0
2016-07-11,161.0
2016-07-12,167.2
2016-07-13,173.05
2016-07-14,173.1
2016-07-15,174.0
2016-07-18,167.55
2016-07-19,181.9
2016-07-20,178.5
2016-07-21,175.6
2016-07-22,177.15
2016-07-25,185.8
2016-07-26,186.4
2016-07-27,183.4
2016-07-28,187.45
2016-07-29,181.6
2016-08-01,182.75
2016-08-02,192.3
2016-08-03,190.25
2016-08-04,184.15
2016-08-05,184.3
2016-08-08,185.05
2016-08-09,190.1
2016-08-10,182.65
2016-08-11,180.2
2016-08-12,178.3
2016-08-16,176.85
2016-08-17,178.4
2016-08-18,180.0
2016-08-19,178.0
2016-08-22,176.15
2016-08-23,180.0
2016-08-24,177.2
2016-08-25,174.25
2016-08-26,174.8
2016-08-29,177.55
2016-08-30,176.0
2016-08-31,177.25
2016-09-01,171.7
2016-09-02,172.0
2016-09-06,181.35
2016-09-07,172.25
2016-09-08,173.55
2016-09-09,172.5
2016-09-12,163.55
2016-09-14,170.75
2016-09-15,170.6
2016-09-16,175.45
2016-09-19,169.85
2016-09-20,166.2
2016-09-21,169.9
2016-09-22,170.15
2016-09-23,171.9
2016-09-26,169.65
2016-09-27,169.15
2016-09-28,170.7
2016-09-29,168.0
2016-09-30,172.0
2016-10-03,181.25
2016-10-04,186.45
2016-10-05,188.05
2016-10-06,187.8
2016-10-07,191.15
2016-10-10,186.95
2016-10-13,180.25
2016-10-14,181.85
2016-10-17,183.8
2016-10-18,181.0
2016-10-19,179.9
2016-10-20,183.6
2016-10-21,181.1
2016-10-24,181.85
2016-10-25,181.3
2016-10-26,180.2
2016-10-27,179.65
2016-10-28,179.8
2016-10-30,182.6
2016-11-01,178.05
2016-11-02,176.7
2016-11-03,172.0
2016-11-04,170.95
2016-11-07,177.3
2016-11-08,174.2
2016-11-09,170.5
2016-11-10,172.75
2016-11-11,165.0
2016-11-15,148.8
2016-11-16,155.75
2016-11-17,150.0
2016-11-18,153.0
2016-11-21,150.0
2016-11-22,150.0
2016-11-23,145.0
2016-11-24,149.75
2016-11-25,149.2
2016-11-28,154.35
2016-11-29,152.1
2016-11-30,153.6
2016-12-01,156.1
2016-12-02,157.3
2016-12-05,157.2
2016-12-06,157.8
2016-12-07,157.6
2016-12-08,156.55
2016-12-09,159.8
2016-12-12,157.85
2016-12-13,156.25
2016-12-14,160.0
2016-12-15,155.15
2016-12-16,158.8
2016-12-19,158.95
2016-12-20,157.45
2016-12-21,159.9
2016-12-22,152.5
2016-12-23,155.35
2016-12-26,149.9
2016-12-27,147.5
2016-12-28,150.9
2016-12-29,150.0
2016-12-30,150.6
