Date,ASSAMCO
2016-01-01,6.3
2016-01-04,7.35
2016-01-05,7.7
2016-01-06,6.95
2016-01-07,6.35
2016-01-08,6.7
2016-01-11,6.75
2016-01-12,6.4
2016-01-13,5.9
2016-01-14,5.75
2016-01-15,5.25
2016-01-18,5.0
2016-01-19,4.95
2016-01-20,5.15
2016-01-21,5.4
2016-01-22,5.65
2016-01-25,5.9
2016-01-27,5.65
2016-01-28,5.4
2016-01-29,5.65
2016-02-01,5.7
2016-02-02,5.45
2016-02-03,5.2
2016-02-04,5.05
2016-02-05,5.05
2016-02-08,5.1
2016-02-09,5.1
2016-02-10,4.95
2016-02-11,4.5
2016-02-12,4.5
2016-02-15,4.95
2016-02-16,4.95
2016-02-17,4.8
2016-02-18,4.8
2016-02-19,4.9
2016-02-22,4.65
2016-02-23,4.4
2016-02-24,4.3
2016-02-25,4.25
2016-02-26,4.3
2016-02-29,4.5
2016-03-01,4.6
2016-03-02,4.65
2016-03-03,5.0
2016-03-04,5.15
2016-03-08,5.5
2016-03-09,5.35
2016-03-10,5.25
2016-03-11,5.2
2016-03-14,5.3
2016-03-15,5.25
2016-03-16,5.2
2016-03-17,5.2
2016-03-18,5.1
2016-03-21,5.1
2016-03-22,5.4
2016-03-23,5.25
2016-03-28,5.0
2016-03-29,4.95
2016-03-30,5.1
2016-03-31,5.05
2016-04-01,5.65
2016-04-04,5.75
2016-04-05,5.8
2016-04-06,5.95
2016-04-07,5.75
2016-04-08,5.65
2016-04-11,5.8
2016-04-12,5.6
2016-04-13,5.7
2016-04-18,5.8
2016-04-20,5.7
2016-04-21,5.65
2016-04-22,6.3
2016-04-25,6.5
2016-04-26,6.4
2016-04-27,6.3
2016-04-28,6.1
2016-04-29,6.0
2016-05-02,5.9
2016-05-03,5.8
2016-05-04,5.65
2016-05-05,6.0
2016-05-06,5.8
2016-05-09,5.8
2016-05-10,5.8
2016-05-11,5.65
2016-05-12,5.75
2016-05-13,5.65
2016-05-16,5.65
2016-05-17,5.7
2016-05-18,5.75
2016-05-19,5.95
2016-05-20,5.95
2016-05-23,5.9
2016-05-24,5.7
2016-05-25,5.75
2016-05-26,5.8
2016-05-27,5.9
2016-05-30,5.15
2016-05-31,5.0
2016-06-01,4.95
2016-06-02,4.85
2016-06-03,4.85
2016-06-06,4.8
2016-06-07,5.0
2016-06-08,5.4
2016-06-09,5.75
2016-06-10,5.5
2016-06-13,6.15
2016-06-14,6.05
2016-06-15,6.1
2016-06-16,5.85
2016-06-17,5.95
2016-06-20,5.9
2016-06-21,5.8
2016-06-22,6.6
2016-06-23,6.2
2016-06-24,5.9
2016-06-27,6.05
2016-06-28,6.25
2016-06-29,6.3
2016-06-30,6.1
2016-07-01,6.85
2016-07-04,6.6
2016-07-05,6.5
2016-07-07,6.7
2016-07-08,6.55
2016-07-11,6.6
2016-07-12,6.75
2016-07-13,6.5
2016-07-14,7.4
2016-07-15,7.85
2016-07-18,7.5
2016-07-19,7.45
2016-07-20,7.65
2016-07-21,7.35
2016-07-22,7.15
2016-07-25,7.35
2016-07-26,7.0
2016-07-27,7.2
2016-07-28,7.1
2016-07-29,7.1
2016-08-01,6.8
2016-08-02,6.4
2016-08-03,6.2
2016-08-04,6.35
2016-08-05,6.5
2016-08-08,6.5
2016-08-09,6.4
2016-08-10,6.15
2016-08-11,6.2
2016-08-12,6.05
2016-08-16,5.7
2016-08-17,5.85
2016-08-18,6.15
2016-08-19,6.2
2016-08-22,6.0
2016-08-23,5.95
2016-08-24,5.95
2016-08-25,6.0
2016-08-26,5.9
2016-08-29,5.75
2016-08-30,5.7
2016-08-31,5.6
2016-09-01,5.65
2016-09-02,5.6
2016-09-06,5.75
2016-09-07,6.0
2016-09-08,6.15
2016-09-09,6.45
2016-09-12,6.0
2016-09-14,6.25
2016-09-15,6.15
2016-09-16,6.1
2016-09-19,6.0
2016-09-20,5.9
2016-09-21,5.9
2016-09-22,5.9
2016-09-23,5.9
2016-09-26,5.85
2016-09-27,5.85
2016-09-28,5.85
2016-09-29,5.3
2016-09-30,5.6
2016-10-03,5.75
2016-10-04,5.7
2016-10-05,6.15
2016-10-06,6.0
2016-10-07,6.0
2016-10-10,5.8
2016-10-13,5.3
2016-10-14,5.6
2016-10-17,5.5
2016-10-18,5.55
2016-10-19,5.55
2016-10-20,5.5
2016-10-21,5.55
2016-10-24,5.55
2016-10-25,5.5
2016-10-26,5.7
2016-10-27,5.6
2016-10-28,5.5
2016-10-30,5.65
2016-11-01,5.65
2016-11-02,5.5
2016-11-03,5.45
2016-11-04,5.35
2016-11-07,5.4
2016-11-08,5.35
2016-11-09,5.05
2016-11-10,5.25
2016-11-11,5.0
2016-11-15,4.85
2016-11-16,4.7
2016-11-17,4.65
2016-11-18,4.65
2016-11-21,4.55
2016-11-22,4.45
2016-11-23,4.5
2016-11-24,4.65
2016-11-25,4.8
2016-11-28,4.75
2016-11-29,4.9
2016-11-30,5.05
2016-12-01,5.05
2016-12-02,4.9
2016-12-05,4.85
2016-12-06,4.9
2016-12-07,4.8
2016-12-08,4.85
2016-12-09,4.95
2016-12-12,4.95
2016-12-13,5.05
2016-12-14,4.95
2016-12-15,4.9
2016-12-16,4.95
2016-12-19,4.95
2016-12-20,4.9
2016-12-21,4.85
2016-12-22,4.85
2016-12-23,4.9
2016-12-26,5.0
2016-12-27,5.0
2016-12-28,5.0
2016-12-29,5.0
2016-12-30,5.1
