Date,SURANAT&P
2016-01-01,6.4
2016-01-04,7.65
2016-01-05,8.4
2016-01-06,8.05
2016-01-07,7.4
2016-01-08,7.5
2016-01-11,7.5
2016-01-12,7.1
2016-01-13,6.45
2016-01-14,6.0
2016-01-15,5.9
2016-01-18,5.1
2016-01-19,5.45
2016-01-20,5.3
2016-01-21,5.35
2016-01-22,5.7
2016-01-25,5.9
2016-01-27,6.0
2016-01-28,6.0
2016-01-29,5.8
2016-02-01,6.05
2016-02-02,5.95
2016-02-03,5.55
2016-02-04,5.7
2016-02-05,5.65
2016-02-08,5.8
2016-02-09,5.45
2016-02-10,5.45
2016-02-11,5.0
2016-02-12,4.75
2016-02-15,5.35
2016-02-16,5.15
2016-02-17,5.5
2016-02-18,5.3
2016-02-19,5.55
2016-02-22,5.4
2016-02-23,5.3
2016-02-24,5.1
2016-02-25,5.35
2016-02-26,5.2
2016-02-29,5.3
2016-03-01,5.4
2016-03-02,5.55
2016-03-03,5.35
2016-03-04,5.3
2016-03-08,5.35
2016-03-09,5.25
2016-03-10,5.3
2016-03-11,5.05
2016-03-14,5.2
2016-03-15,5.4
2016-03-16,5.2
2016-03-17,5.15
2016-03-18,5.0
2016-03-21,5.15
2016-03-22,5.2
2016-03-23,5.35
2016-03-28,5.05
2016-03-29,5.0
2016-03-30,5.05
2016-03-31,5.15
2016-04-01,5.2
2016-04-04,5.2
2016-04-05,5.25
2016-04-06,5.1
2016-04-07,4.95
2016-04-08,5.1
2016-04-11,5.05
2016-04-12,5.15
2016-04-13,5.1
2016-04-18,5.15
2016-04-20,5.2
2016-04-21,5.1
2016-04-22,5.05
2016-04-25,5.2
2016-04-26,5.2
2016-04-27,5.0
2016-04-28,5.05
2016-04-29,4.95
2016-05-02,5.05
2016-05-03,5.0
2016-05-04,4.9
2016-05-05,5.05
2016-05-06,4.85
2016-05-09,4.9
2016-05-10,4.95
2016-05-11,4.95
2016-05-12,4.85
2016-05-13,4.9
2016-05-16,4.6
2016-05-17,4.7
2016-05-18,4.7
2016-05-19,4.75
2016-05-20,4.85
2016-05-23,4.55
2016-05-24,4.75
2016-05-25,4.6
2016-05-26,4.65
2016-05-27,4.7
2016-05-30,4.75
2016-05-31,4.65
2016-06-01,4.6
2016-06-02,4.7
2016-06-03,4.6
2016-06-06,4.7
2016-06-07,4.55
2016-06-08,4.8
2016-06-09,4.65
2016-06-10,4.65
2016-06-13,4.65
2016-06-14,4.7
2016-06-15,4.85
2016-06-16,5.0
2016-06-17,5.05
2016-06-20,4.9
2016-06-21,4.75
2016-06-22,4.7
2016-06-23,4.6
2016-06-24,4.7
2016-06-27,4.8
2016-06-28,4.95
2016-06-29,5.9
2016-06-30,5.85
2016-07-01,5.75
2016-07-04,5.7
2016-07-05,6.8
2016-07-07,6.7
2016-07-08,6.9
2016-07-11,6.8
2016-07-12,6.65
2016-07-13,6.55
2016-07-14,6.55
2016-07-15,6.45
2016-07-18,6.25
2016-07-19,6.55
2016-07-20,6.95
2016-07-21,6.7
2016-07-22,6.4
2016-07-25,6.5
2016-07-26,6.35
2016-07-27,6.15
2016-07-28,6.45
2016-07-29,6.4
2016-08-01,6.05
2016-08-02,6.05
2016-08-03,5.75
2016-08-04,5.75
2016-08-05,5.95
2016-08-08,5.05
2016-08-09,5.1
2016-08-10,5.35
2016-08-11,5.4
2016-08-12,5.4
2016-08-16,5.0
2016-08-17,5.0
2016-08-18,5.05
2016-08-19,5.25
2016-08-22,5.1
2016-08-23,5.1
2016-08-24,4.95
2016-08-25,5.05
2016-08-26,5.0
2016-08-29,5.1
2016-08-30,5.05
2016-08-31,4.9
2016-09-01,5.0
2016-09-02,4.9
2016-09-06,4.95
2016-09-07,5.15
2016-09-08,4.9
2016-09-09,5.15
2016-09-12,5.0
2016-09-14,4.9
2016-09-15,5.1
2016-09-16,5.05
2016-09-19,5.1
2016-09-20,5.0
2016-09-21,5.15
2016-09-22,5.1
2016-09-23,5.35
2016-09-26,5.3
2016-09-27,5.15
2016-09-28,5.15
2016-09-29,5.1
2016-09-30,5.2
2016-10-03,5.25
2016-10-04,5.35
2016-10-05,5.25
2016-10-06,5.45
2016-10-07,5.55
2016-10-10,5.6
2016-10-13,5.5
2016-10-14,5.5
2016-10-17,5.65
2016-10-18,5.55
2016-10-19,5.65
2016-10-20,5.65
2016-10-21,5.65
2016-10-24,5.5
2016-10-25,5.65
2016-10-26,5.55
2016-10-27,5.6
2016-10-28,5.45
2016-10-30,5.6
2016-11-01,5.65
2016-11-02,5.7
2016-11-03,5.7
2016-11-04,5.45
2016-11-07,5.5
2016-11-08,5.35
2016-11-09,5.25
2016-11-10,5.35
2016-11-11,5.45
2016-11-15,5.05
2016-11-16,5.1
2016-11-17,5.2
2016-11-18,5.1
2016-11-21,4.75
2016-11-22,4.85
2016-11-23,5.0
2016-11-24,4.95
2016-11-25,5.1
2016-11-28,5.05
2016-11-29,5.2
2016-11-30,5.2
2016-12-01,5.1
2016-12-02,5.1
2016-12-05,4.8
2016-12-06,4.8
2016-12-07,4.9
2016-12-08,5.0
2016-12-09,5.1
2016-12-12,4.95
2016-12-13,4.85
2016-12-14,4.85
2016-12-15,4.95
2016-12-16,4.7
2016-12-19,5.0
2016-12-20,4.95
2016-12-21,4.85
2016-12-22,4.95
2016-12-23,4.9
2016-12-26,4.85
2016-12-27,4.75
2016-12-28,4.95
2016-12-29,4.7
2016-12-30,4.7
