Date,PRABHAT
2016-01-01,142.75
2016-01-04,140.0
2016-01-05,140.1
2016-01-06,139.85
2016-01-07,135.2
2016-01-08,137.25
2016-01-11,137.45
2016-01-12,133.95
2016-01-13,129.45
2016-01-14,125.2
2016-01-15,121.75
2016-01-18,113.55
2016-01-19,112.6
2016-01-20,109.95
2016-01-21,112.75
2016-01-22,117.7
2016-01-25,116.2
2016-01-27,118.5
2016-01-28,117.35
2016-01-29,119.75
2016-02-01,120.2
2016-02-02,117.5
2016-02-03,112.35
2016-02-04,112.15
2016-02-05,117.25
2016-02-08,112.9
2016-02-09,111.75
2016-02-10,109.3
2016-02-11,102.1
2016-02-12,100.7
2016-02-15,106.3
2016-02-16,105.5
2016-02-17,105.2
2016-02-18,101.3
2016-02-19,95.7
2016-02-22,93.85
2016-02-23,90.8
2016-02-24,86.5
2016-02-25,80.25
2016-02-26,76.0
2016-02-29,76.6
2016-03-01,80.55
2016-03-02,96.65
2016-03-03,103.5
2016-03-04,106.35
2016-03-08,110.5
2016-03-09,114.75
2016-03-10,111.95
2016-03-11,108.9
2016-03-14,111.15
2016-03-15,110.45
2016-03-16,111.15
2016-03-17,108.05
2016-03-18,108.7
2016-03-21,109.9
2016-03-22,110.8
2016-03-23,109.2
2016-03-28,108.05
2016-03-29,107.0
2016-03-30,111.85
2016-03-31,109.55
2016-04-01,110.8
2016-04-04,109.95
2016-04-05,108.5
2016-04-06,110.95
2016-04-07,111.1
2016-04-08,114.55
2016-04-11,116.4
2016-04-12,114.95
2016-04-13,114.85
2016-04-18,114.65
2016-04-20,123.15
2016-04-21,119.1
2016-04-22,118.4
2016-04-25,118.05
2016-04-26,118.1
2016-04-27,117.25
2016-04-28,111.3
2016-04-29,111.3
2016-05-02,109.5
2016-05-03,108.85
2016-05-04,108.45
2016-05-05,107.2
2016-05-06,105.4
2016-05-09,106.15
2016-05-10,105.65
2016-05-11,105.4
2016-05-12,105.35
2016-05-13,103.1
2016-05-16,104.35
2016-05-17,101.5
2016-05-18,98.95
2016-05-19,100.95
2016-05-20,100.2
2016-05-23,98.95
2016-05-24,98.5
2016-05-25,98.35
2016-05-26,97.7
2016-05-27,100.15
2016-05-30,103.55
2016-05-31,103.55
2016-06-01,102.7
2016-06-02,102.05
2016-06-03,105.35
2016-06-06,103.05
2016-06-07,104.0
2016-06-08,102.3
2016-06-09,101.85
2016-06-10,99.45
2016-06-13,97.2
2016-06-14,97.85
2016-06-15,100.6
2016-06-16,101.8
2016-06-17,104.55
2016-06-20,102.55
2016-06-21,101.7
2016-06-22,100.6
2016-06-23,99.45
2016-06-24,96.5
2016-06-27,98.7
2016-06-28,99.15
2016-06-29,99.2
2016-06-30,99.15
2016-07-01,98.75
2016-07-04,100.0
2016-07-05,100.0
2016-07-07,99.45
2016-07-08,99.1
2016-07-11,100.0
2016-07-12,99.0
2016-07-13,97.25
2016-07-14,97.0
2016-07-15,97.1
2016-07-18,96.45
2016-07-19,95.75
2016-07-20,96.85
2016-07-21,96.0
2016-07-22,95.15
2016-07-25,98.25
2016-07-26,95.2
2016-07-27,93.8
2016-07-28,93.1
2016-07-29,91.65
2016-08-01,92.2
2016-08-02,90.3
2016-08-03,90.55
2016-08-04,89.55
2016-08-05,88.85
2016-08-08,88.95
2016-08-09,88.6
2016-08-10,87.05
2016-08-11,84.7
2016-08-12,84.55
2016-08-16,81.25
2016-08-17,79.55
2016-08-18,78.3
2016-08-19,78.45
2016-08-22,79.0
2016-08-23,85.25
2016-08-24,83.1
2016-08-25,89.0
2016-08-26,94.05
2016-08-29,96.65
2016-08-30,94.35
2016-08-31,92.95
2016-09-01,95.35
2016-09-02,95.1
2016-09-06,95.0
2016-09-07,91.75
2016-09-08,93.0
2016-09-09,92.35
2016-09-12,90.85
2016-09-14,90.75
2016-09-15,91.25
2016-09-16,90.45
2016-09-19,92.15
2016-09-20,98.5
2016-09-21,117.7
2016-09-22,118.4
2016-09-23,113.3
2016-09-26,114.65
2016-09-27,120.35
2016-09-28,121.9
2016-09-29,112.9
2016-09-30,116.9
2016-10-03,119.35
2016-10-04,123.55
2016-10-05,124.2
2016-10-06,121.7
2016-10-07,124.5
2016-10-10,121.85
2016-10-13,118.45
2016-10-14,115.65
2016-10-17,124.45
2016-10-18,130.75
2016-10-19,131.7
2016-10-20,128.55
2016-10-21,123.85
2016-10-24,124.1
2016-10-25,120.4
2016-10-26,118.95
2016-10-27,120.7
2016-10-28,120.95
2016-10-30,122.85
2016-11-01,119.85
2016-11-02,118.5
2016-11-03,119.8
2016-11-04,114.2
2016-11-07,114.5
2016-11-08,114.65
2016-11-09,111.05
2016-11-10,116.05
2016-11-11,110.85
2016-11-15,102.8
2016-11-16,101.6
2016-11-17,99.75
2016-11-18,102.1
2016-11-21,99.9
2016-11-22,100.75
2016-11-23,102.35
2016-11-24,102.55
2016-11-25,103.95
2016-11-28,104.85
2016-11-29,102.95
2016-11-30,104.45
2016-12-01,103.05
2016-12-02,101.75
2016-12-05,101.25
2016-12-06,99.9
2016-12-07,97.7
2016-12-08,99.4
2016-12-09,101.1
2016-12-12,99.75
2016-12-13,99.65
2016-12-14,99.0
2016-12-15,99.0
2016-12-16,98.9
2016-12-19,97.4
2016-12-20,95.2
2016-12-21,93.75
2016-12-22,92.4
2016-12-23,93.3
2016-12-26,92.1
2016-12-27,92.85
2016-12-28,94.65
2016-12-29,98.3
2016-12-30,99.45
