Date,ALANKIT
2016-01-01,63.05
2016-01-04,60.1
2016-01-05,61.15
2016-01-06,60.45
2016-01-07,58.1
2016-01-08,59.8
2016-01-11,65.95
2016-01-12,71.75
2016-01-13,75.05
2016-01-14,73.8
2016-01-15,72.1
2016-01-18,71.25
2016-01-19,74.05
2016-01-20,70.5
2016-01-21,71.0
2016-01-22,74.55
2016-01-25,77.9
2016-01-27,85.35
2016-01-28,84.0
2016-01-29,85.6
2016-02-01,86.05
2016-02-02,83.35
2016-02-03,82.15
2016-02-04,83.15
2016-02-05,84.3
2016-02-08,83.55
2016-02-09,81.45
2016-02-10,81.25
2016-02-11,76.05
2016-02-12,77.3
2016-02-15,90.75
2016-02-16,88.65
2016-02-17,90.35
2016-02-18,92.05
2016-02-19,92.1
2016-02-22,92.45
2016-02-23,90.25
2016-02-24,89.45
2016-02-25,87.5
2016-02-26,90.55
2016-02-29,89.75
2016-03-01,95.65
2016-03-02,98.1
2016-03-03,98.85
2016-03-04,97.35
2016-03-08,97.05
2016-03-09,97.4
2016-03-10,96.15
2016-03-11,96.65
2016-03-14,102.35
2016-03-15,100.3
2016-03-16,101.6
2016-03-17,102.35
2016-03-18,102.75
2016-03-21,106.2
2016-03-22,103.6
2016-03-23,103.9
2016-03-28,100.7
2016-03-29,100.3
2016-03-30,101.7
2016-03-31,101.75
2016-04-01,102.1
2016-04-04,102.25
2016-04-05,100.6
2016-04-06,101.1
2016-04-07,100.25
2016-04-08,101.4
2016-04-11,103.15
2016-04-12,104.5
2016-04-13,106.15
2016-04-18,107.25
2016-04-20,104.3
2016-04-21,103.55
2016-04-22,103.35
2016-04-25,101.35
2016-04-26,107.85
2016-04-27,108.55
2016-04-28,107.15
2016-04-29,106.7
2016-05-02,107.1
2016-05-03,106.3
2016-05-04,98.45
2016-05-05,98.75
2016-05-06,99.65
2016-05-09,105.25
2016-05-10,104.35
2016-05-11,103.9
2016-05-12,107.7
2016-05-13,106.95
2016-05-16,108.75
2016-05-17,107.3
2016-05-18,109.05
2016-05-19,111.1
2016-05-20,110.55
2016-05-23,110.0
2016-05-24,110.95
2016-05-25,111.35
2016-05-26,112.0
2016-05-27,111.95
2016-05-30,118.85
2016-05-31,117.25
2016-06-01,128.9
2016-06-02,128.25
2016-06-03,126.6
2016-06-06,122.95
2016-06-07,130.45
2016-06-08,127.4
2016-06-09,128.65
2016-06-10,129.3
2016-06-13,127.75
2016-06-14,127.6
2016-06-15,131.05
2016-06-16,127.2
2016-06-17,128.65
2016-06-20,134.5
2016-06-21,130.8
2016-06-22,136.6
2016-06-23,147.4
2016-06-24,141.2
2016-06-27,138.9
2016-06-28,132.65
2016-06-29,132.35
2016-06-30,130.6
2016-07-01,131.85
2016-07-04,130.25
2016-07-05,130.15
2016-07-07,140.1
2016-07-08,139.3
2016-07-11,138.65
2016-07-12,138.1
2016-07-13,135.15
2016-07-14,137.0
2016-07-15,136.4
2016-07-18,136.95
2016-07-19,135.55
2016-07-20,136.7
2016-07-21,134.95
2016-07-22,135.8
2016-07-25,135.65
2016-07-26,134.25
2016-07-27,134.1
2016-07-28,133.0
2016-07-29,130.55
2016-08-01,129.4
2016-08-02,127.85
2016-08-03,124.85
2016-08-04,124.25
2016-08-05,125.85
2016-08-08,125.65
2016-08-09,126.85
2016-08-10,127.15
2016-08-11,128.1
2016-08-12,129.15
2016-08-16,128.1
2016-08-17,125.95
2016-08-18,131.9
2016-08-19,126.8
2016-08-22,137.25
2016-08-23,139.9
2016-08-24,145.1
2016-08-25,147.2
2016-08-26,140.8
2016-08-29,143.95
2016-08-30,142.1
2016-08-31,142.25
2016-09-01,137.9
2016-09-02,134.7
2016-09-06,139.15
2016-09-07,139.7
2016-09-08,141.75
2016-09-09,138.5
2016-09-12,135.5
2016-09-14,136.95
2016-09-15,144.15
2016-09-16,140.5
2016-09-19,138.7
2016-09-20,136.95
2016-09-21,141.35
2016-09-22,144.4
2016-09-23,141.8
2016-09-26,141.7
2016-09-27,145.9
2016-09-28,148.05
2016-09-29,142.95
2016-09-30,138.7
2016-10-03,136.45
2016-10-04,134.75
2016-10-05,134.8
2016-10-06,134.15
2016-10-07,134.1
2016-10-10,134.2
2016-10-13,133.8
2016-10-14,132.3
2016-10-17,129.2
2016-10-18,136.1
2016-10-19,77.25
2016-10-20,76.4
2016-10-21,74.6
2016-10-24,74.85
2016-10-25,73.4
2016-10-26,70.25
2016-10-27,70.55
2016-10-28,69.65
2016-10-30,75.1
2016-11-01,68.8
2016-11-02,66.55
2016-11-03,66.5
2016-11-04,62.65
2016-11-07,62.8
2016-11-08,62.6
2016-11-09,56.55
2016-11-10,58.7
2016-11-11,56.05
2016-11-15,51.75
2016-11-16,52.65
2016-11-17,50.85
2016-11-18,50.1
2016-11-21,50.05
2016-11-22,50.2
2016-11-23,54.05
2016-11-24,52.05
2016-11-25,52.1
2016-11-28,53.0
2016-11-29,53.25
2016-11-30,57.85
2016-12-01,56.05
2016-12-02,54.15
2016-12-05,54.25
2016-12-06,59.7
2016-12-07,56.8
2016-12-08,58.3
2016-12-09,59.7
2016-12-12,64.95
2016-12-13,65.5
2016-12-14,64.35
2016-12-15,36.1
2016-12-16,36.95
2016-12-19,34.8
2016-12-20,33.1
2016-12-21,33.05
2016-12-22,33.45
2016-12-23,32.55
2016-12-26,30.5
2016-12-27,31.4
2016-12-28,31.05
2016-12-29,29.9
2016-12-30,31.75
