Date,ALKEM
2016-01-01,1503.1
2016-01-04,1530.15
2016-01-05,1567.7
2016-01-06,1527.0
2016-01-07,1467.35
2016-01-08,1477.2
2016-01-11,1475.7
2016-01-12,1474.3
2016-01-13,1415.75
2016-01-14,1435.8
2016-01-15,1431.65
2016-01-18,1344.6
2016-01-19,1330.4
2016-01-20,1322.8
2016-01-21,1368.6
2016-01-22,1366.8
2016-01-25,1356.85
2016-01-27,1339.5
2016-01-28,1350.1
2016-01-29,1358.8
2016-02-01,1373.45
2016-02-02,1372.7
2016-02-03,1373.3
2016-02-04,1347.5
2016-02-05,1338.05
2016-02-08,1323.35
2016-02-09,1338.4
2016-02-10,1320.9
2016-02-11,1275.8
2016-02-12,1319.75
2016-02-15,1314.95
2016-02-16,1309.6
2016-02-17,1317.9
2016-02-18,1308.6
2016-02-19,1310.35
2016-02-22,1281.6
2016-02-23,1310.0
2016-02-24,1279.1
2016-02-25,1272.15
2016-02-26,1279.55
2016-02-29,1264.65
2016-03-01,1315.2
2016-03-02,1301.1
2016-03-03,1307.15
2016-03-04,1311.3
2016-03-08,1342.6
2016-03-09,1345.75
2016-03-10,1348.2
2016-03-11,1367.2
2016-03-14,1354.0
2016-03-15,1356.2
2016-03-16,1356.25
2016-03-17,1350.85
2016-03-18,1374.95
2016-03-21,1350.3
2016-03-22,1362.5
2016-03-23,1355.8
2016-03-28,1387.3
2016-03-29,1410.35
2016-03-30,1371.1
2016-03-31,1356.45
2016-04-01,1327.55
2016-04-04,1355.15
2016-04-05,1333.4
2016-04-06,1313.4
2016-04-07,1337.8
2016-04-08,1340.9
2016-04-11,1329.55
2016-04-12,1333.9
2016-04-13,1339.0
2016-04-18,1276.8
2016-04-20,1273.1
2016-04-21,1242.05
2016-04-22,1233.8
2016-04-25,1226.7
2016-04-26,1221.8
2016-04-27,1211.45
2016-04-28,1192.1
2016-04-29,1190.95
2016-05-02,1249.3
2016-05-03,1228.5
2016-05-04,1225.45
2016-05-05,1242.55
2016-05-06,1245.2
2016-05-09,1247.75
2016-05-10,1227.25
2016-05-11,1204.5
2016-05-12,1196.85
2016-05-13,1186.45
2016-05-16,1194.65
2016-05-17,1192.75
2016-05-18,1220.8
2016-05-19,1227.05
2016-05-20,1233.15
2016-05-23,1252.7
2016-05-24,1225.8
2016-05-25,1234.7
2016-05-26,1258.7
2016-05-27,1248.9
2016-05-30,1276.8
2016-05-31,1263.4
2016-06-01,1288.05
2016-06-02,1305.95
2016-06-03,1358.95
2016-06-06,1365.1
2016-06-07,1360.25
2016-06-08,1402.45
2016-06-09,1380.85
2016-06-10,1389.9
2016-06-13,1389.7
2016-06-14,1367.7
2016-06-15,1389.4
2016-06-16,1380.95
2016-06-17,1385.15
2016-06-20,1385.05
2016-06-21,1369.35
2016-06-22,1383.65
2016-06-23,1375.25
2016-06-24,1384.25
2016-06-27,1384.4
2016-06-28,1384.3
2016-06-29,1378.3
2016-06-30,1384.4
2016-07-01,1367.25
2016-07-04,1357.1
2016-07-05,1366.0
2016-07-07,1349.2
2016-07-08,1357.6
2016-07-11,1389.4
2016-07-12,1406.75
2016-07-13,1418.9
2016-07-14,1420.15
2016-07-15,1415.4
2016-07-18,1419.15
2016-07-19,1467.25
2016-07-20,1538.3
2016-07-21,1553.0
2016-07-22,1581.75
2016-07-25,1519.0
2016-07-26,1523.45
2016-07-27,1510.3
2016-07-28,1535.8
2016-07-29,1566.7
2016-08-01,1544.35
2016-08-02,1559.7
2016-08-03,1521.4
2016-08-04,1493.35
2016-08-05,1524.95
2016-08-08,1579.5
2016-08-09,1588.35
2016-08-10,1554.75
2016-08-11,1594.6
2016-08-12,1557.95
2016-08-16,1541.5
2016-08-17,1534.0
2016-08-18,1543.75
2016-08-19,1538.25
2016-08-22,1522.45
2016-08-23,1504.25
2016-08-24,1533.3
2016-08-25,1540.25
2016-08-26,1542.9
2016-08-29,1541.8
2016-08-30,1557.2
2016-08-31,1547.75
2016-09-01,1569.85
2016-09-02,1636.5
2016-09-06,1644.75
2016-09-07,1616.9
2016-09-08,1635.9
2016-09-09,1602.85
2016-09-12,1616.35
2016-09-14,1624.3
2016-09-15,1622.35
2016-09-16,1682.1
2016-09-19,1729.7
2016-09-20,1697.7
2016-09-21,1694.75
2016-09-22,1739.55
2016-09-23,1762.2
2016-09-26,1829.0
2016-09-27,1807.2
2016-09-28,1844.85
2016-09-29,1812.45
2016-09-30,1661.25
2016-10-03,1678.45
2016-10-04,1671.2
2016-10-05,1668.3
2016-10-06,1663.85
2016-10-07,1658.75
2016-10-10,1695.6
2016-10-13,1669.95
2016-10-14,1696.65
2016-10-17,1734.4
2016-10-18,1747.5
2016-10-19,1684.15
2016-10-20,1654.1
2016-10-21,1659.0
2016-10-24,1675.1
2016-10-25,1663.65
2016-10-26,1662.45
2016-10-27,1618.4
2016-10-28,1631.9
2016-10-30,1656.9
2016-11-01,1662.9
2016-11-02,1636.65
2016-11-03,1618.45
2016-11-04,1577.4
2016-11-07,1565.05
2016-11-08,1592.3
2016-11-09,1654.75
2016-11-10,1643.1
2016-11-11,1643.55
2016-11-15,1648.65
2016-11-16,1649.5
2016-11-17,1617.05
2016-11-18,1641.2
2016-11-21,1617.7
2016-11-22,1677.7
2016-11-23,1702.15
2016-11-24,1722.1
2016-11-25,1691.65
2016-11-28,1692.15
2016-11-29,1712.1
2016-11-30,1699.85
2016-12-01,1679.1
2016-12-02,1679.7
2016-12-05,1702.95
2016-12-06,1690.8
2016-12-07,1675.25
2016-12-08,1680.45
2016-12-09,1675.35
2016-12-12,1623.95
2016-12-13,1639.75
2016-12-14,1609.35
2016-12-15,1632.6
2016-12-16,1601.95
2016-12-19,1632.8
2016-12-20,1632.0
2016-12-21,1639.85
2016-12-22,1607.6
2016-12-23,1601.2
2016-12-26,1546.1
2016-12-27,1607.55
2016-12-28,1612.7
2016-12-29,1627.8
2016-12-30,1628.65
