Date,VINATIORGA
2016-01-01,468.8
2016-01-04,464.35
2016-01-05,459.3
2016-01-06,454.3
2016-01-07,444.45
2016-01-08,459.55
2016-01-11,454.65
2016-01-12,451.15
2016-01-13,441.45
2016-01-14,424.15
2016-01-15,421.8
2016-01-18,404.75
2016-01-19,410.0
2016-01-20,407.55
2016-01-21,399.75
2016-01-22,407.35
2016-01-25,416.85
2016-01-27,418.3
2016-01-28,413.35
2016-01-29,414.4
2016-02-01,402.25
2016-02-02,399.75
2016-02-03,395.75
2016-02-04,394.4
2016-02-05,393.85
2016-02-08,386.35
2016-02-09,389.25
2016-02-10,383.95
2016-02-11,372.6
2016-02-12,367.1
2016-02-15,374.65
2016-02-16,375.1
2016-02-17,389.75
2016-02-18,384.5
2016-02-19,373.4
2016-02-22,369.35
2016-02-23,377.3
2016-02-24,369.95
2016-02-25,371.95
2016-02-26,379.45
2016-02-29,375.25
2016-03-01,388.2
2016-03-02,389.75
2016-03-03,391.35
2016-03-04,394.75
2016-03-08,399.15
2016-03-09,400.45
2016-03-10,408.75
2016-03-11,410.75
2016-03-14,400.8
2016-03-15,400.0
2016-03-16,399.8
2016-03-17,408.95
2016-03-18,400.9
2016-03-21,399.35
2016-03-22,395.65
2016-03-23,397.75
2016-03-28,391.0
2016-03-29,387.55
2016-03-30,387.5
2016-03-31,389.05
2016-04-01,381.6
2016-04-04,384.1
2016-04-05,392.6
2016-04-06,402.2
2016-04-07,407.25
2016-04-08,411.4
2016-04-11,415.1
2016-04-12,421.55
2016-04-13,416.45
2016-04-18,419.9
2016-04-20,428.6
2016-04-21,445.3
2016-04-22,460.2
2016-04-25,459.2
2016-04-26,452.1
2016-04-27,460.05
2016-04-28,452.8
2016-04-29,455.55
2016-05-02,487.2
2016-05-03,461.65
2016-05-04,464.55
2016-05-05,460.7
2016-05-06,460.95
2016-05-09,469.95
2016-05-10,470.85
2016-05-11,463.95
2016-05-12,476.4
2016-05-13,476.05
2016-05-16,468.45
2016-05-17,466.35
2016-05-18,466.9
2016-05-19,465.15
2016-05-20,458.9
2016-05-23,462.7
2016-05-24,467.45
2016-05-25,472.1
2016-05-26,468.25
2016-05-27,469.0
2016-05-30,470.35
2016-05-31,466.5
2016-06-01,470.1
2016-06-02,465.35
2016-06-03,469.05
2016-06-06,487.8
2016-06-07,492.85
2016-06-08,514.65
2016-06-09,539.35
2016-06-10,521.1
2016-06-13,523.55
2016-06-14,510.65
2016-06-15,522.8
2016-06-16,517.0
2016-06-17,513.0
2016-06-20,515.85
2016-06-21,508.2
2016-06-22,506.4
2016-06-23,519.6
2016-06-24,511.65
2016-06-27,539.15
2016-06-28,549.75
2016-06-29,540.8
2016-06-30,548.2
2016-07-01,545.3
2016-07-04,543.3
2016-07-05,543.05
2016-07-07,543.35
2016-07-08,525.75
2016-07-11,534.3
2016-07-12,527.3
2016-07-13,522.3
2016-07-14,524.25
2016-07-15,521.5
2016-07-18,515.15
2016-07-19,513.85
2016-07-20,531.85
2016-07-21,520.8
2016-07-22,519.5
2016-07-25,530.8
2016-07-26,552.85
2016-07-27,557.65
2016-07-28,545.75
2016-07-29,547.9
2016-08-01,553.55
2016-08-02,537.35
2016-08-03,528.25
2016-08-04,535.4
2016-08-05,546.35
2016-08-08,534.7
2016-08-09,526.1
2016-08-10,523.4
2016-08-11,541.7
2016-08-12,536.4
2016-08-16,547.9
2016-08-17,566.4
2016-08-18,570.55
2016-08-19,561.4
2016-08-22,570.1
2016-08-23,603.35
2016-08-24,624.85
2016-08-25,613.95
2016-08-26,607.8
2016-08-29,596.0
2016-08-30,607.95
2016-08-31,595.3
2016-09-01,601.9
2016-09-02,598.25
2016-09-06,592.05
2016-09-07,583.45
2016-09-08,599.6
2016-09-09,611.0
2016-09-12,603.3
2016-09-14,602.3
2016-09-15,615.05
2016-09-16,601.2
2016-09-19,607.5
2016-09-20,599.6
2016-09-21,597.25
2016-09-22,596.6
2016-09-23,602.55
2016-09-26,603.25
2016-09-27,618.85
2016-09-28,620.25
2016-09-29,604.5
2016-09-30,620.85
2016-10-03,635.35
2016-10-04,641.05
2016-10-05,640.95
2016-10-06,619.95
2016-10-07,616.1
2016-10-10,613.0
2016-10-13,615.75
2016-10-14,607.8
2016-10-17,597.25
2016-10-18,596.6
2016-10-19,595.4
2016-10-20,596.3
2016-10-21,599.7
2016-10-24,598.85
2016-10-25,598.25
2016-10-26,599.05
2016-10-27,586.4
2016-10-28,599.3
2016-10-30,590.7
2016-11-01,591.45
2016-11-02,602.7
2016-11-03,592.95
2016-11-04,570.55
2016-11-07,575.95
2016-11-08,573.65
2016-11-09,558.85
2016-11-10,574.65
2016-11-11,553.4
2016-11-15,539.55
2016-11-16,542.05
2016-11-17,548.65
2016-11-18,564.35
2016-11-21,545.4
2016-11-22,556.55
2016-11-23,545.5
2016-11-24,544.3
2016-11-25,559.8
2016-11-28,560.25
2016-11-29,581.4
2016-11-30,595.25
2016-12-01,599.15
2016-12-02,581.05
2016-12-05,578.45
2016-12-06,580.45
2016-12-07,580.95
2016-12-08,595.1
2016-12-09,602.65
2016-12-12,600.05
2016-12-13,618.3
2016-12-14,614.45
2016-12-15,598.55
2016-12-16,596.35
2016-12-19,589.25
2016-12-20,594.9
2016-12-21,585.65
2016-12-22,594.85
2016-12-23,582.2
2016-12-26,568.9
2016-12-27,575.55
2016-12-28,570.9
2016-12-29,570.85
2016-12-30,588.5
