Date,NFL
2013-01-01,76.6
2013-01-02,76.85
2013-01-03,77.7
2013-01-04,78.1
2013-01-07,78.0
2013-01-08,77.65
2013-01-09,77.8
2013-01-10,76.7
2013-01-11,76.15
2013-01-14,76.65
2013-01-15,76.95
2013-01-16,75.65
2013-01-17,75.2
2013-01-18,75.75
2013-01-21,76.9
2013-01-22,75.7
2013-01-23,74.5
2013-01-24,70.65
2013-01-25,71.45
2013-01-28,71.45
2013-01-29,71.2
2013-01-30,71.05
2013-01-31,70.9
2013-02-01,70.95
2013-02-04,69.65
2013-02-05,68.65
2013-02-06,68.55
2013-02-07,67.1
2013-02-08,67.95
2013-02-11,73.6
2013-02-12,70.55
2013-02-13,70.35
2013-02-14,68.35
2013-02-15,66.7
2013-02-18,68.85
2013-02-19,69.4
2013-02-20,70.5
2013-02-21,68.4
2013-02-22,67.1
2013-02-25,65.95
2013-02-26,64.7
2013-02-27,65.2
2013-02-28,63.0
2013-03-01,61.65
2013-03-04,58.4
2013-03-05,58.85
2013-03-06,60.4
2013-03-07,62.1
2013-03-08,61.6
2013-03-11,61.2
2013-03-12,61.75
2013-03-13,60.0
2013-03-14,59.65
2013-03-15,58.65
2013-03-18,57.5
2013-03-19,57.25
2013-03-20,55.4
2013-03-21,52.3
2013-03-22,49.7
2013-03-25,45.75
2013-03-26,45.2
2013-03-28,44.5
2013-04-01,47.35
2013-04-02,49.1
2013-04-03,48.85
2013-04-04,47.3
2013-04-05,47.25
2013-04-08,46.8
2013-04-09,46.4
2013-04-10,45.5
2013-04-11,45.45
2013-04-12,44.75
2013-04-15,44.85
2013-04-16,45.15
2013-04-17,44.85
2013-04-18,44.95
2013-04-22,45.85
2013-04-23,49.3
2013-04-25,49.65
2013-04-26,47.75
2013-04-29,48.8
2013-04-30,47.85
2013-05-02,47.4
2013-05-03,47.1
2013-05-06,47.4
2013-05-07,48.8
2013-05-08,48.8
2013-05-09,49.4
2013-05-10,51.65
2013-05-11,51.85
2013-05-13,48.7
2013-05-14,48.5
2013-05-15,48.7
2013-05-16,48.7
2013-05-17,48.1
2013-05-20,48.2
2013-05-21,46.95
2013-05-22,46.05
2013-05-23,44.1
2013-05-24,44.9
2013-05-27,45.2
2013-05-28,46.4
2013-05-29,44.2
2013-05-30,44.0
2013-05-31,42.8
2013-06-03,43.9
2013-06-04,44.25
2013-06-05,46.95
2013-06-06,44.35
2013-06-07,43.5
2013-06-10,43.8
2013-06-11,42.6
2013-06-12,42.55
2013-06-13,40.25
2013-06-14,40.0
2013-06-17,38.8
2013-06-18,39.75
2013-06-19,39.95
2013-06-20,38.2
2013-06-21,36.8
2013-06-24,37.6
2013-06-25,35.45
2013-06-26,34.35
2013-06-27,34.25
2013-06-28,34.95
2013-07-01,35.0
2013-07-02,34.3
2013-07-03,33.45
2013-07-04,33.45
2013-07-05,33.5
2013-07-08,33.8
2013-07-09,34.2
2013-07-10,34.05
2013-07-11,34.1
2013-07-12,33.7
2013-07-15,34.15
2013-07-16,34.1
2013-07-17,33.6
2013-07-18,33.65
2013-07-19,32.65
2013-07-22,31.7
2013-07-23,31.5
2013-07-24,30.4
2013-07-25,30.5
2013-07-26,30.15
2013-07-29,29.65
2013-07-30,26.55
2013-07-31,27.15
2013-08-01,25.15
2013-08-02,22.0
2013-08-05,21.5
2013-08-06,19.95
2013-08-07,20.2
2013-08-08,20.1
2013-08-12,19.7
2013-08-13,19.2
2013-08-14,21.1
2013-08-16,19.85
2013-08-19,19.6
2013-08-20,20.05
2013-08-21,19.45
2013-08-22,19.65
2013-08-23,19.9
2013-08-26,19.7
2013-08-27,19.15
2013-08-28,19.0
2013-08-29,18.65
2013-08-30,18.1
2013-09-02,18.35
2013-09-03,18.45
2013-09-04,18.4
2013-09-05,19.35
2013-09-06,19.85
2013-09-10,20.1
2013-09-11,20.2
2013-09-12,20.55
2013-09-13,21.35
2013-09-16,21.0
2013-09-17,20.5
2013-09-18,20.25
2013-09-19,20.5
2013-09-20,20.25
2013-09-23,20.15
2013-09-24,19.9
2013-09-25,19.55
2013-09-26,20.1
2013-09-27,20.1
2013-09-30,19.85
2013-10-01,20.2
2013-10-03,20.75
2013-10-04,20.25
2013-10-07,20.0
2013-10-08,20.3
2013-10-09,20.15
2013-10-10,20.6
2013-10-11,20.45
2013-10-14,20.8
2013-10-15,20.3
2013-10-17,20.25
2013-10-18,20.55
2013-10-21,21.05
2013-10-22,21.2
2013-10-23,22.7
2013-10-24,22.4
2013-10-25,21.75
2013-10-28,21.3
2013-10-29,21.3
2013-10-30,21.35
2013-10-31,22.0
2013-11-01,22.85
2013-11-03,23.0
2013-11-05,24.2
2013-11-06,24.2
2013-11-07,23.0
2013-11-08,23.0
2013-11-11,22.6
2013-11-12,21.6
2013-11-13,21.15
2013-11-14,21.7
2013-11-18,22.25
2013-11-19,22.35
2013-11-20,24.75
2013-11-21,24.4
2013-11-22,23.3
2013-11-25,23.8
2013-11-26,23.4
2013-11-27,25.5
2013-11-28,24.0
2013-11-29,24.5
2013-12-02,24.25
2013-12-03,24.4
2013-12-04,24.45
2013-12-05,24.25
2013-12-06,24.45
2013-12-09,24.2
2013-12-10,25.3
2013-12-11,26.1
2013-12-12,25.65
2013-12-13,25.2
2013-12-16,24.6
2013-12-17,24.3
2013-12-18,24.7
2013-12-19,23.55
2013-12-20,23.95
2013-12-23,24.35
2013-12-24,24.25
2013-12-26,24.65
2013-12-27,24.6
2013-12-30,24.25
2013-12-31,24.1
