Date,CADILAHC
2013-01-01,899.1
2013-01-02,880.85
2013-01-03,887.15
2013-01-04,890.5
2013-01-07,899.2
2013-01-08,895.0
2013-01-09,900.85
2013-01-10,866.65
2013-01-11,859.65
2013-01-14,871.35
2013-01-15,870.2
2013-01-16,870.45
2013-01-17,877.3
2013-01-18,880.8
2013-01-21,878.65
2013-01-22,881.65
2013-01-23,876.5
2013-01-24,869.3
2013-01-25,866.7
2013-01-28,860.55
2013-01-29,851.45
2013-01-30,859.3
2013-01-31,865.8
2013-02-01,855.8
2013-02-04,851.1
2013-02-05,851.05
2013-02-06,838.85
2013-02-07,812.75
2013-02-08,790.3
2013-02-11,741.4
2013-02-12,754.8
2013-02-13,761.3
2013-02-14,741.05
2013-02-15,751.2
2013-02-18,755.15
2013-02-19,772.05
2013-02-20,773.2
2013-02-21,771.05
2013-02-22,776.45
2013-02-25,774.5
2013-02-26,765.1
2013-02-27,761.2
2013-02-28,760.6
2013-03-01,768.65
2013-03-04,766.8
2013-03-05,760.3
2013-03-06,737.6
2013-03-07,730.0
2013-03-08,743.4
2013-03-11,752.35
2013-03-12,755.0
2013-03-13,760.65
2013-03-14,757.9
2013-03-15,742.85
2013-03-18,738.45
2013-03-19,737.9
2013-03-20,734.1
2013-03-21,732.5
2013-03-22,726.65
2013-03-25,725.5
2013-03-26,736.35
2013-03-28,742.75
2013-04-01,738.9
2013-04-02,746.05
2013-04-03,758.45
2013-04-04,759.05
2013-04-05,753.9
2013-04-08,752.85
2013-04-09,745.4
2013-04-10,748.7
2013-04-11,742.95
2013-04-12,729.65
2013-04-15,730.45
2013-04-16,744.2
2013-04-17,752.2
2013-04-18,763.65
2013-04-22,770.45
2013-04-23,767.95
2013-04-25,780.1
2013-04-26,774.4
2013-04-29,776.15
2013-04-30,785.25
2013-05-02,785.45
2013-05-03,776.9
2013-05-06,779.05
2013-05-07,775.25
2013-05-08,797.0
2013-05-09,774.55
2013-05-10,787.3
2013-05-11,795.0
2013-05-13,805.15
2013-05-14,832.0
2013-05-15,829.3
2013-05-16,831.95
2013-05-17,815.45
2013-05-20,806.85
2013-05-21,785.9
2013-05-22,792.25
2013-05-23,788.65
2013-05-24,796.15
2013-05-27,789.3
2013-05-28,782.95
2013-05-29,788.0
2013-05-30,775.15
2013-05-31,774.35
2013-06-03,774.3
2013-06-04,814.45
2013-06-05,776.05
2013-06-06,770.15
2013-06-07,769.3
2013-06-10,765.15
2013-06-11,757.7
2013-06-12,752.4
2013-06-13,741.35
2013-06-14,755.8
2013-06-17,751.25
2013-06-18,778.15
2013-06-19,792.95
2013-06-20,792.6
2013-06-21,774.7
2013-06-24,766.75
2013-06-25,756.8
2013-06-26,757.35
2013-06-27,763.5
2013-06-28,774.8
2013-07-01,768.95
2013-07-02,773.45
2013-07-03,772.85
2013-07-04,781.9
2013-07-05,784.7
2013-07-08,790.4
2013-07-09,793.35
2013-07-10,796.5
2013-07-11,791.55
2013-07-12,779.55
2013-07-15,778.95
2013-07-16,777.45
2013-07-17,770.5
2013-07-18,778.2
2013-07-19,775.1
2013-07-22,761.5
2013-07-23,745.85
2013-07-24,738.15
2013-07-25,738.05
2013-07-26,738.95
2013-07-29,734.15
2013-07-30,732.85
2013-07-31,736.1
2013-08-01,752.25
2013-08-02,759.45
2013-08-05,749.75
2013-08-06,744.9
2013-08-07,747.3
2013-08-08,707.8
2013-08-12,690.75
2013-08-13,676.55
2013-08-14,684.75
2013-08-16,668.45
2013-08-19,650.5
2013-08-20,643.85
2013-08-21,660.1
2013-08-22,659.8
2013-08-23,661.95
2013-08-26,657.45
2013-08-27,656.2
2013-08-28,651.85
2013-08-29,655.1
2013-08-30,654.05
2013-09-02,650.75
2013-09-03,643.1
2013-09-04,640.3
2013-09-05,643.6
2013-09-06,647.5
2013-09-10,656.05
2013-09-11,652.9
2013-09-12,662.65
2013-09-13,665.7
2013-09-16,671.65
2013-09-17,671.35
2013-09-18,664.8
2013-09-19,679.45
2013-09-20,684.95
2013-09-23,684.7
2013-09-24,685.35
2013-09-25,682.95
2013-09-26,684.8
2013-09-27,693.05
2013-09-30,679.7
2013-10-01,682.55
2013-10-03,683.75
2013-10-04,684.8
2013-10-07,679.75
2013-10-08,678.5
2013-10-09,674.95
2013-10-10,679.95
2013-10-11,676.75
2013-10-14,665.3
2013-10-15,665.85
2013-10-17,665.65
2013-10-18,662.8
2013-10-21,659.15
2013-10-22,659.9
2013-10-23,660.3
2013-10-24,664.9
2013-10-25,664.1
2013-10-28,659.1
2013-10-29,651.65
2013-10-30,662.35
2013-10-31,661.25
2013-11-01,684.2
2013-11-03,702.15
2013-11-05,696.9
2013-11-06,716.0
2013-11-07,719.65
2013-11-08,715.65
2013-11-11,733.1
2013-11-12,734.4
2013-11-13,729.3
2013-11-14,725.05
2013-11-18,724.65
2013-11-19,724.8
2013-11-20,717.65
2013-11-21,714.65
2013-11-22,747.3
2013-11-25,743.45
2013-11-26,742.65
2013-11-27,735.85
2013-11-28,732.65
2013-11-29,734.4
2013-12-02,735.95
2013-12-03,735.9
2013-12-04,729.65
2013-12-05,730.6
2013-12-06,736.45
2013-12-09,733.9
2013-12-10,731.2
2013-12-11,726.6
2013-12-12,743.05
2013-12-13,740.2
2013-12-16,743.45
2013-12-17,739.15
2013-12-18,745.95
2013-12-19,761.7
2013-12-20,772.85
2013-12-23,799.35
2013-12-24,793.85
2013-12-26,792.3
2013-12-27,787.2
2013-12-30,786.55
2013-12-31,810.1
