Date,ASTRAMICRO
2013-01-01,41.0
2013-01-02,42.4
2013-01-03,42.5
2013-01-04,43.55
2013-01-07,42.9
2013-01-08,42.6
2013-01-09,42.4
2013-01-10,41.85
2013-01-11,41.55
2013-01-14,41.0
2013-01-15,41.55
2013-01-16,40.85
2013-01-17,40.8
2013-01-18,40.0
2013-01-21,39.8
2013-01-22,39.6
2013-01-23,39.8
2013-01-24,39.2
2013-01-25,39.05
2013-01-28,38.85
2013-01-29,39.3
2013-01-30,40.05
2013-01-31,38.8
2013-02-01,40.4
2013-02-04,40.05
2013-02-05,40.25
2013-02-06,40.45
2013-02-07,40.15
2013-02-08,40.0
2013-02-11,40.0
2013-02-12,40.0
2013-02-13,39.8
2013-02-14,39.95
2013-02-15,40.0
2013-02-18,40.0
2013-02-19,39.45
2013-02-20,40.0
2013-02-21,39.8
2013-02-22,39.85
2013-02-25,39.1
2013-02-26,38.5
2013-02-27,39.05
2013-02-28,38.9
2013-03-01,39.3
2013-03-04,39.25
2013-03-05,39.45
2013-03-06,39.45
2013-03-07,40.05
2013-03-08,40.15
2013-03-11,39.95
2013-03-12,40.5
2013-03-13,40.25
2013-03-14,40.35
2013-03-15,40.2
2013-03-18,40.8
2013-03-19,40.0
2013-03-20,40.2
2013-03-21,40.25
2013-03-22,40.3
2013-03-25,40.25
2013-03-26,40.35
2013-03-28,39.85
2013-04-01,40.5
2013-04-02,41.0
2013-04-03,41.2
2013-04-04,41.5
2013-04-05,40.75
2013-04-08,40.05
2013-04-09,39.75
2013-04-10,39.4
2013-04-11,40.0
2013-04-12,40.0
2013-04-15,40.1
2013-04-16,39.95
2013-04-17,39.8
2013-04-18,39.65
2013-04-22,40.0
2013-04-23,39.8
2013-04-25,40.0
2013-04-26,39.6
2013-04-29,42.4
2013-04-30,40.7
2013-05-02,40.65
2013-05-03,39.75
2013-05-06,38.95
2013-05-07,39.9
2013-05-08,39.35
2013-05-09,39.15
2013-05-10,39.15
2013-05-11,39.4
2013-05-13,38.85
2013-05-14,39.1
2013-05-15,39.8
2013-05-16,39.7
2013-05-17,40.3
2013-05-20,39.9
2013-05-21,41.85
2013-05-22,40.8
2013-05-23,41.05
2013-05-24,41.4
2013-05-27,40.35
2013-05-28,40.25
2013-05-29,40.55
2013-05-30,40.45
2013-05-31,40.35
2013-06-03,40.75
2013-06-04,40.3
2013-06-05,40.25
2013-06-06,40.05
2013-06-07,40.2
2013-06-10,39.45
2013-06-11,38.7
2013-06-12,38.9
2013-06-13,38.75
2013-06-14,38.65
2013-06-17,38.45
2013-06-18,38.2
2013-06-19,38.3
2013-06-20,38.3
2013-06-21,38.3
2013-06-24,36.55
2013-06-25,35.95
2013-06-26,35.3
2013-06-27,36.0
2013-06-28,35.75
2013-07-01,37.7
2013-07-02,37.6
2013-07-03,38.3
2013-07-04,38.2
2013-07-05,37.85
2013-07-08,37.95
2013-07-09,38.0
2013-07-10,37.7
2013-07-11,37.8
2013-07-12,37.75
2013-07-15,37.5
2013-07-16,37.3
2013-07-17,39.4
2013-07-18,37.9
2013-07-19,38.25
2013-07-22,38.9
2013-07-23,40.2
2013-07-24,38.8
2013-07-25,38.1
2013-07-26,36.25
2013-07-29,36.0
2013-07-30,35.4
2013-07-31,34.2
2013-08-01,33.7
2013-08-02,33.0
2013-08-05,32.45
2013-08-06,31.55
2013-08-07,31.0
2013-08-08,31.35
2013-08-12,34.65
2013-08-13,33.95
2013-08-14,32.65
2013-08-16,33.75
2013-08-19,32.75
2013-08-20,32.75
2013-08-21,31.55
2013-08-22,32.8
2013-08-23,34.65
2013-08-26,35.35
2013-08-27,34.9
2013-08-28,33.6
2013-08-29,33.2
2013-08-30,34.3
2013-09-02,35.2
2013-09-03,34.35
2013-09-04,34.25
2013-09-05,34.95
2013-09-06,35.15
2013-09-10,35.1
2013-09-11,34.95
2013-09-12,34.4
2013-09-13,35.1
2013-09-16,34.75
2013-09-17,35.2
2013-09-18,34.75
2013-09-19,35.6
2013-09-20,36.95
2013-09-23,35.55
2013-09-24,35.35
2013-09-25,35.7
2013-09-26,35.3
2013-09-27,34.85
2013-09-30,34.55
2013-10-01,34.75
2013-10-03,35.05
2013-10-04,34.35
2013-10-07,34.3
2013-10-08,35.0
2013-10-09,35.05
2013-10-10,35.4
2013-10-11,39.1
2013-10-14,36.35
2013-10-15,36.55
2013-10-17,36.75
2013-10-18,38.15
2013-10-21,38.3
2013-10-22,38.05
2013-10-23,39.1
2013-10-24,38.5
2013-10-25,37.75
2013-10-28,38.55
2013-10-29,39.5
2013-10-30,42.45
2013-10-31,41.15
2013-11-01,41.8
2013-11-03,41.7
2013-11-05,46.45
2013-11-06,46.2
2013-11-07,45.75
2013-11-08,46.05
2013-11-11,46.1
2013-11-12,45.6
2013-11-13,45.3
2013-11-14,46.15
2013-11-18,45.5
2013-11-19,47.1
2013-11-20,46.5
2013-11-21,46.65
2013-11-22,46.7
2013-11-25,46.1
2013-11-26,46.65
2013-11-27,46.6
2013-11-28,47.85
2013-11-29,48.45
2013-12-02,48.35
2013-12-03,47.65
2013-12-04,47.85
2013-12-05,48.0
2013-12-06,48.05
2013-12-09,47.75
2013-12-10,48.15
2013-12-11,48.1
2013-12-12,47.8
2013-12-13,46.75
2013-12-16,47.4
2013-12-17,47.45
2013-12-18,47.65
2013-12-19,51.7
2013-12-20,54.2
2013-12-23,55.7
2013-12-24,54.75
2013-12-26,56.8
2013-12-27,60.3
2013-12-30,62.2
2013-12-31,60.25
