Date,VTL
2013-01-01,250.05
2013-01-02,259.65
2013-01-03,263.8
2013-01-04,259.7
2013-01-07,260.15
2013-01-08,265.95
2013-01-09,270.05
2013-01-10,269.6
2013-01-11,268.3
2013-01-14,270.1
2013-01-15,273.6
2013-01-16,276.7
2013-01-17,273.3
2013-01-18,270.05
2013-01-21,261.2
2013-01-22,261.8
2013-01-23,260.75
2013-01-24,260.95
2013-01-25,264.5
2013-01-28,267.2
2013-01-29,272.75
2013-01-30,270.4
2013-01-31,271.15
2013-02-01,281.2
2013-02-04,282.55
2013-02-05,280.25
2013-02-06,281.8
2013-02-07,281.65
2013-02-08,280.45
2013-02-11,286.55
2013-02-12,282.4
2013-02-13,280.0
2013-02-14,279.45
2013-02-15,266.15
2013-02-18,266.05
2013-02-19,273.45
2013-02-20,281.55
2013-02-21,285.2
2013-02-22,285.15
2013-02-25,284.7
2013-02-26,280.65
2013-02-27,277.5
2013-02-28,278.55
2013-03-01,280.0
2013-03-04,271.6
2013-03-05,271.9
2013-03-06,273.0
2013-03-07,279.1
2013-03-08,282.95
2013-03-11,280.6
2013-03-12,271.6
2013-03-13,270.45
2013-03-14,273.9
2013-03-15,266.8
2013-03-18,260.25
2013-03-19,258.35
2013-03-20,258.15
2013-03-21,258.1
2013-03-22,257.0
2013-03-25,258.95
2013-03-26,260.4
2013-03-28,262.7
2013-04-01,266.75
2013-04-02,271.3
2013-04-03,275.55
2013-04-04,275.0
2013-04-05,275.4
2013-04-08,275.4
2013-04-09,275.0
2013-04-10,274.5
2013-04-11,266.6
2013-04-12,264.5
2013-04-15,261.65
2013-04-16,258.0
2013-04-17,252.2
2013-04-18,255.65
2013-04-22,254.7
2013-04-23,263.8
2013-04-25,267.15
2013-04-26,271.0
2013-04-29,271.75
2013-04-30,272.8
2013-05-02,272.0
2013-05-03,269.2
2013-05-06,259.3
2013-05-07,258.4
2013-05-08,258.7
2013-05-09,258.0
2013-05-10,263.25
2013-05-11,257.6
2013-05-13,265.3
2013-05-14,265.75
2013-05-15,265.2
2013-05-16,268.55
2013-05-17,266.85
2013-05-20,259.85
2013-05-21,255.65
2013-05-22,252.45
2013-05-23,246.75
2013-05-24,243.1
2013-05-27,245.5
2013-05-28,249.8
2013-05-29,261.9
2013-05-30,263.95
2013-05-31,265.0
2013-06-03,264.9
2013-06-04,266.9
2013-06-05,276.8
2013-06-06,274.25
2013-06-07,269.45
2013-06-10,265.0
2013-06-11,267.15
2013-06-12,264.15
2013-06-13,261.1
2013-06-14,266.85
2013-06-17,263.85
2013-06-18,270.1
2013-06-19,262.75
2013-06-20,263.7
2013-06-21,263.45
2013-06-24,258.5
2013-06-25,249.95
2013-06-26,244.6
2013-06-27,255.65
2013-06-28,269.95
2013-07-01,269.3
2013-07-02,269.5
2013-07-03,270.85
2013-07-04,265.8
2013-07-05,271.55
2013-07-08,272.9
2013-07-09,273.0
2013-07-10,284.45
2013-07-11,299.95
2013-07-12,294.65
2013-07-15,299.65
2013-07-16,297.8
2013-07-17,299.75
2013-07-18,297.95
2013-07-19,295.35
2013-07-22,288.55
2013-07-23,290.45
2013-07-24,295.7
2013-07-25,288.6
2013-07-26,295.1
2013-07-29,293.55
2013-07-30,293.0
2013-07-31,285.05
2013-08-01,284.95
2013-08-02,283.1
2013-08-05,296.2
2013-08-06,297.6
2013-08-07,294.75
2013-08-08,295.25
2013-08-12,294.7
2013-08-13,300.4
2013-08-14,301.45
2013-08-16,294.25
2013-08-19,289.95
2013-08-20,287.45
2013-08-21,292.55
2013-08-22,303.15
2013-08-23,313.75
2013-08-26,319.4
2013-08-27,314.6
2013-08-28,306.1
2013-08-29,309.85
2013-08-30,308.4
2013-09-02,312.9
2013-09-03,311.25
2013-09-04,310.8
2013-09-05,318.25
2013-09-06,316.75
2013-09-10,314.65
2013-09-11,311.5
2013-09-12,312.6
2013-09-13,313.0
2013-09-16,318.05
2013-09-17,315.5
2013-09-18,316.7
2013-09-19,319.45
2013-09-20,318.0
2013-09-23,320.1
2013-09-24,321.05
2013-09-25,318.9
2013-09-26,317.95
2013-09-27,327.3
2013-09-30,333.9
2013-10-01,329.85
2013-10-03,332.85
2013-10-04,333.5
2013-10-07,333.1
2013-10-08,336.65
2013-10-09,347.0
2013-10-10,346.0
2013-10-11,340.7
2013-10-14,350.85
2013-10-15,349.65
2013-10-17,351.9
2013-10-18,352.4
2013-10-21,353.95
2013-10-22,350.5
2013-10-23,352.0
2013-10-24,351.85
2013-10-25,350.1
2013-10-28,351.9
2013-10-29,352.45
2013-10-30,352.6
2013-10-31,354.95
2013-11-01,353.6
2013-11-03,362.6
2013-11-05,383.55
2013-11-06,380.2
2013-11-07,370.6
2013-11-08,355.95
2013-11-11,362.25
2013-11-12,360.75
2013-11-13,354.15
2013-11-14,349.3
2013-11-18,368.1
2013-11-19,375.5
2013-11-20,381.55
2013-11-21,381.0
2013-11-22,399.9
2013-11-25,395.1
2013-11-26,385.3
2013-11-27,387.05
2013-11-28,386.55
2013-11-29,391.65
2013-12-02,388.25
2013-12-03,383.75
2013-12-04,383.55
2013-12-05,389.55
2013-12-06,386.2
2013-12-09,380.8
2013-12-10,386.2
2013-12-11,385.85
2013-12-12,379.5
2013-12-13,374.55
2013-12-16,366.9
2013-12-17,366.65
2013-12-18,366.55
2013-12-19,369.8
2013-12-20,372.5
2013-12-23,378.9
2013-12-24,388.65
2013-12-26,391.55
2013-12-27,376.8
2013-12-30,379.8
2013-12-31,376.75
