Date,DPL
2013-01-01,106.15
2013-01-02,107.0
2013-01-03,111.15
2013-01-04,112.55
2013-01-07,116.4
2013-01-08,116.6
2013-01-09,115.75
2013-01-10,112.75
2013-01-11,109.55
2013-01-14,109.6
2013-01-15,109.7
2013-01-16,108.25
2013-01-17,109.05
2013-01-18,107.75
2013-01-21,108.75
2013-01-22,107.3
2013-01-23,107.05
2013-01-24,107.05
2013-01-25,105.65
2013-01-28,108.3
2013-01-29,106.7
2013-01-30,107.85
2013-01-31,106.3
2013-02-01,104.0
2013-02-04,103.95
2013-02-05,104.3
2013-02-06,104.5
2013-02-07,105.75
2013-02-08,104.6
2013-02-11,102.45
2013-02-12,101.25
2013-02-13,101.1
2013-02-14,100.05
2013-02-15,103.0
2013-02-18,100.3
2013-02-19,99.95
2013-02-20,100.1
2013-02-21,100.0
2013-02-22,100.45
2013-02-25,99.0
2013-02-26,98.55
2013-02-27,98.5
2013-02-28,98.6
2013-03-01,95.75
2013-03-04,92.4
2013-03-05,93.75
2013-03-06,93.75
2013-03-07,94.6
2013-03-08,94.75
2013-03-11,97.45
2013-03-12,95.6
2013-03-13,96.9
2013-03-14,93.05
2013-03-15,92.95
2013-03-18,91.05
2013-03-19,90.65
2013-03-20,86.2
2013-03-21,87.85
2013-03-22,88.45
2013-03-25,86.55
2013-03-26,89.65
2013-03-28,88.0
2013-04-01,89.7
2013-04-02,91.7
2013-04-03,91.4
2013-04-04,89.35
2013-04-05,88.25
2013-04-08,86.95
2013-04-09,86.65
2013-04-10,86.65
2013-04-11,87.8
2013-04-12,87.1
2013-04-15,89.3
2013-04-16,88.2
2013-04-17,89.0
2013-04-18,88.15
2013-04-22,88.8
2013-04-23,87.55
2013-04-25,90.55
2013-04-26,92.05
2013-04-29,91.0
2013-04-30,90.95
2013-05-02,91.2
2013-05-03,90.25
2013-05-06,89.95
2013-05-07,92.45
2013-05-08,93.3
2013-05-09,91.45
2013-05-10,91.05
2013-05-11,90.5
2013-05-13,94.15
2013-05-14,102.6
2013-05-15,103.4
2013-05-16,99.7
2013-05-17,101.0
2013-05-20,99.8
2013-05-21,99.5
2013-05-22,99.35
2013-05-23,97.0
2013-05-24,94.45
2013-05-27,98.4
2013-05-28,96.95
2013-05-29,96.25
2013-05-30,95.2
2013-05-31,94.3
2013-06-03,96.1
2013-06-04,95.95
2013-06-05,95.2
2013-06-06,96.55
2013-06-07,98.65
2013-06-10,97.0
2013-06-11,93.85
2013-06-12,93.5
2013-06-13,93.4
2013-06-14,93.3
2013-06-17,94.0
2013-06-18,93.0
2013-06-19,93.1
2013-06-20,90.2
2013-06-21,89.95
2013-06-24,89.0
2013-06-25,88.0
2013-06-26,86.85
2013-06-27,86.65
2013-06-28,86.45
2013-07-01,87.8
2013-07-02,88.7
2013-07-03,87.55
2013-07-04,88.6
2013-07-05,89.3
2013-07-08,89.4
2013-07-09,89.65
2013-07-10,89.25
2013-07-11,90.1
2013-07-12,90.9
2013-07-15,93.85
2013-07-16,94.45
2013-07-17,90.8
2013-07-18,89.45
2013-07-19,86.15
2013-07-22,85.3
2013-07-23,87.15
2013-07-24,84.25
2013-07-25,83.35
2013-07-26,84.05
2013-07-29,81.65
2013-07-30,80.2
2013-07-31,92.65
2013-08-01,84.5
2013-08-02,80.1
2013-08-05,75.65
2013-08-06,74.4
2013-08-07,75.05
2013-08-08,78.3
2013-08-12,79.45
2013-08-13,79.2
2013-08-14,81.9
2013-08-16,79.0
2013-08-19,81.35
2013-08-20,80.1
2013-08-21,81.15
2013-08-22,80.4
2013-08-23,80.1
2013-08-26,81.2
2013-08-27,81.15
2013-08-28,80.0
2013-08-29,80.2
2013-08-30,82.2
2013-09-02,82.65
2013-09-03,80.55
2013-09-04,79.0
2013-09-05,80.35
2013-09-06,80.0
2013-09-10,81.95
2013-09-11,80.65
2013-09-12,81.05
2013-09-13,80.8
2013-09-16,80.3
2013-09-17,80.5
2013-09-18,81.8
2013-09-19,81.0
2013-09-20,81.0
2013-09-23,81.0
2013-09-24,81.0
2013-09-25,79.3
2013-09-26,79.3
2013-09-27,78.1
2013-09-30,78.45
2013-10-01,79.05
2013-10-03,78.9
2013-10-04,79.8
2013-10-07,81.75
2013-10-08,80.65
2013-10-09,81.75
2013-10-10,84.8
2013-10-11,84.2
2013-10-14,84.1
2013-10-15,84.0
2013-10-17,96.5
2013-10-18,91.85
2013-10-21,94.85
2013-10-22,91.55
2013-10-23,89.8
2013-10-24,89.1
2013-10-25,88.1
2013-10-28,87.1
2013-10-29,85.75
2013-10-30,87.4
2013-10-31,90.95
2013-11-01,94.15
2013-11-03,96.2
2013-11-05,96.25
2013-11-06,97.1
2013-11-07,96.0
2013-11-08,95.15
2013-11-11,94.25
2013-11-12,95.1
2013-11-13,94.05
2013-11-14,97.3
2013-11-18,98.8
2013-11-19,101.75
2013-11-20,100.55
2013-11-21,98.75
2013-11-22,99.0
2013-11-25,101.05
2013-11-26,100.45
2013-11-27,102.8
2013-11-28,101.95
2013-11-29,104.95
2013-12-02,107.65
2013-12-03,110.2
2013-12-04,113.25
2013-12-05,111.65
2013-12-06,110.75
2013-12-09,111.05
2013-12-10,107.8
2013-12-11,108.95
2013-12-12,108.0
2013-12-13,107.2
2013-12-16,110.4
2013-12-17,109.3
2013-12-18,108.0
2013-12-19,108.5
2013-12-20,108.35
2013-12-23,113.4
2013-12-24,117.95
2013-12-26,120.0
2013-12-27,119.95
2013-12-30,116.75
2013-12-31,116.95
