Date,IPAPPM
2013-01-01,277.7
2013-01-02,284.8
2013-01-03,287.65
2013-01-04,286.45
2013-01-07,287.1
2013-01-08,288.05
2013-01-09,295.6
2013-01-10,296.2
2013-01-11,287.25
2013-01-14,288.15
2013-01-15,286.75
2013-01-16,281.5
2013-01-17,281.25
2013-01-18,284.5
2013-01-21,282.8
2013-01-22,280.4
2013-01-23,262.65
2013-01-24,246.7
2013-01-25,244.05
2013-01-28,243.5
2013-01-29,240.4
2013-01-30,235.55
2013-01-31,230.45
2013-02-01,225.05
2013-02-04,220.5
2013-02-05,220.0
2013-02-06,222.7
2013-02-07,217.5
2013-02-08,215.55
2013-02-11,203.55
2013-02-12,192.1
2013-02-13,188.8
2013-02-14,198.65
2013-02-15,205.25
2013-02-18,210.05
2013-02-19,216.5
2013-02-20,220.9
2013-02-21,212.6
2013-02-22,219.95
2013-02-25,206.75
2013-02-26,206.15
2013-02-27,208.9
2013-02-28,199.55
2013-03-01,196.85
2013-03-04,190.05
2013-03-05,191.95
2013-03-06,187.75
2013-03-07,182.6
2013-03-08,179.4
2013-03-11,186.15
2013-03-12,195.9
2013-03-13,190.3
2013-03-14,191.45
2013-03-15,200.75
2013-03-18,197.55
2013-03-19,185.75
2013-03-20,180.75
2013-03-21,187.9
2013-03-22,191.15
2013-03-25,186.2
2013-03-26,188.55
2013-03-28,192.35
2013-04-01,195.25
2013-04-02,208.5
2013-04-03,203.15
2013-04-04,195.45
2013-04-05,192.0
2013-04-08,191.4
2013-04-09,190.55
2013-04-10,190.15
2013-04-11,190.6
2013-04-12,188.6
2013-04-15,189.85
2013-04-16,188.55
2013-04-17,187.05
2013-04-18,191.4
2013-04-22,188.45
2013-04-23,187.95
2013-04-25,194.6
2013-04-26,202.0
2013-04-29,205.85
2013-04-30,209.1
2013-05-02,209.4
2013-05-03,201.6
2013-05-06,198.65
2013-05-07,198.2
2013-05-08,207.25
2013-05-09,203.1
2013-05-10,208.05
2013-05-11,206.0
2013-05-13,210.6
2013-05-14,209.3
2013-05-15,213.9
2013-05-16,215.0
2013-05-17,212.65
2013-05-20,218.55
2013-05-21,244.65
2013-05-22,232.45
2013-05-23,222.6
2013-05-24,257.95
2013-05-27,264.0
2013-05-28,263.8
2013-05-29,265.9
2013-05-30,263.1
2013-05-31,247.8
2013-06-03,245.55
2013-06-04,246.25
2013-06-05,256.9
2013-06-06,257.0
2013-06-07,251.25
2013-06-10,252.95
2013-06-11,258.75
2013-06-12,254.3
2013-06-13,240.0
2013-06-14,249.85
2013-06-17,290.25
2013-06-18,289.85
2013-06-19,284.0
2013-06-20,273.55
2013-06-21,267.25
2013-06-24,256.1
2013-06-25,253.1
2013-06-26,249.7
2013-06-27,244.75
2013-06-28,253.1
2013-07-01,281.0
2013-07-02,270.9
2013-07-03,253.0
2013-07-04,255.0
2013-07-05,264.3
2013-07-08,269.35
2013-07-09,274.85
2013-07-10,279.5
2013-07-11,283.65
2013-07-12,286.65
2013-07-15,283.45
2013-07-16,283.25
2013-07-17,289.3
2013-07-18,296.15
2013-07-19,296.85
2013-07-22,295.0
2013-07-23,281.75
2013-07-24,276.7
2013-07-25,261.3
2013-07-26,260.75
2013-07-29,250.3
2013-07-30,251.15
2013-07-31,251.35
2013-08-01,242.6
2013-08-02,240.4
2013-08-05,236.35
2013-08-06,226.35
2013-08-07,237.95
2013-08-08,242.0
2013-08-12,248.45
2013-08-13,253.45
2013-08-14,252.15
2013-08-16,243.3
2013-08-19,238.65
2013-08-20,244.65
2013-08-21,253.05
2013-08-22,254.6
2013-08-23,258.65
2013-08-26,256.4
2013-08-27,250.25
2013-08-28,243.75
2013-08-29,249.8
2013-08-30,251.25
2013-09-02,246.25
2013-09-03,252.85
2013-09-04,252.65
2013-09-05,251.9
2013-09-06,253.25
2013-09-10,269.4
2013-09-11,268.15
2013-09-12,276.2
2013-09-13,275.65
2013-09-16,287.5
2013-09-17,294.05
2013-09-18,303.5
2013-09-19,300.5
2013-09-20,288.2
2013-09-23,289.9
2013-09-24,293.35
2013-09-25,289.6
2013-09-26,296.65
2013-09-27,299.5
2013-09-30,297.8
2013-10-01,296.95
2013-10-03,313.65
2013-10-04,311.25
2013-10-07,308.5
2013-10-08,310.25
2013-10-09,294.2
2013-10-10,290.0
2013-10-11,293.05
2013-10-14,293.25
2013-10-15,282.25
2013-10-17,282.3
2013-10-18,285.6
2013-10-21,287.1
2013-10-22,291.95
2013-10-23,296.05
2013-10-24,294.75
2013-10-25,288.9
2013-10-28,278.0
2013-10-29,276.4
2013-10-30,283.7
2013-10-31,282.55
2013-11-01,283.9
2013-11-03,278.75
2013-11-05,276.4
2013-11-06,276.2
2013-11-07,266.45
2013-11-08,268.75
2013-11-11,255.7
2013-11-12,257.95
2013-11-13,262.15
2013-11-14,263.9
2013-11-18,260.35
2013-11-19,264.65
2013-11-20,261.7
2013-11-21,260.0
2013-11-22,255.55
2013-11-25,253.35
2013-11-26,248.7
2013-11-27,244.7
2013-11-28,252.9
2013-11-29,249.05
2013-12-02,244.25
2013-12-03,243.5
2013-12-04,247.75
2013-12-05,245.3
2013-12-06,241.4
2013-12-09,259.9
2013-12-10,256.55
2013-12-11,249.7
2013-12-12,258.1
2013-12-13,255.3
2013-12-16,254.7
2013-12-17,252.75
2013-12-18,253.5
2013-12-19,252.65
2013-12-20,262.85
2013-12-23,274.8
2013-12-24,277.25
2013-12-26,274.45
2013-12-27,268.15
2013-12-30,273.55
2013-12-31,271.85
