Date,KOTAKBANK
2013-01-01,649.95
2013-01-02,656.9
2013-01-03,654.9
2013-01-04,650.2
2013-01-07,648.45
2013-01-08,652.75
2013-01-09,649.1
2013-01-10,653.85
2013-01-11,630.0
2013-01-14,628.55
2013-01-15,629.65
2013-01-16,624.6
2013-01-17,627.9
2013-01-18,629.75
2013-01-21,630.95
2013-01-22,640.75
2013-01-23,645.05
2013-01-24,653.05
2013-01-25,665.2
2013-01-28,668.05
2013-01-29,674.7
2013-01-30,678.8
2013-01-31,680.35
2013-02-01,672.3
2013-02-04,676.7
2013-02-05,680.45
2013-02-06,695.15
2013-02-07,687.6
2013-02-08,678.35
2013-02-11,671.8
2013-02-12,671.35
2013-02-13,667.75
2013-02-14,665.4
2013-02-15,670.35
2013-02-18,665.8
2013-02-19,674.8
2013-02-20,668.05
2013-02-21,660.3
2013-02-22,665.25
2013-02-25,660.65
2013-02-26,661.35
2013-02-27,653.5
2013-02-28,659.6
2013-03-01,654.85
2013-03-04,655.05
2013-03-05,655.95
2013-03-06,654.65
2013-03-07,655.25
2013-03-08,675.3
2013-03-11,668.9
2013-03-12,668.3
2013-03-13,650.45
2013-03-14,658.25
2013-03-15,664.3
2013-03-18,654.2
2013-03-19,638.3
2013-03-20,633.2
2013-03-21,631.65
2013-03-22,638.6
2013-03-25,631.85
2013-03-26,639.7
2013-03-28,653.0
2013-04-01,652.0
2013-04-02,656.3
2013-04-03,650.85
2013-04-04,632.7
2013-04-05,636.75
2013-04-08,630.1
2013-04-09,618.75
2013-04-10,638.2
2013-04-11,630.55
2013-04-12,638.35
2013-04-15,640.7
2013-04-16,653.2
2013-04-17,659.75
2013-04-18,668.95
2013-04-22,676.5
2013-04-23,691.9
2013-04-25,710.5
2013-04-26,712.75
2013-04-29,709.0
2013-04-30,707.1
2013-05-02,717.45
2013-05-03,723.25
2013-05-06,711.6
2013-05-07,728.45
2013-05-08,728.85
2013-05-09,723.35
2013-05-10,730.45
2013-05-11,734.8
2013-05-13,725.0
2013-05-14,729.9
2013-05-15,768.25
2013-05-16,777.95
2013-05-17,794.35
2013-05-20,781.75
2013-05-21,765.1
2013-05-22,768.1
2013-05-23,765.55
2013-05-24,781.05
2013-05-27,789.45
2013-05-28,775.4
2013-05-29,777.25
2013-05-30,799.85
2013-05-31,782.95
2013-06-03,770.4
2013-06-04,767.3
2013-06-05,768.45
2013-06-06,774.7
2013-06-07,762.9
2013-06-10,753.65
2013-06-11,749.4
2013-06-12,746.35
2013-06-13,743.4
2013-06-14,756.7
2013-06-17,756.15
2013-06-18,762.8
2013-06-19,766.15
2013-06-20,738.6
2013-06-21,729.5
2013-06-24,693.7
2013-06-25,718.3
2013-06-26,688.25
2013-06-27,702.1
2013-06-28,722.2
2013-07-01,723.95
2013-07-02,715.75
2013-07-03,698.85
2013-07-04,699.55
2013-07-05,702.65
2013-07-08,692.25
2013-07-09,714.05
2013-07-10,726.35
2013-07-11,745.8
2013-07-12,758.1
2013-07-15,757.45
2013-07-16,712.85
2013-07-17,711.4
2013-07-18,711.7
2013-07-19,690.85
2013-07-22,700.65
2013-07-23,730.1
2013-07-24,689.45
2013-07-25,685.15
2013-07-26,679.95
2013-07-29,661.9
2013-07-30,650.35
2013-07-31,652.35
2013-08-01,666.3
2013-08-02,653.5
2013-08-05,660.9
2013-08-06,638.15
2013-08-07,640.9
2013-08-08,652.75
2013-08-12,650.05
2013-08-13,659.1
2013-08-14,661.3
2013-08-16,632.25
2013-08-19,620.8
2013-08-20,634.2
2013-08-21,624.55
2013-08-22,630.6
2013-08-23,642.55
2013-08-26,633.15
2013-08-27,613.55
2013-08-28,606.65
2013-08-29,647.45
2013-08-30,659.6
2013-09-02,627.0
2013-09-03,600.65
2013-09-04,608.5
2013-09-05,662.0
2013-09-06,677.25
2013-09-10,708.45
2013-09-11,715.2
2013-09-12,700.5
2013-09-13,716.0
2013-09-16,711.1
2013-09-17,709.25
2013-09-18,714.85
2013-09-19,771.65
2013-09-20,748.2
2013-09-23,719.3
2013-09-24,720.1
2013-09-25,709.3
2013-09-26,703.4
2013-09-27,682.85
2013-09-30,678.1
2013-10-01,685.1
2013-10-03,700.1
2013-10-04,695.55
2013-10-07,686.75
2013-10-08,694.85
2013-10-09,718.8
2013-10-10,705.7
2013-10-11,705.0
2013-10-14,698.6
2013-10-15,682.9
2013-10-17,676.85
2013-10-18,701.35
2013-10-21,716.85
2013-10-22,709.1
2013-10-23,710.1
2013-10-24,707.05
2013-10-25,704.9
2013-10-28,708.5
2013-10-29,733.05
2013-10-30,738.1
2013-10-31,752.45
2013-11-01,748.5
2013-11-03,743.6
2013-11-05,745.4
2013-11-06,731.45
2013-11-07,734.65
2013-11-08,727.4
2013-11-11,712.35
2013-11-12,716.2
2013-11-13,718.25
2013-11-14,725.65
2013-11-18,743.05
2013-11-19,735.35
2013-11-20,732.95
2013-11-21,711.5
2013-11-22,716.6
2013-11-25,745.65
2013-11-26,745.85
2013-11-27,747.05
2013-11-28,751.9
2013-11-29,756.8
2013-12-02,770.55
2013-12-03,758.7
2013-12-04,749.05
2013-12-05,761.95
2013-12-06,757.85
2013-12-09,763.9
2013-12-10,772.5
2013-12-11,768.95
2013-12-12,765.1
2013-12-13,758.5
2013-12-16,750.8
2013-12-17,740.6
2013-12-18,750.2
2013-12-19,721.95
2013-12-20,733.15
2013-12-23,732.55
2013-12-24,728.8
2013-12-26,725.9
2013-12-27,740.05
2013-12-30,731.8
2013-12-31,728.25
