Date,EIHOTEL
2013-01-01,70.3
2013-01-02,69.4
2013-01-03,71.2
2013-01-04,73.2
2013-01-07,72.65
2013-01-08,71.85
2013-01-09,71.45
2013-01-10,70.5
2013-01-11,69.8
2013-01-14,70.25
2013-01-15,70.75
2013-01-16,70.0
2013-01-17,73.35
2013-01-18,72.8
2013-01-21,73.25
2013-01-22,72.1
2013-01-23,71.6
2013-01-24,70.25
2013-01-25,71.5
2013-01-28,71.55
2013-01-29,70.9
2013-01-30,70.45
2013-01-31,69.55
2013-02-01,69.65
2013-02-04,70.05
2013-02-05,69.3
2013-02-06,69.35
2013-02-07,68.05
2013-02-08,67.65
2013-02-11,67.6
2013-02-12,70.6
2013-02-13,69.35
2013-02-14,67.1
2013-02-15,65.75
2013-02-18,66.0
2013-02-19,67.0
2013-02-20,67.3
2013-02-21,66.4
2013-02-22,66.3
2013-02-25,66.15
2013-02-26,65.35
2013-02-27,65.3
2013-02-28,63.75
2013-03-01,62.55
2013-03-04,60.95
2013-03-05,62.6
2013-03-06,63.2
2013-03-07,64.45
2013-03-08,63.95
2013-03-11,63.25
2013-03-12,62.5
2013-03-13,62.1
2013-03-14,62.4
2013-03-15,61.6
2013-03-18,60.75
2013-03-19,59.7
2013-03-20,58.3
2013-03-21,58.25
2013-03-22,56.55
2013-03-25,55.8
2013-03-26,55.4
2013-03-28,55.15
2013-04-01,56.0
2013-04-02,57.95
2013-04-03,57.7
2013-04-04,55.95
2013-04-05,55.65
2013-04-08,56.05
2013-04-09,55.55
2013-04-10,55.45
2013-04-11,55.7
2013-04-12,55.5
2013-04-15,56.0
2013-04-16,55.9
2013-04-17,55.9
2013-04-18,55.95
2013-04-22,57.75
2013-04-23,58.85
2013-04-25,59.75
2013-04-26,60.0
2013-04-29,60.15
2013-04-30,61.25
2013-05-02,60.55
2013-05-03,60.0
2013-05-06,60.05
2013-05-07,60.0
2013-05-08,64.55
2013-05-09,63.0
2013-05-10,62.45
2013-05-11,63.3
2013-05-13,61.7
2013-05-14,60.95
2013-05-15,60.85
2013-05-16,60.3
2013-05-17,60.25
2013-05-20,60.45
2013-05-21,60.45
2013-05-22,60.0
2013-05-23,58.8
2013-05-24,58.4
2013-05-27,58.3
2013-05-28,58.25
2013-05-29,58.25
2013-05-30,58.05
2013-05-31,56.45
2013-06-03,56.1
2013-06-04,56.35
2013-06-05,56.6
2013-06-06,56.5
2013-06-07,56.2
2013-06-10,54.95
2013-06-11,53.15
2013-06-12,53.1
2013-06-13,53.0
2013-06-14,53.4
2013-06-17,53.45
2013-06-18,53.5
2013-06-19,54.65
2013-06-20,53.2
2013-06-21,52.4
2013-06-24,51.5
2013-06-25,51.1
2013-06-26,52.3
2013-06-27,51.3
2013-06-28,51.8
2013-07-01,52.9
2013-07-02,52.65
2013-07-03,52.7
2013-07-04,52.65
2013-07-05,52.5
2013-07-08,52.4
2013-07-09,52.95
2013-07-10,52.85
2013-07-11,52.75
2013-07-12,52.95
2013-07-15,52.9
2013-07-16,53.05
2013-07-17,52.6
2013-07-18,52.55
2013-07-19,52.65
2013-07-22,52.5
2013-07-23,52.25
2013-07-24,51.5
2013-07-25,50.55
2013-07-26,50.95
2013-07-29,49.2
2013-07-30,46.75
2013-07-31,46.9
2013-08-01,46.4
2013-08-02,44.9
2013-08-05,45.05
2013-08-06,44.2
2013-08-07,46.35
2013-08-08,50.55
2013-08-12,48.35
2013-08-13,48.6
2013-08-14,49.45
2013-08-16,48.3
2013-08-19,47.55
2013-08-20,47.8
2013-08-21,47.35
2013-08-22,47.75
2013-08-23,48.85
2013-08-26,49.0
2013-08-27,48.4
2013-08-28,48.65
2013-08-29,49.1
2013-08-30,50.25
2013-09-02,51.0
2013-09-03,51.05
2013-09-04,53.7
2013-09-05,52.7
2013-09-06,52.9
2013-09-10,53.45
2013-09-11,56.15
2013-09-12,57.85
2013-09-13,58.05
2013-09-16,58.75
2013-09-17,59.45
2013-09-18,57.4
2013-09-19,56.4
2013-09-20,56.4
2013-09-23,55.05
2013-09-24,54.3
2013-09-25,54.7
2013-09-26,54.95
2013-09-27,54.8
2013-09-30,53.8
2013-10-01,53.9
2013-10-03,54.25
2013-10-04,53.9
2013-10-07,55.1
2013-10-08,54.55
2013-10-09,54.0
2013-10-10,54.65
2013-10-11,56.95
2013-10-14,55.2
2013-10-15,54.5
2013-10-17,54.6
2013-10-18,55.55
2013-10-21,56.35
2013-10-22,56.25
2013-10-23,56.0
2013-10-24,54.85
2013-10-25,54.25
2013-10-28,53.4
2013-10-29,54.2
2013-10-30,55.7
2013-10-31,54.9
2013-11-01,56.75
2013-11-03,57.8
2013-11-05,58.2
2013-11-06,59.8
2013-11-07,58.15
2013-11-08,57.3
2013-11-11,56.15
2013-11-12,54.1
2013-11-13,55.0
2013-11-14,54.55
2013-11-18,54.3
2013-11-19,54.0
2013-11-20,53.75
2013-11-21,53.95
2013-11-22,53.6
2013-11-25,53.75
2013-11-26,54.65
2013-11-27,53.4
2013-11-28,53.35
2013-11-29,53.3
2013-12-02,53.05
2013-12-03,53.7
2013-12-04,54.1
2013-12-05,54.15
2013-12-06,53.9
2013-12-09,54.0
2013-12-10,54.4
2013-12-11,54.2
2013-12-12,53.9
2013-12-13,53.45
2013-12-16,54.25
2013-12-17,53.85
2013-12-18,54.7
2013-12-19,54.1
2013-12-20,53.75
2013-12-23,55.5
2013-12-24,55.95
2013-12-26,56.0
2013-12-27,60.0
2013-12-30,60.45
2013-12-31,62.75
