Date,SHAKTIPUMP
2013-01-01,67.7
2013-01-02,69.0
2013-01-03,68.25
2013-01-04,67.9
2013-01-07,67.25
2013-01-08,67.3
2013-01-09,69.4
2013-01-10,68.25
2013-01-11,67.4
2013-01-14,67.2
2013-01-15,67.1
2013-01-16,66.6
2013-01-17,66.8
2013-01-18,65.4
2013-01-21,64.75
2013-01-22,64.2
2013-01-23,64.05
2013-01-24,62.05
2013-01-25,61.75
2013-01-28,61.3
2013-01-29,64.3
2013-01-30,63.4
2013-01-31,63.55
2013-02-01,62.4
2013-02-04,63.55
2013-02-05,61.9
2013-02-06,62.25
2013-02-07,61.05
2013-02-08,60.05
2013-02-11,59.85
2013-02-12,60.7
2013-02-13,62.95
2013-02-14,60.3
2013-02-15,58.55
2013-02-18,58.55
2013-02-19,59.05
2013-02-20,59.9
2013-02-21,60.8
2013-02-22,59.4
2013-02-25,58.6
2013-02-26,56.25
2013-02-27,55.75
2013-02-28,53.7
2013-03-01,52.05
2013-03-04,52.2
2013-03-05,52.05
2013-03-06,52.55
2013-03-07,52.95
2013-03-08,53.8
2013-03-11,54.05
2013-03-12,52.95
2013-03-13,52.8
2013-03-14,51.75
2013-03-15,51.2
2013-03-18,50.3
2013-03-19,48.1
2013-03-20,47.25
2013-03-21,45.05
2013-03-22,43.0
2013-03-25,45.95
2013-03-26,44.0
2013-03-28,43.5
2013-04-01,44.9
2013-04-02,46.25
2013-04-03,46.0
2013-04-04,44.7
2013-04-05,45.65
2013-04-08,44.65
2013-04-09,44.05
2013-04-10,43.5
2013-04-11,43.35
2013-04-12,43.15
2013-04-15,43.15
2013-04-16,44.35
2013-04-17,44.5
2013-04-18,45.9
2013-04-22,47.6
2013-04-23,47.15
2013-04-25,47.2
2013-04-26,46.35
2013-04-29,46.65
2013-04-30,46.95
2013-05-02,49.05
2013-05-03,48.85
2013-05-06,51.15
2013-05-07,50.7
2013-05-08,50.0
2013-05-09,49.05
2013-05-10,49.4
2013-05-11,48.8
2013-05-13,47.85
2013-05-14,48.35
2013-05-15,48.75
2013-05-16,49.5
2013-05-17,56.5
2013-05-20,58.25
2013-05-21,55.2
2013-05-22,53.25
2013-05-23,50.7
2013-05-24,50.15
2013-05-27,51.75
2013-05-28,51.35
2013-05-29,51.2
2013-05-30,52.15
2013-05-31,50.25
2013-06-03,49.55
2013-06-04,48.95
2013-06-05,48.65
2013-06-06,48.8
2013-06-07,48.2
2013-06-10,47.9
2013-06-11,46.45
2013-06-12,45.85
2013-06-13,45.6
2013-06-14,47.95
2013-06-17,48.65
2013-06-18,47.4
2013-06-19,47.05
2013-06-20,45.6
2013-06-21,44.65
2013-06-24,43.45
2013-06-25,43.85
2013-06-26,41.8
2013-06-27,42.4
2013-06-28,42.95
2013-07-01,43.6
2013-07-02,44.25
2013-07-03,42.85
2013-07-04,42.45
2013-07-05,43.95
2013-07-08,43.8
2013-07-09,42.55
2013-07-10,43.05
2013-07-11,42.2
2013-07-12,42.0
2013-07-15,42.15
2013-07-16,42.75
2013-07-17,44.35
2013-07-18,43.5
2013-07-19,42.85
2013-07-22,42.4
2013-07-23,42.65
2013-07-24,44.3
2013-07-25,46.7
2013-07-26,45.95
2013-07-29,44.65
2013-07-30,43.65
2013-07-31,42.3
2013-08-01,42.35
2013-08-02,41.3
2013-08-05,39.4
2013-08-06,39.45
2013-08-07,39.35
2013-08-08,40.65
2013-08-12,41.3
2013-08-13,43.85
2013-08-14,42.65
2013-08-16,40.2
2013-08-19,38.65
2013-08-20,44.25
2013-08-21,46.15
2013-08-22,44.9
2013-08-23,44.05
2013-08-26,43.7
2013-08-27,41.5
2013-08-28,41.3
2013-08-29,42.0
2013-08-30,41.65
2013-09-02,42.0
2013-09-03,42.0
2013-09-04,41.65
2013-09-05,41.8
2013-09-06,42.35
2013-09-10,43.25
2013-09-11,42.6
2013-09-12,42.9
2013-09-13,42.95
2013-09-16,43.75
2013-09-17,43.4
2013-09-18,42.8
2013-09-19,42.95
2013-09-20,41.5
2013-09-23,41.5
2013-09-24,41.55
2013-09-25,40.7
2013-09-26,40.75
2013-09-27,40.8
2013-09-30,40.6
2013-10-01,40.6
2013-10-03,41.45
2013-10-04,42.9
2013-10-07,41.8
2013-10-08,41.65
2013-10-09,42.6
2013-10-10,42.15
2013-10-11,42.15
2013-10-14,42.5
2013-10-15,43.15
2013-10-17,43.4
2013-10-18,46.8
2013-10-21,49.75
2013-10-22,49.45
2013-10-23,49.8
2013-10-24,51.5
2013-10-25,59.2
2013-10-28,58.05
2013-10-29,56.35
2013-10-30,57.0
2013-10-31,59.05
2013-11-01,58.3
2013-11-03,62.1
2013-11-05,61.6
2013-11-06,62.65
2013-11-07,60.9
2013-11-08,60.2
2013-11-11,59.0
2013-11-12,57.3
2013-11-13,57.2
2013-11-14,58.8
2013-11-18,59.45
2013-11-19,60.75
2013-11-20,60.2
2013-11-21,57.85
2013-11-22,58.5
2013-11-25,61.7
2013-11-26,64.35
2013-11-27,72.0
2013-11-28,79.9
2013-11-29,79.2
2013-12-02,78.85
2013-12-03,79.5
2013-12-04,79.3
2013-12-05,76.1
2013-12-06,76.45
2013-12-09,76.2
2013-12-10,75.45
2013-12-11,77.2
2013-12-12,75.55
2013-12-13,73.3
2013-12-16,70.8
2013-12-17,73.0
2013-12-18,73.6
2013-12-19,72.6
2013-12-20,74.1
2013-12-23,74.2
2013-12-24,76.1
2013-12-26,77.05
2013-12-27,76.55
2013-12-30,78.35
2013-12-31,81.35
