Date,OILCOUNTUB
2013-01-01,51.0
2013-01-02,51.3
2013-01-03,51.55
2013-01-04,51.25
2013-01-07,53.1
2013-01-08,54.05
2013-01-09,55.35
2013-01-10,54.5
2013-01-11,52.45
2013-01-14,56.4
2013-01-15,55.8
2013-01-16,53.15
2013-01-17,53.35
2013-01-18,51.55
2013-01-21,51.75
2013-01-22,50.75
2013-01-23,51.25
2013-01-24,50.65
2013-01-25,50.7
2013-01-28,50.2
2013-01-29,49.9
2013-01-30,49.05
2013-01-31,48.9
2013-02-01,48.6
2013-02-04,48.75
2013-02-05,47.6
2013-02-06,47.85
2013-02-07,47.6
2013-02-08,46.6
2013-02-11,47.2
2013-02-12,46.85
2013-02-13,46.7
2013-02-14,45.15
2013-02-15,45.1
2013-02-18,45.1
2013-02-19,45.45
2013-02-20,45.3
2013-02-21,44.7
2013-02-22,44.6
2013-02-25,43.35
2013-02-26,41.95
2013-02-27,40.45
2013-02-28,40.7
2013-03-01,39.8
2013-03-04,39.2
2013-03-05,39.4
2013-03-06,40.25
2013-03-07,41.25
2013-03-08,41.7
2013-03-11,43.1
2013-03-12,42.0
2013-03-13,41.2
2013-03-14,40.65
2013-03-15,41.0
2013-03-18,40.3
2013-03-19,39.8
2013-03-20,38.5
2013-03-21,38.0
2013-03-22,38.65
2013-03-25,41.15
2013-03-26,40.8
2013-03-28,42.75
2013-04-01,42.9
2013-04-02,44.75
2013-04-03,43.65
2013-04-04,42.55
2013-04-05,43.5
2013-04-08,42.4
2013-04-09,42.6
2013-04-10,41.7
2013-04-11,42.45
2013-04-12,42.5
2013-04-15,42.5
2013-04-16,42.65
2013-04-17,40.3
2013-04-18,41.7
2013-04-22,43.05
2013-04-23,44.95
2013-04-25,43.3
2013-04-26,42.15
2013-04-29,41.85
2013-04-30,40.8
2013-05-02,41.45
2013-05-03,41.9
2013-05-06,42.3
2013-05-07,42.8
2013-05-08,43.25
2013-05-09,43.75
2013-05-10,44.2
2013-05-11,43.95
2013-05-13,43.2
2013-05-14,43.45
2013-05-15,44.15
2013-05-16,44.05
2013-05-17,43.75
2013-05-20,44.2
2013-05-21,43.1
2013-05-22,41.8
2013-05-23,39.2
2013-05-24,36.9
2013-05-27,36.95
2013-05-28,36.25
2013-05-29,35.9
2013-05-30,37.1
2013-05-31,36.05
2013-06-03,35.45
2013-06-04,35.4
2013-06-05,36.7
2013-06-06,37.7
2013-06-07,37.55
2013-06-10,37.2
2013-06-11,36.7
2013-06-12,37.25
2013-06-13,36.95
2013-06-14,37.0
2013-06-17,38.1
2013-06-18,38.35
2013-06-19,38.3
2013-06-20,38.8
2013-06-21,38.0
2013-06-24,38.05
2013-06-25,38.1
2013-06-26,38.75
2013-06-27,38.75
2013-06-28,39.2
2013-07-01,39.8
2013-07-02,40.15
2013-07-03,39.65
2013-07-04,39.3
2013-07-05,39.95
2013-07-08,39.8
2013-07-09,38.5
2013-07-10,38.25
2013-07-11,38.25
2013-07-12,38.35
2013-07-15,38.65
2013-07-16,38.1
2013-07-17,38.1
2013-07-18,37.95
2013-07-19,38.05
2013-07-22,37.15
2013-07-23,37.6
2013-07-24,36.5
2013-07-25,35.65
2013-07-26,33.7
2013-07-29,33.0
2013-07-30,31.05
2013-07-31,29.5
2013-08-01,31.0
2013-08-02,31.0
2013-08-05,31.0
2013-08-06,31.0
2013-08-07,31.0
2013-08-08,31.35
2013-08-12,31.45
2013-08-13,31.75
2013-08-14,31.55
2013-08-16,31.1
2013-08-19,31.45
2013-08-20,31.05
2013-08-21,31.75
2013-08-22,31.5
2013-08-23,32.0
2013-08-26,35.2
2013-08-27,33.3
2013-08-28,37.15
2013-08-29,37.0
2013-08-30,36.15
2013-09-02,34.75
2013-09-03,32.9
2013-09-04,32.5
2013-09-05,32.55
2013-09-06,32.0
2013-09-10,32.55
2013-09-11,31.9
2013-09-12,32.85
2013-09-13,33.3
2013-09-16,32.1
2013-09-17,31.9
2013-09-18,35.1
2013-09-19,33.7
2013-09-20,32.45
2013-09-23,33.0
2013-09-24,33.95
2013-09-25,33.3
2013-09-26,32.55
2013-09-27,32.95
2013-09-30,31.95
2013-10-01,32.2
2013-10-03,32.1
2013-10-04,32.4
2013-10-07,32.95
2013-10-08,32.9
2013-10-09,33.7
2013-10-10,33.25
2013-10-11,33.15
2013-10-14,33.0
2013-10-15,33.15
2013-10-17,33.15
2013-10-18,33.15
2013-10-21,33.35
2013-10-22,33.7
2013-10-23,33.8
2013-10-24,33.65
2013-10-25,33.0
2013-10-28,33.6
2013-10-29,33.2
2013-10-30,33.35
2013-10-31,33.4
2013-11-01,33.3
2013-11-03,33.7
2013-11-05,34.35
2013-11-06,35.75
2013-11-07,35.15
2013-11-08,36.2
2013-11-11,35.85
2013-11-12,34.1
2013-11-13,33.7
2013-11-14,34.55
2013-11-18,34.35
2013-11-19,34.35
2013-11-20,35.1
2013-11-21,34.2
2013-11-22,34.6
2013-11-25,34.2
2013-11-26,34.65
2013-11-27,33.8
2013-11-28,35.9
2013-11-29,39.5
2013-12-02,37.65
2013-12-03,37.45
2013-12-04,36.6
2013-12-05,37.3
2013-12-06,36.0
2013-12-09,35.05
2013-12-10,34.2
2013-12-11,34.5
2013-12-12,33.8
2013-12-13,33.75
2013-12-16,33.55
2013-12-17,33.55
2013-12-18,34.15
2013-12-19,35.1
2013-12-20,34.6
2013-12-23,35.05
2013-12-24,35.6
2013-12-26,35.85
2013-12-27,36.05
2013-12-30,36.15
2013-12-31,36.0
