Date,IBREALEST
2013-01-01,77.75
2013-01-02,76.65
2013-01-03,77.8
2013-01-04,78.55
2013-01-07,78.25
2013-01-08,79.8
2013-01-09,78.55
2013-01-10,76.7
2013-01-11,75.3
2013-01-14,78.4
2013-01-15,80.45
2013-01-16,78.0
2013-01-17,78.35
2013-01-18,80.15
2013-01-21,80.05
2013-01-22,76.5
2013-01-23,75.75
2013-01-24,72.85
2013-01-25,76.4
2013-01-28,77.1
2013-01-29,73.4
2013-01-30,75.2
2013-01-31,76.9
2013-02-01,78.65
2013-02-04,79.2
2013-02-05,78.55
2013-02-06,78.6
2013-02-07,75.35
2013-02-08,73.5
2013-02-11,74.35
2013-02-12,71.85
2013-02-13,68.85
2013-02-14,68.6
2013-02-15,70.9
2013-02-18,70.75
2013-02-19,71.35
2013-02-20,72.75
2013-02-21,68.55
2013-02-22,69.05
2013-02-25,66.35
2013-02-26,63.35
2013-02-27,64.6
2013-02-28,59.35
2013-03-01,60.85
2013-03-04,57.8
2013-03-05,61.0
2013-03-06,64.65
2013-03-07,65.05
2013-03-08,65.9
2013-03-11,65.75
2013-03-12,63.2
2013-03-13,62.35
2013-03-14,64.3
2013-03-15,60.65
2013-03-18,60.65
2013-03-19,58.45
2013-03-20,55.3
2013-03-21,53.9
2013-03-22,53.75
2013-03-25,52.65
2013-03-26,52.65
2013-03-28,54.55
2013-04-01,56.9
2013-04-02,57.45
2013-04-03,55.3
2013-04-04,54.4
2013-04-05,53.05
2013-04-08,52.3
2013-04-09,51.3
2013-04-10,53.55
2013-04-11,54.85
2013-04-12,54.25
2013-04-15,55.8
2013-04-16,59.15
2013-04-17,60.1
2013-04-18,60.85
2013-04-22,65.0
2013-04-23,70.45
2013-04-25,70.75
2013-04-26,70.65
2013-04-29,75.1
2013-04-30,74.45
2013-05-02,74.35
2013-05-03,77.4
2013-05-06,77.85
2013-05-07,76.85
2013-05-08,80.45
2013-05-09,77.3
2013-05-10,77.35
2013-05-11,78.05
2013-05-13,76.1
2013-05-14,75.45
2013-05-15,80.15
2013-05-16,84.45
2013-05-17,85.5
2013-05-20,82.4
2013-05-21,81.5
2013-05-22,79.45
2013-05-23,76.9
2013-05-24,79.15
2013-05-27,80.75
2013-05-28,80.7
2013-05-29,77.65
2013-05-30,74.85
2013-05-31,69.65
2013-06-03,71.9
2013-06-04,70.75
2013-06-05,72.3
2013-06-06,73.8
2013-06-07,74.9
2013-06-10,73.05
2013-06-11,69.95
2013-06-12,69.45
2013-06-13,65.5
2013-06-14,68.35
2013-06-17,69.35
2013-06-18,68.8
2013-06-19,71.7
2013-06-20,65.0
2013-06-21,63.4
2013-06-24,61.35
2013-06-25,60.25
2013-06-26,59.15
2013-06-27,60.05
2013-06-28,63.1
2013-07-01,68.8
2013-07-02,67.85
2013-07-03,64.05
2013-07-04,63.65
2013-07-05,64.75
2013-07-08,63.0
2013-07-09,66.75
2013-07-10,64.1
2013-07-11,71.8
2013-07-12,71.9
2013-07-15,74.95
2013-07-16,67.45
2013-07-17,67.5
2013-07-18,73.95
2013-07-19,72.5
2013-07-22,71.95
2013-07-23,73.75
2013-07-24,71.25
2013-07-25,69.6
2013-07-26,68.35
2013-07-29,65.3
2013-07-30,63.15
2013-07-31,63.55
2013-08-01,59.35
2013-08-02,59.0
2013-08-05,59.2
2013-08-06,58.1
2013-08-07,62.1
2013-08-08,62.1
2013-08-12,60.9
2013-08-13,63.75
2013-08-14,63.15
2013-08-16,57.3
2013-08-19,59.25
2013-08-20,62.1
2013-08-21,57.6
2013-08-22,60.5
2013-08-23,60.2
2013-08-26,60.75
2013-08-27,57.25
2013-08-28,54.7
2013-08-29,55.85
2013-08-30,56.85
2013-09-02,60.5
2013-09-03,55.9
2013-09-04,55.85
2013-09-05,60.15
2013-09-06,60.2
2013-09-10,60.75
2013-09-11,62.3
2013-09-12,60.05
2013-09-13,61.75
2013-09-16,58.15
2013-09-17,57.6
2013-09-18,58.8
2013-09-19,64.25
2013-09-20,59.65
2013-09-23,56.4
2013-09-24,55.45
2013-09-25,55.8
2013-09-26,54.75
2013-09-27,54.7
2013-09-30,54.0
2013-10-01,55.85
2013-10-03,56.7
2013-10-04,56.8
2013-10-07,56.45
2013-10-08,56.3
2013-10-09,61.05
2013-10-10,61.4
2013-10-11,62.45
2013-10-14,62.15
2013-10-15,62.35
2013-10-17,60.95
2013-10-18,63.45
2013-10-21,65.95
2013-10-22,67.55
2013-10-23,64.95
2013-10-24,63.6
2013-10-25,62.5
2013-10-28,59.45
2013-10-29,62.9
2013-10-30,63.05
2013-10-31,62.65
2013-11-01,65.9
2013-11-03,65.6
2013-11-05,65.9
2013-11-06,64.85
2013-11-07,61.15
2013-11-08,66.6
2013-11-11,64.1
2013-11-12,66.7
2013-11-13,65.5
2013-11-14,68.6
2013-11-18,70.1
2013-11-19,72.25
2013-11-20,70.35
2013-11-21,67.45
2013-11-22,66.9
2013-11-25,69.0
2013-11-26,67.5
2013-11-27,66.7
2013-11-28,67.85
2013-11-29,69.1
2013-12-02,69.4
2013-12-03,69.65
2013-12-04,67.85
2013-12-05,68.6
2013-12-06,68.6
2013-12-09,69.9
2013-12-10,69.0
2013-12-11,69.15
2013-12-12,68.65
2013-12-13,65.3
2013-12-16,64.55
2013-12-17,64.35
2013-12-18,67.6
2013-12-19,65.3
2013-12-20,67.35
2013-12-23,69.9
2013-12-24,71.2
2013-12-26,69.35
2013-12-27,69.4
2013-12-30,68.4
2013-12-31,69.0
