Date,EDL
2013-01-01,75.35
2013-01-02,76.4
2013-01-03,79.35
2013-01-04,79.9
2013-01-07,80.05
2013-01-08,80.85
2013-01-09,81.35
2013-01-10,80.95
2013-01-11,81.7
2013-01-14,82.25
2013-01-15,83.8
2013-01-16,85.15
2013-01-17,84.9
2013-01-18,84.75
2013-01-21,84.65
2013-01-22,85.1
2013-01-23,84.55
2013-01-24,83.1
2013-01-25,82.05
2013-01-28,84.5
2013-01-29,85.55
2013-01-30,86.85
2013-01-31,81.25
2013-02-01,81.25
2013-02-04,81.4
2013-02-05,80.7
2013-02-06,80.85
2013-02-07,79.8
2013-02-08,80.0
2013-02-11,79.9
2013-02-12,78.95
2013-02-13,74.5
2013-02-14,73.65
2013-02-15,74.1
2013-02-18,72.9
2013-02-19,74.85
2013-02-20,75.6
2013-02-21,74.75
2013-02-22,74.2
2013-02-25,71.6
2013-02-26,68.0
2013-02-27,57.95
2013-02-28,59.7
2013-03-01,59.6
2013-03-04,61.2
2013-03-05,61.85
2013-03-06,59.45
2013-03-07,61.6
2013-03-08,62.35
2013-03-11,61.5
2013-03-12,60.35
2013-03-13,60.05
2013-03-14,59.25
2013-03-15,56.95
2013-03-18,55.95
2013-03-19,51.9
2013-03-20,48.65
2013-03-21,46.25
2013-03-22,45.2
2013-03-25,47.6
2013-03-26,50.65
2013-03-28,53.65
2013-04-01,56.7
2013-04-02,57.3
2013-04-03,58.25
2013-04-04,57.95
2013-04-05,57.75
2013-04-08,56.75
2013-04-09,58.2
2013-04-10,58.3
2013-04-11,58.9
2013-04-12,58.95
2013-04-15,59.5
2013-04-16,59.9
2013-04-17,59.85
2013-04-18,60.65
2013-04-22,61.55
2013-04-23,61.55
2013-04-25,62.3
2013-04-26,62.4
2013-04-29,62.25
2013-04-30,62.25
2013-05-02,62.7
2013-05-03,64.05
2013-05-06,63.75
2013-05-07,63.9
2013-05-08,64.9
2013-05-09,64.85
2013-05-10,65.95
2013-05-11,66.15
2013-05-13,66.25
2013-05-14,66.15
2013-05-15,65.95
2013-05-16,64.65
2013-05-17,65.75
2013-05-20,64.2
2013-05-21,65.1
2013-05-22,64.65
2013-05-23,62.75
2013-05-24,63.25
2013-05-27,63.25
2013-05-28,64.55
2013-05-29,64.1
2013-05-30,64.35
2013-05-31,63.5
2013-06-03,63.25
2013-06-04,63.4
2013-06-05,62.95
2013-06-06,63.25
2013-06-07,63.5
2013-06-10,63.7
2013-06-11,63.0
2013-06-12,62.75
2013-06-13,62.15
2013-06-14,62.85
2013-06-17,62.55
2013-06-18,62.55
2013-06-19,62.45
2013-06-20,62.45
2013-06-21,62.55
2013-06-24,62.2
2013-06-25,62.4
2013-06-26,62.0
2013-06-27,62.45
2013-06-28,62.4
2013-07-01,61.5
2013-07-02,61.3
2013-07-03,49.05
2013-07-04,39.75
2013-07-05,40.2
2013-07-08,40.25
2013-07-09,40.05
2013-07-10,39.7
2013-07-11,38.25
2013-07-12,36.8
2013-07-15,37.7
2013-07-16,38.45
2013-07-17,37.95
2013-07-18,38.35
2013-07-19,37.4
2013-07-22,37.35
2013-07-23,37.8
2013-07-24,37.4
2013-07-25,37.45
2013-07-26,36.65
2013-07-29,36.2
2013-07-30,35.85
2013-07-31,34.0
2013-08-01,34.25
2013-08-02,33.5
2013-08-05,33.45
2013-08-06,32.4
2013-08-07,32.0
2013-08-08,33.35
2013-08-12,33.45
2013-08-13,34.35
2013-08-14,33.85
2013-08-16,32.0
2013-08-19,31.6
2013-08-20,31.35
2013-08-21,30.7
2013-08-22,31.8
2013-08-23,31.6
2013-08-26,32.95
2013-08-27,36.2
2013-08-28,39.8
2013-08-29,41.75
2013-08-30,43.8
2013-09-02,45.95
2013-09-03,43.7
2013-09-04,45.85
2013-09-05,46.1
2013-09-06,45.0
2013-09-10,44.35
2013-09-11,42.6
2013-09-12,42.4
2013-09-13,42.35
2013-09-16,42.65
2013-09-17,41.75
2013-09-18,40.35
2013-09-19,41.0
2013-09-20,40.85
2013-09-23,40.55
2013-09-24,40.95
2013-09-25,40.6
2013-09-26,40.9
2013-09-27,40.25
2013-09-30,39.8
2013-10-01,39.05
2013-10-03,39.3
2013-10-04,39.6
2013-10-07,39.65
2013-10-08,40.0
2013-10-09,42.0
2013-10-10,44.1
2013-10-11,45.0
2013-10-14,42.75
2013-10-15,41.65
2013-10-17,41.6
2013-10-18,42.55
2013-10-21,42.9
2013-10-22,44.5
2013-10-23,44.1
2013-10-24,45.75
2013-10-25,44.45
2013-10-28,45.05
2013-10-29,44.55
2013-10-30,45.05
2013-10-31,45.65
2013-11-01,45.25
2013-11-03,45.75
2013-11-05,45.4
2013-11-06,46.55
2013-11-07,46.05
2013-11-08,45.0
2013-11-11,45.05
2013-11-12,43.25
2013-11-13,41.65
2013-11-14,43.25
2013-11-18,44.4
2013-11-19,43.9
2013-11-20,44.85
2013-11-21,44.4
2013-11-22,44.45
2013-11-25,44.0
2013-11-26,43.4
2013-11-27,42.2
2013-11-28,42.0
2013-11-29,41.9
2013-12-02,41.95
2013-12-03,42.15
2013-12-04,42.15
2013-12-05,40.9
2013-12-06,40.95
2013-12-09,40.8
2013-12-10,39.85
2013-12-11,40.2
2013-12-12,40.9
2013-12-13,40.35
2013-12-16,41.25
2013-12-17,40.65
2013-12-18,40.9
2013-12-19,40.0
2013-12-20,39.35
2013-12-23,38.9
2013-12-24,39.2
2013-12-26,41.45
2013-12-27,41.05
2013-12-30,42.3
2013-12-31,43.55
