Date,UCOBANK
2013-01-01,81.9
2013-01-02,82.35
2013-01-03,83.25
2013-01-04,84.8
2013-01-07,84.55
2013-01-08,86.0
2013-01-09,84.5
2013-01-10,84.1
2013-01-11,82.35
2013-01-14,84.75
2013-01-15,85.15
2013-01-16,82.45
2013-01-17,82.6
2013-01-18,82.35
2013-01-21,82.05
2013-01-22,80.4
2013-01-23,78.2
2013-01-24,74.95
2013-01-25,77.95
2013-01-28,77.55
2013-01-29,76.3
2013-01-30,74.6
2013-01-31,75.85
2013-02-01,74.55
2013-02-04,71.4
2013-02-05,67.85
2013-02-06,67.85
2013-02-07,67.75
2013-02-08,66.5
2013-02-11,66.95
2013-02-12,67.2
2013-02-13,65.25
2013-02-14,64.3
2013-02-15,64.7
2013-02-18,66.1
2013-02-19,67.1
2013-02-20,66.8
2013-02-21,65.0
2013-02-22,65.3
2013-02-25,64.5
2013-02-26,62.85
2013-02-27,63.55
2013-02-28,57.15
2013-03-01,59.05
2013-03-04,57.95
2013-03-05,60.7
2013-03-06,62.55
2013-03-07,62.6
2013-03-08,62.95
2013-03-11,62.7
2013-03-12,61.7
2013-03-13,59.35
2013-03-14,60.85
2013-03-15,60.6
2013-03-18,60.9
2013-03-19,59.35
2013-03-20,57.2
2013-03-21,55.6
2013-03-22,55.35
2013-03-25,55.15
2013-03-26,55.15
2013-03-28,55.75
2013-04-01,57.8
2013-04-02,60.05
2013-04-03,58.45
2013-04-04,57.9
2013-04-05,59.5
2013-04-08,59.2
2013-04-09,57.85
2013-04-10,59.0
2013-04-11,58.75
2013-04-12,60.1
2013-04-15,62.15
2013-04-16,63.4
2013-04-17,62.6
2013-04-18,64.05
2013-04-22,66.15
2013-04-23,65.95
2013-04-25,67.7
2013-04-26,67.15
2013-04-29,68.95
2013-04-30,69.65
2013-05-02,71.0
2013-05-03,71.7
2013-05-06,73.25
2013-05-07,73.5
2013-05-08,70.65
2013-05-09,71.0
2013-05-10,73.9
2013-05-11,73.75
2013-05-13,71.7
2013-05-14,74.95
2013-05-15,81.65
2013-05-16,80.8
2013-05-17,80.95
2013-05-20,81.1
2013-05-21,78.95
2013-05-22,77.2
2013-05-23,75.0
2013-05-24,76.35
2013-05-27,78.5
2013-05-28,78.55
2013-05-29,76.8
2013-05-30,78.65
2013-05-31,75.75
2013-06-03,77.35
2013-06-04,75.4
2013-06-05,77.95
2013-06-06,81.9
2013-06-07,78.5
2013-06-10,77.25
2013-06-11,76.0
2013-06-12,76.7
2013-06-13,76.2
2013-06-14,77.55
2013-06-17,76.85
2013-06-18,76.8
2013-06-19,76.8
2013-06-20,71.7
2013-06-21,66.65
2013-06-24,63.05
2013-06-25,60.15
2013-06-26,58.6
2013-06-27,58.1
2013-06-28,61.75
2013-07-01,64.95
2013-07-02,62.9
2013-07-03,59.6
2013-07-04,65.15
2013-07-05,65.15
2013-07-08,66.9
2013-07-09,68.9
2013-07-10,66.75
2013-07-11,67.7
2013-07-12,67.3
2013-07-15,69.65
2013-07-16,64.5
2013-07-17,64.0
2013-07-18,73.6
2013-07-19,69.5
2013-07-22,69.05
2013-07-23,68.85
2013-07-24,65.45
2013-07-25,63.75
2013-07-26,62.45
2013-07-29,61.35
2013-07-30,58.25
2013-07-31,60.05
2013-08-01,58.65
2013-08-02,57.6
2013-08-05,57.8
2013-08-06,54.3
2013-08-07,56.2
2013-08-08,55.95
2013-08-12,55.75
2013-08-13,57.05
2013-08-14,56.4
2013-08-16,53.5
2013-08-19,52.1
2013-08-20,53.35
2013-08-21,52.45
2013-08-22,53.45
2013-08-23,53.5
2013-08-26,53.35
2013-08-27,50.2
2013-08-28,50.75
2013-08-29,52.8
2013-08-30,51.85
2013-09-02,52.4
2013-09-03,50.0
2013-09-04,50.55
2013-09-05,54.0
2013-09-06,53.2
2013-09-10,53.95
2013-09-11,59.4
2013-09-12,58.25
2013-09-13,61.2
2013-09-16,62.9
2013-09-17,63.2
2013-09-18,63.95
2013-09-19,67.5
2013-09-20,63.3
2013-09-23,60.0
2013-09-24,60.6
2013-09-25,60.9
2013-09-26,60.55
2013-09-27,60.2
2013-09-30,57.95
2013-10-01,59.05
2013-10-03,62.2
2013-10-04,62.3
2013-10-07,62.25
2013-10-08,62.85
2013-10-09,64.25
2013-10-10,64.45
2013-10-11,67.6
2013-10-14,69.4
2013-10-15,66.4
2013-10-17,65.25
2013-10-18,67.15
2013-10-21,68.15
2013-10-22,68.2
2013-10-23,68.7
2013-10-24,67.85
2013-10-25,66.75
2013-10-28,64.2
2013-10-29,67.6
2013-10-30,66.6
2013-10-31,72.25
2013-11-01,73.6
2013-11-03,74.95
2013-11-05,75.65
2013-11-06,73.75
2013-11-07,71.05
2013-11-08,74.75
2013-11-11,72.75
2013-11-12,72.85
2013-11-13,71.5
2013-11-14,73.65
2013-11-18,77.7
2013-11-19,78.55
2013-11-20,76.7
2013-11-21,74.1
2013-11-22,72.55
2013-11-25,74.8
2013-11-26,72.45
2013-11-27,74.0
2013-11-28,74.65
2013-11-29,75.65
2013-12-02,76.25
2013-12-03,74.75
2013-12-04,73.5
2013-12-05,75.3
2013-12-06,79.2
2013-12-09,80.55
2013-12-10,79.7
2013-12-11,78.95
2013-12-12,77.15
2013-12-13,75.0
2013-12-16,73.9
2013-12-17,73.0
2013-12-18,76.0
2013-12-19,73.65
2013-12-20,75.3
2013-12-23,76.95
2013-12-24,76.55
2013-12-26,76.2
2013-12-27,76.9
2013-12-30,75.35
2013-12-31,75.5
