Date,TRENT
2013-01-01,1317.6
2013-01-02,1303.95
2013-01-03,1317.3
2013-01-04,1318.8
2013-01-07,1299.95
2013-01-08,1281.65
2013-01-09,1278.3
2013-01-10,1291.75
2013-01-11,1280.6
2013-01-14,1266.1
2013-01-15,1263.9
2013-01-16,1219.8
2013-01-17,1197.4
2013-01-18,1190.35
2013-01-21,1188.7
2013-01-22,1169.75
2013-01-23,1170.9
2013-01-24,1138.2
2013-01-25,1147.0
2013-01-28,1150.0
2013-01-29,1135.85
2013-01-30,1160.3
2013-01-31,1147.5
2013-02-01,1144.95
2013-02-04,1160.05
2013-02-05,1165.45
2013-02-06,1165.05
2013-02-07,1137.5
2013-02-08,1133.95
2013-02-11,1131.65
2013-02-12,1126.4
2013-02-13,1137.3
2013-02-14,1139.9
2013-02-15,1170.6
2013-02-18,1148.3
2013-02-19,1144.95
2013-02-20,1130.25
2013-02-21,1115.8
2013-02-22,1132.95
2013-02-25,1126.6
2013-02-26,1112.5
2013-02-27,1121.85
2013-02-28,1111.15
2013-03-01,1105.05
2013-03-04,1095.2
2013-03-05,1086.3
2013-03-06,1087.0
2013-03-07,1076.3
2013-03-08,1072.25
2013-03-11,1061.3
2013-03-12,1044.7
2013-03-13,1007.6
2013-03-14,999.4
2013-03-15,1025.25
2013-03-18,1024.45
2013-03-19,1001.8
2013-03-20,1004.75
2013-03-21,995.2
2013-03-22,999.7
2013-03-25,995.5
2013-03-26,999.85
2013-03-28,997.2
2013-04-01,995.4
2013-04-02,1001.15
2013-04-03,1006.2
2013-04-04,1016.85
2013-04-05,997.65
2013-04-08,1007.45
2013-04-09,988.9
2013-04-10,989.4
2013-04-11,984.75
2013-04-12,981.6
2013-04-15,991.25
2013-04-16,994.05
2013-04-17,984.6
2013-04-18,991.95
2013-04-22,1002.3
2013-04-23,998.4
2013-04-25,1040.45
2013-04-26,1035.75
2013-04-29,1056.65
2013-04-30,1074.8
2013-05-02,1089.2
2013-05-03,1092.8
2013-05-06,1092.9
2013-05-07,1103.3
2013-05-08,1092.35
2013-05-09,1097.25
2013-05-10,1084.55
2013-05-11,1070.6
2013-05-13,1054.25
2013-05-14,1085.5
2013-05-15,1098.6
2013-05-16,1090.65
2013-05-17,1083.9
2013-05-20,1079.95
2013-05-21,1100.4
2013-05-22,1080.35
2013-05-23,1070.5
2013-05-24,1049.35
2013-05-27,1073.95
2013-05-28,1080.6
2013-05-29,1079.95
2013-05-30,1079.4
2013-05-31,1076.4
2013-06-03,1056.0
2013-06-04,1055.6
2013-06-05,1039.15
2013-06-06,1050.4
2013-06-07,1021.8
2013-06-10,1026.2
2013-06-11,1002.3
2013-06-12,1019.85
2013-06-13,1019.0
2013-06-14,1025.6
2013-06-17,1018.1
2013-06-18,1014.3
2013-06-19,1017.05
2013-06-20,1006.5
2013-06-21,1002.25
2013-06-24,994.55
2013-06-25,989.4
2013-06-26,979.8
2013-06-27,994.8
2013-06-28,993.75
2013-07-01,987.5
2013-07-02,977.75
2013-07-03,974.85
2013-07-04,990.15
2013-07-05,1015.2
2013-07-08,1018.5
2013-07-09,1002.3
2013-07-10,995.6
2013-07-11,1012.75
2013-07-12,1008.0
2013-07-15,1002.0
2013-07-16,1021.65
2013-07-17,1036.65
2013-07-18,1010.2
2013-07-19,1021.65
2013-07-22,1020.15
2013-07-23,1020.2
2013-07-24,1019.6
2013-07-25,1009.95
2013-07-26,1005.6
2013-07-29,1005.65
2013-07-30,1000.1
2013-07-31,1006.85
2013-08-01,997.2
2013-08-02,1002.8
2013-08-05,1000.7
2013-08-06,975.8
2013-08-07,974.65
2013-08-08,989.2
2013-08-12,966.05
2013-08-13,994.4
