Date,HGS
2013-01-01,301.55
2013-01-02,303.4
2013-01-03,303.1
2013-01-04,303.8
2013-01-07,307.5
2013-01-08,306.95
2013-01-09,308.05
2013-01-10,304.75
2013-01-11,302.15
2013-01-14,304.3
2013-01-15,303.85
2013-01-16,304.65
2013-01-17,307.15
2013-01-18,305.65
2013-01-21,305.85
2013-01-22,302.7
2013-01-23,302.65
2013-01-24,301.7
2013-01-25,299.95
2013-01-28,302.2
2013-01-29,301.15
2013-01-30,300.85
2013-01-31,297.6
2013-02-01,300.15
2013-02-04,300.3
2013-02-05,297.95
2013-02-06,297.2
2013-02-07,297.85
2013-02-08,295.6
2013-02-11,295.6
2013-02-12,274.4
2013-02-13,279.25
2013-02-14,279.15
2013-02-15,280.4
2013-02-18,278.9
2013-02-19,278.8
2013-02-20,279.35
2013-02-21,279.1
2013-02-22,280.0
2013-02-25,273.45
2013-02-26,275.85
2013-02-27,276.9
2013-02-28,276.3
2013-03-01,275.5
2013-03-04,274.15
2013-03-05,275.0
2013-03-06,281.15
2013-03-07,284.5
2013-03-08,283.7
2013-03-11,285.55
2013-03-12,282.25
2013-03-13,276.65
2013-03-14,275.7
2013-03-15,273.6
2013-03-18,274.2
2013-03-19,270.6
2013-03-20,268.5
2013-03-21,258.75
2013-03-22,256.75
2013-03-25,266.55
2013-03-26,268.0
2013-03-28,276.05
2013-04-01,272.05
2013-04-02,273.0
2013-04-03,268.5
2013-04-04,269.2
2013-04-05,265.35
2013-04-08,266.15
2013-04-09,269.95
2013-04-10,267.95
2013-04-11,267.4
2013-04-12,265.5
2013-04-15,268.3
2013-04-16,258.75
2013-04-17,265.8
2013-04-18,266.6
2013-04-22,267.3
2013-04-23,266.6
2013-04-25,265.65
2013-04-26,261.25
2013-04-29,261.5
2013-04-30,263.75
2013-05-02,263.7
2013-05-03,262.35
2013-05-06,266.65
2013-05-07,264.25
2013-05-08,263.1
2013-05-09,263.15
2013-05-10,262.6
2013-05-11,267.95
2013-05-13,266.35
2013-05-14,261.15
2013-05-15,261.85
2013-05-16,263.55
2013-05-17,263.95
2013-05-20,264.8
2013-05-21,263.6
2013-05-22,262.0
2013-05-23,257.15
2013-05-24,258.55
2013-05-27,255.2
2013-05-28,257.1
2013-05-29,280.3
2013-05-30,284.85
2013-05-31,285.05
2013-06-03,285.15
2013-06-04,285.0
2013-06-05,288.9
2013-06-06,287.9
2013-06-07,294.25
2013-06-10,291.25
2013-06-11,292.75
2013-06-12,296.05
2013-06-13,292.8
2013-06-14,293.65
2013-06-17,309.1
2013-06-18,306.7
2013-06-19,305.55
2013-06-20,301.75
2013-06-21,302.2
2013-06-24,296.4
2013-06-25,295.35
2013-06-26,288.25
2013-06-27,281.05
2013-06-28,276.35
2013-07-01,269.45
2013-07-02,269.65
2013-07-03,275.4
2013-07-04,278.3
2013-07-05,264.65
2013-07-08,264.0
2013-07-09,270.7
2013-07-10,265.45
2013-07-11,267.0
2013-07-12,277.55
2013-07-15,270.0
2013-07-16,268.1
2013-07-17,260.6
2013-07-18,266.6
2013-07-19,274.1
2013-07-22,276.8
2013-07-23,278.1
2013-07-24,277.75
2013-07-25,283.55
2013-07-26,279.75
2013-07-29,279.95
2013-07-30,279.15
2013-07-31,277.45
2013-08-01,274.3
2013-08-02,263.85
2013-08-05,227.1
2013-08-06,233.35
2013-08-07,237.3
2013-08-08,239.35
2013-08-12,254.95
2013-08-13,255.9
2013-08-14,247.7
2013-08-16,235.95
2013-08-19,234.75
2013-08-20,239.1
2013-08-21,234.7
2013-08-22,242.75
2013-08-23,236.1
2013-08-26,229.95
2013-08-27,229.3
2013-08-28,227.1
2013-08-29,225.85
2013-08-30,225.05
2013-09-02,224.5
2013-09-03,227.05
2013-09-04,228.95
2013-09-05,230.0
2013-09-06,255.85
2013-09-10,262.25
2013-09-11,269.1
2013-09-12,278.8
2013-09-13,280.0
2013-09-16,291.7
2013-09-17,305.2
2013-09-18,310.4
2013-09-19,310.0
2013-09-20,302.4
2013-09-23,285.05
2013-09-24,288.85
2013-09-25,289.4
2013-09-26,290.95
2013-09-27,302.3
2013-09-30,305.95
2013-10-01,310.35
2013-10-03,311.7
2013-10-04,310.2
2013-10-07,313.05
2013-10-08,375.65
2013-10-09,440.1
2013-10-10,439.8
2013-10-11,410.55
2013-10-14,410.2
2013-10-15,395.3
2013-10-17,377.05
2013-10-18,388.25
2013-10-21,373.25
2013-10-22,377.75
2013-10-23,384.15
2013-10-24,384.35
2013-10-25,375.1
2013-10-28,376.3
2013-10-29,375.1
2013-10-30,373.35
2013-10-31,371.25
2013-11-01,392.75
2013-11-03,392.45
2013-11-05,389.45
2013-11-06,396.85
2013-11-07,406.75
2013-11-08,416.65
2013-11-11,421.25
2013-11-12,418.65
2013-11-13,426.55
2013-11-14,437.35
2013-11-18,437.4
2013-11-19,435.5
2013-11-20,425.25
2013-11-21,415.45
2013-11-22,400.9
2013-11-25,399.45
2013-11-26,402.8
2013-11-27,404.45
2013-11-28,412.85
2013-11-29,406.35
2013-12-02,417.15
2013-12-03,444.8
2013-12-04,457.65
2013-12-05,462.9
2013-12-06,462.05
2013-12-09,455.9
2013-12-10,455.05
2013-12-11,438.3
2013-12-12,438.7
2013-12-13,440.8
2013-12-16,439.35
2013-12-17,440.25
2013-12-18,441.75
2013-12-19,442.3
2013-12-20,447.35
2013-12-23,451.8
2013-12-24,450.4
2013-12-26,456.95
2013-12-27,476.1
2013-12-30,495.6
2013-12-31,493.45
