Date,ASHOKA
2013-01-01,205.35
2013-01-02,206.7
2013-01-03,209.7
2013-01-04,213.55
2013-01-07,220.55
2013-01-08,214.7
2013-01-09,209.7
2013-01-10,207.05
2013-01-11,203.45
2013-01-14,203.25
2013-01-15,199.75
2013-01-16,200.95
2013-01-17,200.35
2013-01-18,197.75
2013-01-21,201.05
2013-01-22,199.0
2013-01-23,200.0
2013-01-24,200.0
2013-01-25,198.2
2013-01-28,198.2
2013-01-29,200.2
2013-01-30,198.25
2013-01-31,200.5
2013-02-01,204.5
2013-02-04,215.25
2013-02-05,218.45
2013-02-06,221.9
2013-02-07,228.8
2013-02-08,219.8
2013-02-11,228.8
2013-02-12,226.5
2013-02-13,220.95
2013-02-14,210.15
2013-02-15,211.25
2013-02-18,216.0
2013-02-19,213.45
2013-02-20,207.65
2013-02-21,213.7
2013-02-22,211.3
2013-02-25,202.05
2013-02-26,205.65
2013-02-27,200.0
2013-02-28,203.5
2013-03-01,205.25
2013-03-04,204.3
2013-03-05,203.0
2013-03-06,198.45
2013-03-07,204.2
2013-03-08,200.0
2013-03-11,203.85
2013-03-12,206.0
2013-03-13,203.0
2013-03-14,201.05
2013-03-15,200.0
2013-03-18,198.7
2013-03-19,204.8
2013-03-20,199.15
2013-03-21,200.1
2013-03-22,201.85
2013-03-25,196.6
2013-03-26,195.25
2013-03-28,193.0
2013-04-01,195.0
2013-04-02,195.0
2013-04-03,192.2
2013-04-04,193.55
2013-04-05,192.0
2013-04-08,192.0
2013-04-09,187.55
2013-04-10,185.2
2013-04-11,187.0
2013-04-12,188.75
2013-04-15,186.0
2013-04-16,190.95
2013-04-17,192.95
2013-04-18,191.6
2013-04-22,190.1
2013-04-23,187.55
2013-04-25,189.8
2013-04-26,188.9
2013-04-29,188.65
2013-04-30,192.35
2013-05-02,208.0
2013-05-03,220.7
2013-05-06,222.35
2013-05-07,222.35
2013-05-08,212.3
2013-05-09,214.1
2013-05-10,223.7
2013-05-11,229.2
2013-05-13,217.35
2013-05-14,221.25
2013-05-15,219.85
2013-05-16,214.05
2013-05-17,210.75
2013-05-20,209.2
2013-05-21,205.65
2013-05-22,202.4
2013-05-23,200.25
2013-05-24,200.75
2013-05-27,200.2
2013-05-28,202.1
2013-05-29,203.0
2013-05-30,206.0
2013-05-31,201.35
2013-06-03,204.5
2013-06-04,200.0
2013-06-05,200.0
2013-06-06,200.0
2013-06-07,196.2
2013-06-10,195.8
2013-06-11,194.95
2013-06-12,190.4
2013-06-13,188.3
2013-06-14,189.35
2013-06-17,193.0
2013-06-18,190.0
2013-06-19,181.35
2013-06-20,186.85
2013-06-21,183.7
2013-06-24,182.25
2013-06-25,184.75
2013-06-26,185.65
2013-06-27,186.95
2013-06-28,189.9
2013-07-01,181.15
2013-07-02,187.8
2013-07-03,63.0
2013-07-04,63.1
2013-07-05,62.05
2013-07-08,57.75
2013-07-09,55.6
2013-07-10,54.05
2013-07-11,53.95
2013-07-12,54.25
2013-07-15,57.8
2013-07-16,55.6
2013-07-17,54.2
2013-07-18,54.05
2013-07-19,53.2
2013-07-22,51.95
2013-07-23,52.1
2013-07-24,49.85
2013-07-25,50.75
2013-07-26,53.5
2013-07-29,54.4
2013-07-30,52.75
2013-07-31,49.8
2013-08-01,49.6
2013-08-02,46.75
2013-08-05,46.9
2013-08-06,43.3
2013-08-07,45.0
2013-08-08,44.75
2013-08-12,50.25
2013-08-13,52.9
2013-08-14,54.05
2013-08-16,50.4
2013-08-19,48.0
2013-08-20,48.65
2013-08-21,48.5
2013-08-22,45.9
2013-08-23,46.4
2013-08-26,48.0
2013-08-27,47.6
2013-08-28,46.1
2013-08-29,46.05
2013-08-30,46.9
2013-09-02,47.5
2013-09-03,45.0
2013-09-04,45.0
2013-09-05,45.1
2013-09-06,44.4
2013-09-10,47.55
2013-09-11,48.6
2013-09-12,48.15
2013-09-13,48.2
2013-09-16,47.65
2013-09-17,47.45
2013-09-18,46.3
2013-09-19,47.25
2013-09-20,47.55
2013-09-23,45.55
2013-09-24,44.05
2013-09-25,46.35
2013-09-26,47.85
2013-09-27,47.9
2013-09-30,48.6
2013-10-01,46.95
2013-10-03,45.6
2013-10-04,46.75
2013-10-07,48.05
2013-10-08,46.6
2013-10-09,46.5
2013-10-10,47.95
2013-10-11,47.1
2013-10-14,46.75
2013-10-15,45.0
2013-10-17,46.55
2013-10-18,44.55
2013-10-21,45.8
2013-10-22,47.25
2013-10-23,46.3
2013-10-24,45.5
2013-10-25,44.1
2013-10-28,42.75
2013-10-29,44.5
2013-10-30,45.95
2013-10-31,45.95
2013-11-01,46.25
2013-11-03,46.9
2013-11-05,46.3
2013-11-06,53.1
2013-11-07,56.75
2013-11-08,55.85
2013-11-11,53.8
2013-11-12,54.7
2013-11-13,54.1
2013-11-14,52.4
2013-11-18,50.55
2013-11-19,49.95
2013-11-20,51.8
2013-11-21,50.0
2013-11-22,51.05
2013-11-25,50.65
2013-11-26,54.0
2013-11-27,54.1
2013-11-28,54.65
2013-11-29,55.35
2013-12-02,59.6
2013-12-03,59.2
2013-12-04,57.05
2013-12-05,59.0
2013-12-06,57.55
2013-12-09,60.8
2013-12-10,58.7
2013-12-11,59.05
2013-12-12,60.15
2013-12-13,59.5
2013-12-16,57.7
2013-12-17,58.25
2013-12-18,59.0
2013-12-19,59.05
2013-12-20,59.75
2013-12-23,60.0
2013-12-24,63.55
2013-12-26,63.75
2013-12-27,62.6
2013-12-30,61.65
2013-12-31,62.15
