Date,KSK
2013-01-01,61.05
2013-01-02,61.0
2013-01-03,60.9
2013-01-04,61.25
2013-01-07,62.05
2013-01-08,61.6
2013-01-09,63.5
2013-01-10,67.05
2013-01-11,64.7
2013-01-14,64.15
2013-01-15,63.6
2013-01-16,62.25
2013-01-17,62.05
2013-01-18,60.45
2013-01-21,61.4
2013-01-22,61.5
2013-01-23,60.65
2013-01-24,57.7
2013-01-25,58.45
2013-01-28,58.05
2013-01-29,57.85
2013-01-30,57.9
2013-01-31,58.2
2013-02-01,58.55
2013-02-04,57.45
2013-02-05,56.95
2013-02-06,58.05
2013-02-07,58.05
2013-02-08,57.95
2013-02-11,58.6
2013-02-12,57.4
2013-02-13,56.7
2013-02-14,55.0
2013-02-15,53.7
2013-02-18,54.95
2013-02-19,55.35
2013-02-20,54.5
2013-02-21,52.95
2013-02-22,53.5
2013-02-25,52.35
2013-02-26,51.4
2013-02-27,51.5
2013-02-28,49.5
2013-03-01,51.15
2013-03-04,49.45
2013-03-05,49.7
2013-03-06,50.9
2013-03-07,50.3
2013-03-08,50.2
2013-03-11,50.25
2013-03-12,51.0
2013-03-13,49.1
2013-03-14,49.3
2013-03-15,49.05
2013-03-18,47.7
2013-03-19,47.05
2013-03-20,46.4
2013-03-21,46.05
2013-03-22,45.1
2013-03-25,43.35
2013-03-26,41.75
2013-03-28,42.4
2013-04-01,44.45
2013-04-02,47.6
2013-04-03,48.9
2013-04-04,47.0
2013-04-05,46.2
2013-04-08,48.15
2013-04-09,47.2
2013-04-10,47.1
2013-04-11,47.15
2013-04-12,47.4
2013-04-15,47.9
2013-04-16,48.1
2013-04-17,49.8
2013-04-18,48.05
2013-04-22,48.55
2013-04-23,48.55
2013-04-25,49.1
2013-04-26,48.2
2013-04-29,48.3
2013-04-30,47.9
2013-05-02,48.2
2013-05-03,48.1
2013-05-06,48.25
2013-05-07,48.0
2013-05-08,48.35
2013-05-09,48.8
2013-05-10,48.5
2013-05-11,48.0
2013-05-13,47.55
2013-05-14,47.25
2013-05-15,48.3
2013-05-16,48.45
2013-05-17,49.0
2013-05-20,54.6
2013-05-21,53.4
2013-05-22,54.15
2013-05-23,52.25
2013-05-24,50.3
2013-05-27,52.15
2013-05-28,53.55
2013-05-29,51.5
2013-05-30,51.9
2013-05-31,51.65
2013-06-03,50.85
2013-06-04,52.1
2013-06-05,52.75
2013-06-06,52.1
2013-06-07,51.25
2013-06-10,50.65
2013-06-11,53.15
2013-06-12,53.95
2013-06-13,52.45
2013-06-14,53.05
2013-06-17,53.0
2013-06-18,52.45
2013-06-19,55.3
2013-06-20,52.05
2013-06-21,52.05
2013-06-24,53.15
2013-06-25,53.1
2013-06-26,53.5
2013-06-27,54.55
2013-06-28,56.8
2013-07-01,56.8
2013-07-02,54.45
2013-07-03,53.65
2013-07-04,52.85
2013-07-05,54.05
2013-07-08,52.85
2013-07-09,53.0
2013-07-10,52.8
2013-07-11,53.0
2013-07-12,53.0
2013-07-15,51.95
2013-07-16,52.0
2013-07-17,51.8
2013-07-18,51.25
2013-07-19,53.0
2013-07-22,54.55
2013-07-23,55.05
2013-07-24,55.2
2013-07-25,55.9
2013-07-26,56.0
2013-07-29,56.0
2013-07-30,56.0
2013-07-31,56.05
2013-08-01,57.0
2013-08-02,55.0
2013-08-05,55.0
2013-08-06,53.1
2013-08-07,53.0
2013-08-08,54.7
2013-08-12,53.4
2013-08-13,53.45
2013-08-14,54.15
2013-08-16,54.0
2013-08-19,53.0
2013-08-20,52.7
2013-08-21,51.75
2013-08-22,51.45
2013-08-23,51.9
2013-08-26,53.3
2013-08-27,51.8
2013-08-28,51.15
2013-08-29,51.75
2013-08-30,53.7
2013-09-02,53.9
2013-09-03,51.85
2013-09-04,52.55
2013-09-05,53.2
2013-09-06,52.75
2013-09-10,53.85
2013-09-11,53.25
2013-09-12,53.55
2013-09-13,53.75
2013-09-16,53.45
2013-09-17,53.05
2013-09-18,52.65
2013-09-19,53.2
2013-09-20,53.35
2013-09-23,52.25
2013-09-24,52.55
2013-09-25,52.25
2013-09-26,51.95
2013-09-27,51.85
2013-09-30,50.55
2013-10-01,50.55
2013-10-03,50.8
2013-10-04,51.75
2013-10-07,51.1
2013-10-08,51.35
2013-10-09,51.55
2013-10-10,54.95
2013-10-11,53.7
2013-10-14,53.1
2013-10-15,54.55
2013-10-17,54.0
2013-10-18,53.1
2013-10-21,53.45
2013-10-22,54.25
2013-10-23,55.75
2013-10-24,56.1
2013-10-25,65.8
2013-10-28,61.8
2013-10-29,61.35
2013-10-30,60.8
2013-10-31,60.1
2013-11-01,60.1
2013-11-03,59.75
2013-11-05,63.05
2013-11-06,65.25
2013-11-07,65.15
2013-11-08,62.05
2013-11-11,61.65
2013-11-12,60.9
2013-11-13,59.05
2013-11-14,60.45
2013-11-18,60.25
2013-11-19,60.0
2013-11-20,60.9
2013-11-21,59.95
2013-11-22,59.5
2013-11-25,60.35
2013-11-26,59.2
2013-11-27,59.4
2013-11-28,59.5
2013-11-29,60.75
2013-12-02,63.15
2013-12-03,61.55
2013-12-04,62.3
2013-12-05,62.95
2013-12-06,64.45
2013-12-09,65.05
2013-12-10,63.0
2013-12-11,64.05
2013-12-12,63.4
2013-12-13,61.95
2013-12-16,62.5
2013-12-17,64.1
2013-12-18,63.9
2013-12-19,63.55
2013-12-20,63.2
2013-12-23,62.65
2013-12-24,62.55
2013-12-26,63.4
2013-12-27,65.0
2013-12-30,67.1
2013-12-31,67.4
