Date,ABBOTINDIA
2013-01-01,1494.35
2013-01-02,1485.0
2013-01-03,1487.75
2013-01-04,1494.65
2013-01-07,1482.55
2013-01-08,1467.95
2013-01-09,1476.15
2013-01-10,1471.75
2013-01-11,1485.0
2013-01-14,1485.3
2013-01-15,1487.5
2013-01-16,1485.05
2013-01-17,1479.65
2013-01-18,1452.1
2013-01-21,1447.55
2013-01-22,1445.3
2013-01-23,1440.15
2013-01-24,1443.6
2013-01-25,1444.05
2013-01-28,1438.95
2013-01-29,1453.2
2013-01-30,1450.05
2013-01-31,1448.0
2013-02-01,1432.25
2013-02-04,1439.65
2013-02-05,1427.05
2013-02-06,1401.6
2013-02-07,1384.45
2013-02-08,1383.85
2013-02-11,1404.2
2013-02-12,1387.3
2013-02-13,1378.05
2013-02-14,1369.1
2013-02-15,1371.1
2013-02-18,1369.9
2013-02-19,1363.45
2013-02-20,1399.65
2013-02-21,1383.8
2013-02-22,1386.85
2013-02-25,1376.8
2013-02-26,1358.3
2013-02-27,1373.9
2013-02-28,1364.1
2013-03-01,1360.5
2013-03-04,1342.6
2013-03-05,1351.15
2013-03-06,1357.3
2013-03-07,1371.1
2013-03-08,1388.0
2013-03-11,1393.45
2013-03-12,1381.65
2013-03-13,1366.6
2013-03-14,1350.25
2013-03-15,1351.25
2013-03-18,1358.95
2013-03-19,1352.4
2013-03-20,1326.4
2013-03-21,1344.6
2013-03-22,1328.8
2013-03-25,1337.5
2013-03-26,1327.25
2013-03-28,1339.15
2013-04-01,1346.45
2013-04-02,1347.7
2013-04-03,1369.55
2013-04-04,1380.05
2013-04-05,1381.4
2013-04-08,1364.85
2013-04-09,1365.25
2013-04-10,1365.85
2013-04-11,1376.55
2013-04-12,1381.3
2013-04-15,1389.6
2013-04-16,1360.8
2013-04-17,1378.5
2013-04-18,1362.65
2013-04-22,1370.2
2013-04-23,1375.0
2013-04-25,1377.8
2013-04-26,1363.5
2013-04-29,1393.35
2013-04-30,1406.65
2013-05-02,1425.25
2013-05-03,1421.0
2013-05-06,1419.05
2013-05-07,1441.15
2013-05-08,1415.3
2013-05-09,1441.7
2013-05-10,1460.3
2013-05-11,1455.0
2013-05-13,1427.85
2013-05-14,1436.1
2013-05-15,1422.5
2013-05-16,1443.65
2013-05-17,1450.45
2013-05-20,1424.8
2013-05-21,1440.55
2013-05-22,1450.4
2013-05-23,1425.5
2013-05-24,1444.8
2013-05-27,1426.6
2013-05-28,1429.7
2013-05-29,1420.9
2013-05-30,1417.3
2013-05-31,1417.6
2013-06-03,1471.55
2013-06-04,1485.2
2013-06-05,1463.2
2013-06-06,1466.3
2013-06-07,1459.65
2013-06-10,1468.7
2013-06-11,1460.4
2013-06-12,1440.15
2013-06-13,1440.45
2013-06-14,1451.65
2013-06-17,1460.0
2013-06-18,1403.2
2013-06-19,1443.65
2013-06-20,1418.6
2013-06-21,1435.8
2013-06-24,1431.0
2013-06-25,1435.1
2013-06-26,1431.35
2013-06-27,1424.65
2013-06-28,1459.6
2013-07-01,1439.1
2013-07-02,1479.2
2013-07-03,1454.65
2013-07-04,1431.8
2013-07-05,1450.35
2013-07-08,1439.55
2013-07-09,1434.65
2013-07-10,1418.4
2013-07-11,1413.95
2013-07-12,1436.1
2013-07-15,1408.9
2013-07-16,1417.6
2013-07-17,1407.3
2013-07-18,1393.95
2013-07-19,1414.35
2013-07-22,1425.65
2013-07-23,1450.05
2013-07-24,1432.7
2013-07-25,1406.3
2013-07-26,1414.95
2013-07-29,1397.05
2013-07-30,1400.0
2013-07-31,1401.25
2013-08-01,1374.95
2013-08-02,1389.5
2013-08-05,1393.1
2013-08-06,1375.05
2013-08-07,1348.6
2013-08-08,1360.3
2013-08-12,1370.15
2013-08-13,1355.1
