Date,SABTN
2013-01-01,91.45
2013-01-02,90.4
2013-01-03,91.95
2013-01-04,90.15
2013-01-07,90.05
2013-01-08,90.0
2013-01-09,90.3
2013-01-10,89.9
2013-01-11,89.65
2013-01-14,88.85
2013-01-15,90.05
2013-01-16,89.85
2013-01-17,90.0
2013-01-18,89.7
2013-01-21,90.1
2013-01-22,91.0
2013-01-23,90.1
2013-01-24,90.35
2013-01-25,89.95
2013-01-28,90.55
2013-01-29,90.0
2013-01-30,90.65
2013-01-31,89.95
2013-02-01,90.05
2013-02-04,90.3
2013-02-05,90.0
2013-02-06,90.1
2013-02-07,90.0
2013-02-08,88.4
2013-02-11,89.85
2013-02-12,90.0
2013-02-13,89.5
2013-02-14,89.15
2013-02-15,87.75
2013-02-18,88.0
2013-02-19,88.7
2013-02-20,88.5
2013-02-21,88.35
2013-02-22,86.9
2013-02-25,87.35
2013-02-26,87.0
2013-02-27,87.0
2013-02-28,85.8
2013-03-01,85.45
2013-03-04,85.25
2013-03-05,86.45
2013-03-06,87.35
2013-03-07,85.95
2013-03-08,85.35
2013-03-11,85.2
2013-03-12,85.3
2013-03-13,85.05
2013-03-14,84.9
2013-03-15,84.65
2013-03-18,84.75
2013-03-19,84.35
2013-03-20,83.95
2013-03-21,83.9
2013-03-22,82.05
2013-03-25,82.45
2013-03-26,82.05
2013-03-28,82.1
2013-04-01,85.85
2013-04-02,84.75
2013-04-03,83.15
2013-04-04,81.95
2013-04-05,83.0
2013-04-08,83.0
2013-04-09,82.35
2013-04-10,82.05
2013-04-11,82.0
2013-04-12,82.4
2013-04-15,82.3
2013-04-16,82.6
2013-04-17,82.1
2013-04-18,82.05
2013-04-22,82.85
2013-04-23,82.15
2013-04-25,82.25
2013-04-26,82.05
2013-04-29,82.05
2013-04-30,82.1
2013-05-02,83.05
2013-05-03,82.0
2013-05-06,82.05
2013-05-07,82.0
2013-05-08,81.85
2013-05-09,81.95
2013-05-10,82.4
2013-05-11,85.0
2013-05-13,82.25
2013-05-14,83.1
2013-05-15,82.35
2013-05-16,81.95
2013-05-17,82.05
2013-05-20,82.35
2013-05-21,82.2
2013-05-22,82.45
2013-05-23,82.0
2013-05-24,82.0
2013-05-27,82.2
2013-05-28,82.3
2013-05-29,82.55
2013-05-30,82.15
2013-05-31,82.0
2013-06-03,82.3
2013-06-04,82.05
2013-06-05,82.0
2013-06-06,81.95
2013-06-07,82.5
2013-06-10,82.25
2013-06-11,82.85
2013-06-12,83.2
2013-06-13,81.55
2013-06-14,81.5
2013-06-17,81.7
2013-06-18,81.2
2013-06-19,80.15
2013-06-20,80.15
2013-06-21,80.25
2013-06-24,80.25
2013-06-25,80.0
2013-06-26,80.5
2013-06-27,80.05
2013-06-28,80.35
2013-07-01,80.45
2013-07-02,80.2
2013-07-03,80.3
2013-07-04,79.8
2013-07-05,81.85
2013-07-08,82.4
2013-07-09,82.0
2013-07-10,80.95
2013-07-11,81.45
2013-07-12,80.95
2013-07-15,80.75
2013-07-16,80.1
2013-07-17,80.15
2013-07-18,80.15
2013-07-19,80.3
2013-07-22,80.2
2013-07-23,80.0
2013-07-24,80.0
2013-07-25,79.25
2013-07-26,78.3
2013-07-29,78.95
2013-07-30,77.35
2013-07-31,78.25
2013-08-01,78.05
2013-08-02,76.7
2013-08-05,77.3
2013-08-06,76.95
2013-08-07,76.7
2013-08-08,76.45
2013-08-12,76.35
2013-08-13,76.5
2013-08-14,76.1
2013-08-16,76.4
2013-08-19,76.1
2013-08-20,76.2
2013-08-21,76.05
2013-08-22,76.45
2013-08-23,76.5
2013-08-26,76.1
2013-08-27,76.35
2013-08-28,76.05
2013-08-29,76.95
2013-08-30,76.6
2013-09-02,76.55
2013-09-03,76.05
2013-09-04,76.6
2013-09-05,76.2
2013-09-06,77.05
2013-09-10,76.75
2013-09-11,76.2
2013-09-12,76.25
2013-09-13,75.95
2013-09-16,76.3
2013-09-17,76.25
2013-09-18,76.4
2013-09-19,76.1
2013-09-20,76.6
2013-09-23,76.05
2013-09-24,76.55
2013-09-25,76.4
2013-09-26,76.0
2013-09-27,75.8
2013-09-30,75.7
2013-10-01,76.0
2013-10-03,75.95
2013-10-04,75.15
2013-10-07,76.35
2013-10-08,76.0
2013-10-09,75.9
2013-10-10,75.95
2013-10-11,75.45
2013-10-14,77.25
2013-10-15,75.65
2013-10-17,75.4
2013-10-18,75.05
2013-10-21,75.65
2013-10-22,75.25
2013-10-23,75.75
2013-10-24,75.65
2013-10-25,74.25
2013-10-28,75.35
2013-10-29,75.15
2013-10-30,74.9
2013-10-31,74.5
2013-11-01,74.6
2013-11-03,77.05
2013-11-05,76.0
2013-11-06,75.25
2013-11-07,74.55
2013-11-08,74.4
2013-11-11,74.85
2013-11-12,75.0
2013-11-13,75.0
2013-11-14,74.6
2013-11-18,75.35
2013-11-19,75.35
2013-11-20,74.6
2013-11-21,75.2
2013-11-22,74.65
2013-11-25,74.8
2013-11-26,74.45
2013-11-27,74.7
2013-11-28,74.3
2013-11-29,74.65
2013-12-02,75.15
2013-12-03,73.95
2013-12-04,74.4
2013-12-05,74.6
2013-12-06,74.8
2013-12-09,74.25
2013-12-10,74.3
2013-12-11,74.75
2013-12-12,74.15
2013-12-13,73.65
2013-12-16,73.3
2013-12-17,73.7
2013-12-18,74.2
2013-12-19,74.35
2013-12-20,73.95
2013-12-23,74.15
2013-12-24,74.0
2013-12-26,73.55
2013-12-27,74.6
2013-12-30,74.7
2013-12-31,74.6
