Date,STRTECH
2013-01-01,32.15
2013-01-02,32.45
2013-01-03,32.55
2013-01-04,32.45
2013-01-07,36.75
2013-01-08,35.85
2013-01-09,34.7
2013-01-10,35.1
2013-01-11,33.9
2013-01-14,34.35
2013-01-15,34.35
2013-01-16,33.4
2013-01-17,32.95
2013-01-18,33.2
2013-01-21,33.6
2013-01-22,33.05
2013-01-23,32.05
2013-01-24,31.3
2013-01-25,32.1
2013-01-28,31.55
2013-01-29,31.6
2013-01-30,31.5
2013-01-31,31.65
2013-02-01,31.5
2013-02-04,30.95
2013-02-05,30.55
2013-02-06,30.95
2013-02-07,30.45
2013-02-08,29.95
2013-02-11,30.2
2013-02-12,29.75
2013-02-13,29.65
2013-02-14,29.1
2013-02-15,28.6
2013-02-18,29.55
2013-02-19,30.0
2013-02-20,30.35
2013-02-21,29.6
2013-02-22,29.45
2013-02-25,28.6
2013-02-26,28.5
2013-02-27,28.65
2013-02-28,27.65
2013-03-01,27.45
2013-03-04,26.9
2013-03-05,27.45
2013-03-06,27.9
2013-03-07,28.0
2013-03-08,28.3
2013-03-11,28.65
2013-03-12,27.95
2013-03-13,27.55
2013-03-14,27.5
2013-03-15,27.05
2013-03-18,26.9
2013-03-19,26.25
2013-03-20,25.35
2013-03-21,25.15
2013-03-22,24.05
2013-03-25,23.15
2013-03-26,23.15
2013-03-28,23.3
2013-04-01,24.75
2013-04-02,25.9
2013-04-03,25.45
2013-04-04,24.5
2013-04-05,24.1
2013-04-08,23.95
2013-04-09,23.5
2013-04-10,23.6
2013-04-11,25.05
2013-04-12,24.55
2013-04-15,24.4
2013-04-16,24.75
2013-04-17,24.8
2013-04-18,24.75
2013-04-22,24.95
2013-04-23,25.15
2013-04-25,25.7
2013-04-26,26.0
2013-04-29,25.05
2013-04-30,24.85
2013-05-02,23.9
2013-05-03,23.45
2013-05-06,24.45
2013-05-07,24.85
2013-05-08,26.45
2013-05-09,26.0
2013-05-10,27.5
2013-05-11,27.5
2013-05-13,26.9
2013-05-14,26.4
2013-05-15,26.85
2013-05-16,26.35
2013-05-17,26.05
2013-05-20,25.7
2013-05-21,25.35
2013-05-22,24.4
2013-05-23,23.6
2013-05-24,23.85
2013-05-27,24.35
2013-05-28,24.1
2013-05-29,23.8
2013-05-30,23.3
2013-05-31,20.8
2013-06-03,21.15
2013-06-04,21.05
2013-06-05,20.85
2013-06-06,21.85
2013-06-07,21.45
2013-06-10,21.2
2013-06-11,20.7
2013-06-12,20.9
2013-06-13,21.0
2013-06-14,22.25
2013-06-17,23.2
2013-06-18,22.85
2013-06-19,23.1
2013-06-20,21.95
2013-06-21,20.85
2013-06-24,19.2
2013-06-25,18.8
2013-06-26,18.6
2013-06-27,18.7
2013-06-28,19.55
2013-07-01,20.6
2013-07-02,20.75
2013-07-03,22.3
2013-07-04,22.75
2013-07-05,22.85
2013-07-08,22.0
2013-07-09,22.15
2013-07-10,23.15
2013-07-11,22.8
2013-07-12,22.95
2013-07-15,22.6
2013-07-16,22.3
2013-07-17,21.55
2013-07-18,21.3
2013-07-19,20.75
2013-07-22,20.6
2013-07-23,20.55
2013-07-24,20.05
2013-07-25,20.0
2013-07-26,21.3
2013-07-29,20.6
2013-07-30,19.2
2013-07-31,18.7
2013-08-01,18.25
2013-08-02,17.65
2013-08-05,17.8
2013-08-06,16.35
2013-08-07,16.8
2013-08-08,17.25
2013-08-12,18.6
2013-08-13,18.95
2013-08-14,18.9
2013-08-16,18.3
2013-08-19,17.75
2013-08-20,18.25
2013-08-21,17.85
2013-08-22,18.3
2013-08-23,18.55
2013-08-26,18.6
2013-08-27,17.95
2013-08-28,17.85
2013-08-29,18.8
2013-08-30,18.25
2013-09-02,18.75
2013-09-03,18.75
2013-09-04,18.95
2013-09-05,19.3
2013-09-06,19.05
2013-09-10,19.4
2013-09-11,19.25
2013-09-12,19.75
2013-09-13,19.85
2013-09-16,19.65
2013-09-17,19.0
2013-09-18,18.75
2013-09-19,19.5
2013-09-20,18.35
2013-09-23,18.7
2013-09-24,18.65
2013-09-25,18.5
2013-09-26,19.5
2013-09-27,19.9
2013-09-30,19.15
2013-10-01,19.05
2013-10-03,20.25
2013-10-04,20.15
2013-10-07,20.4
2013-10-08,20.15
2013-10-09,20.35
2013-10-10,21.2
2013-10-11,20.7
2013-10-14,21.2
2013-10-15,21.1
2013-10-17,21.5
2013-10-18,21.55
2013-10-21,21.7
2013-10-22,22.1
2013-10-23,23.3
2013-10-24,22.55
2013-10-25,21.75
2013-10-28,20.55
2013-10-29,20.35
2013-10-30,20.55
2013-10-31,20.85
2013-11-01,21.45
2013-11-03,21.95
2013-11-05,22.45
2013-11-06,22.1
2013-11-07,21.7
2013-11-08,21.45
2013-11-11,21.15
2013-11-12,20.95
2013-11-13,20.4
2013-11-14,21.1
2013-11-18,21.3
2013-11-19,21.55
2013-11-20,21.65
2013-11-21,20.95
2013-11-22,22.0
2013-11-25,21.55
2013-11-26,21.25
2013-11-27,21.25
2013-11-28,21.4
2013-11-29,22.4
2013-12-02,22.6
2013-12-03,23.35
2013-12-04,22.85
2013-12-05,23.15
2013-12-06,23.0
2013-12-09,22.9
2013-12-10,22.3
2013-12-11,22.5
2013-12-12,22.25
2013-12-13,21.8
2013-12-16,21.2
2013-12-17,21.15
2013-12-18,21.4
2013-12-19,21.1
2013-12-20,21.55
2013-12-23,23.0
2013-12-24,23.6
2013-12-26,23.9
2013-12-27,23.3
2013-12-30,23.1
2013-12-31,24.65
