Date,PFS
2013-01-01,17.95
2013-01-02,17.9
2013-01-03,17.85
2013-01-04,18.0
2013-01-07,18.2
2013-01-08,18.15
2013-01-09,17.9
2013-01-10,17.75
2013-01-11,17.75
2013-01-14,17.7
2013-01-15,17.7
2013-01-16,17.25
2013-01-17,17.25
2013-01-18,17.35
2013-01-21,17.3
2013-01-22,17.05
2013-01-23,16.75
2013-01-24,16.45
2013-01-25,16.3
2013-01-28,16.5
2013-01-29,16.05
2013-01-30,15.85
2013-01-31,16.05
2013-02-01,16.8
2013-02-04,16.55
2013-02-05,16.25
2013-02-06,16.35
2013-02-07,16.25
2013-02-08,16.3
2013-02-11,16.4
2013-02-12,16.05
2013-02-13,15.85
2013-02-14,15.55
2013-02-15,15.35
2013-02-18,15.45
2013-02-19,16.0
2013-02-20,15.95
2013-02-21,15.8
2013-02-22,15.75
2013-02-25,15.7
2013-02-26,14.7
2013-02-27,15.05
2013-02-28,14.1
2013-03-01,14.4
2013-03-04,14.05
2013-03-05,14.2
2013-03-06,14.6
2013-03-07,14.55
2013-03-08,14.65
2013-03-11,14.55
2013-03-12,15.35
2013-03-13,16.0
2013-03-14,15.75
2013-03-15,15.55
2013-03-18,15.2
2013-03-19,14.85
2013-03-20,14.3
2013-03-21,14.05
2013-03-22,13.85
2013-03-25,13.65
2013-03-26,13.75
2013-03-28,14.0
2013-04-01,14.25
2013-04-02,14.75
2013-04-03,14.4
2013-04-04,14.0
2013-04-05,14.0
2013-04-08,13.9
2013-04-09,13.8
2013-04-10,13.9
2013-04-11,13.85
2013-04-12,14.1
2013-04-15,14.15
2013-04-16,14.3
2013-04-17,14.1
2013-04-18,14.35
2013-04-22,14.4
2013-04-23,14.25
2013-04-25,14.35
2013-04-26,14.2
2013-04-29,14.1
2013-04-30,14.1
2013-05-02,13.95
2013-05-03,13.9
2013-05-06,13.85
2013-05-07,13.95
2013-05-08,14.0
2013-05-09,13.9
2013-05-10,14.2
2013-05-11,14.55
2013-05-13,14.7
2013-05-14,14.9
2013-05-15,15.05
2013-05-16,15.2
2013-05-17,15.3
2013-05-20,14.75
2013-05-21,14.25
2013-05-22,14.3
2013-05-23,14.05
2013-05-24,14.0
2013-05-27,14.2
2013-05-28,14.5
2013-05-29,14.3
2013-05-30,14.55
2013-05-31,14.25
2013-06-03,14.0
2013-06-04,14.0
2013-06-05,13.9
2013-06-06,13.95
2013-06-07,13.9
2013-06-10,13.85
2013-06-11,13.75
2013-06-12,13.7
2013-06-13,13.6
2013-06-14,13.65
2013-06-17,13.75
2013-06-18,13.9
2013-06-19,13.55
2013-06-20,13.2
2013-06-21,12.9
2013-06-24,12.55
2013-06-25,12.45
2013-06-26,12.3
2013-06-27,12.45
2013-06-28,12.85
2013-07-01,13.7
2013-07-02,13.55
2013-07-03,13.1
2013-07-04,13.35
2013-07-05,13.4
2013-07-08,13.4
2013-07-09,13.3
2013-07-10,13.55
2013-07-11,13.45
2013-07-12,13.4
2013-07-15,13.4
2013-07-16,13.15
2013-07-17,13.1
2013-07-18,13.2
2013-07-19,13.1
2013-07-22,12.95
2013-07-23,13.1
2013-07-24,12.9
2013-07-25,12.8
2013-07-26,12.9
2013-07-29,12.8
2013-07-30,12.4
2013-07-31,11.8
2013-08-01,11.6
2013-08-02,11.4
2013-08-05,11.0
2013-08-06,10.8
2013-08-07,10.25
2013-08-08,10.75
2013-08-12,10.8
2013-08-13,10.75
2013-08-14,11.15
2013-08-16,11.05
2013-08-19,10.85
2013-08-20,10.8
2013-08-21,11.65
2013-08-22,10.65
2013-08-23,10.75
2013-08-26,10.7
2013-08-27,10.5
2013-08-28,10.2
2013-08-29,10.25
2013-08-30,10.25
2013-09-02,10.35
2013-09-03,10.1
2013-09-04,10.0
2013-09-05,10.4
2013-09-06,10.25
2013-09-10,10.5
2013-09-11,10.5
2013-09-12,10.45
2013-09-13,10.5
2013-09-16,10.5
2013-09-17,10.3
2013-09-18,10.5
2013-09-19,10.6
2013-09-20,10.45
2013-09-23,10.4
2013-09-24,10.3
2013-09-25,10.35
2013-09-26,10.4
2013-09-27,10.4
2013-09-30,10.5
2013-10-01,10.5
2013-10-03,10.95
2013-10-04,10.9
2013-10-07,11.0
2013-10-08,11.05
2013-10-09,11.25
2013-10-10,11.35
2013-10-11,11.05
2013-10-14,11.0
2013-10-15,10.85
2013-10-17,10.9
2013-10-18,11.0
2013-10-21,11.05
2013-10-22,11.25
2013-10-23,11.2
2013-10-24,11.15
2013-10-25,10.95
2013-10-28,10.9
2013-10-29,11.0
2013-10-30,11.35
2013-10-31,11.25
2013-11-01,11.45
2013-11-03,11.9
2013-11-05,11.85
2013-11-06,11.95
2013-11-07,11.7
2013-11-08,11.55
2013-11-11,11.25
2013-11-12,11.15
2013-11-13,11.15
2013-11-14,11.25
2013-11-18,11.3
2013-11-19,11.5
2013-11-20,12.0
2013-11-21,11.55
2013-11-22,11.5
2013-11-25,11.6
2013-11-26,11.35
2013-11-27,11.3
2013-11-28,11.6
2013-11-29,11.5
2013-12-02,11.55
2013-12-03,11.8
2013-12-04,12.5
2013-12-05,12.7
2013-12-06,12.5
2013-12-09,12.45
2013-12-10,12.0
2013-12-11,11.95
2013-12-12,11.9
2013-12-13,11.65
2013-12-16,11.55
2013-12-17,11.95
2013-12-18,12.15
2013-12-19,12.15
2013-12-20,12.35
2013-12-23,12.45
2013-12-24,12.7
2013-12-26,13.2
2013-12-27,12.95
2013-12-30,12.8
2013-12-31,13.75
