Date,PURVA
2013-01-01,100.5
2013-01-02,99.85
2013-01-03,98.5
2013-01-04,106.45
2013-01-07,105.35
2013-01-08,104.2
2013-01-09,107.2
2013-01-10,110.0
2013-01-11,110.75
2013-01-14,109.8
2013-01-15,114.4
2013-01-16,116.2
2013-01-17,120.55
2013-01-18,118.35
2013-01-21,118.3
2013-01-22,113.35
2013-01-23,110.15
2013-01-24,101.9
2013-01-25,104.75
2013-01-28,106.25
2013-01-29,105.55
2013-01-30,102.85
2013-01-31,104.8
2013-02-01,102.6
2013-02-04,102.65
2013-02-05,101.15
2013-02-06,101.65
2013-02-07,101.35
2013-02-08,99.05
2013-02-11,95.4
2013-02-12,94.65
2013-02-13,94.75
2013-02-14,87.55
2013-02-15,89.7
2013-02-18,88.8
2013-02-19,102.85
2013-02-20,109.5
2013-02-21,105.45
2013-02-22,107.95
2013-02-25,106.1
2013-02-26,101.95
2013-02-27,100.75
2013-02-28,97.2
2013-03-01,98.85
2013-03-04,99.8
2013-03-05,97.55
2013-03-06,101.2
2013-03-07,100.8
2013-03-08,99.45
2013-03-11,98.65
2013-03-12,95.0
2013-03-13,92.1
2013-03-14,94.15
2013-03-15,93.85
2013-03-18,90.65
2013-03-19,87.45
2013-03-20,83.15
2013-03-21,82.6
2013-03-22,90.7
2013-03-25,93.2
2013-03-26,90.95
2013-03-28,90.25
2013-04-01,93.7
2013-04-02,94.5
2013-04-03,92.6
2013-04-04,90.5
2013-04-05,90.3
2013-04-08,90.05
2013-04-09,90.05
2013-04-10,90.2
2013-04-11,92.8
2013-04-12,94.0
2013-04-15,93.95
2013-04-16,98.25
2013-04-17,104.95
2013-04-18,102.95
2013-04-22,100.3
2013-04-23,100.05
2013-04-25,97.35
2013-04-26,97.3
2013-04-29,99.0
2013-04-30,99.55
2013-05-02,99.8
2013-05-03,97.75
2013-05-06,98.2
2013-05-07,97.9
2013-05-08,98.0
2013-05-09,95.75
2013-05-10,95.25
2013-05-11,95.55
2013-05-13,93.7
2013-05-14,93.3
2013-05-15,94.5
2013-05-16,97.35
2013-05-17,99.65
2013-05-20,97.4
2013-05-21,95.65
2013-05-22,87.8
2013-05-23,84.9
2013-05-24,83.1
2013-05-27,82.05
2013-05-28,84.05
2013-05-29,85.8
2013-05-30,86.85
2013-05-31,85.8
2013-06-03,81.95
2013-06-04,82.05
2013-06-05,82.9
2013-06-06,84.25
2013-06-07,85.1
2013-06-10,84.55
2013-06-11,81.8
2013-06-12,83.05
2013-06-13,82.8
2013-06-14,84.25
2013-06-17,84.15
2013-06-18,82.25
2013-06-19,82.95
2013-06-20,81.3
2013-06-21,81.05
2013-06-24,78.1
2013-06-25,74.35
2013-06-26,77.35
2013-06-27,79.3
2013-06-28,84.75
2013-07-01,83.65
2013-07-02,82.6
2013-07-03,80.55
2013-07-04,79.15
2013-07-05,79.7
2013-07-08,77.4
2013-07-09,78.75
2013-07-10,79.7
2013-07-11,82.85
2013-07-12,81.0
2013-07-15,83.5
2013-07-16,80.3
2013-07-17,80.7
2013-07-18,80.95
2013-07-19,80.75
2013-07-22,79.65
2013-07-23,80.05
2013-07-24,78.05
2013-07-25,73.9
2013-07-26,76.1
2013-07-29,74.05
2013-07-30,70.75
2013-07-31,68.35
2013-08-01,69.6
2013-08-02,69.35
2013-08-05,65.25
2013-08-06,62.2
2013-08-07,60.95
2013-08-08,62.35
2013-08-12,65.95
2013-08-13,69.95
2013-08-14,68.3
2013-08-16,63.05
2013-08-19,62.65
2013-08-20,62.85
2013-08-21,62.25
2013-08-22,64.3
2013-08-23,62.7
2013-08-26,63.7
2013-08-27,62.4
2013-08-28,59.9
2013-08-29,60.0
2013-08-30,61.3
2013-09-02,60.8
2013-09-03,60.3
2013-09-04,58.5
2013-09-05,60.15
2013-09-06,59.35
2013-09-10,62.9
2013-09-11,71.0
2013-09-12,73.05
2013-09-13,70.2
2013-09-16,67.35
2013-09-17,67.1
2013-09-18,67.85
2013-09-19,69.45
2013-09-20,68.9
2013-09-23,69.4
2013-09-24,70.45
2013-09-25,70.35
2013-09-26,73.4
2013-09-27,73.55
2013-09-30,72.45
2013-10-01,70.2
2013-10-03,70.7
2013-10-04,74.0
2013-10-07,74.85
2013-10-08,73.3
2013-10-09,75.55
2013-10-10,76.9
2013-10-11,76.05
2013-10-14,75.1
2013-10-15,74.55
2013-10-17,73.8
2013-10-18,75.3
2013-10-21,79.15
2013-10-22,80.15
2013-10-23,81.55
2013-10-24,81.6
2013-10-25,78.7
2013-10-28,76.95
2013-10-29,79.95
2013-10-30,78.8
2013-10-31,77.65
2013-11-01,77.4
2013-11-03,79.45
2013-11-05,78.65
2013-11-06,85.1
2013-11-07,80.35
2013-11-08,81.25
2013-11-11,78.2
2013-11-12,76.5
2013-11-13,74.1
2013-11-14,76.75
2013-11-18,80.0
2013-11-19,79.9
2013-11-20,80.2
2013-11-21,76.05
2013-11-22,73.85
2013-11-25,76.8
2013-11-26,73.6
2013-11-27,72.85
2013-11-28,72.7
2013-11-29,75.85
2013-12-02,75.1
2013-12-03,75.45
2013-12-04,74.75
2013-12-05,76.0
2013-12-06,74.8
2013-12-09,74.65
2013-12-10,74.1
2013-12-11,75.0
2013-12-12,73.75
2013-12-13,73.8
2013-12-16,73.2
2013-12-17,72.3
2013-12-18,73.8
2013-12-19,72.55
2013-12-20,74.85
2013-12-23,77.5
2013-12-24,77.1
2013-12-26,77.3
2013-12-27,81.95
2013-12-30,79.9
2013-12-31,81.1
