Date,CENTRALBK
2013-01-01,89.15
2013-01-02,89.55
2013-01-03,90.6
2013-01-04,91.65
2013-01-07,94.0
2013-01-08,94.75
2013-01-09,93.45
2013-01-10,92.45
2013-01-11,89.8
2013-01-14,91.6
2013-01-15,91.35
2013-01-16,89.4
2013-01-17,89.05
2013-01-18,88.25
2013-01-21,88.25
2013-01-22,86.9
2013-01-23,84.85
2013-01-24,82.05
2013-01-25,83.75
2013-01-28,85.15
2013-01-29,84.9
2013-01-30,82.8
2013-01-31,84.05
2013-02-01,82.6
2013-02-04,80.45
2013-02-05,79.0
2013-02-06,78.55
2013-02-07,77.5
2013-02-08,76.45
2013-02-11,76.95
2013-02-12,76.9
2013-02-13,76.6
2013-02-14,74.95
2013-02-15,75.6
2013-02-18,76.45
2013-02-19,77.25
2013-02-20,76.95
2013-02-21,75.15
2013-02-22,74.4
2013-02-25,74.1
2013-02-26,72.6
2013-02-27,73.65
2013-02-28,71.0
2013-03-01,70.35
2013-03-04,70.65
2013-03-05,72.1
2013-03-06,73.35
2013-03-07,73.55
2013-03-08,73.8
2013-03-11,73.75
2013-03-12,74.15
2013-03-13,72.45
2013-03-14,73.25
2013-03-15,73.9
2013-03-18,73.5
2013-03-19,71.45
2013-03-20,69.1
2013-03-21,66.9
2013-03-22,67.2
2013-03-25,66.5
2013-03-26,65.7
2013-03-28,66.7
2013-04-01,68.55
2013-04-02,70.9
2013-04-03,69.4
2013-04-04,67.5
2013-04-05,68.0
2013-04-08,67.7
2013-04-09,66.7
2013-04-10,65.5
2013-04-11,65.05
2013-04-12,65.7
2013-04-15,66.7
2013-04-16,67.65
2013-04-17,68.0
2013-04-18,68.9
2013-04-22,70.6
2013-04-23,69.8
2013-04-25,70.05
2013-04-26,69.7
2013-04-29,70.2
2013-04-30,71.0
2013-05-02,71.15
2013-05-03,69.6
2013-05-06,69.3
2013-05-07,68.8
2013-05-08,68.6
2013-05-09,69.1
2013-05-10,72.2
2013-05-11,72.1
2013-05-13,69.55
2013-05-14,69.25
2013-05-15,70.6
2013-05-16,70.4
2013-05-17,69.7
2013-05-20,70.25
2013-05-21,69.55
2013-05-22,69.3
2013-05-23,66.65
2013-05-24,67.1
2013-05-27,67.3
2013-05-28,67.8
2013-05-29,67.05
2013-05-30,66.4
2013-05-31,65.4
2013-06-03,64.9
2013-06-04,64.7
2013-06-05,64.9
2013-06-06,65.3
2013-06-07,65.45
2013-06-10,65.15
2013-06-11,64.1
2013-06-12,63.65
2013-06-13,62.85
2013-06-14,64.15
2013-06-17,65.15
2013-06-18,65.0
2013-06-19,66.65
2013-06-20,63.65
2013-06-21,61.55
2013-06-24,60.4
2013-06-25,60.45
2013-06-26,60.15
2013-06-27,60.7
2013-06-28,61.8
2013-07-01,63.15
2013-07-02,62.6
2013-07-03,61.15
2013-07-04,61.0
2013-07-05,61.7
2013-07-08,60.85
2013-07-09,62.2
2013-07-10,62.7
2013-07-11,63.1
2013-07-12,63.4
2013-07-15,63.95
2013-07-16,60.95
2013-07-17,60.5
2013-07-18,62.65
2013-07-19,63.1
2013-07-22,63.85
2013-07-23,64.6
2013-07-24,62.1
2013-07-25,56.8
2013-07-26,54.85
2013-07-29,55.95
2013-07-30,55.65
2013-07-31,56.15
2013-08-01,57.6
2013-08-02,57.35
2013-08-05,55.45
2013-08-06,54.4
2013-08-07,55.2
2013-08-08,56.5
2013-08-12,56.7
2013-08-13,57.65
2013-08-14,56.15
2013-08-16,53.75
2013-08-19,53.2
2013-08-20,51.75
2013-08-21,52.15
2013-08-22,52.5
2013-08-23,52.65
2013-08-26,52.85
2013-08-27,50.75
2013-08-28,49.85
2013-08-29,51.4
2013-08-30,51.0
2013-09-02,51.15
2013-09-03,50.15
2013-09-04,50.45
2013-09-05,52.75
2013-09-06,53.65
2013-09-10,55.1
2013-09-11,57.25
2013-09-12,58.3
2013-09-13,58.5
2013-09-16,58.8
2013-09-17,58.4
2013-09-18,60.3
2013-09-19,62.0
2013-09-20,57.15
2013-09-23,55.15
2013-09-24,52.8
2013-09-25,51.5
2013-09-26,51.7
2013-09-27,50.05
2013-09-30,50.3
2013-10-01,50.9
2013-10-03,51.45
2013-10-04,51.05
2013-10-07,50.85
2013-10-08,51.35
2013-10-09,51.5
2013-10-10,51.65
2013-10-11,52.5
2013-10-14,53.2
2013-10-15,52.45
2013-10-17,51.85
2013-10-18,52.35
2013-10-21,52.9
2013-10-22,53.55
2013-10-23,54.25
2013-10-24,54.65
2013-10-25,53.75
2013-10-28,52.15
2013-10-29,53.05
2013-10-30,52.95
2013-10-31,54.6
2013-11-01,56.55
2013-11-03,59.1
2013-11-05,63.95
2013-11-06,63.15
2013-11-07,59.85
2013-11-08,58.65
2013-11-11,56.2
2013-11-12,54.05
2013-11-13,52.7
2013-11-14,53.2
2013-11-18,53.4
2013-11-19,53.25
2013-11-20,52.95
2013-11-21,52.4
2013-11-22,52.05
2013-11-25,52.7
2013-11-26,51.9
2013-11-27,51.7
2013-11-28,51.7
2013-11-29,52.2
2013-12-02,52.7
2013-12-03,52.5
2013-12-04,52.1
2013-12-05,52.85
2013-12-06,53.05
2013-12-09,53.6
2013-12-10,52.55
2013-12-11,52.05
2013-12-12,51.95
2013-12-13,51.0
2013-12-16,50.8
2013-12-17,49.95
2013-12-18,50.05
2013-12-19,49.85
2013-12-20,49.9
2013-12-23,50.85
2013-12-24,50.9
2013-12-26,51.55
2013-12-27,51.6
2013-12-30,51.3
2013-12-31,51.15
