Date,TREEHOUSE
2013-01-01,267.65
2013-01-02,266.4
2013-01-03,270.05
2013-01-04,285.2
2013-01-07,283.25
2013-01-08,287.55
2013-01-09,281.8
2013-01-10,284.45
2013-01-11,278.75
2013-01-14,284.4
2013-01-15,279.75
2013-01-16,275.8
2013-01-17,276.0
2013-01-18,274.95
2013-01-21,275.25
2013-01-22,269.7
2013-01-23,266.55
2013-01-24,261.8
2013-01-25,265.85
2013-01-28,268.05
2013-01-29,260.2
2013-01-30,268.4
2013-01-31,267.6
2013-02-01,267.0
2013-02-04,266.2
2013-02-05,263.1
2013-02-06,263.8
2013-02-07,255.05
2013-02-08,248.2
2013-02-11,237.1
2013-02-12,237.85
2013-02-13,236.25
2013-02-14,233.1
2013-02-15,241.55
2013-02-18,241.3
2013-02-19,244.6
2013-02-20,259.55
2013-02-21,249.95
2013-02-22,248.15
2013-02-25,246.9
2013-02-26,234.4
2013-02-27,239.3
2013-02-28,234.15
2013-03-01,242.2
2013-03-04,233.1
2013-03-05,240.6
2013-03-06,248.3
2013-03-07,249.0
2013-03-08,256.5
2013-03-11,261.05
2013-03-12,258.0
2013-03-13,253.8
2013-03-14,259.35
2013-03-15,256.8
2013-03-18,252.95
2013-03-19,248.3
2013-03-20,238.55
2013-03-21,231.25
2013-03-22,226.85
2013-03-25,225.2
2013-03-26,226.65
2013-03-28,230.35
2013-04-01,234.2
2013-04-02,253.8
2013-04-03,262.65
2013-04-04,249.05
2013-04-05,247.8
2013-04-08,250.35
2013-04-09,249.55
2013-04-10,242.35
2013-04-11,256.5
2013-04-12,247.75
2013-04-15,257.65
2013-04-16,258.45
2013-04-17,264.05
2013-04-18,263.4
2013-04-22,260.9
2013-04-23,260.2
2013-04-25,276.1
2013-04-26,270.45
2013-04-29,267.95
2013-04-30,267.95
2013-05-02,268.4
2013-05-03,266.6
2013-05-06,272.9
2013-05-07,274.25
2013-05-08,281.25
2013-05-09,279.35
2013-05-10,279.15
2013-05-11,279.4
2013-05-13,267.45
2013-05-14,265.95
2013-05-15,265.75
2013-05-16,266.7
2013-05-17,262.2
2013-05-20,261.35
2013-05-21,259.9
2013-05-22,259.3
2013-05-23,251.6
2013-05-24,259.85
2013-05-27,263.75
2013-05-28,272.2
2013-05-29,275.35
2013-05-30,271.45
2013-05-31,272.9
2013-06-03,267.15
2013-06-04,268.35
2013-06-05,267.75
2013-06-06,276.4
2013-06-07,280.3
2013-06-10,275.35
2013-06-11,275.2
2013-06-12,277.65
2013-06-13,274.05
2013-06-14,275.5
2013-06-17,272.6
2013-06-18,273.85
2013-06-19,273.95
2013-06-20,268.7
2013-06-21,269.25
2013-06-24,239.95
2013-06-25,245.5
2013-06-26,240.85
2013-06-27,239.9
2013-06-28,241.6
2013-07-01,252.0
2013-07-02,262.25
2013-07-03,253.3
2013-07-04,258.6
2013-07-05,274.45
2013-07-08,272.0
2013-07-09,278.95
2013-07-10,274.15
2013-07-11,274.9
2013-07-12,281.7
2013-07-15,292.05
2013-07-16,284.8
2013-07-17,291.1
2013-07-18,294.1
2013-07-19,291.65
2013-07-22,291.6
2013-07-23,292.2
2013-07-24,294.95
2013-07-25,289.8
2013-07-26,292.2
2013-07-29,286.45
2013-07-30,269.45
2013-07-31,259.8
2013-08-01,257.9
2013-08-02,259.9
2013-08-05,257.65
2013-08-06,242.75
2013-08-07,246.05
2013-08-08,250.45
2013-08-12,252.35
2013-08-13,260.55
2013-08-14,262.9
2013-08-16,260.1
2013-08-19,258.5
2013-08-20,250.25
2013-08-21,232.7
2013-08-22,237.15
2013-08-23,240.0
2013-08-26,240.55
2013-08-27,227.95
2013-08-28,226.45
2013-08-29,227.3
2013-08-30,219.85
2013-09-02,222.6
2013-09-03,223.75
2013-09-04,238.65
2013-09-05,237.6
2013-09-06,237.1
2013-09-10,240.2
2013-09-11,236.5
2013-09-12,236.45
2013-09-13,242.5
2013-09-16,240.4
2013-09-17,236.55
2013-09-18,238.45
2013-09-19,237.95
2013-09-20,242.7
2013-09-23,243.95
2013-09-24,239.05
2013-09-25,248.3
2013-09-26,248.05
2013-09-27,256.15
2013-09-30,251.6
2013-10-01,247.2
2013-10-03,255.85
2013-10-04,258.8
2013-10-07,254.6
2013-10-08,255.0
2013-10-09,251.0
2013-10-10,248.45
2013-10-11,244.2
2013-10-14,248.4
2013-10-15,245.1
2013-10-17,248.25
2013-10-18,244.7
2013-10-21,244.75
2013-10-22,240.05
2013-10-23,238.05
2013-10-24,242.25
2013-10-25,236.7
2013-10-28,234.25
2013-10-29,244.9
2013-10-30,258.5
2013-10-31,253.65
2013-11-01,261.0
2013-11-03,259.5
2013-11-05,254.3
2013-11-06,250.7
2013-11-07,247.95
2013-11-08,250.0
2013-11-11,252.95
2013-11-12,245.05
2013-11-13,242.5
2013-11-14,242.15
2013-11-18,242.25
2013-11-19,242.75
2013-11-20,242.7
2013-11-21,240.75
2013-11-22,243.1
2013-11-25,243.75
2013-11-26,243.65
2013-11-27,243.45
2013-11-28,248.0
2013-11-29,243.45
2013-12-02,250.3
2013-12-03,247.25
2013-12-04,247.75
2013-12-05,247.4
2013-12-06,254.1
2013-12-09,252.05
2013-12-10,247.95
2013-12-11,248.2
2013-12-12,250.8
2013-12-13,250.5
2013-12-16,247.35
2013-12-17,248.2
2013-12-18,245.7
2013-12-19,243.8
2013-12-20,243.05
2013-12-23,243.15
2013-12-24,244.8
2013-12-26,242.1
2013-12-27,241.2
2013-12-30,240.25
2013-12-31,240.4
