Date,TORNTPOWER
2013-01-01,195.45
2013-01-02,191.25
2013-01-03,190.85
2013-01-04,188.7
2013-01-07,185.3
2013-01-08,187.9
2013-01-09,185.4
2013-01-10,179.55
2013-01-11,177.05
2013-01-14,182.95
2013-01-15,179.95
2013-01-16,179.6
2013-01-17,178.65
2013-01-18,178.7
2013-01-21,181.6
2013-01-22,177.7
2013-01-23,174.85
2013-01-24,173.4
2013-01-25,174.05
2013-01-28,174.0
2013-01-29,169.75
2013-01-30,167.55
2013-01-31,168.3
2013-02-01,172.85
2013-02-04,172.05
2013-02-05,171.1
2013-02-06,171.95
2013-02-07,169.35
2013-02-08,168.0
2013-02-11,168.45
2013-02-12,167.55
2013-02-13,166.8
2013-02-14,167.55
2013-02-15,168.25
2013-02-18,170.1
2013-02-19,175.05
2013-02-20,174.8
2013-02-21,174.1
2013-02-22,174.9
2013-02-25,175.05
2013-02-26,168.85
2013-02-27,168.05
2013-02-28,163.55
2013-03-01,167.65
2013-03-04,169.75
2013-03-05,167.85
2013-03-06,170.0
2013-03-07,168.35
2013-03-08,169.0
2013-03-11,169.3
2013-03-12,165.5
2013-03-13,166.05
2013-03-14,164.35
2013-03-15,166.3
2013-03-18,166.3
2013-03-19,163.0
2013-03-20,159.7
2013-03-21,155.65
2013-03-22,150.8
2013-03-25,147.85
2013-03-26,143.95
2013-03-28,138.15
2013-04-01,140.15
2013-04-02,148.05
2013-04-03,145.65
2013-04-04,141.75
2013-04-05,141.0
2013-04-08,143.6
2013-04-09,139.6
2013-04-10,140.3
2013-04-11,139.6
2013-04-12,138.75
2013-04-15,138.3
2013-04-16,140.05
2013-04-17,142.5
2013-04-18,140.85
2013-04-22,142.5
2013-04-23,143.6
2013-04-25,146.55
2013-04-26,142.5
2013-04-29,142.2
2013-04-30,141.4
2013-05-02,140.9
2013-05-03,139.5
2013-05-06,139.65
2013-05-07,139.25
2013-05-08,138.45
2013-05-09,138.15
2013-05-10,136.8
2013-05-11,138.7
2013-05-13,136.4
2013-05-14,135.25
2013-05-15,135.15
2013-05-16,137.55
2013-05-17,136.95
2013-05-20,139.1
2013-05-21,136.45
2013-05-22,135.35
2013-05-23,131.55
2013-05-24,132.9
2013-05-27,132.9
2013-05-28,134.5
2013-05-29,135.05
2013-05-30,130.9
2013-05-31,126.7
2013-06-03,125.65
2013-06-04,130.85
2013-06-05,132.85
2013-06-06,131.0
2013-06-07,131.7
2013-06-10,131.25
2013-06-11,127.05
2013-06-12,125.0
2013-06-13,125.05
2013-06-14,126.35
2013-06-17,123.85
2013-06-18,126.3
2013-06-19,124.3
2013-06-20,122.1
2013-06-21,115.65
2013-06-24,109.85
2013-06-25,106.55
2013-06-26,108.75
2013-06-27,108.8
2013-06-28,108.85
2013-07-01,112.15
2013-07-02,109.7
2013-07-03,106.7
2013-07-04,106.35
2013-07-05,106.6
2013-07-08,106.15
2013-07-09,105.7
2013-07-10,105.4
2013-07-11,105.1
2013-07-12,102.6
2013-07-15,101.7
2013-07-16,100.1
2013-07-17,100.0
2013-07-18,99.15
2013-07-19,97.05
2013-07-22,94.65
2013-07-23,92.75
2013-07-24,92.7
2013-07-25,90.05
2013-07-26,85.65
2013-07-29,82.6
2013-07-30,78.9
2013-07-31,74.35
2013-08-01,74.2
2013-08-02,71.1
2013-08-05,69.35
2013-08-06,68.15
2013-08-07,68.85
2013-08-08,68.8
2013-08-12,82.55
2013-08-13,83.2
2013-08-14,81.95
2013-08-16,79.2
2013-08-19,76.5
2013-08-20,78.3
2013-08-21,76.55
2013-08-22,76.7
2013-08-23,77.85
2013-08-26,77.4
2013-08-27,75.65
2013-08-28,75.4
2013-08-29,75.9
2013-08-30,75.05
2013-09-02,74.25
2013-09-03,73.6
2013-09-04,73.9
2013-09-05,73.95
2013-09-06,73.85
2013-09-10,74.0
2013-09-11,73.05
2013-09-12,73.6
2013-09-13,73.15
2013-09-16,72.3
2013-09-17,70.35
2013-09-18,69.1
2013-09-19,72.3
2013-09-20,72.1
2013-09-23,71.7
2013-09-24,71.15
2013-09-25,71.25
2013-09-26,71.85
2013-09-27,72.05
2013-09-30,70.55
2013-10-01,70.75
2013-10-03,71.45
2013-10-04,71.55
2013-10-07,71.7
2013-10-08,75.7
2013-10-09,79.65
2013-10-10,79.55
2013-10-11,79.2
2013-10-14,77.55
2013-10-15,77.7
2013-10-17,76.5
2013-10-18,76.8
2013-10-21,79.35
2013-10-22,82.6
2013-10-23,81.1
2013-10-24,79.6
2013-10-25,78.85
2013-10-28,76.9
2013-10-29,77.7
2013-10-30,84.05
2013-10-31,84.2
2013-11-01,82.75
2013-11-03,83.7
2013-11-05,96.8
2013-11-06,106.9
2013-11-07,102.55
2013-11-08,97.9
2013-11-11,94.1
2013-11-12,98.45
2013-11-13,99.65
2013-11-14,105.25
2013-11-18,107.35
2013-11-19,104.7
2013-11-20,101.55
2013-11-21,101.5
2013-11-22,101.2
2013-11-25,102.2
2013-11-26,121.6
2013-11-27,127.1
2013-11-28,122.15
2013-11-29,124.9
2013-12-02,123.15
2013-12-03,126.95
2013-12-04,123.8
2013-12-05,123.4
2013-12-06,129.05
2013-12-09,127.1
2013-12-10,121.3
2013-12-11,119.75
2013-12-12,115.3
2013-12-13,109.3
2013-12-16,105.0
2013-12-17,109.4
2013-12-18,111.85
2013-12-19,110.8
2013-12-20,112.6
2013-12-23,115.9
2013-12-24,114.9
2013-12-26,118.95
2013-12-27,117.95
2013-12-30,115.85
2013-12-31,119.95
