Date,GRASIM
2013-01-01,3199.45
2013-01-02,3192.45
2013-01-03,3176.9
2013-01-04,3189.5
2013-01-07,3184.65
2013-01-08,3182.4
2013-01-09,3159.65
2013-01-10,3127.0
2013-01-11,3036.4
2013-01-14,3061.65
2013-01-15,3084.8
2013-01-16,3061.75
2013-01-17,3079.1
2013-01-18,3052.0
2013-01-21,3029.7
2013-01-22,3021.75
2013-01-23,3039.5
2013-01-24,2977.95
2013-01-25,3017.75
2013-01-28,3005.85
2013-01-29,2999.8
2013-01-30,3039.0
2013-01-31,3005.9
2013-02-01,3011.75
2013-02-04,2980.25
2013-02-05,3010.55
2013-02-06,3030.15
2013-02-07,3059.25
2013-02-08,3012.75
2013-02-11,3037.3
2013-02-12,3039.95
2013-02-13,3045.05
2013-02-14,3073.2
2013-02-15,3028.75
2013-02-18,3026.6
2013-02-19,3038.3
2013-02-20,3062.15
2013-02-21,3011.7
2013-02-22,3019.2
2013-02-25,3022.5
2013-02-26,3047.95
2013-02-27,3014.25
2013-02-28,2955.9
2013-03-01,2974.0
2013-03-04,2924.15
2013-03-05,3009.35
2013-03-06,3032.3
2013-03-07,3024.9
2013-03-08,3028.35
2013-03-11,3038.0
2013-03-12,3034.55
2013-03-13,2986.4
2013-03-14,2997.2
2013-03-15,2978.6
2013-03-18,2948.55
2013-03-19,2891.55
2013-03-20,2905.75
2013-03-21,2895.1
2013-03-22,2891.65
2013-03-25,2865.05
2013-03-26,2824.55
2013-03-28,2813.3
2013-04-01,2809.1
2013-04-02,2800.55
2013-04-03,2776.85
2013-04-04,2725.7
2013-04-05,2715.7
2013-04-08,2734.95
2013-04-09,2750.0
2013-04-10,2741.9
2013-04-11,2686.45
2013-04-12,2731.6
2013-04-15,2797.75
2013-04-16,2832.45
2013-04-17,2827.45
2013-04-18,2818.75
2013-04-22,2835.15
2013-04-23,2870.2
2013-04-25,2983.2
2013-04-26,2916.7
2013-04-29,2981.15
2013-04-30,2930.95
2013-05-02,2948.45
2013-05-03,2945.1
2013-05-06,2940.0
2013-05-07,3018.35
2013-05-08,3036.75
2013-05-09,3027.0
2013-05-10,3017.7
2013-05-11,3032.55
2013-05-13,3012.05
2013-05-14,3017.25
2013-05-15,3033.55
2013-05-16,3087.45
2013-05-17,3126.95
2013-05-20,3129.1
2013-05-21,3062.55
2013-05-22,3049.65
2013-05-23,2930.55
2013-05-24,2959.6
2013-05-27,2991.8
2013-05-28,2969.95
2013-05-29,2892.95
2013-05-30,2951.4
2013-05-31,2854.05
2013-06-03,2788.6
2013-06-04,2750.3
2013-06-05,2771.55
2013-06-06,2777.1
2013-06-07,2781.65
2013-06-10,2782.85
2013-06-11,2792.3
2013-06-12,2780.35
2013-06-13,2746.45
2013-06-14,2780.2
2013-06-17,2807.65
