Date,FELDVR
2013-01-01,177.0
2013-01-02,177.65
2013-01-03,178.6
2013-01-04,180.15
2013-01-07,182.0
2013-01-08,184.95
2013-01-09,183.1
2013-01-10,179.35
2013-01-11,173.95
2013-01-14,176.65
2013-01-15,172.75
2013-01-16,167.15
2013-01-17,168.45
2013-01-18,165.5
2013-01-21,163.5
2013-01-22,176.75
2013-01-23,178.7
2013-01-24,164.7
2013-01-25,168.95
2013-01-28,169.55
2013-01-29,163.25
2013-01-30,164.85
2013-01-31,166.4
2013-02-01,167.8
2013-02-04,160.55
2013-02-05,161.2
2013-02-06,160.2
2013-02-07,155.55
2013-02-08,155.6
2013-02-11,150.9
2013-02-12,152.4
2013-02-13,154.5
2013-02-14,147.55
2013-02-15,150.1
2013-02-18,150.05
2013-02-19,148.75
2013-02-20,153.75
2013-02-21,146.55
2013-02-22,151.0
2013-02-25,145.7
2013-02-26,138.25
2013-02-27,138.9
2013-02-28,126.8
2013-03-01,123.55
2013-03-04,125.25
2013-03-05,131.35
2013-03-06,135.4
2013-03-07,139.0
2013-03-08,137.9
2013-03-11,143.0
2013-03-12,140.45
2013-03-13,134.85
2013-03-14,133.85
2013-03-15,131.5
2013-03-18,128.3
2013-03-19,128.75
2013-03-20,122.25
2013-03-21,121.65
2013-03-22,113.3
2013-03-25,113.3
2013-03-26,113.0
2013-03-28,112.4
2013-04-01,115.0
2013-04-02,117.1
2013-04-03,120.95
2013-04-04,116.05
2013-04-05,118.1
2013-04-08,127.05
2013-04-09,126.5
2013-04-10,125.0
2013-04-11,127.35
2013-04-12,121.05
2013-04-15,120.35
2013-04-16,127.4
2013-04-17,105.95
2013-04-18,106.1
2013-04-22,107.3
2013-04-23,107.85
2013-04-25,111.6
2013-04-26,110.5
2013-04-29,108.3
2013-04-30,106.05
2013-05-02,109.9
2013-05-03,110.25
2013-05-06,109.6
2013-05-07,114.45
2013-05-08,112.35
2013-05-09,112.0
2013-05-10,112.25
2013-05-11,115.3
2013-05-13,112.5
2013-05-14,113.0
2013-05-15,116.05
2013-05-16,116.0
2013-05-17,117.75
2013-05-20,114.35
2013-05-21,111.95
2013-05-22,108.6
2013-05-23,103.05
2013-05-24,103.9
2013-05-27,104.05
2013-05-28,105.25
2013-05-29,106.0
2013-05-30,107.65
2013-05-31,107.2
2013-06-03,105.5
2013-06-04,107.9
2013-06-05,112.05
2013-06-06,113.8
2013-06-07,110.1
2013-06-10,107.65
2013-06-11,102.7
2013-06-12,97.75
2013-06-13,95.95
2013-06-14,100.85
2013-06-17,100.75
2013-06-18,106.3
2013-06-19,110.2
2013-06-20,112.35
2013-06-21,89.9
2013-06-24,71.95
2013-06-25,57.6
2013-06-26,53.65
2013-06-27,53.1
2013-06-28,53.4
2013-07-01,56.9
2013-07-02,63.95
2013-07-03,58.25
2013-07-04,57.7
2013-07-05,59.7
2013-07-08,57.45
2013-07-09,58.2
2013-07-10,56.85
2013-07-11,57.6
2013-07-12,57.05
2013-07-15,57.1
2013-07-16,56.0
2013-07-17,55.05
2013-07-18,54.4
2013-07-19,54.7
2013-07-22,53.3
2013-07-23,53.4
2013-07-24,49.45
2013-07-25,46.9
2013-07-26,46.0
2013-07-29,44.1
2013-07-30,44.05
2013-07-31,42.85
2013-08-01,37.35
2013-08-02,37.7
2013-08-05,37.85
2013-08-06,36.65
2013-08-07,41.0
2013-08-08,41.55
2013-08-12,42.65
2013-08-13,47.5
2013-08-14,46.55
2013-08-16,40.2
2013-08-19,36.9
2013-08-20,35.85
2013-08-21,35.0
2013-08-22,37.1
2013-08-23,37.65
2013-08-26,37.9
2013-08-27,35.05
2013-08-28,33.55
2013-08-29,33.35
2013-08-30,32.45
2013-09-02,34.3
2013-09-03,33.05
2013-09-04,34.0
2013-09-05,35.75
2013-09-06,39.55
2013-09-10,39.05
2013-09-11,40.05
2013-09-12,39.0
2013-09-13,38.0
2013-09-16,37.15
2013-09-17,37.2
2013-09-18,35.7
2013-09-19,38.25
2013-09-20,37.35
2013-09-23,35.4
2013-09-24,36.6
2013-09-25,35.6
2013-09-26,35.8
2013-09-27,36.35
2013-09-30,36.9
2013-10-01,36.85
2013-10-03,36.8
2013-10-04,37.3
2013-10-07,37.65
2013-10-08,37.2
2013-10-09,39.2
2013-10-10,39.1
2013-10-11,39.0
2013-10-14,40.8
2013-10-15,39.9
2013-10-17,39.5
2013-10-18,38.15
2013-10-21,40.15
2013-10-22,39.4
2013-10-23,39.25
2013-10-24,39.05
2013-10-25,39.05
2013-10-28,39.45
2013-10-29,39.5
2013-10-30,40.0
2013-10-31,39.1
2013-11-01,38.55
2013-11-03,38.65
2013-11-05,40.4
2013-11-06,39.6
2013-11-07,41.25
2013-11-08,45.65
2013-11-11,41.8
2013-11-12,39.6
2013-11-13,38.2
2013-11-14,40.35
2013-11-18,41.1
2013-11-19,41.8
2013-11-20,42.1
2013-11-21,40.05
2013-11-22,39.25
2013-11-25,39.6
2013-11-26,38.75
2013-11-27,38.4
2013-11-28,38.9
2013-11-29,38.35
2013-12-02,38.85
2013-12-03,38.65
2013-12-04,39.45
2013-12-05,38.85
2013-12-06,38.55
2013-12-09,37.2
2013-12-10,36.55
2013-12-11,37.05
2013-12-12,35.15
2013-12-13,34.95
2013-12-16,33.25
2013-12-17,34.95
2013-12-18,36.7
2013-12-19,35.15
2013-12-20,36.0
2013-12-23,35.05
2013-12-24,36.15
2013-12-26,36.2
2013-12-27,36.65
2013-12-30,35.4
2013-12-31,38.05
