Date,NELCAST
2013-01-01,23.65
2013-01-02,23.95
2013-01-03,24.1
2013-01-04,23.9
2013-01-07,23.8
2013-01-08,23.8
2013-01-09,23.55
2013-01-10,23.4
2013-01-11,23.35
2013-01-14,23.05
2013-01-15,22.9
2013-01-16,22.8
2013-01-17,22.7
2013-01-18,22.55
2013-01-21,23.7
2013-01-22,23.3
2013-01-23,22.75
2013-01-24,22.5
2013-01-25,22.3
2013-01-28,22.4
2013-01-29,23.3
2013-01-30,22.85
2013-01-31,22.2
2013-02-01,22.2
2013-02-04,22.15
2013-02-05,22.0
2013-02-06,21.95
2013-02-07,21.8
2013-02-08,21.35
2013-02-11,21.3
2013-02-12,21.0
2013-02-13,20.6
2013-02-14,20.15
2013-02-15,19.9
2013-02-18,20.0
2013-02-19,19.95
2013-02-20,20.1
2013-02-21,20.0
2013-02-22,20.0
2013-02-25,19.95
2013-02-26,19.05
2013-02-27,19.05
2013-02-28,18.85
2013-03-01,18.35
2013-03-04,18.05
2013-03-05,18.15
2013-03-06,19.05
2013-03-07,19.15
2013-03-08,19.65
2013-03-11,19.55
2013-03-12,19.1
2013-03-13,20.0
2013-03-14,19.95
2013-03-15,20.1
2013-03-18,20.15
2013-03-19,19.95
2013-03-20,19.9
2013-03-21,19.85
2013-03-22,19.85
2013-03-25,19.85
2013-03-26,19.05
2013-03-28,20.0
2013-04-01,20.2
2013-04-02,19.9
2013-04-03,20.05
2013-04-04,19.0
2013-04-05,19.2
2013-04-08,19.05
2013-04-09,19.1
2013-04-10,18.55
2013-04-11,18.5
2013-04-12,18.35
2013-04-15,18.75
2013-04-16,18.25
2013-04-17,18.25
2013-04-18,18.2
2013-04-22,18.45
2013-04-23,18.3
2013-04-25,18.25
2013-04-26,18.4
2013-04-29,18.5
2013-04-30,18.65
2013-05-02,18.3
2013-05-03,18.1
2013-05-06,18.45
2013-05-07,18.3
2013-05-08,18.2
2013-05-09,18.2
2013-05-10,18.15
2013-05-11,18.0
2013-05-13,17.85
2013-05-14,17.55
2013-05-15,17.9
2013-05-16,17.85
2013-05-17,17.6
2013-05-20,17.95
2013-05-21,17.75
2013-05-22,17.95
2013-05-23,17.15
2013-05-24,17.0
2013-05-27,17.35
2013-05-28,17.45
2013-05-29,16.95
2013-05-30,16.75
2013-05-31,16.25
2013-06-03,16.2
2013-06-04,15.65
2013-06-05,16.0
2013-06-06,16.0
2013-06-07,16.0
2013-06-10,15.8
2013-06-11,15.95
2013-06-12,15.95
2013-06-13,15.8
2013-06-14,16.1
2013-06-17,16.85
2013-06-18,16.3
2013-06-19,16.1
2013-06-20,15.75
2013-06-21,15.95
2013-06-24,15.8
2013-06-25,15.45
2013-06-26,16.35
2013-06-27,16.0
2013-06-28,16.5
2013-07-01,16.6
2013-07-02,16.25
2013-07-03,16.25
2013-07-04,16.25
2013-07-05,16.1
2013-07-08,16.55
2013-07-09,16.0
2013-07-10,16.2
2013-07-11,17.0
2013-07-12,16.85
2013-07-15,16.75
2013-07-16,16.15
2013-07-17,16.1
2013-07-18,15.8
2013-07-19,15.8
2013-07-22,16.5
2013-07-23,16.4
2013-07-24,15.7
2013-07-25,15.5
2013-07-26,16.15
2013-07-29,15.9
2013-07-30,15.6
2013-07-31,15.45
2013-08-01,14.8
2013-08-02,15.95
2013-08-05,15.95
2013-08-06,16.0
2013-08-07,16.05
2013-08-08,15.45
2013-08-12,16.1
2013-08-13,15.9
2013-08-14,15.75
2013-08-16,15.6
2013-08-19,15.5
2013-08-20,15.45
2013-08-21,15.7
2013-08-22,15.7
2013-08-23,15.85
2013-08-26,15.5
2013-08-27,15.8
2013-08-28,15.5
2013-08-29,15.75
2013-08-30,15.4
2013-09-02,16.35
2013-09-03,16.95
2013-09-04,18.45
2013-09-05,20.45
2013-09-06,20.35
2013-09-10,18.75
2013-09-11,17.65
2013-09-12,17.1
2013-09-13,17.15
2013-09-16,16.95
2013-09-17,17.0
2013-09-18,16.75
2013-09-19,16.45
2013-09-20,16.05
2013-09-23,16.05
2013-09-24,16.2
2013-09-25,16.05
2013-09-26,16.05
2013-09-27,15.9
2013-09-30,15.6
2013-10-01,15.95
2013-10-03,15.8
2013-10-04,15.8
2013-10-07,15.7
2013-10-08,15.9
2013-10-09,16.2
2013-10-10,16.25
2013-10-11,16.85
2013-10-14,16.95
2013-10-15,16.25
2013-10-17,16.5
2013-10-18,16.15
2013-10-21,16.45
2013-10-22,16.65
2013-10-23,16.8
2013-10-24,16.8
2013-10-25,16.4
2013-10-28,16.7
2013-10-29,16.3
2013-10-30,16.75
2013-10-31,17.7
2013-11-01,17.9
2013-11-03,17.7
2013-11-05,19.15
2013-11-06,19.1
2013-11-07,18.1
2013-11-08,18.05
2013-11-11,18.85
2013-11-12,17.7
2013-11-13,17.4
2013-11-14,17.6
2013-11-18,17.6
2013-11-19,17.45
2013-11-20,17.6
2013-11-21,17.45
2013-11-22,17.4
2013-11-25,17.2
2013-11-26,17.15
2013-11-27,17.0
2013-11-28,17.0
2013-11-29,16.9
2013-12-02,17.05
2013-12-03,17.05
2013-12-04,17.0
2013-12-05,17.0
2013-12-06,16.85
2013-12-09,17.2
2013-12-10,17.0
2013-12-11,16.75
2013-12-12,16.75
2013-12-13,16.55
2013-12-16,16.75
2013-12-17,16.45
2013-12-18,16.4
2013-12-19,16.45
2013-12-20,16.3
2013-12-23,16.25
2013-12-24,16.9
2013-12-26,17.5
2013-12-27,20.35
2013-12-30,19.95
2013-12-31,20.5
