Date,PANACEABIO
2013-01-01,114.15
2013-01-02,114.7
2013-01-03,113.5
2013-01-04,113.55
2013-01-07,114.2
2013-01-08,113.65
2013-01-09,112.0
2013-01-10,110.3
2013-01-11,109.6
2013-01-14,107.9
2013-01-15,109.3
2013-01-16,104.7
2013-01-17,105.85
2013-01-18,105.7
2013-01-21,108.9
2013-01-22,109.65
2013-01-23,109.2
2013-01-24,110.3
2013-01-25,107.95
2013-01-28,117.5
2013-01-29,115.75
2013-01-30,115.45
2013-01-31,132.6
2013-02-01,129.1
2013-02-04,123.05
2013-02-05,121.35
2013-02-06,136.75
2013-02-07,133.0
2013-02-08,130.3
2013-02-11,125.1
2013-02-12,123.1
2013-02-13,124.0
2013-02-14,122.8
2013-02-15,123.55
2013-02-18,134.5
2013-02-19,144.25
2013-02-20,140.65
2013-02-21,141.55
2013-02-22,151.95
2013-02-25,152.15
2013-02-26,139.2
2013-02-27,143.85
2013-02-28,141.95
2013-03-01,138.7
2013-03-04,150.55
2013-03-05,147.35
2013-03-06,150.3
2013-03-07,151.35
2013-03-08,148.65
2013-03-11,146.0
2013-03-12,145.85
2013-03-13,146.65
2013-03-14,143.2
2013-03-15,140.35
2013-03-18,141.3
2013-03-19,140.45
2013-03-20,133.55
2013-03-21,126.55
2013-03-22,129.65
2013-03-25,126.95
2013-03-26,127.35
2013-03-28,125.6
2013-04-01,130.65
2013-04-02,133.65
2013-04-03,131.9
2013-04-04,128.15
2013-04-05,129.45
2013-04-08,127.4
2013-04-09,126.5
2013-04-10,126.1
2013-04-11,125.4
2013-04-12,127.4
2013-04-15,124.05
2013-04-16,123.1
2013-04-17,126.85
2013-04-18,126.3
2013-04-22,124.6
2013-04-23,124.05
2013-04-25,122.0
2013-04-26,120.8
2013-04-29,121.4
2013-04-30,118.6
2013-05-02,118.65
2013-05-03,117.75
2013-05-06,116.35
2013-05-07,119.85
2013-05-08,119.1
2013-05-09,118.3
2013-05-10,117.45
2013-05-11,119.75
2013-05-13,116.5
2013-05-14,114.75
2013-05-15,113.4
2013-05-16,109.3
2013-05-17,108.25
2013-05-20,108.8
2013-05-21,104.85
2013-05-22,102.6
2013-05-23,97.05
2013-05-24,95.95
2013-05-27,98.2
2013-05-28,98.65
2013-05-29,97.8
2013-05-30,97.7
2013-05-31,94.95
2013-06-03,90.85
2013-06-04,91.25
2013-06-05,91.55
2013-06-06,90.9
2013-06-07,89.1
2013-06-10,89.25
2013-06-11,86.05
2013-06-12,87.5
2013-06-13,86.75
2013-06-14,88.5
2013-06-17,106.2
2013-06-18,124.55
2013-06-19,122.6
2013-06-20,111.9
2013-06-21,105.65
2013-06-24,99.95
2013-06-25,100.25
2013-06-26,98.45
2013-06-27,98.1
2013-06-28,97.8
2013-07-01,107.55
2013-07-02,112.0
2013-07-03,108.05
2013-07-04,108.75
2013-07-05,105.3
2013-07-08,107.2
2013-07-09,106.05
2013-07-10,112.25
2013-07-11,109.9
2013-07-12,108.65
2013-07-15,109.5
2013-07-16,108.5
2013-07-17,110.4
2013-07-18,108.55
2013-07-19,107.35
2013-07-22,102.3
2013-07-23,104.7
2013-07-24,102.75
2013-07-25,101.85
2013-07-26,101.55
2013-07-29,97.85
2013-07-30,99.5
2013-07-31,97.65
2013-08-01,94.15
2013-08-02,92.25
2013-08-05,94.45
2013-08-06,92.9
2013-08-07,91.85
2013-08-08,93.9
2013-08-12,92.5
2013-08-13,90.85
2013-08-14,90.65
2013-08-16,87.25
2013-08-19,85.0
2013-08-20,85.5
2013-08-21,84.75
2013-08-22,85.6
2013-08-23,86.6
2013-08-26,89.95
2013-08-27,88.8
2013-08-28,86.15
2013-08-29,87.0
2013-08-30,88.25
2013-09-02,89.0
2013-09-03,87.8
2013-09-04,87.7
2013-09-05,87.95
2013-09-06,88.25
2013-09-10,105.9
2013-09-11,115.25
2013-09-12,110.15
2013-09-13,113.6
2013-09-16,121.6
2013-09-17,122.0
2013-09-18,138.85
2013-09-19,137.1
2013-09-20,134.85
2013-09-23,126.0
2013-09-24,120.35
2013-09-25,116.15
2013-09-26,118.15
2013-09-27,117.9
2013-09-30,115.15
2013-10-01,116.4
2013-10-03,119.95
2013-10-04,117.7
2013-10-07,116.1
2013-10-08,118.45
2013-10-09,120.55
2013-10-10,120.65
2013-10-11,119.1
2013-10-14,118.95
2013-10-15,116.2
2013-10-17,117.25
2013-10-18,117.05
2013-10-21,116.8
2013-10-22,114.05
2013-10-23,114.1
2013-10-24,113.75
2013-10-25,112.2
2013-10-28,110.2
2013-10-29,106.35
2013-10-30,106.35
2013-10-31,106.8
2013-11-01,111.1
2013-11-03,111.8
2013-11-05,108.75
2013-11-06,108.8
2013-11-07,108.25
2013-11-08,107.95
2013-11-11,107.5
2013-11-12,106.2
2013-11-13,101.55
2013-11-14,102.75
2013-11-18,103.55
2013-11-19,110.35
2013-11-20,105.65
2013-11-21,102.15
2013-11-22,100.2
2013-11-25,105.75
2013-11-26,102.85
2013-11-27,102.45
2013-11-28,100.9
2013-11-29,101.25
2013-12-02,100.25
2013-12-03,100.95
2013-12-04,102.85
2013-12-05,100.9
2013-12-06,102.1
2013-12-09,102.45
2013-12-10,101.1
2013-12-11,99.75
2013-12-12,98.75
2013-12-13,98.55
2013-12-16,100.15
2013-12-17,102.05
2013-12-18,102.55
2013-12-19,102.85
2013-12-20,109.15
2013-12-23,109.0
2013-12-24,108.8
2013-12-26,107.65
2013-12-27,105.05
2013-12-30,107.35
2013-12-31,104.85
