Date,TNPETRO
2013-01-01,13.55
2013-01-02,13.35
2013-01-03,13.15
2013-01-04,13.4
2013-01-07,13.8
2013-01-08,13.45
2013-01-09,13.7
2013-01-10,13.45
2013-01-11,13.6
2013-01-14,13.4
2013-01-15,13.35
2013-01-16,13.2
2013-01-17,13.0
2013-01-18,13.0
2013-01-21,13.0
2013-01-22,12.9
2013-01-23,12.95
2013-01-24,12.8
2013-01-25,12.75
2013-01-28,12.8
2013-01-29,12.5
2013-01-30,12.3
2013-01-31,12.35
2013-02-01,11.9
2013-02-04,12.05
2013-02-05,11.85
2013-02-06,11.95
2013-02-07,11.9
2013-02-08,11.8
2013-02-11,11.65
2013-02-12,11.95
2013-02-13,11.6
2013-02-14,11.95
2013-02-15,11.4
2013-02-18,11.4
2013-02-19,11.5
2013-02-20,11.5
2013-02-21,11.4
2013-02-22,11.4
2013-02-25,11.1
2013-02-26,10.95
2013-02-27,11.05
2013-02-28,10.65
2013-03-01,10.5
2013-03-04,10.5
2013-03-05,10.25
2013-03-06,12.25
2013-03-07,11.45
2013-03-08,11.5
2013-03-11,11.05
2013-03-12,12.4
2013-03-13,11.55
2013-03-14,11.55
2013-03-15,11.45
2013-03-18,11.3
2013-03-19,11.45
2013-03-20,11.0
2013-03-21,10.9
2013-03-22,10.85
2013-03-25,10.8
2013-03-26,10.75
2013-03-28,10.75
2013-04-01,10.85
2013-04-02,11.0
2013-04-03,10.95
2013-04-04,10.9
2013-04-05,10.9
2013-04-08,10.95
2013-04-09,10.85
2013-04-10,10.8
2013-04-11,10.85
2013-04-12,10.9
2013-04-15,10.75
2013-04-16,11.0
2013-04-17,11.0
2013-04-18,10.85
2013-04-22,11.05
2013-04-23,11.45
2013-04-25,11.35
2013-04-26,11.1
2013-04-29,11.15
2013-04-30,11.3
2013-05-02,11.4
2013-05-03,11.4
2013-05-06,11.2
2013-05-07,11.95
2013-05-08,12.35
2013-05-09,11.95
2013-05-10,11.4
2013-05-11,11.35
2013-05-13,12.0
2013-05-14,11.95
2013-05-15,11.7
2013-05-16,11.45
2013-05-17,11.75
2013-05-20,12.05
2013-05-21,12.1
2013-05-22,12.35
2013-05-23,11.85
2013-05-24,11.6
2013-05-27,11.5
2013-05-28,11.3
2013-05-29,11.2
2013-05-30,11.05
2013-05-31,10.9
2013-06-03,10.6
2013-06-04,10.4
2013-06-05,10.4
2013-06-06,10.4
2013-06-07,10.3
2013-06-10,9.95
2013-06-11,9.55
2013-06-12,9.75
2013-06-13,9.55
2013-06-14,9.6
2013-06-17,10.95
2013-06-18,10.4
2013-06-19,10.7
2013-06-20,10.75
2013-06-21,10.95
2013-06-24,11.2
2013-06-25,11.45
2013-06-26,11.35
2013-06-27,11.3
2013-06-28,11.15
2013-07-01,11.2
2013-07-02,11.0
2013-07-03,10.8
2013-07-04,10.65
2013-07-05,10.4
2013-07-08,10.25
2013-07-09,10.4
2013-07-10,10.15
2013-07-11,10.1
2013-07-12,10.15
2013-07-15,9.95
2013-07-16,9.5
2013-07-17,9.25
2013-07-18,9.1
2013-07-19,9.05
2013-07-22,8.8
2013-07-23,9.55
2013-07-24,9.05
2013-07-25,9.0
2013-07-26,9.05
2013-07-29,9.0
2013-07-30,8.55
2013-07-31,8.8
2013-08-01,8.55
2013-08-02,8.65
2013-08-05,9.1
2013-08-06,8.5
2013-08-07,9.0
2013-08-08,8.95
2013-08-12,9.2
2013-08-13,8.95
2013-08-14,8.75
2013-08-16,8.5
2013-08-19,8.25
2013-08-20,8.15
2013-08-21,8.0
2013-08-22,7.95
2013-08-23,8.0
2013-08-26,7.95
2013-08-27,7.75
2013-08-28,7.55
2013-08-29,7.65
2013-08-30,7.5
2013-09-02,7.4
2013-09-03,7.4
2013-09-04,7.3
2013-09-05,7.45
2013-09-06,7.6
2013-09-10,7.75
2013-09-11,7.6
2013-09-12,7.75
2013-09-13,7.75
2013-09-16,7.7
2013-09-17,7.45
2013-09-18,7.4
2013-09-19,7.5
2013-09-20,7.4
2013-09-23,7.7
2013-09-24,7.45
2013-09-25,7.45
2013-09-26,7.55
2013-09-27,7.6
2013-09-30,7.6
2013-10-01,7.75
2013-10-03,7.6
2013-10-04,7.5
2013-10-07,7.55
2013-10-08,7.55
2013-10-09,7.6
2013-10-10,7.7
2013-10-11,7.75
2013-10-14,7.85
2013-10-15,7.7
2013-10-17,7.65
2013-10-18,7.55
2013-10-21,7.65
2013-10-22,7.8
2013-10-23,7.8
2013-10-24,7.9
2013-10-25,7.75
2013-10-28,7.65
2013-10-29,7.6
2013-10-30,7.65
2013-10-31,7.6
2013-11-01,7.8
2013-11-03,8.05
2013-11-05,7.95
2013-11-06,7.9
2013-11-07,7.95
2013-11-08,7.85
2013-11-11,7.85
2013-11-12,7.55
2013-11-13,7.6
2013-11-14,7.5
2013-11-18,7.45
2013-11-19,7.4
2013-11-20,7.7
2013-11-21,7.55
2013-11-22,7.55
2013-11-25,7.75
2013-11-26,7.55
2013-11-27,7.7
2013-11-28,7.55
2013-11-29,7.65
2013-12-02,7.8
2013-12-03,8.3
2013-12-04,8.3
2013-12-05,8.1
2013-12-06,8.2
2013-12-09,8.15
2013-12-10,7.9
2013-12-11,7.7
2013-12-12,7.8
2013-12-13,7.85
2013-12-16,7.7
2013-12-17,7.5
2013-12-18,7.45
2013-12-19,7.45
2013-12-20,7.5
2013-12-23,7.7
2013-12-24,7.85
2013-12-26,8.55
2013-12-27,8.1
2013-12-30,8.05
2013-12-31,8.05
