Date,BERGEPAINT
2013-01-01,158.55
2013-01-02,156.7
2013-01-03,157.5
2013-01-04,155.55
2013-01-07,153.5
2013-01-08,152.95
2013-01-09,151.3
2013-01-10,152.8
2013-01-11,151.85
2013-01-14,150.05
2013-01-15,162.7
2013-01-16,157.35
2013-01-17,158.0
2013-01-18,161.0
2013-01-21,162.5
2013-01-22,167.75
2013-01-23,172.4
2013-01-24,174.5
2013-01-25,174.15
2013-01-28,170.8
2013-01-29,170.15
2013-01-30,171.95
2013-01-31,173.9
2013-02-01,180.25
2013-02-04,183.7
2013-02-05,192.0
2013-02-06,184.9
2013-02-07,175.25
2013-02-08,169.75
2013-02-11,172.5
2013-02-12,180.15
2013-02-13,183.0
2013-02-14,182.7
2013-02-15,183.9
2013-02-18,190.65
2013-02-19,198.35
2013-02-20,202.4
2013-02-21,202.6
2013-02-22,202.15
2013-02-25,188.2
2013-02-26,194.7
2013-02-27,196.1
2013-02-28,189.8
2013-03-01,192.85
2013-03-04,189.8
2013-03-05,189.2
2013-03-06,190.75
2013-03-07,194.6
2013-03-08,201.95
2013-03-11,206.3
2013-03-12,199.0
2013-03-13,194.3
2013-03-14,191.45
2013-03-15,191.4
2013-03-18,196.15
2013-03-19,197.0
2013-03-20,189.9
2013-03-21,192.3
2013-03-22,195.7
2013-03-25,197.8
2013-03-26,198.35
2013-03-28,195.25
2013-04-01,195.15
2013-04-02,200.6
2013-04-03,200.9
2013-04-04,196.15
2013-04-05,196.2
2013-04-08,196.05
2013-04-09,195.85
2013-04-10,194.9
2013-04-11,195.15
2013-04-12,193.05
2013-04-15,189.45
2013-04-16,189.05
2013-04-17,186.85
2013-04-18,186.25
2013-04-22,189.35
2013-04-23,191.45
2013-04-25,192.0
2013-04-26,192.2
2013-04-29,192.5
2013-04-30,192.3
2013-05-02,192.4
2013-05-03,195.9
2013-05-06,201.1
2013-05-07,204.8
2013-05-08,215.55
2013-05-09,221.55
2013-05-10,224.8
2013-05-11,230.15
2013-05-13,244.1
2013-05-14,239.8
2013-05-15,236.65
2013-05-16,234.0
2013-05-17,233.4
2013-05-20,234.55
2013-05-21,238.8
2013-05-22,249.65
2013-05-23,244.95
2013-05-24,245.7
2013-05-27,240.9
2013-05-28,237.55
2013-05-29,243.95
2013-05-30,241.25
2013-05-31,224.85
2013-06-03,237.1
2013-06-04,230.65
2013-06-05,233.3
2013-06-06,229.35
2013-06-07,232.5
2013-06-10,227.35
2013-06-11,222.85
2013-06-12,229.75
2013-06-13,225.65
2013-06-14,230.6
2013-06-17,236.15
2013-06-18,236.45
2013-06-19,241.45
2013-06-20,237.9
2013-06-21,245.15
2013-06-24,243.8
2013-06-25,236.55
2013-06-26,231.95
2013-06-27,229.45
2013-06-28,229.5
2013-07-01,230.7
2013-07-02,235.7
2013-07-03,233.1
2013-07-04,235.05
2013-07-05,235.6
2013-07-08,243.7
2013-07-09,240.85
2013-07-10,240.9
2013-07-11,237.35
2013-07-12,235.35
2013-07-15,241.35
2013-07-16,243.65
2013-07-17,244.1
2013-07-18,247.0
2013-07-19,249.3
2013-07-22,250.0
2013-07-23,241.1
2013-07-24,239.75
2013-07-25,238.85
2013-07-26,230.9
2013-07-29,219.3
2013-07-30,212.15
2013-07-31,205.45
2013-08-01,198.55
2013-08-02,204.15
2013-08-05,205.9
2013-08-06,203.6
2013-08-07,204.05
2013-08-08,205.4
2013-08-12,218.45
2013-08-13,231.05
2013-08-14,236.5
2013-08-16,227.4
2013-08-19,217.6
2013-08-20,216.65
2013-08-21,216.45
2013-08-22,216.15
2013-08-23,228.25
2013-08-26,226.75
2013-08-27,223.35
2013-08-28,216.5
2013-08-29,213.3
2013-08-30,202.9
2013-09-02,200.75
2013-09-03,195.65
2013-09-04,200.5
2013-09-05,203.15
2013-09-06,204.05
2013-09-10,211.5
2013-09-11,213.45
2013-09-12,212.85
2013-09-13,214.85
2013-09-16,218.7
2013-09-17,218.75
2013-09-18,219.45
2013-09-19,223.3
2013-09-20,221.3
2013-09-23,227.0
2013-09-24,232.15
2013-09-25,233.05
2013-09-26,224.2
2013-09-27,223.35
2013-09-30,217.05
2013-10-01,217.2
2013-10-03,214.9
2013-10-04,215.9
2013-10-07,216.25
2013-10-08,215.6
2013-10-09,222.3
2013-10-10,224.55
2013-10-11,221.6
2013-10-14,221.3
2013-10-15,220.25
2013-10-17,220.5
2013-10-18,221.15
2013-10-21,227.25
2013-10-22,231.05
2013-10-23,229.15
2013-10-24,226.45
2013-10-25,222.75
2013-10-28,222.1
2013-10-29,227.05
2013-10-30,230.0
2013-10-31,230.3
2013-11-01,232.85
2013-11-03,236.5
2013-11-05,235.0
2013-11-06,230.75
2013-11-07,226.15
2013-11-08,221.5
2013-11-11,229.5
2013-11-12,223.5
2013-11-13,225.95
2013-11-14,227.75
2013-11-18,232.35
2013-11-19,228.35
2013-11-20,229.1
2013-11-21,226.2
2013-11-22,226.1
2013-11-25,227.8
2013-11-26,226.0
2013-11-27,230.4
2013-11-28,236.45
2013-11-29,242.3
2013-12-02,244.6
2013-12-03,242.45
2013-12-04,239.45
2013-12-05,236.2
2013-12-06,233.0
2013-12-09,230.4
2013-12-10,232.25
2013-12-11,228.35
2013-12-12,229.35
2013-12-13,228.8
2013-12-16,227.0
2013-12-17,226.1
2013-12-18,225.5
2013-12-19,224.55
2013-12-20,225.5
2013-12-23,225.75
2013-12-24,225.9
2013-12-26,226.75
2013-12-27,225.2
2013-12-30,224.65
2013-12-31,224.4
