Date,AIAENG
2013-01-01,332.95
2013-01-02,330.1
2013-01-03,336.55
2013-01-04,331.9
2013-01-07,338.45
2013-01-08,334.1
2013-01-09,336.65
2013-01-10,335.0
2013-01-11,336.5
2013-01-14,336.05
2013-01-15,333.05
2013-01-16,329.0
2013-01-17,332.9
2013-01-18,333.45
2013-01-21,331.15
2013-01-22,329.85
2013-01-23,331.9
2013-01-24,330.5
2013-01-25,332.65
2013-01-28,328.05
2013-01-29,329.6
2013-01-30,325.4
2013-01-31,324.0
2013-02-01,317.55
2013-02-04,311.45
2013-02-05,320.35
2013-02-06,312.85
2013-02-07,318.8
2013-02-08,315.1
2013-02-11,311.4
2013-02-12,320.8
2013-02-13,322.45
2013-02-14,315.85
2013-02-15,316.2
2013-02-18,324.8
2013-02-19,324.5
2013-02-20,322.9
2013-02-21,321.7
2013-02-22,321.95
2013-02-25,318.85
2013-02-26,316.3
2013-02-27,317.3
2013-02-28,317.8
2013-03-01,315.75
2013-03-04,316.3
2013-03-05,316.7
2013-03-06,320.35
2013-03-07,320.25
2013-03-08,319.2
2013-03-11,321.7
2013-03-12,321.7
2013-03-13,321.3
2013-03-14,320.25
2013-03-15,321.25
2013-03-18,317.3
2013-03-19,320.3
2013-03-20,320.0
2013-03-21,319.9
2013-03-22,317.75
2013-03-25,318.0
2013-03-26,319.05
2013-03-28,317.9
2013-04-01,313.1
2013-04-02,314.2
2013-04-03,310.6
2013-04-04,311.85
2013-04-05,309.1
2013-04-08,309.25
2013-04-09,310.0
2013-04-10,315.25
2013-04-11,312.65
2013-04-12,314.25
2013-04-15,314.15
2013-04-16,307.2
2013-04-17,305.2
2013-04-18,306.35
2013-04-22,308.65
2013-04-23,312.5
2013-04-25,317.7
2013-04-26,306.55
2013-04-29,316.25
2013-04-30,308.35
2013-05-02,310.6
2013-05-03,309.2
2013-05-06,304.8
2013-05-07,301.05
2013-05-08,299.9
2013-05-09,290.9
2013-05-10,294.45
2013-05-11,293.85
2013-05-13,295.65
2013-05-14,292.6
2013-05-15,299.6
2013-05-16,299.5
2013-05-17,288.8
2013-05-20,290.0
2013-05-21,283.1
2013-05-22,289.65
2013-05-23,284.0
2013-05-24,288.0
2013-05-27,285.35
2013-05-28,281.05
2013-05-29,280.5
2013-05-30,285.2
2013-05-31,317.4
2013-06-03,315.35
2013-06-04,314.9
2013-06-05,315.0
2013-06-06,342.5
2013-06-07,340.15
2013-06-10,346.9
2013-06-11,347.15
2013-06-12,345.4
2013-06-13,332.55
2013-06-14,325.65
2013-06-17,331.0
2013-06-18,324.8
2013-06-19,322.3
2013-06-20,322.7
2013-06-21,325.75
2013-06-24,324.6
2013-06-25,321.45
2013-06-26,319.3
2013-06-27,323.35
2013-06-28,330.15
2013-07-01,327.15
2013-07-02,324.5
2013-07-03,326.95
2013-07-04,324.4
2013-07-05,323.3
2013-07-08,323.95
2013-07-09,325.8
2013-07-10,322.8
2013-07-11,319.0
2013-07-12,317.7
2013-07-15,318.75
2013-07-16,313.7
2013-07-17,313.6
2013-07-18,311.4
2013-07-19,307.55
2013-07-22,305.1
2013-07-23,310.85
2013-07-24,310.25
2013-07-25,308.0
2013-07-26,299.8
2013-07-29,294.55
2013-07-30,286.15
2013-07-31,307.05
2013-08-01,302.5
2013-08-02,296.35
2013-08-05,294.0
2013-08-06,289.55
2013-08-07,294.7
2013-08-08,299.75
2013-08-12,309.85
2013-08-13,327.65
2013-08-14,330.6
2013-08-16,332.35
2013-08-19,327.8
2013-08-20,322.6
2013-08-21,318.25
2013-08-22,314.0
2013-08-23,315.45
2013-08-26,316.4
2013-08-27,307.05
2013-08-28,313.75
2013-08-29,320.4
2013-08-30,322.8
2013-09-02,338.0
2013-09-03,324.1
2013-09-04,322.95
2013-09-05,327.85
2013-09-06,322.65
2013-09-10,321.1
2013-09-11,318.8
2013-09-12,320.05
2013-09-13,319.9
2013-09-16,320.15
2013-09-17,318.2
2013-09-18,322.15
2013-09-19,320.0
2013-09-20,320.05
2013-09-23,320.65
2013-09-24,322.95
2013-09-25,324.1
2013-09-26,323.7
2013-09-27,320.05
2013-09-30,314.3
2013-10-01,322.6
2013-10-03,337.6
2013-10-04,347.75
2013-10-07,348.05
2013-10-08,353.05
2013-10-09,367.85
2013-10-10,366.25
2013-10-11,391.45
2013-10-14,391.85
2013-10-15,380.0
2013-10-17,377.45
2013-10-18,373.8
2013-10-21,383.05
2013-10-22,388.0
2013-10-23,383.55
2013-10-24,388.4
2013-10-25,383.95
2013-10-28,383.25
2013-10-29,385.0
2013-10-30,387.25
2013-10-31,386.6
2013-11-01,427.15
2013-11-03,451.65
2013-11-05,454.3
2013-11-06,429.75
2013-11-07,422.5
2013-11-08,427.95
2013-11-11,424.5
2013-11-12,414.5
2013-11-13,418.4
2013-11-14,415.3
2013-11-18,416.2
2013-11-19,419.6
2013-11-20,411.55
2013-11-21,412.95
2013-11-22,410.3
2013-11-25,411.9
2013-11-26,411.85
2013-11-27,409.9
2013-11-28,409.2
2013-11-29,419.4
2013-12-02,428.0
2013-12-03,429.1
2013-12-04,424.7
2013-12-05,424.5
2013-12-06,439.65
2013-12-09,448.0
2013-12-10,451.4
2013-12-11,456.8
2013-12-12,459.65
2013-12-13,450.6
2013-12-16,463.95
2013-12-17,463.75
2013-12-18,463.75
2013-12-19,475.4
2013-12-20,472.25
2013-12-23,481.85
2013-12-24,481.0
2013-12-26,477.2
2013-12-27,478.35
2013-12-30,480.85
2013-12-31,478.4
