Date,HEXAWARE
2013-01-01,86.1
2013-01-02,85.35
2013-01-03,89.75
2013-01-04,90.0
2013-01-07,90.3
2013-01-08,88.95
2013-01-09,87.1
2013-01-10,86.05
2013-01-11,89.0
2013-01-14,89.55
2013-01-15,93.45
2013-01-16,91.35
2013-01-17,91.45
2013-01-18,89.0
2013-01-21,90.45
2013-01-22,88.15
2013-01-23,85.9
2013-01-24,77.25
2013-01-25,81.1
2013-01-28,82.35
2013-01-29,80.7
2013-01-30,79.75
2013-01-31,78.9
2013-02-01,76.8
2013-02-04,76.2
2013-02-05,75.4
2013-02-06,77.65
2013-02-07,80.6
2013-02-08,81.3
2013-02-11,84.0
2013-02-12,83.85
2013-02-13,83.85
2013-02-14,80.75
2013-02-15,82.25
2013-02-18,85.45
2013-02-19,85.35
2013-02-20,87.5
2013-02-21,88.4
2013-02-22,86.65
2013-02-25,86.75
2013-02-26,85.2
2013-02-27,86.1
2013-02-28,86.35
2013-03-01,87.9
2013-03-04,84.7
2013-03-05,87.0
2013-03-06,87.25
2013-03-07,90.05
2013-03-08,90.45
2013-03-11,93.35
2013-03-12,93.45
2013-03-13,89.0
2013-03-14,89.0
2013-03-15,89.4
2013-03-18,90.2
2013-03-19,91.15
2013-03-20,86.8
2013-03-21,87.55
2013-03-22,85.55
2013-03-25,86.05
2013-03-26,84.3
2013-03-28,84.55
2013-04-01,87.6
2013-04-02,89.35
2013-04-03,90.05
2013-04-04,90.6
2013-04-05,91.35
2013-04-08,92.75
2013-04-09,91.75
2013-04-10,95.8
2013-04-11,92.35
2013-04-12,91.0
2013-04-15,89.85
2013-04-16,90.15
2013-04-17,88.6
2013-04-18,87.5
2013-04-22,84.95
2013-04-23,86.0
2013-04-25,84.8
2013-04-26,82.85
2013-04-29,82.55
2013-04-30,81.95
2013-05-02,83.1
2013-05-03,83.0
2013-05-06,83.5
2013-05-07,84.65
2013-05-08,85.55
2013-05-09,82.65
2013-05-10,82.35
2013-05-11,83.15
2013-05-13,81.4
2013-05-14,80.55
2013-05-15,80.9
2013-05-16,78.1
2013-05-17,78.75
2013-05-20,77.75
2013-05-21,77.3
2013-05-22,77.7
2013-05-23,76.2
2013-05-24,79.9
2013-05-27,84.85
2013-05-28,83.6
2013-05-29,82.35
2013-05-30,81.55
2013-05-31,80.45
2013-06-03,79.45
2013-06-04,77.9
2013-06-05,79.45
2013-06-06,82.3
2013-06-07,84.35
2013-06-10,84.85
2013-06-11,82.25
2013-06-12,82.45
2013-06-13,78.8
2013-06-14,78.5
2013-06-17,78.55
2013-06-18,80.6
2013-06-19,82.85
2013-06-20,79.5
2013-06-21,78.9
2013-06-24,79.1
2013-06-25,76.85
2013-06-26,79.6
2013-06-27,82.6
2013-06-28,86.75
2013-07-01,87.7
2013-07-02,87.05
2013-07-03,87.45
2013-07-04,91.0
2013-07-05,90.3
2013-07-08,93.6
2013-07-09,93.3
2013-07-10,94.8
2013-07-11,95.1
2013-07-12,97.0
2013-07-15,99.45
2013-07-16,102.0
2013-07-17,104.4
2013-07-18,105.4
2013-07-19,106.8
2013-07-22,106.6
2013-07-23,109.7
2013-07-24,117.2
2013-07-25,112.85
2013-07-26,114.05
2013-07-29,116.0
2013-07-30,113.0
2013-07-31,116.35
2013-08-01,114.35
2013-08-02,115.7
2013-08-05,119.55
2013-08-06,118.75
2013-08-07,118.05
2013-08-08,118.45
2013-08-12,121.9
2013-08-13,122.8
2013-08-14,122.45
2013-08-16,121.05
2013-08-19,124.15
2013-08-20,114.1
2013-08-21,116.4
2013-08-22,118.65
2013-08-23,120.75
2013-08-26,128.15
2013-08-27,127.5
2013-08-28,127.9
2013-08-29,128.65
2013-08-30,128.1
2013-09-02,128.9
2013-09-03,131.2
2013-09-04,128.25
2013-09-05,126.2
2013-09-06,125.0
2013-09-10,126.2
2013-09-11,126.5
2013-09-12,126.05
2013-09-13,123.75
2013-09-16,123.95
2013-09-17,124.05
2013-09-18,123.95
2013-09-19,123.55
2013-09-20,124.5
2013-09-23,125.3
2013-09-24,126.8
2013-09-25,128.05
2013-09-26,126.95
2013-09-27,128.8
2013-09-30,128.55
2013-10-01,128.85
2013-10-03,129.1
2013-10-04,128.45
2013-10-07,129.35
2013-10-08,129.6
2013-10-09,130.05
2013-10-10,129.95
2013-10-11,130.25
2013-10-14,130.2
2013-10-15,130.85
2013-10-17,130.3
2013-10-18,131.5
2013-10-21,131.95
2013-10-22,132.45
2013-10-23,132.35
2013-10-24,132.1
2013-10-25,132.15
2013-10-28,132.35
2013-10-29,132.55
2013-10-30,132.85
2013-10-31,132.95
2013-11-01,132.9
2013-11-03,133.05
2013-11-05,133.6
2013-11-06,133.6
2013-11-07,133.6
2013-11-08,134.2
2013-11-11,130.65
2013-11-12,121.6
2013-11-13,126.45
2013-11-14,124.4
2013-11-18,121.75
2013-11-19,116.7
2013-11-20,119.05
2013-11-21,119.7
2013-11-22,120.65
2013-11-25,121.2
2013-11-26,117.9
2013-11-27,119.4
2013-11-28,121.65
2013-11-29,122.3
2013-12-02,121.15
2013-12-03,119.65
2013-12-04,117.0
2013-12-05,114.35
2013-12-06,112.4
2013-12-09,117.75
2013-12-10,122.75
2013-12-11,119.2
2013-12-12,115.15
2013-12-13,116.5
2013-12-16,118.8
2013-12-17,116.05
2013-12-18,118.4
2013-12-19,122.0
2013-12-20,126.9
2013-12-23,128.05
2013-12-24,127.0
2013-12-26,126.7
2013-12-27,131.85
2013-12-30,132.0
2013-12-31,131.75
