Date,SAIL
2013-01-01,92.7
2013-01-02,96.0
2013-01-03,95.15
2013-01-04,95.3
2013-01-07,99.55
2013-01-08,97.25
2013-01-09,95.5
2013-01-10,93.85
2013-01-11,92.0
2013-01-14,94.4
2013-01-15,94.75
2013-01-16,92.0
2013-01-17,93.55
2013-01-18,90.95
2013-01-21,91.5
2013-01-22,90.5
2013-01-23,89.3
2013-01-24,87.65
2013-01-25,89.3
2013-01-28,89.9
2013-01-29,88.95
2013-01-30,88.3
2013-01-31,86.6
2013-02-01,86.9
2013-02-04,87.1
2013-02-05,86.9
2013-02-06,83.0
2013-02-07,83.5
2013-02-08,82.85
2013-02-11,80.75
2013-02-12,81.2
2013-02-13,78.75
2013-02-14,77.6
2013-02-15,77.85
2013-02-18,78.0
2013-02-19,78.5
2013-02-20,78.85
2013-02-21,75.95
2013-02-22,76.5
2013-02-25,74.95
2013-02-26,72.75
2013-02-27,74.35
2013-02-28,70.9
2013-03-01,71.6
2013-03-04,68.2
2013-03-05,69.5
2013-03-06,70.45
2013-03-07,69.1
2013-03-08,70.35
2013-03-11,70.45
2013-03-12,70.9
2013-03-13,70.9
2013-03-14,70.55
2013-03-15,68.75
2013-03-18,67.45
2013-03-19,65.4
2013-03-20,65.15
2013-03-21,63.9
2013-03-22,63.35
2013-03-25,63.0
2013-03-26,61.0
2013-03-28,62.55
2013-04-01,62.7
2013-04-02,63.2
2013-04-03,61.6
2013-04-04,61.5
2013-04-05,61.45
2013-04-08,61.6
2013-04-09,60.45
2013-04-10,60.85
2013-04-11,60.4
2013-04-12,59.6
2013-04-15,57.45
2013-04-16,58.4
2013-04-17,62.15
2013-04-18,61.55
2013-04-22,63.1
2013-04-23,62.65
2013-04-25,64.75
2013-04-26,62.4
2013-04-29,62.85
2013-04-30,61.65
2013-05-02,63.25
2013-05-03,63.65
2013-05-06,64.25
2013-05-07,63.75
2013-05-08,63.25
2013-05-09,62.75
2013-05-10,63.1
2013-05-11,63.25
2013-05-13,62.1
2013-05-14,62.0
2013-05-15,63.15
2013-05-16,63.25
2013-05-17,63.4
2013-05-20,62.55
2013-05-21,61.75
2013-05-22,58.9
2013-05-23,59.05
2013-05-24,59.95
2013-05-27,60.75
2013-05-28,60.9
2013-05-29,59.75
2013-05-30,59.05
2013-05-31,56.2
2013-06-03,56.55
2013-06-04,57.0
2013-06-05,57.45
2013-06-06,57.1
2013-06-07,55.8
2013-06-10,55.8
2013-06-11,55.35
2013-06-12,54.7
2013-06-13,53.35
2013-06-14,53.95
2013-06-17,54.95
2013-06-18,55.7
2013-06-19,56.6
2013-06-20,53.5
2013-06-21,52.3
2013-06-24,51.05
2013-06-25,49.8
2013-06-26,49.85
2013-06-27,48.45
2013-06-28,50.75
2013-07-01,52.3
2013-07-02,52.15
2013-07-03,49.85
2013-07-04,48.25
2013-07-05,48.15
2013-07-08,47.8
2013-07-09,47.95
2013-07-10,47.7
2013-07-11,48.15
2013-07-12,47.4
2013-07-15,48.3
2013-07-16,46.75
2013-07-17,45.2
2013-07-18,45.25
2013-07-19,44.95
2013-07-22,44.35
2013-07-23,44.4
2013-07-24,42.85
2013-07-25,43.4
2013-07-26,43.7
2013-07-29,43.25
2013-07-30,41.7
2013-07-31,41.7
2013-08-01,41.35
2013-08-02,39.55
2013-08-05,39.95
2013-08-06,38.15
2013-08-07,38.7
2013-08-08,40.05
2013-08-12,41.6
2013-08-13,44.3
2013-08-14,43.65
2013-08-16,41.05
2013-08-19,40.95
2013-08-20,44.0
2013-08-21,42.5
2013-08-22,45.65
2013-08-23,46.9
2013-08-26,46.95
2013-08-27,45.05
2013-08-28,47.5
2013-08-29,46.7
2013-08-30,46.25
2013-09-02,47.4
2013-09-03,46.05
2013-09-04,47.55
2013-09-05,47.95
2013-09-06,47.9
2013-09-10,47.85
2013-09-11,50.7
2013-09-12,49.3
2013-09-13,49.2
2013-09-16,48.55
2013-09-17,49.8
2013-09-18,48.95
2013-09-19,50.95
2013-09-20,52.25
2013-09-23,52.65
2013-09-24,52.45
2013-09-25,52.2
2013-09-26,52.35
2013-09-27,51.15
2013-09-30,49.95
2013-10-01,51.55
2013-10-03,54.6
2013-10-04,55.05
2013-10-07,56.3
2013-10-08,57.1
2013-10-09,57.75
2013-10-10,58.55
2013-10-11,57.85
2013-10-14,57.5
2013-10-15,57.5
2013-10-17,58.0
2013-10-18,59.5
2013-10-21,62.5
2013-10-22,62.15
2013-10-23,61.25
2013-10-24,61.3
2013-10-25,59.95
2013-10-28,59.7
2013-10-29,61.8
2013-10-30,61.15
2013-10-31,61.7
2013-11-01,61.85
2013-11-03,62.1
2013-11-05,62.8
2013-11-06,63.95
2013-11-07,65.5
2013-11-08,66.1
2013-11-11,65.1
2013-11-12,63.4
2013-11-13,64.15
2013-11-14,64.25
2013-11-18,66.0
2013-11-19,65.6
2013-11-20,65.2
2013-11-21,64.0
2013-11-22,65.3
2013-11-25,66.45
2013-11-26,66.1
2013-11-27,67.15
2013-11-28,67.75
2013-11-29,68.05
2013-12-02,68.45
2013-12-03,68.8
2013-12-04,68.9
2013-12-05,70.15
2013-12-06,70.0
2013-12-09,70.6
2013-12-10,71.75
2013-12-11,70.45
2013-12-12,69.45
2013-12-13,69.05
2013-12-16,69.7
2013-12-17,69.4
2013-12-18,70.15
2013-12-19,70.05
2013-12-20,71.5
2013-12-23,71.75
2013-12-24,71.1
2013-12-26,71.5
2013-12-27,71.95
2013-12-30,72.75
2013-12-31,72.45
