Date,SUMEETINDS
2013-01-01,22.1
2013-01-02,22.15
2013-01-03,21.85
2013-01-04,22.1
2013-01-07,21.15
2013-01-08,21.15
2013-01-09,21.4
2013-01-10,20.85
2013-01-11,20.9
2013-01-14,20.7
2013-01-15,20.95
2013-01-16,21.2
2013-01-17,21.0
2013-01-18,21.1
2013-01-21,21.2
2013-01-22,21.2
2013-01-23,21.25
2013-01-24,21.25
2013-01-25,21.9
2013-01-28,21.35
2013-01-29,21.15
2013-01-30,20.45
2013-01-31,20.5
2013-02-01,20.6
2013-02-04,20.6
2013-02-05,20.85
2013-02-06,20.4
2013-02-07,20.5
2013-02-08,20.45
2013-02-11,21.9
2013-02-12,20.95
2013-02-13,20.35
2013-02-14,20.0
2013-02-15,20.15
2013-02-18,20.4
2013-02-19,20.7
2013-02-20,20.65
2013-02-21,21.3
2013-02-22,20.95
2013-02-25,20.95
2013-02-26,21.05
2013-02-27,21.0
2013-02-28,21.05
2013-03-01,20.4
2013-03-04,20.45
2013-03-05,20.25
2013-03-06,20.1
2013-03-07,21.0
2013-03-08,22.0
2013-03-11,21.3
2013-03-12,21.05
2013-03-13,20.35
2013-03-14,20.15
2013-03-15,20.0
2013-03-18,20.05
2013-03-19,20.4
2013-03-20,20.2
2013-03-21,20.1
2013-03-22,20.0
2013-03-25,19.9
2013-03-26,19.75
2013-03-28,20.35
2013-04-01,21.0
2013-04-02,21.5
2013-04-03,21.85
2013-04-04,22.0
2013-04-05,22.2
2013-04-08,22.25
2013-04-09,22.05
2013-04-10,22.2
2013-04-11,22.0
2013-04-12,22.05
2013-04-15,22.25
2013-04-16,22.5
2013-04-17,23.5
2013-04-18,23.1
2013-04-22,22.9
2013-04-23,23.4
2013-04-25,23.95
2013-04-26,23.35
2013-04-29,23.75
2013-04-30,23.45
2013-05-02,23.4
2013-05-03,23.8
2013-05-06,24.0
2013-05-07,24.0
2013-05-08,24.15
2013-05-09,24.05
2013-05-10,24.3
2013-05-11,24.2
2013-05-13,23.85
2013-05-14,24.05
2013-05-15,24.0
2013-05-16,24.3
2013-05-17,24.4
2013-05-20,24.25
2013-05-21,24.55
2013-05-22,24.65
2013-05-23,24.4
2013-05-24,24.55
2013-05-27,24.6
2013-05-28,24.1
2013-05-29,24.0
2013-05-30,24.35
2013-05-31,24.1
2013-06-03,23.8
2013-06-04,22.75
2013-06-05,22.6
2013-06-06,22.7
2013-06-07,22.05
2013-06-10,22.0
2013-06-11,21.7
2013-06-12,21.95
2013-06-13,21.45
2013-06-14,20.7
2013-06-17,20.6
2013-06-18,20.8
2013-06-19,20.9
2013-06-20,20.15
2013-06-21,19.75
2013-06-24,19.45
2013-06-25,19.0
2013-06-26,19.1
2013-06-27,19.15
2013-06-28,19.3
2013-07-01,19.3
2013-07-02,19.5
2013-07-03,18.95
2013-07-04,20.0
2013-07-05,19.05
2013-07-08,19.25
2013-07-09,19.15
2013-07-10,19.1
2013-07-11,18.85
2013-07-12,18.5
2013-07-15,22.2
2013-07-16,23.2
2013-07-17,22.75
2013-07-18,22.5
2013-07-19,22.0
2013-07-22,22.3
2013-07-23,22.05
2013-07-24,21.95
2013-07-25,21.9
2013-07-26,21.7
2013-07-29,22.25
2013-07-30,21.9
2013-07-31,21.5
2013-08-01,21.2
2013-08-02,20.4
2013-08-05,20.3
2013-08-06,19.5
2013-08-07,19.95
2013-08-08,22.65
2013-08-12,22.5
2013-08-13,22.3
2013-08-14,20.85
2013-08-16,21.25
2013-08-19,20.2
2013-08-20,20.05
2013-08-21,19.5
2013-08-22,19.55
2013-08-23,19.9
2013-08-26,20.05
2013-08-27,20.05
2013-08-28,20.05
2013-08-29,20.95
2013-08-30,21.25
2013-09-02,21.5
2013-09-03,21.1
2013-09-04,20.9
2013-09-05,25.05
2013-09-06,23.35
2013-09-10,27.7
2013-09-11,26.65
2013-09-12,26.85
2013-09-13,26.7
2013-09-16,26.25
2013-09-17,26.4
2013-09-18,26.4
2013-09-19,27.75
2013-09-20,27.3
2013-09-23,27.25
2013-09-24,27.0
2013-09-25,26.75
2013-09-26,26.9
2013-09-27,26.65
2013-09-30,26.45
2013-10-01,26.1
2013-10-03,25.9
2013-10-04,25.85
2013-10-07,25.6
2013-10-08,25.35
2013-10-09,25.65
2013-10-10,25.45
2013-10-11,25.75
2013-10-14,25.5
2013-10-15,25.35
2013-10-17,25.5
2013-10-18,29.9
2013-10-21,29.4
2013-10-22,29.05
2013-10-23,25.15
2013-10-24,29.7
2013-10-25,30.45
2013-10-28,28.95
2013-10-29,28.15
2013-10-30,28.7
2013-10-31,27.95
2013-11-01,28.45
2013-11-03,29.25
2013-11-05,28.75
2013-11-06,28.2
2013-11-07,28.2
2013-11-08,28.5
2013-11-11,28.15
2013-11-12,27.9
2013-11-13,27.95
2013-11-14,28.0
2013-11-18,28.2
2013-11-19,28.0
2013-11-20,28.35
2013-11-21,28.4
2013-11-22,27.85
2013-11-25,27.35
2013-11-26,27.0
2013-11-27,26.8
2013-11-28,26.3
2013-11-29,26.0
2013-12-02,26.1
2013-12-03,26.1
2013-12-04,27.6
2013-12-05,26.55
2013-12-06,25.85
2013-12-09,25.7
2013-12-10,24.9
2013-12-11,27.8
2013-12-12,26.6
2013-12-13,24.6
2013-12-16,24.85
2013-12-17,25.2
2013-12-18,24.75
2013-12-19,24.75
2013-12-20,24.5
2013-12-23,24.85
2013-12-24,24.8
2013-12-26,25.1
2013-12-27,24.85
2013-12-30,24.75
2013-12-31,24.45
