Date,GUJAPOLLO
2013-01-01,118.85
2013-01-02,118.9
2013-01-03,118.8
2013-01-04,117.5
2013-01-07,116.7
2013-01-08,116.35
2013-01-09,116.0
2013-01-10,115.75
2013-01-11,116.0
2013-01-14,116.9
2013-01-15,116.2
2013-01-16,114.15
2013-01-17,112.6
2013-01-18,112.75
2013-01-21,110.85
2013-01-22,106.95
2013-01-23,102.15
2013-01-24,101.4
2013-01-25,101.4
2013-01-28,102.7
2013-01-29,102.7
2013-01-30,104.45
2013-01-31,100.55
2013-02-01,100.75
2013-02-04,99.45
2013-02-05,94.8
2013-02-06,93.5
2013-02-07,95.95
2013-02-08,97.2
2013-02-11,100.4
2013-02-12,98.55
2013-02-13,99.5
2013-02-14,98.75
2013-02-15,97.95
2013-02-18,100.55
2013-02-19,102.65
2013-02-20,103.4
2013-02-21,111.0
2013-02-22,110.65
2013-02-25,115.25
2013-02-26,109.95
2013-02-27,109.55
2013-02-28,107.7
2013-03-01,106.8
2013-03-04,104.2
2013-03-05,104.5
2013-03-06,104.4
2013-03-07,104.5
2013-03-08,104.3
2013-03-11,105.65
2013-03-12,104.55
2013-03-13,105.7
2013-03-14,107.1
2013-03-15,107.9
2013-03-18,107.9
2013-03-19,106.2
2013-03-20,106.3
2013-03-21,105.0
2013-03-22,104.05
2013-03-25,103.5
2013-03-26,102.3
2013-03-28,103.65
2013-04-01,104.0
2013-04-02,102.0
2013-04-03,101.0
2013-04-04,100.5
2013-04-05,101.8
2013-04-08,102.35
2013-04-09,101.9
2013-04-10,104.4
2013-04-11,109.25
2013-04-12,104.0
2013-04-15,102.8
2013-04-16,101.95
2013-04-17,100.85
2013-04-18,100.95
2013-04-22,99.95
2013-04-23,100.65
2013-04-25,101.75
2013-04-26,105.4
2013-04-29,106.35
2013-04-30,107.0
2013-05-02,108.05
2013-05-03,107.35
2013-05-06,107.05
2013-05-07,106.5
2013-05-08,106.5
2013-05-09,106.4
2013-05-10,106.6
2013-05-11,104.4
2013-05-13,105.15
2013-05-14,105.95
2013-05-15,105.25
2013-05-16,104.65
2013-05-17,103.85
2013-05-20,103.6
2013-05-21,103.85
2013-05-22,103.9
2013-05-23,102.65
2013-05-24,101.65
2013-05-27,106.95
2013-05-28,107.65
2013-05-29,112.7
2013-05-30,116.25
2013-05-31,111.95
2013-06-03,113.55
2013-06-04,114.25
2013-06-05,114.35
2013-06-06,113.5
2013-06-07,112.2
2013-06-10,112.25
2013-06-11,108.35
2013-06-12,109.05
2013-06-13,106.35
2013-06-14,109.0
2013-06-17,108.1
2013-06-18,107.5
2013-06-19,106.8
2013-06-20,105.95
2013-06-21,104.4
2013-06-24,101.65
2013-06-25,102.95
2013-06-26,101.15
2013-06-27,99.3
2013-06-28,101.1
2013-07-01,101.5
2013-07-02,100.25
2013-07-03,99.75
2013-07-04,101.0
2013-07-05,100.3
2013-07-08,99.9
2013-07-09,100.45
2013-07-10,103.25
2013-07-11,103.3
2013-07-12,104.3
2013-07-15,104.95
2013-07-16,104.15
2013-07-17,105.65
2013-07-18,104.15
2013-07-19,103.9
2013-07-22,104.65
2013-07-23,104.15
2013-07-24,103.0
2013-07-25,103.4
2013-07-26,103.5
2013-07-29,103.55
2013-07-30,103.5
2013-07-31,101.45
2013-08-01,100.6
2013-08-02,100.75
2013-08-05,99.6
2013-08-06,97.0
2013-08-07,96.35
2013-08-08,94.4
2013-08-12,93.4
2013-08-13,97.95
2013-08-14,103.85
2013-08-16,101.3
2013-08-19,101.25
2013-08-20,86.9
2013-08-21,86.2
2013-08-22,84.2
2013-08-23,84.4
2013-08-26,84.65
2013-08-27,81.45
2013-08-28,77.0
2013-08-29,80.0
2013-08-30,78.1
2013-09-02,79.0
2013-09-03,78.85
2013-09-04,81.2
2013-09-05,82.55
2013-09-06,82.7
2013-09-10,81.55
2013-09-11,84.35
2013-09-12,84.2
2013-09-13,84.05
2013-09-16,85.35
2013-09-17,87.05
2013-09-18,86.65
2013-09-19,87.55
2013-09-20,88.8
2013-09-23,87.25
2013-09-24,88.1
2013-09-25,86.05
2013-09-26,85.65
2013-09-27,85.9
2013-09-30,85.55
2013-10-01,86.2
2013-10-03,87.15
2013-10-04,87.2
2013-10-07,86.45
2013-10-08,86.0
2013-10-09,85.9
2013-10-10,86.0
2013-10-11,84.05
2013-10-14,83.8
2013-10-15,84.8
2013-10-17,87.0
2013-10-18,88.05
2013-10-21,87.4
2013-10-22,87.15
2013-10-23,87.5
2013-10-24,87.25
2013-10-25,87.75
2013-10-28,87.85
2013-10-29,87.35
2013-10-30,87.9
2013-10-31,88.1
2013-11-01,89.05
2013-11-03,88.95
2013-11-05,88.7
2013-11-06,88.5
2013-11-07,88.3
2013-11-08,88.9
2013-11-11,91.35
2013-11-12,89.8
2013-11-13,89.85
2013-11-14,88.45
2013-11-18,88.35
2013-11-19,88.25
2013-11-20,89.05
2013-11-21,89.15
2013-11-22,88.2
2013-11-25,88.8
2013-11-26,90.9
2013-11-27,94.0
2013-11-28,97.25
2013-11-29,108.2
2013-12-02,111.7
2013-12-03,108.5
2013-12-04,104.45
2013-12-05,106.2
2013-12-06,102.9
2013-12-09,101.25
2013-12-10,98.05
2013-12-11,95.65
2013-12-12,103.7
2013-12-13,100.8
2013-12-16,101.7
2013-12-17,100.3
2013-12-18,99.2
2013-12-19,103.2
2013-12-20,100.05
2013-12-23,101.9
2013-12-24,100.7
2013-12-26,105.45
2013-12-27,108.55
2013-12-30,104.9
2013-12-31,104.55
