Date,GREENPOWER
2013-01-01,11.25
2013-01-02,11.0
2013-01-03,11.0
2013-01-04,11.0
2013-01-07,10.95
2013-01-08,10.9
2013-01-09,10.95
2013-01-10,10.95
2013-01-11,10.85
2013-01-14,11.0
2013-01-15,10.95
2013-01-16,10.6
2013-01-17,10.95
2013-01-18,11.8
2013-01-21,11.9
2013-01-22,11.65
2013-01-23,11.75
2013-01-24,11.55
2013-01-25,11.25
2013-01-28,11.45
2013-01-29,11.6
2013-01-30,11.55
2013-01-31,11.5
2013-02-01,11.8
2013-02-04,11.75
2013-02-05,11.7
2013-02-06,11.5
2013-02-07,11.2
2013-02-08,10.9
2013-02-11,11.0
2013-02-12,11.0
2013-02-13,10.9
2013-02-14,10.5
2013-02-15,10.9
2013-02-18,11.35
2013-02-19,11.2
2013-02-20,11.9
2013-02-21,11.55
2013-02-22,13.05
2013-02-25,14.35
2013-02-26,14.25
2013-02-27,14.25
2013-02-28,14.25
2013-03-01,14.3
2013-03-04,14.25
2013-03-05,14.25
2013-03-06,14.25
2013-03-07,14.3
2013-03-08,14.3
2013-03-11,14.3
2013-03-12,14.3
2013-03-13,14.3
2013-03-14,14.3
2013-03-15,14.3
2013-03-18,14.3
2013-03-19,14.3
2013-03-20,14.3
2013-03-21,14.25
2013-03-22,14.25
2013-03-25,14.25
2013-03-26,14.2
2013-03-28,14.2
2013-04-01,14.15
2013-04-02,14.2
2013-04-03,14.25
2013-04-04,14.25
2013-04-05,14.25
2013-04-08,14.3
2013-04-09,14.35
2013-04-10,14.4
2013-04-11,14.35
2013-04-12,14.35
2013-04-15,14.35
2013-04-16,14.3
2013-04-17,14.4
2013-04-18,14.4
2013-04-22,14.4
2013-04-23,14.6
2013-04-25,14.65
2013-04-26,14.7
2013-04-29,14.7
2013-04-30,14.75
2013-05-02,14.85
2013-05-03,14.8
2013-05-06,14.8
2013-05-07,14.8
2013-05-08,14.8
2013-05-09,14.85
2013-05-10,14.85
2013-05-11,14.85
2013-05-13,14.8
2013-05-14,14.85
2013-05-15,14.85
2013-05-16,13.9
2013-05-17,13.35
2013-05-20,13.0
2013-05-21,13.1
2013-05-22,13.35
2013-05-23,12.85
2013-05-24,13.0
2013-05-27,13.35
2013-05-28,13.15
2013-05-29,13.65
2013-05-30,13.4
2013-05-31,13.2
2013-06-03,12.65
2013-06-04,13.2
2013-06-05,12.9
2013-06-06,12.7
2013-06-07,12.6
2013-06-10,12.7
2013-06-11,12.4
2013-06-12,12.4
2013-06-13,11.95
2013-06-14,11.95
2013-06-17,11.65
2013-06-18,11.85
2013-06-19,11.2
2013-06-20,11.5
2013-06-21,11.05
2013-06-24,10.7
2013-06-25,10.3
2013-06-26,11.0
2013-06-27,11.35
2013-06-28,11.45
2013-07-01,11.55
2013-07-02,11.95
2013-07-03,12.95
2013-07-04,12.9
2013-07-05,12.3
2013-07-08,12.75
2013-07-09,12.35
2013-07-10,12.1
2013-07-11,11.9
2013-07-12,12.7
2013-07-15,12.65
2013-07-16,12.2
2013-07-17,12.05
2013-07-18,11.85
2013-07-19,11.9
2013-07-22,11.9
2013-07-23,12.15
2013-07-24,12.2
2013-07-25,11.9
2013-07-26,12.6
2013-07-29,12.0
2013-07-30,11.9
2013-07-31,11.45
2013-08-01,10.9
2013-08-02,10.75
2013-08-05,10.5
2013-08-06,10.85
2013-08-07,11.45
2013-08-08,11.9
2013-08-12,11.05
2013-08-13,12.25
2013-08-14,11.6
2013-08-16,11.9
2013-08-19,11.3
2013-08-20,11.3
2013-08-21,11.25
2013-08-22,11.3
2013-08-23,11.45
2013-08-26,12.15
2013-08-27,11.6
2013-08-28,11.6
2013-08-29,11.3
2013-08-30,11.3
2013-09-02,11.45
2013-09-03,11.0
2013-09-04,10.85
2013-09-05,10.85
2013-09-06,10.8
2013-09-10,10.95
2013-09-11,10.95
2013-09-12,10.9
2013-09-13,10.85
2013-09-16,11.0
2013-09-17,11.15
2013-09-18,10.8
2013-09-19,10.85
2013-09-20,10.8
2013-09-23,10.8
2013-09-24,10.65
2013-09-25,10.45
2013-09-26,10.6
2013-09-27,10.55
2013-09-30,10.55
2013-10-01,10.6
2013-10-03,10.45
2013-10-04,10.5
2013-10-07,10.4
2013-10-08,10.05
2013-10-09,10.05
2013-10-10,10.25
2013-10-11,10.15
2013-10-14,10.25
2013-10-15,10.25
2013-10-17,10.3
2013-10-18,10.3
2013-10-21,10.4
2013-10-22,10.4
2013-10-23,10.4
2013-10-24,10.5
2013-10-25,11.35
2013-10-28,11.25
2013-10-29,11.8
2013-10-30,11.2
2013-10-31,11.35
2013-11-01,11.25
2013-11-03,11.2
2013-11-05,11.55
2013-11-06,11.6
2013-11-07,11.35
2013-11-08,11.5
2013-11-11,11.45
2013-11-12,11.35
2013-11-13,11.35
2013-11-14,11.75
2013-11-18,11.6
2013-11-19,11.75
2013-11-20,11.75
2013-11-21,11.6
2013-11-22,11.6
2013-11-25,11.5
2013-11-26,11.4
2013-11-27,11.5
2013-11-28,11.55
2013-11-29,11.65
2013-12-02,11.6
2013-12-03,11.35
2013-12-04,11.2
2013-12-05,11.25
2013-12-06,11.25
2013-12-09,11.35
2013-12-10,11.5
2013-12-11,12.45
2013-12-12,12.1
2013-12-13,11.7
2013-12-16,11.7
2013-12-17,11.4
2013-12-18,11.45
2013-12-19,11.35
2013-12-20,11.3
2013-12-23,11.5
2013-12-24,11.55
2013-12-26,11.85
2013-12-27,11.55
2013-12-30,11.9
2013-12-31,11.7
