Date,ENIL
2013-01-01,248.0
2013-01-02,249.95
2013-01-03,252.5
2013-01-04,248.95
2013-01-07,242.2
2013-01-08,242.45
2013-01-09,240.0
2013-01-10,240.3
2013-01-11,237.55
2013-01-14,236.4
2013-01-15,236.4
2013-01-16,237.8
2013-01-17,234.8
2013-01-18,233.45
2013-01-21,227.4
2013-01-22,220.2
2013-01-23,219.8
2013-01-24,217.05
2013-01-25,217.75
2013-01-28,218.75
2013-01-29,221.7
2013-01-30,231.15
2013-01-31,237.55
2013-02-01,232.55
2013-02-04,222.35
2013-02-05,219.45
2013-02-06,220.3
2013-02-07,215.15
2013-02-08,215.95
2013-02-11,215.65
2013-02-12,224.0
2013-02-13,227.9
2013-02-14,231.4
2013-02-15,234.5
2013-02-18,236.45
2013-02-19,234.65
2013-02-20,231.8
2013-02-21,230.05
2013-02-22,228.6
2013-02-25,222.35
2013-02-26,218.3
2013-02-27,219.75
2013-02-28,215.8
2013-03-01,224.25
2013-03-04,219.05
2013-03-05,226.75
2013-03-06,223.1
2013-03-07,227.25
2013-03-08,232.95
2013-03-11,232.9
2013-03-12,230.85
2013-03-13,227.45
2013-03-14,232.7
2013-03-15,235.3
2013-03-18,234.45
2013-03-19,235.15
2013-03-20,227.2
2013-03-21,223.2
2013-03-22,228.1
2013-03-25,223.45
2013-03-26,227.75
2013-03-28,241.45
2013-04-01,239.5
2013-04-02,237.7
2013-04-03,233.1
2013-04-04,227.05
2013-04-05,226.95
2013-04-08,225.55
2013-04-09,224.3
2013-04-10,226.6
2013-04-11,227.3
2013-04-12,225.2
2013-04-15,222.95
2013-04-16,225.0
2013-04-17,223.55
2013-04-18,223.3
2013-04-22,226.05
2013-04-23,226.5
2013-04-25,230.0
2013-04-26,230.85
2013-04-29,234.3
2013-04-30,237.0
2013-05-02,248.25
2013-05-03,245.55
2013-05-06,249.0
2013-05-07,248.95
2013-05-08,246.6
2013-05-09,248.05
2013-05-10,248.65
2013-05-11,249.95
2013-05-13,246.5
2013-05-14,250.2
2013-05-15,250.9
2013-05-16,251.4
2013-05-17,250.05
2013-05-20,250.45
2013-05-21,248.8
2013-05-22,246.95
2013-05-23,237.7
2013-05-24,235.8
2013-05-27,237.1
2013-05-28,240.35
2013-05-29,241.9
2013-05-30,250.6
2013-05-31,242.15
2013-06-03,242.2
2013-06-04,237.4
2013-06-05,238.15
2013-06-06,234.2
2013-06-07,234.8
2013-06-10,234.0
2013-06-11,233.3
2013-06-12,222.7
2013-06-13,224.3
2013-06-14,227.85
2013-06-17,218.9
2013-06-18,217.8
2013-06-19,217.3
2013-06-20,212.0
2013-06-21,218.05
2013-06-24,207.45
2013-06-25,209.05
2013-06-26,209.15
2013-06-27,210.35
2013-06-28,222.9
2013-07-01,223.4
2013-07-02,217.4
2013-07-03,214.45
2013-07-04,214.7
2013-07-05,213.75
2013-07-08,210.45
2013-07-09,211.55
2013-07-10,210.35
2013-07-11,212.1
2013-07-12,223.0
2013-07-15,227.3
2013-07-16,225.5
2013-07-17,225.0
2013-07-18,225.45
2013-07-19,227.0
2013-07-22,225.05
2013-07-23,225.35
2013-07-24,223.65
2013-07-25,225.55
2013-07-26,223.45
2013-07-29,224.65
2013-07-30,223.25
2013-07-31,212.4
2013-08-01,208.05
2013-08-02,199.5
2013-08-05,200.0
2013-08-06,203.0
2013-08-07,211.65
2013-08-08,222.0
2013-08-12,228.3
2013-08-13,237.75
2013-08-14,250.35
2013-08-16,245.15
2013-08-19,242.5
2013-08-20,240.0
2013-08-21,240.35
2013-08-22,260.45
2013-08-23,254.1
2013-08-26,242.8
2013-08-27,242.8
2013-08-28,236.6
2013-08-29,242.0
2013-08-30,238.3
2013-09-02,241.5
2013-09-03,238.35
2013-09-04,236.55
2013-09-05,246.0
2013-09-06,244.6
2013-09-10,252.0
2013-09-11,251.55
2013-09-12,253.7
2013-09-13,256.6
2013-09-16,256.2
2013-09-17,254.25
2013-09-18,254.65
2013-09-19,258.0
2013-09-20,254.95
2013-09-23,254.65
2013-09-24,261.65
2013-09-25,273.8
2013-09-26,282.6
2013-09-27,288.6
2013-09-30,290.45
2013-10-01,281.65
2013-10-03,283.45
2013-10-04,279.95
2013-10-07,278.4
2013-10-08,275.4
2013-10-09,278.35
2013-10-10,282.0
2013-10-11,280.65
2013-10-14,280.05
2013-10-15,280.3
2013-10-17,293.25
2013-10-18,298.75
2013-10-21,310.3
2013-10-22,327.55
2013-10-23,326.75
2013-10-24,312.55
2013-10-25,308.3
2013-10-28,299.15
2013-10-29,296.8
2013-10-30,308.4
2013-10-31,319.1
2013-11-01,314.45
2013-11-03,335.35
2013-11-05,327.0
2013-11-06,324.5
2013-11-07,318.5
2013-11-08,322.1
2013-11-11,336.5
2013-11-12,340.05
2013-11-13,336.95
2013-11-14,331.65
2013-11-18,335.15
2013-11-19,326.55
2013-11-20,335.8
2013-11-21,335.05
2013-11-22,333.4
2013-11-25,327.5
2013-11-26,319.45
2013-11-27,317.7
2013-11-28,319.55
2013-11-29,326.2
2013-12-02,320.95
2013-12-03,317.8
2013-12-04,319.1
2013-12-05,320.25
2013-12-06,310.45
2013-12-09,311.2
2013-12-10,310.8
2013-12-11,306.95
2013-12-12,313.2
2013-12-13,305.85
2013-12-16,300.45
2013-12-17,302.0
2013-12-18,303.45
2013-12-19,302.05
2013-12-20,317.55
2013-12-23,324.0
2013-12-24,324.45
2013-12-26,315.7
2013-12-27,315.05
2013-12-30,319.2
2013-12-31,327.6
