Date,TV18BRDCST
2013-01-01,32.85
2013-01-02,33.9
2013-01-03,36.0
2013-01-04,37.75
2013-01-07,36.85
2013-01-08,36.3
2013-01-09,36.6
2013-01-10,37.05
2013-01-11,34.95
2013-01-14,36.25
2013-01-15,35.95
2013-01-16,34.8
2013-01-17,35.15
2013-01-18,35.4
2013-01-21,36.05
2013-01-22,35.1
2013-01-23,34.7
2013-01-24,33.2
2013-01-25,33.85
2013-01-28,33.75
2013-01-29,33.45
2013-01-30,34.0
2013-01-31,33.5
2013-02-01,34.5
2013-02-04,34.8
2013-02-05,34.5
2013-02-06,34.3
2013-02-07,33.4
2013-02-08,32.55
2013-02-11,32.55
2013-02-12,32.95
2013-02-13,32.75
2013-02-14,28.25
2013-02-15,28.0
2013-02-18,26.85
2013-02-19,28.4
2013-02-20,27.15
2013-02-21,26.3
2013-02-22,26.0
2013-02-25,25.2
2013-02-26,24.65
2013-02-27,26.35
2013-02-28,24.6
2013-03-01,24.6
2013-03-04,25.2
2013-03-05,26.55
2013-03-06,27.15
2013-03-07,27.05
2013-03-08,27.0
2013-03-11,27.8
2013-03-12,27.9
2013-03-13,27.25
2013-03-14,28.7
2013-03-15,29.0
2013-03-18,29.05
2013-03-19,26.95
2013-03-20,25.85
2013-03-21,25.25
2013-03-22,26.0
2013-03-25,26.5
2013-03-26,26.8
2013-03-28,28.1
2013-04-01,27.95
2013-04-02,28.65
2013-04-03,27.45
2013-04-04,26.15
2013-04-05,26.0
2013-04-08,26.45
2013-04-09,25.75
2013-04-10,25.9
2013-04-11,25.8
2013-04-12,25.85
2013-04-15,27.2
2013-04-16,27.55
2013-04-17,27.4
2013-04-18,27.0
2013-04-22,28.05
2013-04-23,27.35
2013-04-25,28.35
2013-04-26,27.5
2013-04-29,27.4
2013-04-30,26.55
2013-05-02,27.1
2013-05-03,26.75
2013-05-06,27.3
2013-05-07,28.35
2013-05-08,29.7
2013-05-09,28.9
2013-05-10,31.05
2013-05-11,31.85
2013-05-13,28.5
2013-05-14,28.95
2013-05-15,29.6
2013-05-16,29.7
2013-05-17,29.25
2013-05-20,28.45
2013-05-21,28.15
2013-05-22,27.6
2013-05-23,26.65
2013-05-24,26.35
2013-05-27,26.45
2013-05-28,26.45
2013-05-29,26.65
2013-05-30,26.3
2013-05-31,26.05
2013-06-03,26.15
2013-06-04,25.7
2013-06-05,25.4
2013-06-06,25.25
2013-06-07,24.9
2013-06-10,24.5
2013-06-11,24.85
2013-06-12,24.7
2013-06-13,24.3
2013-06-14,24.7
2013-06-17,24.4
2013-06-18,25.1
2013-06-19,25.8
2013-06-20,24.45
2013-06-21,24.45
2013-06-24,24.3
2013-06-25,23.05
2013-06-26,22.95
2013-06-27,22.55
2013-06-28,24.1
2013-07-01,25.05
2013-07-02,24.55
2013-07-03,24.3
2013-07-04,24.5
2013-07-05,24.8
2013-07-08,24.15
2013-07-09,24.15
2013-07-10,23.35
2013-07-11,23.4
2013-07-12,22.8
2013-07-15,23.25
2013-07-16,22.4
2013-07-17,22.15
2013-07-18,21.95
2013-07-19,22.15
2013-07-22,22.2
2013-07-23,22.0
2013-07-24,20.95
2013-07-25,20.75
2013-07-26,19.9
2013-07-29,18.7
2013-07-30,16.95
2013-07-31,17.55
2013-08-01,19.0
2013-08-02,19.3
2013-08-05,18.55
2013-08-06,18.7
2013-08-07,18.8
2013-08-08,19.45
2013-08-12,19.5
2013-08-13,19.7
2013-08-14,19.65
2013-08-16,18.65
2013-08-19,18.0
2013-08-20,17.5
2013-08-21,17.05
2013-08-22,17.55
2013-08-23,17.75
2013-08-26,17.9
2013-08-27,16.8
2013-08-28,16.3
2013-08-29,17.05
2013-08-30,17.4
2013-09-02,18.4
2013-09-03,16.75
2013-09-04,17.15
2013-09-05,17.65
2013-09-06,17.4
2013-09-10,17.8
2013-09-11,17.6
2013-09-12,19.75
2013-09-13,20.75
2013-09-16,19.85
2013-09-17,19.8
2013-09-18,19.45
2013-09-19,19.85
2013-09-20,22.3
2013-09-23,21.55
2013-09-24,21.6
2013-09-25,21.55
2013-09-26,21.65
2013-09-27,20.65
2013-09-30,19.7
2013-10-01,20.7
2013-10-03,20.8
2013-10-04,20.5
2013-10-07,20.9
2013-10-08,20.15
2013-10-09,20.45
2013-10-10,20.85
2013-10-11,21.6
2013-10-14,21.75
2013-10-15,20.9
2013-10-17,21.25
2013-10-18,22.1
2013-10-21,22.9
2013-10-22,22.95
2013-10-23,22.35
2013-10-24,22.3
2013-10-25,22.95
2013-10-28,22.25
2013-10-29,23.65
2013-10-30,23.2
2013-10-31,23.25
2013-11-01,23.7
2013-11-03,24.0
2013-11-05,24.15
2013-11-06,24.05
2013-11-07,22.95
2013-11-08,22.4
2013-11-11,21.8
2013-11-12,21.75
2013-11-13,22.35
2013-11-14,23.45
2013-11-18,23.95
2013-11-19,23.6
2013-11-20,23.15
2013-11-21,22.2
2013-11-22,22.0
2013-11-25,21.85
2013-11-26,22.0
2013-11-27,21.8
2013-11-28,22.4
2013-11-29,22.7
2013-12-02,22.95
2013-12-03,23.25
2013-12-04,22.75
2013-12-05,23.35
2013-12-06,23.75
2013-12-09,24.8
2013-12-10,24.25
2013-12-11,24.2
2013-12-12,23.2
2013-12-13,22.45
2013-12-16,22.15
2013-12-17,22.35
2013-12-18,22.5
2013-12-19,22.65
2013-12-20,23.6
2013-12-23,24.25
2013-12-24,23.75
2013-12-26,23.45
2013-12-27,23.75
2013-12-30,24.15
2013-12-31,23.85
