Date,SOLARINDS
2013-01-01,959.6
2013-01-02,958.5
2013-01-03,967.5
2013-01-04,981.75
2013-01-07,984.95
2013-01-08,972.25
2013-01-09,974.95
2013-01-10,979.0
2013-01-11,1001.75
2013-01-14,998.65
2013-01-15,1002.1
2013-01-16,994.65
2013-01-17,997.8
2013-01-18,1000.45
2013-01-21,1006.7
2013-01-22,1015.05
2013-01-23,1011.05
2013-01-24,1012.05
2013-01-25,1043.85
2013-01-28,1037.4
2013-01-29,1047.0
2013-01-30,1049.25
2013-01-31,1060.15
2013-02-01,1064.2
2013-02-04,1054.0
2013-02-05,1055.1
2013-02-06,1055.5
2013-02-07,1069.25
2013-02-08,1057.95
2013-02-11,1055.1
2013-02-12,1055.45
2013-02-13,1054.2
2013-02-14,1007.45
2013-02-15,1021.35
2013-02-18,1043.7
2013-02-19,1082.7
2013-02-20,1069.9
2013-02-21,1053.8
2013-02-22,1051.4
2013-02-25,998.9
2013-02-26,1001.25
2013-02-27,977.05
2013-02-28,990.85
2013-03-01,973.9
2013-03-04,949.95
2013-03-05,952.85
2013-03-06,957.2
2013-03-07,949.45
2013-03-08,948.15
2013-03-11,948.3
2013-03-12,953.25
2013-03-13,972.85
2013-03-14,970.35
2013-03-15,973.2
2013-03-18,971.5
2013-03-19,979.8
2013-03-20,971.0
2013-03-21,973.4
2013-03-22,987.35
2013-03-25,993.85
2013-03-26,1019.5
2013-03-28,1029.85
2013-04-01,1026.6
2013-04-02,1022.0
2013-04-03,1016.85
2013-04-04,1018.15
2013-04-05,1006.6
2013-04-08,1020.0
2013-04-09,1018.05
2013-04-10,1024.55
2013-04-11,1038.7
2013-04-12,1029.7
2013-04-15,1022.5
2013-04-16,1009.5
2013-04-17,1033.1
2013-04-18,1031.85
2013-04-22,1022.6
2013-04-23,1018.65
2013-04-25,1014.5
2013-04-26,1007.5
2013-04-29,1007.95
2013-04-30,1017.45
2013-05-02,1002.05
2013-05-03,1001.45
2013-05-06,995.2
2013-05-07,995.55
2013-05-08,1018.5
2013-05-09,989.15
2013-05-10,976.65
2013-05-11,988.15
2013-05-13,935.6
2013-05-14,937.05
2013-05-15,914.55
2013-05-16,918.05
2013-05-17,908.65
2013-05-20,891.95
2013-05-21,900.0
2013-05-22,901.7
2013-05-23,899.25
2013-05-24,887.8
2013-05-27,887.5
2013-05-28,892.75
2013-05-29,879.4
2013-05-30,890.95
2013-05-31,906.6
2013-06-03,898.9
2013-06-04,910.0
2013-06-05,909.2
2013-06-06,898.2
2013-06-07,897.8
2013-06-10,907.15
2013-06-11,897.45
2013-06-12,912.45
2013-06-13,909.95
2013-06-14,920.65
2013-06-17,920.55
2013-06-18,924.6
2013-06-19,928.3
2013-06-20,931.55
2013-06-21,947.9
2013-06-24,928.8
2013-06-25,938.0
2013-06-26,942.75
2013-06-27,932.5
2013-06-28,928.35
2013-07-01,945.5
2013-07-02,943.3
2013-07-03,941.05
2013-07-04,937.15
2013-07-05,928.4
2013-07-08,945.4
2013-07-09,945.95
2013-07-10,940.05
2013-07-11,947.55
2013-07-12,930.95
2013-07-15,941.4
2013-07-16,934.3
2013-07-17,923.95
2013-07-18,941.95
2013-07-19,925.05
2013-07-22,926.6
2013-07-23,917.45
2013-07-24,898.5
2013-07-25,889.35
2013-07-26,879.85
2013-07-29,861.8
2013-07-30,857.95
2013-07-31,828.05
2013-08-01,869.05
2013-08-02,884.45
2013-08-05,864.4
2013-08-06,858.4
2013-08-07,847.4
2013-08-08,872.05
2013-08-12,873.25
2013-08-13,861.45
2013-08-14,867.0
